Geographic Area,Householder living alone—65 years and over,Lvng alone
"Holt County, Nebraska",16.20%,16.2
"Honolulu County, Hawaii",10.50%,10.5
"Hood County, Texas",13.70%,13.7
"Hood River County, Oregon",12.10%,12.1
"Hooker County, Nebraska",27.70%,27.7
"Hoonah-Angoon Census Area, Alaska",16%,16
"Hopewell city, Virginia",13.30%,13.3
"Hopkins County, Kentucky",12%,12
"Hopkins County, Texas",12.90%,12.9
"Hormigueros Municipio, Puerto Rico",19%,19
"Horry County, South Carolina",13.90%,13.9
"Hot Spring County, Arkansas",12.70%,12.7
"Hot Springs County, Wyoming",14.60%,14.6
"Houghton County, Michigan",14.30%,14.3
"Houston County, Alabama",12.90%,12.9
"Houston County, Georgia",8.70%,8.7
"Houston County, Minnesota",13.20%,13.2
"Houston County, Tennessee",15.20%,15.2
"Houston County, Texas",14.60%,14.6
"Howard County, Arkansas",15.80%,15.8
"Howard County, Indiana",14.80%,14.8
"Howard County, Iowa",12.10%,12.1
"Howard County, Maryland",8.20%,8.2
"Howard County, Missouri",13%,13
"Howard County, Nebraska",15.40%,15.4
"Howard County, Texas",10.50%,10.5
"Howell County, Missouri",14.40%,14.4
"Hubbard County, Minnesota",14.10%,14.1
"Hudson County, New Jersey",9%,9
"Hudspeth County, Texas",12.60%,12.6
"Huerfano County, Colorado",25.20%,25.2
"Hughes County, Oklahoma",19.60%,19.6
"Hughes County, South Dakota",14%,14
"Humacao Municipio, Puerto Rico",17.90%,17.9
"Humboldt County, California",13%,13
"Humboldt County, Iowa",14.30%,14.3
"Humboldt County, Nevada",12.40%,12.4
"Humphreys County, Mississippi",11.10%,11.1
"Humphreys County, Tennessee",16.40%,16.4
"Hunt County, Texas",10.50%,10.5
"Hunterdon County, New Jersey",10.40%,10.4
"Huntingdon County, Pennsylvania",14.70%,14.7
"Huntington County, Indiana",13.90%,13.9
"Huron County, Michigan",17.50%,17.5
"Huron County, Ohio",13.40%,13.4
"Hutchinson County, South Dakota",13.60%,13.6
"Hutchinson County, Texas",15.90%,15.9
"Hyde County, North Carolina",18.30%,18.3
"Hyde County, South Dakota",10.50%,10.5
"Iberia Parish, Louisiana",11%,11
"Iberville Parish, Louisiana",8.90%,8.9
"Ida County, Iowa",13%,13
"Idaho County, Idaho",15.70%,15.7
"Imperial County, California",9.90%,9.9
"Independence County, Arkansas",11.70%,11.7
"Indian River County, Florida",19.80%,19.8
"Indiana County, Pennsylvania",14.10%,14.1
"Ingham County, Michigan",11.50%,11.5
"Inyo County, California",16.10%,16.1
"Ionia County, Michigan",10.20%,10.2
"Iosco County, Michigan",20.20%,20.2
"Iowa County, Iowa",13.10%,13.1
"Iowa County, Wisconsin",13.90%,13.9
"Iredell County, North Carolina",9.50%,9.5
"Irion County, Texas",15.30%,15.3
"Iron County, Michigan",19.50%,19.5
"Iron County, Missouri",12.10%,12.1
"Iron County, Utah",8.10%,8.1
"Iron County, Wisconsin",16.50%,16.5
"Iroquois County, Illinois",14.80%,14.8
"Irwin County, Georgia",17.90%,17.9
"Isabela Municipio, Puerto Rico",14%,14
"Isabella County, Michigan",10%,10
"Isanti County, Minnesota",12.20%,12.2
"Island County, Washington",14.10%,14.1
"Isle of Wight County, Virginia",12.10%,12.1
"Issaquena County, Mississippi",32.40%,32.4
"Itasca County, Minnesota",16%,16
"Itawamba County, Mississippi",13%,13
"Izard County, Arkansas",17.30%,17.3
"Jack County, Texas",9.90%,9.9
"Jackson County, Alabama",14%,14
"Jackson County, Arkansas",13.70%,13.7
"Jackson County, Colorado",14.40%,14.4
"Jackson County, Florida",17.60%,17.6
"Jackson County, Georgia",7.80%,7.8
"Jackson County, Illinois",11.10%,11.1
"Jackson County, Indiana",11.70%,11.7
"Jackson County, Iowa",13.30%,13.3
"Jackson County, Kansas",13.20%,13.2
"Jackson County, Kentucky",15.10%,15.1
"Jackson County, Michigan",12.30%,12.3
"Jackson County, Minnesota",15.50%,15.5
"Jackson County, Mississippi",12.50%,12.5
"Jackson County, Missouri",11.20%,11.2
"Jackson County, North Carolina",12.50%,12.5
"Jackson County, Ohio",10.90%,10.9
"Jackson County, Oklahoma",12.20%,12.2
"Jackson County, Oregon",15.50%,15.5
"Jackson County, South Dakota",14.10%,14.1
"Jackson County, Tennessee",17.80%,17.8
"Jackson County, Texas",8.50%,8.5
"Jackson County, West Virginia",15.30%,15.3
"Jackson County, Wisconsin",14.10%,14.1
"Jackson Parish, Louisiana",16.10%,16.1
"James City County, Virginia",13.30%,13.3
"Jasper County, Georgia",7.50%,7.5
"Jasper County, Illinois",14%,14
"Jasper County, Indiana",13.60%,13.6
"Jasper County, Iowa",13.90%,13.9
"Jasper County, Mississippi",12.40%,12.4
"Jasper County, Missouri",12.40%,12.4
"Jasper County, South Carolina",12%,12
"Jasper County, Texas",16.10%,16.1
"Jay County, Indiana",12.80%,12.8
"Jayuya Municipio, Puerto Rico",8.90%,8.9
"Jeff Davis County, Georgia",13.10%,13.1
"Jeff Davis County, Texas",28.70%,28.7
"Jefferson County, Alabama",12.50%,12.5
"Jefferson County, Arkansas",13.70%,13.7
"Jefferson County, Colorado",11%,11
"Jefferson County, Florida",12%,12
"Jefferson County, Georgia",14.20%,14.2
"Jefferson County, Idaho",8.80%,8.8
"Jefferson County, Illinois",13.80%,13.8
"Jefferson County, Indiana",14.20%,14.2
"Jefferson County, Iowa",19%,19
"Jefferson County, Kansas",13.80%,13.8
"Jefferson County, Kentucky",13%,13
"Jefferson County, Mississippi",12.20%,12.2
"Jefferson County, Missouri",10.20%,10.2
"Jefferson County, Montana",10.80%,10.8
"Jefferson County, Nebraska",18.80%,18.8
"Jefferson County, New York",9.60%,9.6
"Jefferson County, Ohio",16.40%,16.4
"Jefferson County, Oklahoma",19.20%,19.2
"Jefferson County, Oregon",9.60%,9.6
"Jefferson County, Pennsylvania",16.80%,16.8
"Jefferson County, Tennessee",13%,13
"Jefferson County, Texas",10.80%,10.8
"Jefferson County, Washington",21.30%,21.3
"Jefferson County, West Virginia",11.70%,11.7
"Jefferson County, Wisconsin",12.80%,12.8
"Jefferson Davis County, Mississippi",15.20%,15.2
"Jefferson Davis Parish, Louisiana",14.90%,14.9
"Jefferson Parish, Louisiana",13.20%,13.2
"Jenkins County, Georgia",17.90%,17.9
"Jennings County, Indiana",11.20%,11.2
"Jerauld County, South Dakota",21.20%,21.2
"Jerome County, Idaho",7.50%,7.5
"Jersey County, Illinois",13.10%,13.1
"Jessamine County, Kentucky",11.20%,11.2
"Jewell County, Kansas",22.10%,22.1
"Jim Hogg County, Texas",5.20%,5.2
"Jim Wells County, Texas",9.70%,9.7
"Jo Daviess County, Illinois",16.30%,16.3
"Johnson County, Arkansas",11.40%,11.4
"Johnson County, Georgia",18.20%,18.2
"Johnson County, Illinois",14.30%,14.3
"Johnson County, Indiana",9.90%,9.9
"Johnson County, Iowa",8.40%,8.4
"Johnson County, Kansas",9.70%,9.7
"Johnson County, Kentucky",9%,9
"Johnson County, Missouri",8.40%,8.4
"Johnson County, Nebraska",11.90%,11.9
"Johnson County, Tennessee",13.60%,13.6
"Johnson County, Texas",7.70%,7.7
"Johnson County, Wyoming",15.70%,15.7
"Johnston County, North Carolina",9.80%,9.8
"Johnston County, Oklahoma",14.90%,14.9
"Jones County, Georgia",12.20%,12.2
"Jones County, Iowa",11.80%,11.8
"Jones County, Mississippi",12.80%,12.8
"Jones County, North Carolina",15.30%,15.3
"Jones County, South Dakota",14.20%,14.2
"Jones County, Texas",13.50%,13.5
"Josephine County, Oregon",14.60%,14.6
"Juab County, Utah",8.70%,8.7
"Juana Díaz Municipio, Puerto Rico",12.70%,12.7
"Judith Basin County, Montana",16%,16
"Juncos Municipio, Puerto Rico",11.70%,11.7
"Juneau City and Borough, Alaska",12.30%,12.3
"Juneau County, Wisconsin",14.80%,14.8
"Juniata County, Pennsylvania",14.40%,14.4
"Kalamazoo County, Michigan",11.20%,11.2
"Kalawao County, Hawaii",9.40%,9.4
"Kalkaska County, Michigan",14.40%,14.4
"Kanabec County, Minnesota",13.90%,13.9
"Kanawha County, West Virginia",15.60%,15.6
"Kandiyohi County, Minnesota",12%,12
"Kane County, Illinois",10.30%,10.3
"Kane County, Utah",14.80%,14.8
"Kankakee County, Illinois",12.80%,12.8
"Karnes County, Texas",13.50%,13.5
"Kauai County, Hawaii",12%,12
"Kaufman County, Texas",6.50%,6.5
"Kay County, Oklahoma",15.20%,15.2
"Kearney County, Nebraska",13.80%,13.8
"Kearny County, Kansas",8.40%,8.4
"Keith County, Nebraska",20.50%,20.5
"Kemper County, Mississippi",15.30%,15.3
"Kenai Peninsula Borough, Alaska",13.80%,13.8
"Kendall County, Illinois",7.20%,7.2
"Kendall County, Texas",10.60%,10.6
"Kenedy County, Texas",0%,0
"Kennebec County, Maine",13.90%,13.9
"Kenosha County, Wisconsin",10.70%,10.7
"Kent County, Delaware",11.30%,11.3
"Kent County, Maryland",17.40%,17.4
"Kent County, Michigan",10.20%,10.2
"Kent County, Rhode Island",13.50%,13.5
"Kent County, Texas",22%,22
"Kenton County, Kentucky",10.30%,10.3
"Keokuk County, Iowa",15.40%,15.4
"Kern County, California",8.50%,8.5
"Kerr County, Texas",17.40%,17.4
"Kershaw County, South Carolina",11.20%,11.2
"Ketchikan Gateway Borough, Alaska",11.40%,11.4
"Kewaunee County, Wisconsin",15.20%,15.2
"Keweenaw County, Michigan",16.70%,16.7
"Keya Paha County, Nebraska",17%,17
"Kidder County, North Dakota",19.90%,19.9
"Kimball County, Nebraska",20.90%,20.9
"Kimble County, Texas",26.30%,26.3
"King and Queen County, Virginia",15.60%,15.6
"King County, Texas",2.50%,2.5
"King County, Washington",8.90%,8.9
"King George County, Virginia",7.90%,7.9
"King William County, Virginia",11.90%,11.9
"Kingfisher County, Oklahoma",13.70%,13.7
"Kingman County, Kansas",17.50%,17.5
"Kings County, California",7.70%,7.7
"Kings County, New York",10.80%,10.8
"Kingsbury County, South Dakota",14.50%,14.5
"Kinney County, Texas",19.20%,19.2
"Kiowa County, Colorado",13.20%,13.2
"Kiowa County, Kansas",14.20%,14.2
"Kiowa County, Oklahoma",14.60%,14.6
"Kit Carson County, Colorado",12.70%,12.7
"Kitsap County, Washington",11.20%,11.2
"Kittitas County, Washington",9.20%,9.2
"Kittson County, Minnesota",16.70%,16.7
"Klamath County, Oregon",15.20%,15.2
"Kleberg County, Texas",7.40%,7.4
"Klickitat County, Washington",15.90%,15.9
"Knott County, Kentucky",14.80%,14.8
"Knox County, Illinois",19.60%,19.6
"Knox County, Indiana",14.30%,14.3
"Knox County, Kentucky",15.20%,15.2
"Knox County, Maine",16.90%,16.9
"Knox County, Missouri",20.50%,20.5
"Knox County, Nebraska",15.40%,15.4
"Knox County, Ohio",13.30%,13.3
"Knox County, Tennessee",11.40%,11.4
"Knox County, Texas",13.50%,13.5
"Kodiak Island Borough, Alaska",7.70%,7.7
"Koochiching County, Minnesota",17.10%,17.1
"Kootenai County, Idaho",11.30%,11.3
"Kosciusko County, Indiana",11.40%,11.4
"Kossuth County, Iowa",18.60%,18.6
"Kusilvak Census Area, Alaska",5.40%,5.4
"La Crosse County, Wisconsin",12.40%,12.4
"La Paz County, Arizona",20.20%,20.2
"La Plata County, Colorado",11.30%,11.3
"LaSalle County, Texas",7.50%,7.5
"Labette County, Kansas",17.60%,17.6
"Lac qui Parle County, Minnesota",16.40%,16.4
"Lackawanna County, Pennsylvania",15.20%,15.2
"Laclede County, Missouri",12.70%,12.7
"Lafayette County, Arkansas",15.90%,15.9
"Lafayette County, Florida",18.60%,18.6
"Lafayette County, Mississippi",10.50%,10.5
"Lafayette County, Missouri",11.40%,11.4
"Lafayette County, Wisconsin",15.30%,15.3
"Lafayette Parish, Louisiana",10.10%,10.1
"Lafourche Parish, Louisiana",10.90%,10.9
"LaGrange County, Indiana",10.10%,10.1
"Lajas Municipio, Puerto Rico",16.70%,16.7
"Lake and Peninsula Borough, Alaska",5.80%,5.8
"Lake County, California",16.80%,16.8
"Lake County, Colorado",11%,11
"Lake County, Florida",13.90%,13.9
"Lake County, Illinois",10.50%,10.5
"Lake County, Indiana",12.80%,12.8
"Lake County, Michigan",20.20%,20.2
"Lake County, Minnesota",16.40%,16.4
"Lake County, Montana",14.20%,14.2
"Lake County, Ohio",14.60%,14.6
"Lake County, Oregon",19.80%,19.8
"Lake County, South Dakota",12.40%,12.4
"Lake County, Tennessee",12.30%,12.3
"Lake of the Woods County, Minnesota",16.10%,16.1
"Lamar County, Alabama",16.90%,16.9
"Lamar County, Georgia",14.80%,14.8
"Lamar County, Mississippi",6.90%,6.9
"Lamar County, Texas",15.90%,15.9
"Lamb County, Texas",11.40%,11.4
"Lamoille County, Vermont",12.80%,12.8
"LaMoure County, North Dakota",19.10%,19.1
"Lampasas County, Texas",10.40%,10.4
"Lancaster County, Nebraska",10.40%,10.4
"Lancaster County, Pennsylvania",11.90%,11.9
"Lancaster County, South Carolina",13.40%,13.4
"Lancaster County, Virginia",30.30%,30.3
"Lander County, Nevada",5.70%,5.7
"Lane County, Kansas",15.50%,15.5
"Lane County, Oregon",12.70%,12.7
"Langlade County, Wisconsin",17.60%,17.6
"Lanier County, Georgia",11%,11
"Lapeer County, Michigan",11%,11
"LaPorte County, Indiana",13.60%,13.6
"Laramie County, Wyoming",12.20%,12.2
"Lares Municipio, Puerto Rico",13.10%,13.1
"Larimer County, Colorado",9.80%,9.8
"Larue County, Kentucky",12%,12
"Las Animas County, Colorado",16.50%,16.5
"Las Marías Municipio, Puerto Rico",19.30%,19.3
"Las Piedras Municipio, Puerto Rico",12.60%,12.6
"LaSalle County, Illinois",14.10%,14.1
"LaSalle Parish, Louisiana",11.90%,11.9
"Lassen County, California",15.30%,15.3
"Latah County, Idaho",9.50%,9.5
"Latimer County, Oklahoma",13.40%,13.4
"Lauderdale County, Alabama",13.10%,13.1
"Lauderdale County, Mississippi",13.30%,13.3
"Lauderdale County, Tennessee",11.70%,11.7
"Laurel County, Kentucky",10.70%,10.7
"Laurens County, Georgia",13.60%,13.6
"Laurens County, South Carolina",12%,12
"Lavaca County, Texas",16.80%,16.8
"Lawrence County, Alabama",15.10%,15.1
"Lawrence County, Arkansas",14.20%,14.2
"Lawrence County, Illinois",15.70%,15.7
"Lawrence County, Indiana",13.90%,13.9
"Lawrence County, Kentucky",12%,12
"Lawrence County, Mississippi",13.20%,13.2
"Lawrence County, Missouri",14.60%,14.6
"Lawrence County, Ohio",15.80%,15.8
"Lawrence County, Pennsylvania",15.50%,15.5
"Lawrence County, South Dakota",15.30%,15.3
"Lawrence County, Tennessee",14.20%,14.2
"Le Flore County, Oklahoma",13.60%,13.6
"Le Sueur County, Minnesota",11.30%,11.3
"Lea County, New Mexico",8.40%,8.4
"Leake County, Mississippi",14.70%,14.7
"Leavenworth County, Kansas",10.10%,10.1
"Lebanon County, Pennsylvania",13.40%,13.4
"Lee County, Alabama",8.30%,8.3
"Lee County, Arkansas",19.40%,19.4
"Lee County, Florida",15.60%,15.6
"Lee County, Georgia",7.20%,7.2
"Lee County, Illinois",15.70%,15.7
"Lee County, Iowa",15%,15
"Lee County, Kentucky",13.60%,13.6
"Lee County, Mississippi",9.30%,9.3
"Lee County, North Carolina",11.30%,11.3
"Lee County, South Carolina",15.40%,15.4
"Lee County, Texas",13.60%,13.6
"Lee County, Virginia",13.40%,13.4
"Leelanau County, Michigan",17.30%,17.3
"Leflore County, Mississippi",16.90%,16.9
"Lehigh County, Pennsylvania",11.50%,11.5
"Lemhi County, Idaho",23.80%,23.8
"Lenawee County, Michigan",13.60%,13.6
"Lenoir County, North Carolina",16.60%,16.6
"Leon County, Florida",9.60%,9.6
"Leon County, Texas",15%,15
"Leslie County, Kentucky",18.60%,18.6
"Letcher County, Kentucky",13.50%,13.5
"Levy County, Florida",16.80%,16.8
"Lewis and Clark County, Montana",13.90%,13.9
"Lewis County, Idaho",19%,19
"Lewis County, Kentucky",18%,18
"Lewis County, Missouri",15.70%,15.7
"Lewis County, New York",11.80%,11.8
"Lewis County, Tennessee",15.80%,15.8
"Lewis County, Washington",15.30%,15.3
"Lewis County, West Virginia",15%,15
"Lexington city, Virginia",15.10%,15.1
"Lexington County, South Carolina",10.60%,10.6
"Liberty County, Florida",10.30%,10.3
"Liberty County, Georgia",6.80%,6.8
"Liberty County, Montana",26.90%,26.9
"Liberty County, Texas",9.70%,9.7
"Licking County, Ohio",10.80%,10.8
"Limestone County, Alabama",10.70%,10.7
"Limestone County, Texas",13.40%,13.4
"Lincoln County, Arkansas",15.60%,15.6
"Lincoln County, Colorado",19.30%,19.3
"Lincoln County, Georgia",15.90%,15.9
"Lincoln County, Idaho",11.30%,11.3
"Lincoln County, Kansas",20.90%,20.9
"Lincoln County, Kentucky",15.30%,15.3
"Lincoln County, Maine",17.40%,17.4
"Lincoln County, Minnesota",18%,18
"Lincoln County, Mississippi",10.80%,10.8
"Lincoln County, Missouri",10.20%,10.2
"Lincoln County, Montana",16.40%,16.4
"Lincoln County, Nebraska",16.20%,16.2
"Lincoln County, Nevada",13.60%,13.6
"Lincoln County, New Mexico",18.10%,18.1
"Lincoln County, North Carolina",9.60%,9.6
"Lincoln County, Oklahoma",13.40%,13.4
"Lincoln County, Oregon",19.40%,19.4
"Lincoln County, South Dakota",7.60%,7.6
"Lincoln County, Tennessee",14.20%,14.2
"Lincoln County, Washington",15.10%,15.1
"Lincoln County, West Virginia",11.50%,11.5
"Lincoln County, Wisconsin",13.90%,13.9
"Lincoln County, Wyoming",11.50%,11.5
"Lincoln Parish, Louisiana",13.10%,13.1
"Linn County, Iowa",11.50%,11.5
"Linn County, Kansas",14.50%,14.5
"Linn County, Missouri",15.30%,15.3
"Linn County, Oregon",11.40%,11.4
"Lipscomb County, Texas",10.70%,10.7
"Little River County, Arkansas",14.40%,14.4
"Live Oak County, Texas",12.50%,12.5
"Livingston County, Illinois",13.30%,13.3
"Livingston County, Kentucky",13.70%,13.7
"Livingston County, Michigan",10.30%,10.3
"Livingston County, Missouri",14.20%,14.2
"Livingston County, New York",13.40%,13.4
"Livingston Parish, Louisiana",9.30%,9.3
"Llano County, Texas",20.70%,20.7
"Logan County, Arkansas",13.10%,13.1
"Logan County, Colorado",13.80%,13.8
"Logan County, Illinois",15%,15
"Logan County, Kansas",7.20%,7.2
"Logan County, Kentucky",12.30%,12.3
"Logan County, Nebraska",11.40%,11.4
"Logan County, North Dakota",16.50%,16.5
"Logan County, Ohio",10.90%,10.9
"Logan County, Oklahoma",11%,11
"Logan County, West Virginia",14.50%,14.5
"Loíza Municipio, Puerto Rico",13.10%,13.1
"Long County, Georgia",6.60%,6.6
"Lonoke County, Arkansas",9.30%,9.3
"Lorain County, Ohio",14.40%,14.4
"Los Alamos County, New Mexico",9.10%,9.1
"Los Angeles County, California",9%,9
"Loudon County, Tennessee",13.80%,13.8
"Loudoun County, Virginia",5.70%,5.7
"Louisa County, Iowa",12.40%,12.4
"Louisa County, Virginia",12%,12
"Loup County, Nebraska",14%,14
"Love County, Oklahoma",14.30%,14.3
"Loving County, Texas",47.50%,47.5
"Lower Connecticut River Valley Planning Region, Connecticut",13%,13
"Lowndes County, Alabama",19.40%,19.4
"Lowndes County, Georgia",10.50%,10.5
"Lowndes County, Mississippi",15.50%,15.5
"Lubbock County, Texas",9%,9
"Lucas County, Iowa",14.10%,14.1
"Lucas County, Ohio",12.70%,12.7
"Luce County, Michigan",14.30%,14.3
"Lumpkin County, Georgia",11.20%,11.2
"Luna County, New Mexico",21.10%,21.1
"Lunenburg County, Virginia",17.50%,17.5
"Luquillo Municipio, Puerto Rico",15%,15
"Luzerne County, Pennsylvania",14.90%,14.9
"Lycoming County, Pennsylvania",13.90%,13.9
"Lyman County, South Dakota",10%,10
"Lynchburg city, Virginia",11.80%,11.8
"Lynn County, Texas",15.20%,15.2
"Lyon County, Iowa",13.70%,13.7
"Lyon County, Kansas",8.80%,8.8
"Lyon County, Kentucky",21.10%,21.1
"Lyon County, Minnesota",12.40%,12.4
"Lyon County, Nevada",14.40%,14.4
"Mackinac County, Michigan",13.50%,13.5
"Macomb County, Michigan",13.20%,13.2
"Macon County, Alabama",14.80%,14.8
"Macon County, Georgia",15.50%,15.5
"Macon County, Illinois",14.40%,14.4
"Macon County, Missouri",15.90%,15.9
"Macon County, North Carolina",17.40%,17.4
"Macon County, Tennessee",10.80%,10.8
"Macoupin County, Illinois",13.80%,13.8
"Madera County, California",9.20%,9.2
"Madison County, Alabama",10.10%,10.1
"Madison County, Arkansas",10.80%,10.8
"Madison County, Florida",15%,15
"Madison County, Georgia",8.90%,8.9
"Madison County, Idaho",3.50%,3.5
"Madison County, Illinois",12.90%,12.9
"Madison County, Indiana",14.40%,14.4
"Madison County, Iowa",16.20%,16.2
"Madison County, Kentucky",10%,10
"Madison County, Mississippi",9.60%,9.6
"Madison County, Missouri",14%,14
"Madison County, Montana",20%,20
"Madison County, Nebraska",11.10%,11.1
"Madison County, New York",14.60%,14.6
"Madison County, North Carolina",16.70%,16.7
"Madison County, Ohio",10.50%,10.5
"Madison County, Tennessee",12.30%,12.3
"Madison County, Texas",12.10%,12.1
"Madison County, Virginia",9.30%,9.3
"Madison Parish, Louisiana",15.60%,15.6
"Magoffin County, Kentucky",13.80%,13.8
"Mahaska County, Iowa",11.70%,11.7
"Mahnomen County, Minnesota",14.70%,14.7
"Mahoning County, Ohio",15.50%,15.5
"Major County, Oklahoma",13%,13
"Malheur County, Oregon",15.60%,15.6
"Manassas city, Virginia",8.20%,8.2
"Manassas Park city, Virginia",7%,7
"Manatee County, Florida",16.40%,16.4
"Manatí Municipio, Puerto Rico",16.60%,16.6
"Manistee County, Michigan",16.40%,16.4
"Manitowoc County, Wisconsin",13.60%,13.6
"Marathon County, Wisconsin",12.40%,12.4
"Marengo County, Alabama",15.60%,15.6
"Maricao Municipio, Puerto Rico",9%,9
"Maricopa County, Arizona",10%,10
"Maries County, Missouri",14.60%,14.6
"Marin County, California",16.20%,16.2
"Marinette County, Wisconsin",14.70%,14.7
"Marion County, Alabama",15.30%,15.3
"Marion County, Arkansas",17.30%,17.3
"Marion County, Florida",17%,17
"Marion County, Georgia",12.50%,12.5
"Marion County, Illinois",16.50%,16.5
"Marion County, Indiana",10.40%,10.4
"Marion County, Iowa",12.10%,12.1
"Marion County, Kansas",18.30%,18.3
"Marion County, Kentucky",14.90%,14.9
"Marion County, Mississippi",15%,15
"Marion County, Missouri",14%,14
"Marion County, Ohio",15.30%,15.3
"Marion County, Oregon",12.50%,12.5
"Marion County, South Carolina",15.60%,15.6
"Marion County, Tennessee",10.40%,10.4
"Marion County, Texas",20.80%,20.8
"Marion County, West Virginia",14.60%,14.6
"Mariposa County, California",17.50%,17.5
"Marlboro County, South Carolina",17.50%,17.5
"Marquette County, Michigan",13.40%,13.4
"Marquette County, Wisconsin",16.90%,16.9
"Marshall County, Alabama",11.90%,11.9
"Marshall County, Illinois",16%,16
"Marshall County, Indiana",13.30%,13.3
"Marshall County, Iowa",11.70%,11.7
"Marshall County, Kansas",17.60%,17.6
"Marshall County, Kentucky",12%,12
"Marshall County, Minnesota",15.20%,15.2
"Marshall County, Mississippi",11.80%,11.8
"Marshall County, Oklahoma",14.40%,14.4
"Marshall County, South Dakota",21.40%,21.4
"Marshall County, Tennessee",11%,11
"Marshall County, West Virginia",15.30%,15.3
"Martin County, Florida",19.20%,19.2
"Martin County, Indiana",15.80%,15.8
"Martin County, Kentucky",13.20%,13.2
"Martin County, Minnesota",16.40%,16.4
"Martin County, North Carolina",18.90%,18.9
"Martin County, Texas",7.10%,7.1
"Martinsville city, Virginia",13.50%,13.5
"Mason County, Illinois",18.10%,18.1
"Mason County, Kentucky",13.70%,13.7
"Mason County, Michigan",17.70%,17.7
"Mason County, Texas",15.10%,15.1
"Mason County, Washington",12%,12
"Mason County, West Virginia",16.30%,16.3
"Massac County, Illinois",12.30%,12.3
"Matagorda County, Texas",11.10%,11.1
"Matanuska-Susitna Borough, Alaska",8.40%,8.4
"Mathews County, Virginia",23.20%,23.2
"Maui County, Hawaii",10.20%,10.2
"Maunabo Municipio, Puerto Rico",13.20%,13.2
"Maury County, Tennessee",10.60%,10.6
"Maverick County, Texas",9.30%,9.3
"Mayagüez Municipio, Puerto Rico",18.50%,18.5
"Mayes County, Oklahoma",13.30%,13.3
"McClain County, Oklahoma",11.80%,11.8
"McCone County, Montana",20.20%,20.2
"McCook County, South Dakota",10.20%,10.2
"McCormick County, South Carolina",17.10%,17.1
"McCracken County, Kentucky",15.10%,15.1
"McCreary County, Kentucky",13.10%,13.1
"McCulloch County, Texas",16.40%,16.4
"McCurtain County, Oklahoma",14.30%,14.3
"McDonald County, Missouri",8.50%,8.5
"McDonough County, Illinois",15.30%,15.3
"McDowell County, North Carolina",11.70%,11.7
"McDowell County, West Virginia",19.70%,19.7
"McDuffie County, Georgia",8.80%,8.8
"McHenry County, Illinois",10.40%,10.4
"McHenry County, North Dakota",17.40%,17.4
"McIntosh County, Georgia",13.90%,13.9
"McIntosh County, North Dakota",22.20%,22.2
"McIntosh County, Oklahoma",15.60%,15.6
"McKean County, Pennsylvania",14.80%,14.8
"McKenzie County, North Dakota",7.70%,7.7
"McKinley County, New Mexico",8.20%,8.2
"McLean County, Illinois",10.20%,10.2
"McLean County, Kentucky",11.50%,11.5
"McLean County, North Dakota",12.10%,12.1
"McLennan County, Texas",10%,10
"McLeod County, Minnesota",13.90%,13.9
"McMinn County, Tennessee",11.90%,11.9
"McMullen County, Texas",15.80%,15.8
"McNairy County, Tennessee",17.80%,17.8
"McPherson County, Kansas",11.70%,11.7
"McPherson County, Nebraska",17.10%,17.1
"McPherson County, South Dakota",17.10%,17.1
"Meade County, Kansas",15.70%,15.7
"Meade County, Kentucky",9.80%,9.8
"Meade County, South Dakota",10.70%,10.7
"Meagher County, Montana",13.20%,13.2
"Mecklenburg County, North Carolina",7.80%,7.8
"Mecklenburg County, Virginia",19%,19
"Mecosta County, Michigan",13.20%,13.2
"Medina County, Ohio",11.20%,11.2
"Medina County, Texas",12.40%,12.4
"Meeker County, Minnesota",13.50%,13.5
"Meigs County, Ohio",14.20%,14.2
"Meigs County, Tennessee",14%,14
"Mellette County, South Dakota",12.70%,12.7
"Menard County, Illinois",12.20%,12.2
"Menard County, Texas",24.20%,24.2
"Mendocino County, California",18.90%,18.9
"Menifee County, Kentucky",15.30%,15.3
"Menominee County, Michigan",16.30%,16.3
"Menominee County, Wisconsin",7.80%,7.8
"Merced County, California",8.10%,8.1
"Mercer County, Illinois",13.60%,13.6
"Mercer County, Kentucky",14.80%,14.8
"Mercer County, Missouri",16.40%,16.4
"Mercer County, New Jersey",12.50%,12.5
"Mercer County, North Dakota",12.70%,12.7
"Mercer County, Ohio",13.30%,13.3
"Mercer County, Pennsylvania",16.10%,16.1
"Mercer County, West Virginia",14.20%,14.2
"Meriwether County, Georgia",11.80%,11.8
"Merrick County, Nebraska",16%,16
"Merrimack County, New Hampshire",11.90%,11.9
"Mesa County, Colorado",15.20%,15.2
"Metcalfe County, Kentucky",11.90%,11.9
"Miami County, Indiana",12.80%,12.8
"Miami County, Kansas",10.20%,10.2
"Miami County, Ohio",12.70%,12.7
"Miami-Dade County, Florida",10.10%,10.1
"Middlesex County, Massachusetts",11.10%,11.1
"Middlesex County, New Jersey",10.20%,10.2
"Middlesex County, Virginia",22%,22
"Midland County, Michigan",13.10%,13.1
"Midland County, Texas",8.30%,8.3
"Mifflin County, Pennsylvania",12.70%,12.7
"Milam County, Texas",12.80%,12.8
"Millard County, Utah",10.50%,10.5
"Mille Lacs County, Minnesota",13.10%,13.1
"Miller County, Arkansas",12.30%,12.3
"Miller County, Georgia",18.30%,18.3
"Miller County, Missouri",13.50%,13.5
"Mills County, Iowa",14.20%,14.2
