Geographic Area,Percentage Children under 6 years,Child under 6 yrs
"Hoke County, North Carolina",22.10%,22.1
"Holmes County, Florida",10%,10
"Holmes County, Mississippi",16.30%,16.3
"Holmes County, Ohio",18.90%,18.9
"Holt County, Missouri",20.90%,20.9
"Holt County, Nebraska",24.80%,24.8
"Honolulu County, Hawaii",22.90%,22.9
"Hood County, Texas",19.80%,19.8
"Hood River County, Oregon",18.30%,18.3
"Hooker County, Nebraska",30%,30
"Hoonah-Angoon Census Area, Alaska",11.40%,11.4
"Hopewell city, Virginia",27.40%,27.4
"Hopkins County, Kentucky",21.60%,21.6
"Hopkins County, Texas",22.40%,22.4
"Hormigueros Municipio, Puerto Rico",16.90%,16.9
"Horry County, South Carolina",21%,21
"Hot Spring County, Arkansas",14.10%,14.1
"Hot Springs County, Wyoming",23%,23
"Houghton County, Michigan",24.40%,24.4
"Houston County, Alabama",19%,19
"Houston County, Georgia",20.40%,20.4
"Houston County, Minnesota",21.50%,21.5
"Houston County, Tennessee",42.10%,42.1
"Houston County, Texas",25.90%,25.9
"Howard County, Arkansas",15.90%,15.9
"Howard County, Indiana",16.70%,16.7
"Howard County, Iowa",26.20%,26.2
"Howard County, Maryland",18.60%,18.6
"Howard County, Missouri",21%,21
"Howard County, Nebraska",30.40%,30.4
"Howard County, Texas",24.60%,24.6
"Howell County, Missouri",19.40%,19.4
"Hubbard County, Minnesota",21.10%,21.1
"Hudson County, New Jersey",29.60%,29.6
"Hudspeth County, Texas",16.20%,16.2
"Huerfano County, Colorado",17.50%,17.5
"Hughes County, Oklahoma",20.70%,20.7
"Hughes County, South Dakota",21.30%,21.3
"Humacao Municipio, Puerto Rico",11.40%,11.4
"Humboldt County, California",19.40%,19.4
"Humboldt County, Iowa",25.90%,25.9
"Humboldt County, Nevada",23.90%,23.9
"Humphreys County, Mississippi",12.50%,12.5
"Humphreys County, Tennessee",24.50%,24.5
"Hunt County, Texas",24.10%,24.1
"Hunterdon County, New Jersey",21.40%,21.4
"Huntingdon County, Pennsylvania",17.30%,17.3
"Huntington County, Indiana",21%,21
"Huron County, Michigan",17.40%,17.4
"Huron County, Ohio",19.20%,19.2
"Hutchinson County, South Dakota",25.10%,25.1
"Hutchinson County, Texas",14.50%,14.5
"Hyde County, North Carolina",6.30%,6.3
"Hyde County, South Dakota",33.10%,33.1
"Iberia Parish, Louisiana",24.50%,24.5
"Iberville Parish, Louisiana",17.80%,17.8
"Ida County, Iowa",17.70%,17.7
"Idaho County, Idaho",31.10%,31.1
"Imperial County, California",15.50%,15.5
"Independence County, Arkansas",17.90%,17.9
"Indian River County, Florida",24%,24
"Indiana County, Pennsylvania",22%,22
"Ingham County, Michigan",25.60%,25.6
"Inyo County, California",17.90%,17.9
"Ionia County, Michigan",25.50%,25.5
"Iosco County, Michigan",30.20%,30.2
"Iowa County, Iowa",18.70%,18.7
"Iowa County, Wisconsin",19.40%,19.4
"Iredell County, North Carolina",20.10%,20.1
"Irion County, Texas",7.50%,7.5
"Iron County, Michigan",19%,19
"Iron County, Missouri",20.10%,20.1
"Iron County, Utah",21.10%,21.1
"Iron County, Wisconsin",24.10%,24.1
"Iroquois County, Illinois",16%,16
"Irwin County, Georgia",29.50%,29.5
"Isabela Municipio, Puerto Rico",14.20%,14.2
"Isabella County, Michigan",26.10%,26.1
"Isanti County, Minnesota",21.40%,21.4
"Island County, Washington",31.90%,31.9
"Isle of Wight County, Virginia",18.70%,18.7
"Issaquena County, Mississippi",0%,0
"Itasca County, Minnesota",17%,17
"Itawamba County, Mississippi",17.80%,17.8
"Izard County, Arkansas",18.70%,18.7
"Jack County, Texas",21.70%,21.7
"Jackson County, Alabama",18.20%,18.2
"Jackson County, Arkansas",35.10%,35.1
"Jackson County, Colorado",24.30%,24.3
"Jackson County, Florida",20.90%,20.9
"Jackson County, Georgia",18.80%,18.8
"Jackson County, Illinois",22.50%,22.5
"Jackson County, Indiana",27.50%,27.5
"Jackson County, Iowa",21.10%,21.1
"Jackson County, Kansas",19.90%,19.9
"Jackson County, Kentucky",19.60%,19.6
"Jackson County, Michigan",21.80%,21.8
"Jackson County, Minnesota",23.20%,23.2
"Jackson County, Mississippi",18.20%,18.2
"Jackson County, Missouri",22.20%,22.2
"Jackson County, North Carolina",21%,21
"Jackson County, Ohio",18.10%,18.1
"Jackson County, Oklahoma",23.40%,23.4
"Jackson County, Oregon",19.90%,19.9
"Jackson County, South Dakota",21.30%,21.3
"Jackson County, Tennessee",19%,19
"Jackson County, Texas",15.20%,15.2
"Jackson County, West Virginia",24.80%,24.8
"Jackson County, Wisconsin",19.70%,19.7
"Jackson Parish, Louisiana",19.20%,19.2
"James City County, Virginia",13.80%,13.8
"Jasper County, Georgia",19%,19
"Jasper County, Illinois",18.20%,18.2
"Jasper County, Indiana",18.40%,18.4
"Jasper County, Iowa",16.50%,16.5
"Jasper County, Mississippi",12.80%,12.8
"Jasper County, Missouri",23.70%,23.7
"Jasper County, South Carolina",19%,19
"Jasper County, Texas",19%,19
"Jay County, Indiana",20.80%,20.8
"Jayuya Municipio, Puerto Rico",13.50%,13.5
"Jeff Davis County, Georgia",16.30%,16.3
"Jeff Davis County, Texas",43.80%,43.8
"Jefferson County, Alabama",24%,24
"Jefferson County, Arkansas",18.90%,18.9
"Jefferson County, Colorado",24.20%,24.2
"Jefferson County, Florida",18.50%,18.5
"Jefferson County, Georgia",14.80%,14.8
"Jefferson County, Idaho",19.10%,19.1
"Jefferson County, Illinois",27.40%,27.4
"Jefferson County, Indiana",27%,27
"Jefferson County, Iowa",20.60%,20.6
"Jefferson County, Kansas",21.10%,21.1
"Jefferson County, Kentucky",25.40%,25.4
"Jefferson County, Mississippi",36.90%,36.9
"Jefferson County, Missouri",20.30%,20.3
"Jefferson County, Montana",15%,15
"Jefferson County, Nebraska",23.90%,23.9
"Jefferson County, New York",30.80%,30.8
"Jefferson County, Ohio",22.30%,22.3
"Jefferson County, Oklahoma",21.40%,21.4
"Jefferson County, Oregon",11.10%,11.1
"Jefferson County, Pennsylvania",21.60%,21.6
"Jefferson County, Tennessee",17%,17
"Jefferson County, Texas",20.10%,20.1
"Jefferson County, Washington",20.40%,20.4
"Jefferson County, West Virginia",18.80%,18.8
"Jefferson County, Wisconsin",20.30%,20.3
"Jefferson Davis County, Mississippi",22.10%,22.1
"Jefferson Davis Parish, Louisiana",18.10%,18.1
"Jefferson Parish, Louisiana",24.20%,24.2
"Jenkins County, Georgia",23.10%,23.1
"Jennings County, Indiana",24.90%,24.9
"Jerauld County, South Dakota",7.30%,7.3
"Jerome County, Idaho",18.20%,18.2
"Jersey County, Illinois",16.70%,16.7
"Jessamine County, Kentucky",20.60%,20.6
"Jewell County, Kansas",28.70%,28.7
"Jim Hogg County, Texas",24.90%,24.9
"Jim Wells County, Texas",20.80%,20.8
"Jo Daviess County, Illinois",16.30%,16.3
"Johnson County, Arkansas",18.20%,18.2
"Johnson County, Georgia",18.70%,18.7
"Johnson County, Illinois",16.90%,16.9
"Johnson County, Indiana",20%,20
"Johnson County, Iowa",29.90%,29.9
"Johnson County, Kansas",23.40%,23.4
"Johnson County, Kentucky",14.70%,14.7
"Johnson County, Missouri",29.10%,29.1
"Johnson County, Nebraska",20.60%,20.6
"Johnson County, Tennessee",22.40%,22.4
"Johnson County, Texas",18.10%,18.1
"Johnson County, Wyoming",20.90%,20.9
"Johnston County, North Carolina",22.60%,22.6
"Johnston County, Oklahoma",14.20%,14.2
"Jones County, Georgia",16.80%,16.8
"Jones County, Iowa",23.70%,23.7
"Jones County, Mississippi",19.40%,19.4
"Jones County, North Carolina",31%,31
"Jones County, South Dakota",39.30%,39.3
"Jones County, Texas",17.90%,17.9
"Josephine County, Oregon",16.20%,16.2
"Juab County, Utah",16.20%,16.2
"Juana Díaz Municipio, Puerto Rico",14.60%,14.6
"Judith Basin County, Montana",12.40%,12.4
"Juncos Municipio, Puerto Rico",18.60%,18.6
"Juneau City and Borough, Alaska",22%,22
"Juneau County, Wisconsin",24.30%,24.3
"Juniata County, Pennsylvania",20.40%,20.4
"Kalamazoo County, Michigan",26.20%,26.2
"Kalawao County, Hawaii",-,#VALUE!
"Kalkaska County, Michigan",21.70%,21.7
"Kanabec County, Minnesota",20.20%,20.2
"Kanawha County, West Virginia",24.60%,24.6
"Kandiyohi County, Minnesota",19.60%,19.6
"Kane County, Illinois",20.40%,20.4
"Kane County, Utah",30.40%,30.4
"Kankakee County, Illinois",19.30%,19.3
"Karnes County, Texas",22.80%,22.8
"Kauai County, Hawaii",14.80%,14.8
"Kaufman County, Texas",18.90%,18.9
"Kay County, Oklahoma",16.90%,16.9
"Kearney County, Nebraska",23.10%,23.1
"Kearny County, Kansas",26.50%,26.5
"Keith County, Nebraska",16.60%,16.6
"Kemper County, Mississippi",25.30%,25.3
"Kenai Peninsula Borough, Alaska",19.40%,19.4
"Kendall County, Illinois",17.10%,17.1
"Kendall County, Texas",15.20%,15.2
"Kenedy County, Texas",100%,100
"Kennebec County, Maine",22.10%,22.1
"Kenosha County, Wisconsin",19.50%,19.5
"Kent County, Delaware",20.30%,20.3
"Kent County, Maryland",16.30%,16.3
"Kent County, Michigan",22.50%,22.5
"Kent County, Rhode Island",23.10%,23.1
"Kent County, Texas",8.70%,8.7
"Kenton County, Kentucky",22%,22
"Keokuk County, Iowa",31%,31
"Kern County, California",18.70%,18.7
"Kerr County, Texas",25.90%,25.9
"Kershaw County, South Carolina",15.50%,15.5
"Ketchikan Gateway Borough, Alaska",21.80%,21.8
"Kewaunee County, Wisconsin",18.20%,18.2
"Keweenaw County, Michigan",31.10%,31.1
"Keya Paha County, Nebraska",10.10%,10.1
"Kidder County, North Dakota",43.40%,43.4
"Kimball County, Nebraska",18%,18
"Kimble County, Texas",18.70%,18.7
"King and Queen County, Virginia",36.10%,36.1
"King County, Texas",31.40%,31.4
"King County, Washington",24.20%,24.2
"King George County, Virginia",17.40%,17.4
"King William County, Virginia",28.90%,28.9
"Kingfisher County, Oklahoma",14.30%,14.3
"Kingman County, Kansas",19.20%,19.2
"Kings County, California",21.20%,21.2
"Kings County, New York",23.30%,23.3
"Kingsbury County, South Dakota",21.30%,21.3
"Kinney County, Texas",32.10%,32.1
"Kiowa County, Colorado",18.60%,18.6
"Kiowa County, Kansas",15.10%,15.1
"Kiowa County, Oklahoma",17.40%,17.4
"Kit Carson County, Colorado",27.90%,27.9
"Kitsap County, Washington",25.80%,25.8
"Kittitas County, Washington",20%,20
"Kittson County, Minnesota",19.10%,19.1
"Klamath County, Oregon",18%,18
"Kleberg County, Texas",24.40%,24.4
"Klickitat County, Washington",23.60%,23.6
"Knott County, Kentucky",15.10%,15.1
"Knox County, Illinois",22.90%,22.9
"Knox County, Indiana",24.10%,24.1
"Knox County, Kentucky",16.10%,16.1
"Knox County, Maine",20.10%,20.1
"Knox County, Missouri",19.20%,19.2
"Knox County, Nebraska",22.40%,22.4
"Knox County, Ohio",24.50%,24.5
"Knox County, Tennessee",23.80%,23.8
"Knox County, Texas",20.90%,20.9
"Kodiak Island Borough, Alaska",33%,33
"Koochiching County, Minnesota",14.50%,14.5
"Kootenai County, Idaho",21.80%,21.8
"Kosciusko County, Indiana",22.90%,22.9
"Kossuth County, Iowa",27.80%,27.8
"Kusilvak Census Area, Alaska",15.60%,15.6
"La Crosse County, Wisconsin",24.90%,24.9
"La Paz County, Arizona",22.60%,22.6
"La Plata County, Colorado",23.40%,23.4
"LaSalle County, Texas",7.60%,7.6
"Labette County, Kansas",22.90%,22.9
"Lac qui Parle County, Minnesota",20.50%,20.5
"Lackawanna County, Pennsylvania",22.10%,22.1
"Laclede County, Missouri",21.80%,21.8
"Lafayette County, Arkansas",15.20%,15.2
"Lafayette County, Florida",13.40%,13.4
"Lafayette County, Mississippi",30.90%,30.9
"Lafayette County, Missouri",20.80%,20.8
"Lafayette County, Wisconsin",22.30%,22.3
"Lafayette Parish, Louisiana",23.70%,23.7
"Lafourche Parish, Louisiana",24%,24
"LaGrange County, Indiana",21.10%,21.1
"Lajas Municipio, Puerto Rico",14.60%,14.6
"Lake and Peninsula Borough, Alaska",11.40%,11.4
"Lake County, California",23.90%,23.9
"Lake County, Colorado",13.70%,13.7
"Lake County, Florida",18%,18
"Lake County, Illinois",19.70%,19.7
"Lake County, Indiana",20.40%,20.4
"Lake County, Michigan",14.40%,14.4
"Lake County, Minnesota",22.90%,22.9
"Lake County, Montana",19.40%,19.4
"Lake County, Ohio",23.10%,23.1
"Lake County, Oregon",21.80%,21.8
"Lake County, South Dakota",16%,16
"Lake County, Tennessee",33.30%,33.3
"Lake of the Woods County, Minnesota",20.40%,20.4
"Lamar County, Alabama",18.70%,18.7
"Lamar County, Georgia",17.90%,17.9
"Lamar County, Mississippi",20.40%,20.4
"Lamar County, Texas",28.30%,28.3
"Lamb County, Texas",12.90%,12.9
"Lamoille County, Vermont",18.30%,18.3
"LaMoure County, North Dakota",16.90%,16.9
"Lampasas County, Texas",21.70%,21.7
"Lancaster County, Nebraska",22.20%,22.2
"Lancaster County, Pennsylvania",23.90%,23.9
"Lancaster County, South Carolina",23.60%,23.6
"Lancaster County, Virginia",18.60%,18.6
"Lander County, Nevada",12.80%,12.8
"Lane County, Kansas",11.90%,11.9
"Lane County, Oregon",21.90%,21.9
"Langlade County, Wisconsin",29.30%,29.3
"Lanier County, Georgia",26.60%,26.6
"Lapeer County, Michigan",17.90%,17.9
"LaPorte County, Indiana",21%,21
"Laramie County, Wyoming",24.30%,24.3
"Lares Municipio, Puerto Rico",20%,20
"Larimer County, Colorado",25.40%,25.4
"Larue County, Kentucky",14.60%,14.6
"Las Animas County, Colorado",20.10%,20.1
"Las Marías Municipio, Puerto Rico",12%,12
"Las Piedras Municipio, Puerto Rico",14.80%,14.8
"LaSalle County, Illinois",26.10%,26.1
"LaSalle Parish, Louisiana",18%,18
"Lassen County, California",21.20%,21.2
"Latah County, Idaho",27.80%,27.8
"Latimer County, Oklahoma",22.70%,22.7
"Lauderdale County, Alabama",22.30%,22.3
"Lauderdale County, Mississippi",16.40%,16.4
"Lauderdale County, Tennessee",23.40%,23.4
"Laurel County, Kentucky",25.40%,25.4
"Laurens County, Georgia",17.10%,17.1
"Laurens County, South Carolina",24%,24
"Lavaca County, Texas",22.40%,22.4
"Lawrence County, Alabama",24.90%,24.9
"Lawrence County, Arkansas",21.10%,21.1
"Lawrence County, Illinois",20.40%,20.4
"Lawrence County, Indiana",20.70%,20.7
"Lawrence County, Kentucky",14.40%,14.4
"Lawrence County, Mississippi",18.70%,18.7
"Lawrence County, Missouri",17.90%,17.9
"Lawrence County, Ohio",18.60%,18.6
"Lawrence County, Pennsylvania",21.80%,21.8
"Lawrence County, South Dakota",19.10%,19.1
"Lawrence County, Tennessee",20%,20
"Le Flore County, Oklahoma",19.90%,19.9
"Le Sueur County, Minnesota",24.60%,24.6
"Lea County, New Mexico",18.60%,18.6
"Leake County, Mississippi",18.90%,18.9
"Leavenworth County, Kansas",23%,23
"Lebanon County, Pennsylvania",19.70%,19.7
"Lee County, Alabama",18.90%,18.9
"Lee County, Arkansas",11.10%,11.1
"Lee County, Florida",19.70%,19.7
"Lee County, Georgia",17.30%,17.3
"Lee County, Illinois",23.60%,23.6
"Lee County, Iowa",27.90%,27.9
"Lee County, Kentucky",14.60%,14.6
"Lee County, Mississippi",22.30%,22.3
"Lee County, North Carolina",22.20%,22.2
"Lee County, South Carolina",14.40%,14.4
"Lee County, Texas",12.10%,12.1
"Lee County, Virginia",15.50%,15.5
"Leelanau County, Michigan",15%,15
"Leflore County, Mississippi",12.10%,12.1
"Lehigh County, Pennsylvania",22.10%,22.1
"Lemhi County, Idaho",13.40%,13.4
"Lenawee County, Michigan",21.50%,21.5
"Lenoir County, North Carolina",16.70%,16.7
"Leon County, Florida",22.60%,22.6
"Leon County, Texas",15.80%,15.8
"Leslie County, Kentucky",9.40%,9.4
"Letcher County, Kentucky",14.40%,14.4
"Levy County, Florida",21.90%,21.9
"Lewis and Clark County, Montana",25%,25
"Lewis County, Idaho",20.10%,20.1
"Lewis County, Kentucky",28%,28
"Lewis County, Missouri",20.40%,20.4
"Lewis County, New York",23%,23
"Lewis County, Tennessee",17.10%,17.1
"Lewis County, Washington",19.10%,19.1
"Lewis County, West Virginia",16.30%,16.3
"Lexington city, Virginia",25.70%,25.7
"Lexington County, South Carolina",21.50%,21.5
"Liberty County, Florida",9.20%,9.2
"Liberty County, Georgia",29.10%,29.1
"Liberty County, Montana",11.40%,11.4
"Liberty County, Texas",16.40%,16.4
"Licking County, Ohio",21%,21
"Limestone County, Alabama",21.50%,21.5
"Limestone County, Texas",17.80%,17.8
"Lincoln County, Arkansas",22.70%,22.7
"Lincoln County, Colorado",22%,22
"Lincoln County, Georgia",16.70%,16.7
"Lincoln County, Idaho",21.10%,21.1
"Lincoln County, Kansas",22.10%,22.1
"Lincoln County, Kentucky",18.20%,18.2
"Lincoln County, Maine",18.80%,18.8
"Lincoln County, Minnesota",29.90%,29.9
"Lincoln County, Mississippi",17.90%,17.9
"Lincoln County, Missouri",22.90%,22.9
"Lincoln County, Montana",13.30%,13.3
"Lincoln County, Nebraska",24%,24
"Lincoln County, Nevada",22.20%,22.2
"Lincoln County, New Mexico",17.90%,17.9
"Lincoln County, North Carolina",19.90%,19.9
"Lincoln County, Oklahoma",15.50%,15.5
"Lincoln County, Oregon",22.70%,22.7
"Lincoln County, South Dakota",22.60%,22.6
"Lincoln County, Tennessee",24.20%,24.2
"Lincoln County, Washington",16.10%,16.1
"Lincoln County, West Virginia",20%,20
"Lincoln County, Wisconsin",15.50%,15.5
"Lincoln County, Wyoming",14.90%,14.9
"Lincoln Parish, Louisiana",20%,20
"Linn County, Iowa",23.10%,23.1
"Linn County, Kansas",11%,11
"Linn County, Missouri",19.40%,19.4
"Linn County, Oregon",23.20%,23.2
"Lipscomb County, Texas",22.70%,22.7
"Little River County, Arkansas",22.20%,22.2
"Live Oak County, Texas",26.10%,26.1
"Livingston County, Illinois",27.10%,27.1
"Livingston County, Kentucky",21.40%,21.4
"Livingston County, Michigan",22.90%,22.9
"Livingston County, Missouri",17.10%,17.1
"Livingston County, New York",25%,25
"Livingston Parish, Louisiana",21.20%,21.2
"Llano County, Texas",9.70%,9.7
"Logan County, Arkansas",19.70%,19.7
"Logan County, Colorado",28.30%,28.3
"Logan County, Illinois",17%,17
"Logan County, Kansas",32.40%,32.4
"Logan County, Kentucky",19.40%,19.4
"Logan County, Nebraska",19.60%,19.6
"Logan County, North Dakota",17.80%,17.8
"Logan County, Ohio",17.60%,17.6
"Logan County, Oklahoma",19.70%,19.7
"Logan County, West Virginia",18.90%,18.9
"Loíza Municipio, Puerto Rico",15.70%,15.7
"Long County, Georgia",18.40%,18.4
"Lonoke County, Arkansas",22.30%,22.3
"Lorain County, Ohio",20.70%,20.7
"Los Alamos County, New Mexico",18.40%,18.4
"Los Angeles County, California",19.20%,19.2
"Loudon County, Tennessee",17.30%,17.3
"Loudoun County, Virginia",19.90%,19.9
"Louisa County, Iowa",17.20%,17.2
"Louisa County, Virginia",21.40%,21.4
"Loup County, Nebraska",24.60%,24.6
"Love County, Oklahoma",23%,23
"Loving County, Texas",100%,100
"Lower Connecticut River Valley Planning Region, Connecticut",22.70%,22.7
"Lowndes County, Alabama",17.60%,17.6
"Lowndes County, Georgia",26.20%,26.2
"Lowndes County, Mississippi",23.40%,23.4
"Lubbock County, Texas",24.10%,24.1
"Lucas County, Iowa",23.80%,23.8
"Lucas County, Ohio",21.70%,21.7
"Luce County, Michigan",16.80%,16.8
"Lumpkin County, Georgia",27.30%,27.3
"Luna County, New Mexico",13.10%,13.1
"Lunenburg County, Virginia",16.60%,16.6
"Luquillo Municipio, Puerto Rico",12.90%,12.9
"Luzerne County, Pennsylvania",21.50%,21.5
"Lycoming County, Pennsylvania",22.50%,22.5
"Lyman County, South Dakota",31.40%,31.4
"Lynchburg city, Virginia",24%,24
"Lynn County, Texas",20.70%,20.7
"Lyon County, Iowa",20.10%,20.1
"Lyon County, Kansas",32.60%,32.6
"Lyon County, Kentucky",9.20%,9.2
"Lyon County, Minnesota",23.70%,23.7
"Lyon County, Nevada",13.90%,13.9
"Mackinac County, Michigan",23.80%,23.8
"Macomb County, Michigan",22.20%,22.2
"Macon County, Alabama",24.60%,24.6
"Macon County, Georgia",14.70%,14.7
"Macon County, Illinois",26.30%,26.3
"Macon County, Missouri",18.30%,18.3
"Macon County, North Carolina",16.30%,16.3
"Macon County, Tennessee",29.40%,29.4
"Macoupin County, Illinois",18.50%,18.5
"Madera County, California",13.50%,13.5
"Madison County, Alabama",21.10%,21.1
"Madison County, Arkansas",19.50%,19.5
"Madison County, Florida",27.50%,27.5
"Madison County, Georgia",17.90%,17.9
"Madison County, Idaho",33.10%,33.1
"Madison County, Illinois",22.60%,22.6
"Madison County, Indiana",22.10%,22.1
"Madison County, Iowa",12.60%,12.6
"Madison County, Kentucky",28.30%,28.3
"Madison County, Mississippi",20.10%,20.1
"Madison County, Missouri",9.70%,9.7
"Madison County, Montana",12%,12
"Madison County, Nebraska",28.90%,28.9
"Madison County, New York",22%,22
"Madison County, North Carolina",31.10%,31.1
"Madison County, Ohio",20.60%,20.6
"Madison County, Tennessee",28.10%,28.1
"Madison County, Texas",21.10%,21.1
"Madison County, Virginia",24.20%,24.2
"Madison Parish, Louisiana",17.80%,17.8
"Magoffin County, Kentucky",17%,17
"Mahaska County, Iowa",18.20%,18.2
"Mahnomen County, Minnesota",21.90%,21.9
"Mahoning County, Ohio",20.10%,20.1
"Major County, Oklahoma",15.90%,15.9
"Malheur County, Oregon",15.60%,15.6
"Manassas city, Virginia",22.30%,22.3
"Manassas Park city, Virginia",8.70%,8.7
"Manatee County, Florida",20.60%,20.6
"Manatí Municipio, Puerto Rico",20.70%,20.7
"Manistee County, Michigan",17.20%,17.2
"Manitowoc County, Wisconsin",18.50%,18.5
"Marathon County, Wisconsin",21.20%,21.2
"Marengo County, Alabama",15.80%,15.8
"Maricao Municipio, Puerto Rico",15.40%,15.4
"Maricopa County, Arizona",20.30%,20.3
"Maries County, Missouri",17.60%,17.6
"Marin County, California",19.70%,19.7
"Marinette County, Wisconsin",21.90%,21.9
"Marion County, Alabama",22.70%,22.7
"Marion County, Arkansas",20%,20
"Marion County, Florida",20.50%,20.5
"Marion County, Georgia",29.40%,29.4
"Marion County, Illinois",21.50%,21.5
"Marion County, Indiana",23.40%,23.4
"Marion County, Iowa",22.20%,22.2
"Marion County, Kansas",17.50%,17.5
"Marion County, Kentucky",18.20%,18.2
"Marion County, Mississippi",15.20%,15.2
"Marion County, Missouri",22.50%,22.5
"Marion County, Ohio",19.80%,19.8
"Marion County, Oregon",19.50%,19.5
"Marion County, South Carolina",5.30%,5.3
"Marion County, Tennessee",25.90%,25.9
"Marion County, Texas",9.40%,9.4
"Marion County, West Virginia",21.30%,21.3
"Mariposa County, California",14.70%,14.7
"Marlboro County, South Carolina",13.60%,13.6
"Marquette County, Michigan",22.50%,22.5
"Marquette County, Wisconsin",16.20%,16.2
"Marshall County, Alabama",20%,20
"Marshall County, Illinois",32%,32
"Marshall County, Indiana",13.50%,13.5
"Marshall County, Iowa",19.70%,19.7
"Marshall County, Kansas",25.10%,25.1
"Marshall County, Kentucky",19.60%,19.6
"Marshall County, Minnesota",21.70%,21.7
"Marshall County, Mississippi",21.30%,21.3
"Marshall County, Oklahoma",18.20%,18.2
"Marshall County, South Dakota",27.70%,27.7
"Marshall County, Tennessee",23.60%,23.6
"Marshall County, West Virginia",17.50%,17.5
"Martin County, Florida",19.80%,19.8
"Martin County, Indiana",26.80%,26.8
"Martin County, Kentucky",11.10%,11.1
"Martin County, Minnesota",18.20%,18.2
"Martin County, North Carolina",10.80%,10.8
"Martin County, Texas",27.40%,27.4
"Martinsville city, Virginia",23.20%,23.2
"Mason County, Illinois",24.70%,24.7
"Mason County, Kentucky",26.50%,26.5
"Mason County, Michigan",16.60%,16.6
"Mason County, Texas",6.20%,6.2
"Mason County, Washington",18%,18
"Mason County, West Virginia",15.70%,15.7
"Massac County, Illinois",9.60%,9.6
"Matagorda County, Texas",20.30%,20.3
"Matanuska-Susitna Borough, Alaska",20.60%,20.6
"Mathews County, Virginia",16.30%,16.3
"Maui County, Hawaii",18.50%,18.5
"Maunabo Municipio, Puerto Rico",4%,4
"Maury County, Tennessee",21.50%,21.5
"Maverick County, Texas",20.60%,20.6
"Mayagüez Municipio, Puerto Rico",24.20%,24.2
"Mayes County, Oklahoma",16.20%,16.2
"McClain County, Oklahoma",15%,15
"McCone County, Montana",47.20%,47.2
"McCook County, South Dakota",20%,20
"McCormick County, South Carolina",30.70%,30.7
"McCracken County, Kentucky",22.40%,22.4
"McCreary County, Kentucky",24.10%,24.1
"McCulloch County, Texas",21%,21
"McCurtain County, Oklahoma",18.40%,18.4
"McDonald County, Missouri",22.10%,22.1
"McDonough County, Illinois",30.20%,30.2
"McDowell County, North Carolina",20.50%,20.5
"McDowell County, West Virginia",17.20%,17.2
"McDuffie County, Georgia",19.90%,19.9
"McHenry County, Illinois",19%,19
"McHenry County, North Dakota",34.70%,34.7
"McIntosh County, Georgia",14.50%,14.5
"McIntosh County, North Dakota",24.70%,24.7
"McIntosh County, Oklahoma",18.80%,18.8
"McKean County, Pennsylvania",18.80%,18.8
"McKenzie County, North Dakota",24.40%,24.4
"McKinley County, New Mexico",11.70%,11.7
"McLean County, Illinois",23.10%,23.1
"McLean County, Kentucky",18.30%,18.3
"McLean County, North Dakota",30.90%,30.9
"McLennan County, Texas",20.20%,20.2
"McLeod County, Minnesota",21.50%,21.5
"McMinn County, Tennessee",17.80%,17.8
"McMullen County, Texas",34.40%,34.4
"McNairy County, Tennessee",23.80%,23.8
"McPherson County, Kansas",21.40%,21.4
"McPherson County, Nebraska",15.60%,15.6
"McPherson County, South Dakota",21.40%,21.4
"Meade County, Kansas",27.80%,27.8
"Meade County, Kentucky",17.30%,17.3
"Meade County, South Dakota",22.30%,22.3
"Meagher County, Montana",6.10%,6.1
"Mecklenburg County, North Carolina",25%,25
"Mecklenburg County, Virginia",23%,23
"Mecosta County, Michigan",24.80%,24.8
"Medina County, Ohio",20.90%,20.9
"Medina County, Texas",18.20%,18.2
"Meeker County, Minnesota",22.90%,22.9
"Meigs County, Ohio",13.10%,13.1
"Meigs County, Tennessee",23.30%,23.3
"Mellette County, South Dakota",15.30%,15.3
"Menard County, Illinois",25.40%,25.4
"Menard County, Texas",18.10%,18.1
"Mendocino County, California",16.50%,16.5
"Menifee County, Kentucky",16.10%,16.1
"Menominee County, Michigan",18.50%,18.5
"Menominee County, Wisconsin",12.20%,12.2
"Merced County, California",14.80%,14.8
"Mercer County, Illinois",15.70%,15.7
"Mercer County, Kentucky",17.50%,17.5
"Mercer County, Missouri",13.20%,13.2
"Mercer County, New Jersey",20.80%,20.8
"Mercer County, North Dakota",15.20%,15.2
"Mercer County, Ohio",22%,22
"Mercer County, Pennsylvania",23.70%,23.7
"Mercer County, West Virginia",13.40%,13.4
"Meriwether County, Georgia",15.40%,15.4
"Merrick County, Nebraska",22.30%,22.3
"Merrimack County, New Hampshire",19.30%,19.3
"Mesa County, Colorado",19.20%,19.2
"Metcalfe County, Kentucky",15%,15
"Miami County, Indiana",19.70%,19.7
"Miami County, Kansas",20%,20
"Miami County, Ohio",23%,23
"Miami-Dade County, Florida",20.40%,20.4
"Middlesex County, Massachusetts",24.80%,24.8
"Middlesex County, New Jersey",19.60%,19.6
"Middlesex County, Virginia",20.50%,20.5
"Midland County, Michigan",24.60%,24.6
"Midland County, Texas",26.20%,26.2
"Mifflin County, Pennsylvania",20.10%,20.1
"Milam County, Texas",18.70%,18.7
"Millard County, Utah",13.80%,13.8
"Mille Lacs County, Minnesota",18.80%,18.8
