Geographic Area,Percent below poverty level,Povrty lvl
"Holt County, Missouri",9.40%,9.4
"Holt County, Nebraska",9.90%,9.9
"Honolulu County, Hawaii",8.80%,8.8
"Hood County, Texas",8.90%,8.9
"Hood River County, Oregon",6.60%,6.6
"Hooker County, Nebraska",8.10%,8.1
"Hoonah-Angoon Census Area, Alaska",11.60%,11.6
"Hopewell city, Virginia",21.30%,21.3
"Hopkins County, Kentucky",19.20%,19.2
"Hopkins County, Texas",13.40%,13.4
"Hormigueros Municipio, Puerto Rico",41.10%,41.1
"Horry County, South Carolina",13.10%,13.1
"Hot Spring County, Arkansas",19.70%,19.7
"Hot Springs County, Wyoming",16.10%,16.1
"Houghton County, Michigan",17.30%,17.3
"Houston County, Alabama",17.80%,17.8
"Houston County, Georgia",9.70%,9.7
"Houston County, Minnesota",7.20%,7.2
"Houston County, Tennessee",13.40%,13.4
"Houston County, Texas",17.60%,17.6
"Howard County, Arkansas",18.30%,18.3
"Howard County, Indiana",12.10%,12.1
"Howard County, Iowa",8.70%,8.7
"Howard County, Maryland",5.40%,5.4
"Howard County, Missouri",12.80%,12.8
"Howard County, Nebraska",4.90%,4.9
"Howard County, Texas",14.50%,14.5
"Howell County, Missouri",23%,23
"Hubbard County, Minnesota",10.10%,10.1
"Hudson County, New Jersey",14.20%,14.2
"Hudspeth County, Texas",25.40%,25.4
"Huerfano County, Colorado",20.60%,20.6
"Hughes County, Oklahoma",20.80%,20.8
"Hughes County, South Dakota",10%,10
"Humacao Municipio, Puerto Rico",37.10%,37.1
"Humboldt County, California",19.80%,19.8
"Humboldt County, Iowa",13.30%,13.3
"Humboldt County, Nevada",14.30%,14.3
"Humphreys County, Mississippi",32.10%,32.1
"Humphreys County, Tennessee",12%,12
"Hunt County, Texas",12.20%,12.2
"Hunterdon County, New Jersey",3.70%,3.7
"Huntingdon County, Pennsylvania",11.30%,11.3
"Huntington County, Indiana",11.10%,11.1
"Huron County, Michigan",11.30%,11.3
"Huron County, Ohio",11%,11
"Hutchinson County, South Dakota",9.90%,9.9
"Hutchinson County, Texas",10.40%,10.4
"Hyde County, North Carolina",29.90%,29.9
"Hyde County, South Dakota",6.70%,6.7
"Iberia Parish, Louisiana",23.10%,23.1
"Iberville Parish, Louisiana",16.80%,16.8
"Ida County, Iowa",11.50%,11.5
"Idaho County, Idaho",10.40%,10.4
"Imperial County, California",21.10%,21.1
"Independence County, Arkansas",19.30%,19.3
"Indian River County, Florida",11.40%,11.4
"Indiana County, Pennsylvania",13%,13
"Ingham County, Michigan",16.50%,16.5
"Inyo County, California",11.90%,11.9
"Ionia County, Michigan",10.30%,10.3
"Iosco County, Michigan",15.10%,15.1
"Iowa County, Iowa",9.10%,9.1
"Iowa County, Wisconsin",8%,8
"Iredell County, North Carolina",9.40%,9.4
"Irion County, Texas",7.40%,7.4
"Iron County, Michigan",14.70%,14.7
"Iron County, Missouri",19.50%,19.5
"Iron County, Utah",14.10%,14.1
"Iron County, Wisconsin",10.50%,10.5
"Iroquois County, Illinois",10.70%,10.7
"Irwin County, Georgia",22%,22
"Isabela Municipio, Puerto Rico",48.20%,48.2
"Isabella County, Michigan",23.60%,23.6
"Isanti County, Minnesota",8.80%,8.8
"Island County, Washington",6.80%,6.8
"Isle of Wight County, Virginia",9.80%,9.8
"Issaquena County, Mississippi",20.60%,20.6
"Itasca County, Minnesota",11.80%,11.8
"Itawamba County, Mississippi",10.40%,10.4
"Izard County, Arkansas",19.70%,19.7
"Jack County, Texas",14.50%,14.5
"Jackson County, Alabama",18.60%,18.6
"Jackson County, Arkansas",20.40%,20.4
"Jackson County, Colorado",20.90%,20.9
"Jackson County, Florida",19.20%,19.2
"Jackson County, Georgia",8.10%,8.1
"Jackson County, Illinois",23%,23
"Jackson County, Indiana",12.40%,12.4
"Jackson County, Iowa",10.20%,10.2
"Jackson County, Kansas",7.90%,7.9
"Jackson County, Kentucky",22.60%,22.6
"Jackson County, Michigan",12.10%,12.1
"Jackson County, Minnesota",9.70%,9.7
"Jackson County, Mississippi",15.70%,15.7
"Jackson County, Missouri",13.90%,13.9
"Jackson County, North Carolina",19.30%,19.3
"Jackson County, Ohio",17.40%,17.4
"Jackson County, Oklahoma",14.50%,14.5
"Jackson County, Oregon",13.30%,13.3
"Jackson County, South Dakota",38.40%,38.4
"Jackson County, Tennessee",19.70%,19.7
"Jackson County, Texas",12%,12
"Jackson County, West Virginia",19.60%,19.6
"Jackson County, Wisconsin",12.70%,12.7
"Jackson Parish, Louisiana",26.20%,26.2
"James City County, Virginia",7.30%,7.3
"Jasper County, Georgia",13.30%,13.3
"Jasper County, Illinois",9.20%,9.2
"Jasper County, Indiana",7.50%,7.5
"Jasper County, Iowa",8.80%,8.8
"Jasper County, Mississippi",17.20%,17.2
"Jasper County, Missouri",18.50%,18.5
"Jasper County, South Carolina",17.90%,17.9
"Jasper County, Texas",22.80%,22.8
"Jay County, Indiana",13.50%,13.5
"Jayuya Municipio, Puerto Rico",54.70%,54.7
"Jeff Davis County, Georgia",22.60%,22.6
"Jeff Davis County, Texas",24.60%,24.6
"Jefferson County, Alabama",15.90%,15.9
"Jefferson County, Arkansas",19.50%,19.5
"Jefferson County, Colorado",6.70%,6.7
"Jefferson County, Florida",18.30%,18.3
"Jefferson County, Georgia",19.40%,19.4
"Jefferson County, Idaho",8.90%,8.9
"Jefferson County, Illinois",14.10%,14.1
"Jefferson County, Indiana",12.90%,12.9
"Jefferson County, Iowa",14%,14
"Jefferson County, Kansas",6%,6
"Jefferson County, Kentucky",14.10%,14.1
"Jefferson County, Mississippi",31.80%,31.8
"Jefferson County, Missouri",8.30%,8.3
"Jefferson County, Montana",5.10%,5.1
"Jefferson County, Nebraska",11.10%,11.1
"Jefferson County, New York",12.80%,12.8
"Jefferson County, Ohio",18.20%,18.2
"Jefferson County, Oklahoma",23.10%,23.1
"Jefferson County, Oregon",12.70%,12.7
"Jefferson County, Pennsylvania",14.10%,14.1
"Jefferson County, Tennessee",11.10%,11.1
"Jefferson County, Texas",18.20%,18.2
"Jefferson County, Washington",13.80%,13.8
"Jefferson County, West Virginia",9.10%,9.1
"Jefferson County, Wisconsin",7.60%,7.6
"Jefferson Davis County, Mississippi",23.10%,23.1
"Jefferson Davis Parish, Louisiana",16%,16
"Jefferson Parish, Louisiana",15.50%,15.5
"Jenkins County, Georgia",27.90%,27.9
"Jennings County, Indiana",13.90%,13.9
"Jerauld County, South Dakota",9.10%,9.1
"Jerome County, Idaho",14.70%,14.7
"Jersey County, Illinois",8.10%,8.1
"Jessamine County, Kentucky",12.10%,12.1
"Jewell County, Kansas",18.70%,18.7
"Jim Hogg County, Texas",29%,29
"Jim Wells County, Texas",22.60%,22.6
"Jo Daviess County, Illinois",7.80%,7.8
"Johnson County, Arkansas",21.20%,21.2
"Johnson County, Georgia",21.90%,21.9
"Johnson County, Illinois",16.50%,16.5
"Johnson County, Indiana",7.50%,7.5
"Johnson County, Iowa",16.90%,16.9
"Johnson County, Kansas",5.30%,5.3
"Johnson County, Kentucky",21.40%,21.4
"Johnson County, Missouri",12.30%,12.3
"Johnson County, Nebraska",6.10%,6.1
"Johnson County, Tennessee",21.60%,21.6
"Johnson County, Texas",10.60%,10.6
"Johnson County, Wyoming",16.70%,16.7
"Johnston County, North Carolina",10.70%,10.7
"Johnston County, Oklahoma",22.80%,22.8
"Jones County, Georgia",14.30%,14.3
"Jones County, Iowa",11.40%,11.4
"Jones County, Mississippi",21.30%,21.3
"Jones County, North Carolina",17.70%,17.7
"Jones County, South Dakota",14.80%,14.8
"Jones County, Texas",14.20%,14.2
"Josephine County, Oregon",16.10%,16.1
"Juab County, Utah",8.60%,8.6
"Juana Díaz Municipio, Puerto Rico",44.30%,44.3
"Judith Basin County, Montana",17.50%,17.5
"Juncos Municipio, Puerto Rico",38.10%,38.1
"Juneau City and Borough, Alaska",6.90%,6.9
"Juneau County, Wisconsin",14.70%,14.7
"Juniata County, Pennsylvania",9%,9
"Kalamazoo County, Michigan",13.40%,13.4
"Kalawao County, Hawaii",14.90%,14.9
"Kalkaska County, Michigan",14.70%,14.7
"Kanabec County, Minnesota",9.80%,9.8
"Kanawha County, West Virginia",16.40%,16.4
"Kandiyohi County, Minnesota",10.90%,10.9
"Kane County, Illinois",8.30%,8.3
"Kane County, Utah",12.90%,12.9
"Kankakee County, Illinois",14%,14
"Karnes County, Texas",21%,21
"Kauai County, Hawaii",8.30%,8.3
"Kaufman County, Texas",9.80%,9.8
"Kay County, Oklahoma",16.40%,16.4
"Kearney County, Nebraska",9.50%,9.5
"Kearny County, Kansas",15.60%,15.6
"Keith County, Nebraska",11.90%,11.9
"Kemper County, Mississippi",22%,22
"Kenai Peninsula Borough, Alaska",12.50%,12.5
"Kendall County, Illinois",4.70%,4.7
"Kendall County, Texas",5.10%,5.1
"Kenedy County, Texas",2.60%,2.6
"Kennebec County, Maine",12.40%,12.4
"Kenosha County, Wisconsin",11.10%,11.1
"Kent County, Delaware",12.30%,12.3
"Kent County, Maryland",9.50%,9.5
"Kent County, Michigan",10.70%,10.7
"Kent County, Rhode Island",7.50%,7.5
"Kent County, Texas",8%,8
"Kenton County, Kentucky",11.90%,11.9
"Keokuk County, Iowa",12.20%,12.2
"Kern County, California",19.30%,19.3
"Kerr County, Texas",12.50%,12.5
"Kershaw County, South Carolina",14.40%,14.4
"Ketchikan Gateway Borough, Alaska",9.70%,9.7
"Kewaunee County, Wisconsin",6.70%,6.7
"Keweenaw County, Michigan",7.80%,7.8
"Keya Paha County, Nebraska",8.60%,8.6
"Kidder County, North Dakota",12.80%,12.8
"Kimball County, Nebraska",10%,10
"Kimble County, Texas",12.40%,12.4
"King and Queen County, Virginia",19.90%,19.9
"King County, Texas",27.80%,27.8
"King County, Washington",8.40%,8.4
"King George County, Virginia",6.90%,6.9
"King William County, Virginia",8%,8
"Kingfisher County, Oklahoma",12.20%,12.2
"Kingman County, Kansas",7.90%,7.9
"Kings County, California",16.20%,16.2
"Kings County, New York",19%,19
"Kingsbury County, South Dakota",9.30%,9.3
"Kinney County, Texas",15.60%,15.6
"Kiowa County, Colorado",15.90%,15.9
"Kiowa County, Kansas",5.20%,5.2
"Kiowa County, Oklahoma",23.20%,23.2
"Kit Carson County, Colorado",9.40%,9.4
"Kitsap County, Washington",8.30%,8.3
"Kittitas County, Washington",14.50%,14.5
"Kittson County, Minnesota",11%,11
"Klamath County, Oregon",17.80%,17.8
"Kleberg County, Texas",30.60%,30.6
"Klickitat County, Washington",13.80%,13.8
"Knott County, Kentucky",27.70%,27.7
"Knox County, Illinois",16.30%,16.3
"Knox County, Indiana",13.20%,13.2
"Knox County, Kentucky",34%,34
"Knox County, Maine",10%,10
"Knox County, Missouri",12.70%,12.7
"Knox County, Nebraska",12%,12
"Knox County, Ohio",12.90%,12.9
"Knox County, Tennessee",12.40%,12.4
"Knox County, Texas",11.40%,11.4
"Kodiak Island Borough, Alaska",8%,8
"Koochiching County, Minnesota",11.70%,11.7
"Kootenai County, Idaho",9.30%,9.3
"Kosciusko County, Indiana",8.90%,8.9
"Kossuth County, Iowa",10.50%,10.5
"Kusilvak Census Area, Alaska",34.30%,34.3
"La Crosse County, Wisconsin",11.80%,11.8
"La Paz County, Arizona",21%,21
"La Plata County, Colorado",11.40%,11.4
"LaSalle County, Texas",28%,28
"Labette County, Kansas",15.20%,15.2
"Lac qui Parle County, Minnesota",8.70%,8.7
"Lackawanna County, Pennsylvania",13%,13
"Laclede County, Missouri",17.10%,17.1
"Lafayette County, Arkansas",21.60%,21.6
"Lafayette County, Florida",19.30%,19.3
"Lafayette County, Mississippi",19.60%,19.6
"Lafayette County, Missouri",9.20%,9.2
"Lafayette County, Wisconsin",10.50%,10.5
"Lafayette Parish, Louisiana",16.80%,16.8
"Lafourche Parish, Louisiana",16.60%,16.6
"LaGrange County, Indiana",5.70%,5.7
"Lajas Municipio, Puerto Rico",56.10%,56.1
"Lake and Peninsula Borough, Alaska",15.20%,15.2
"Lake County, California",16.60%,16.6
"Lake County, Colorado",7.30%,7.3
"Lake County, Florida",9.70%,9.7
"Lake County, Illinois",7.80%,7.8
"Lake County, Indiana",14.70%,14.7
"Lake County, Michigan",20.30%,20.3
"Lake County, Minnesota",8.60%,8.6
"Lake County, Montana",19%,19
"Lake County, Ohio",7.60%,7.6
"Lake County, Oregon",19.60%,19.6
"Lake County, South Dakota",9.70%,9.7
"Lake County, Tennessee",27.90%,27.9
"Lake of the Woods County, Minnesota",10.70%,10.7
"Lamar County, Alabama",15.30%,15.3
"Lamar County, Georgia",11.20%,11.2
"Lamar County, Mississippi",16.80%,16.8
"Lamar County, Texas",16%,16
"Lamb County, Texas",17.40%,17.4
"Lamoille County, Vermont",8.60%,8.6
"LaMoure County, North Dakota",12.20%,12.2
"Lampasas County, Texas",9.50%,9.5
"Lancaster County, Nebraska",11.80%,11.8
"Lancaster County, Pennsylvania",8.20%,8.2
"Lancaster County, South Carolina",12.10%,12.1
"Lancaster County, Virginia",14%,14
"Lander County, Nevada",10.80%,10.8
"Lane County, Kansas",9%,9
"Lane County, Oregon",16.10%,16.1
"Langlade County, Wisconsin",12.20%,12.2
"Lanier County, Georgia",32.10%,32.1
"Lapeer County, Michigan",10.20%,10.2
"LaPorte County, Indiana",14.70%,14.7
"Laramie County, Wyoming",9%,9
"Lares Municipio, Puerto Rico",56%,56
"Larimer County, Colorado",11.40%,11.4
"Larue County, Kentucky",18.80%,18.8
"Las Animas County, Colorado",19%,19
"Las Marías Municipio, Puerto Rico",52.80%,52.8
"Las Piedras Municipio, Puerto Rico",39.10%,39.1
"LaSalle County, Illinois",13.70%,13.7
"LaSalle Parish, Louisiana",15.20%,15.2
"Lassen County, California",15.20%,15.2
"Latah County, Idaho",14%,14
"Latimer County, Oklahoma",16.70%,16.7
"Lauderdale County, Alabama",13.30%,13.3
"Lauderdale County, Mississippi",24.80%,24.8
"Lauderdale County, Tennessee",18%,18
"Laurel County, Kentucky",20.50%,20.5
"Laurens County, Georgia",24.40%,24.4
"Laurens County, South Carolina",18.80%,18.8
"Lavaca County, Texas",10.20%,10.2
"Lawrence County, Alabama",15.80%,15.8
"Lawrence County, Arkansas",17.80%,17.8
"Lawrence County, Illinois",13.70%,13.7
"Lawrence County, Indiana",10.70%,10.7
"Lawrence County, Kentucky",26.30%,26.3
"Lawrence County, Mississippi",22.50%,22.5
"Lawrence County, Missouri",14.70%,14.7
"Lawrence County, Ohio",17.90%,17.9
"Lawrence County, Pennsylvania",12.30%,12.3
"Lawrence County, South Dakota",11.10%,11.1
"Lawrence County, Tennessee",16.10%,16.1
"Le Flore County, Oklahoma",20.40%,20.4
"Le Sueur County, Minnesota",7.40%,7.4
"Lea County, New Mexico",17.80%,17.8
"Leake County, Mississippi",21%,21
"Leavenworth County, Kansas",10.10%,10.1
"Lebanon County, Pennsylvania",10.90%,10.9
"Lee County, Alabama",18.50%,18.5
"Lee County, Arkansas",27.60%,27.6
"Lee County, Florida",11.70%,11.7
"Lee County, Georgia",8.80%,8.8
"Lee County, Illinois",12.50%,12.5
"Lee County, Iowa",12.80%,12.8
"Lee County, Kentucky",31.40%,31.4
"Lee County, Mississippi",13.50%,13.5
"Lee County, North Carolina",16%,16
"Lee County, South Carolina",27.80%,27.8
"Lee County, Texas",13.20%,13.2
"Lee County, Virginia",26%,26
"Leelanau County, Michigan",6.70%,6.7
"Leflore County, Mississippi",32.20%,32.2
"Lehigh County, Pennsylvania",11.90%,11.9
"Lemhi County, Idaho",10.70%,10.7
"Lenawee County, Michigan",11.10%,11.1
"Lenoir County, North Carolina",22.40%,22.4
"Leon County, Florida",19.40%,19.4
"Leon County, Texas",14.40%,14.4
"Leslie County, Kentucky",33.60%,33.6
"Letcher County, Kentucky",29%,29
"Levy County, Florida",15.70%,15.7
"Lewis and Clark County, Montana",9.40%,9.4
"Lewis County, Idaho",17.70%,17.7
"Lewis County, Kentucky",26.60%,26.6
"Lewis County, Missouri",16.50%,16.5
"Lewis County, New York",13.10%,13.1
"Lewis County, Tennessee",18.90%,18.9
"Lewis County, Washington",12.30%,12.3
"Lewis County, West Virginia",16.80%,16.8
"Lexington city, Virginia",16.60%,16.6
"Lexington County, South Carolina",11.60%,11.6
"Liberty County, Florida",21.80%,21.8
"Liberty County, Georgia",15.40%,15.4
"Liberty County, Montana",26.20%,26.2
"Liberty County, Texas",17.70%,17.7
"Licking County, Ohio",9.80%,9.8
"Limestone County, Alabama",11.20%,11.2
"Limestone County, Texas",21.50%,21.5
"Lincoln County, Arkansas",17.70%,17.7
"Lincoln County, Colorado",11.60%,11.6
"Lincoln County, Georgia",18.10%,18.1
"Lincoln County, Idaho",11.70%,11.7
"Lincoln County, Kansas",12.80%,12.8
"Lincoln County, Kentucky",17.40%,17.4
"Lincoln County, Maine",9.10%,9.1
"Lincoln County, Minnesota",9.10%,9.1
"Lincoln County, Mississippi",22.30%,22.3
"Lincoln County, Missouri",11.50%,11.5
"Lincoln County, Montana",16.90%,16.9
"Lincoln County, Nebraska",11%,11
"Lincoln County, Nevada",7.20%,7.2
"Lincoln County, New Mexico",15.70%,15.7
"Lincoln County, North Carolina",9.30%,9.3
"Lincoln County, Oklahoma",14.30%,14.3
"Lincoln County, Oregon",14.70%,14.7
"Lincoln County, South Dakota",6.50%,6.5
"Lincoln County, Tennessee",11.90%,11.9
"Lincoln County, Washington",11.60%,11.6
"Lincoln County, West Virginia",19.20%,19.2
"Lincoln County, Wisconsin",10.40%,10.4
"Lincoln County, Wyoming",7.10%,7.1
"Lincoln Parish, Louisiana",29.70%,29.7
"Linn County, Iowa",9.50%,9.5
"Linn County, Kansas",11.50%,11.5
"Linn County, Missouri",16.70%,16.7
"Linn County, Oregon",12%,12
"Lipscomb County, Texas",13.80%,13.8
"Little River County, Arkansas",11.80%,11.8
"Live Oak County, Texas",21%,21
"Livingston County, Illinois",10.20%,10.2
"Livingston County, Kentucky",16.80%,16.8
"Livingston County, Michigan",4.90%,4.9
"Livingston County, Missouri",10.40%,10.4
"Livingston County, New York",11.70%,11.7
"Livingston Parish, Louisiana",11.60%,11.6
"Llano County, Texas",11.30%,11.3
"Logan County, Arkansas",14.50%,14.5
"Logan County, Colorado",11.70%,11.7
"Logan County, Illinois",11.50%,11.5
"Logan County, Kansas",9.90%,9.9
"Logan County, Kentucky",15.70%,15.7
"Logan County, Nebraska",9.20%,9.2
"Logan County, North Dakota",8.20%,8.2
"Logan County, Ohio",10.90%,10.9
"Logan County, Oklahoma",13.60%,13.6
"Logan County, West Virginia",23.80%,23.8
"Loíza Municipio, Puerto Rico",45.40%,45.4
"Long County, Georgia",15.80%,15.8
"Lonoke County, Arkansas",11.80%,11.8
"Lorain County, Ohio",13.50%,13.5
"Los Alamos County, New Mexico",3.70%,3.7
"Los Angeles County, California",13.70%,13.7
"Loudon County, Tennessee",11.80%,11.8
"Loudoun County, Virginia",3.80%,3.8
"Louisa County, Iowa",10.10%,10.1
"Louisa County, Virginia",10.90%,10.9
"Loup County, Nebraska",7.90%,7.9
"Love County, Oklahoma",14.20%,14.2
"Loving County, Texas",5.20%,5.2
"Lower Connecticut River Valley Planning Region, Connecticut",6.50%,6.5
"Lowndes County, Alabama",25.50%,25.5
"Lowndes County, Georgia",20.60%,20.6
"Lowndes County, Mississippi",18.10%,18.1
"Lubbock County, Texas",17.20%,17.2
"Lucas County, Iowa",16.60%,16.6
"Lucas County, Ohio",17.80%,17.8
"Luce County, Michigan",18.30%,18.3
"Lumpkin County, Georgia",14.50%,14.5
"Luna County, New Mexico",23.30%,23.3
"Lunenburg County, Virginia",13%,13
"Luquillo Municipio, Puerto Rico",45.30%,45.3
"Luzerne County, Pennsylvania",14.90%,14.9
"Lycoming County, Pennsylvania",12.50%,12.5
"Lyman County, South Dakota",25.10%,25.1
"Lynchburg city, Virginia",17.50%,17.5
"Lynn County, Texas",18.80%,18.8
"Lyon County, Iowa",3.90%,3.9
"Lyon County, Kansas",16.20%,16.2
"Lyon County, Kentucky",10%,10
"Lyon County, Minnesota",12.40%,12.4
"Lyon County, Nevada",10.40%,10.4
"Mackinac County, Michigan",15.80%,15.8
"Macomb County, Michigan",9.80%,9.8
"Macon County, Alabama",25%,25
"Macon County, Georgia",26.20%,26.2
"Macon County, Illinois",15.50%,15.5
"Macon County, Missouri",11%,11
"Macon County, North Carolina",15.40%,15.4
"Macon County, Tennessee",16.50%,16.5
"Macoupin County, Illinois",14.70%,14.7
"Madera County, California",20.10%,20.1
"Madison County, Alabama",10.70%,10.7
"Madison County, Arkansas",16.50%,16.5
"Madison County, Florida",22.40%,22.4
"Madison County, Georgia",20.60%,20.6
"Madison County, Idaho",30.10%,30.1
"Madison County, Illinois",12%,12
"Madison County, Indiana",14.10%,14.1
"Madison County, Iowa",6.10%,6.1
"Madison County, Kentucky",16.10%,16.1
"Madison County, Mississippi",9.80%,9.8
"Madison County, Missouri",12.10%,12.1
"Madison County, Montana",6.80%,6.8
"Madison County, Nebraska",12.20%,12.2
"Madison County, New York",9.50%,9.5
"Madison County, North Carolina",12.50%,12.5
"Madison County, Ohio",10.20%,10.2
"Madison County, Tennessee",18.20%,18.2
"Madison County, Texas",12.50%,12.5
"Madison County, Virginia",8%,8
"Madison Parish, Louisiana",38.10%,38.1
"Magoffin County, Kentucky",30.40%,30.4
"Mahaska County, Iowa",12%,12
"Mahnomen County, Minnesota",20.60%,20.6
"Mahoning County, Ohio",17.60%,17.6
"Major County, Oklahoma",11.60%,11.6
"Malheur County, Oregon",18.90%,18.9
"Manassas city, Virginia",4.70%,4.7
"Manassas Park city, Virginia",5.10%,5.1
"Manatee County, Florida",10.20%,10.2
"Manatí Municipio, Puerto Rico",45.50%,45.5
"Manistee County, Michigan",11.30%,11.3
"Manitowoc County, Wisconsin",10%,10
"Marathon County, Wisconsin",8.30%,8.3
"Marengo County, Alabama",21.50%,21.5
"Maricao Municipio, Puerto Rico",52%,52
"Maricopa County, Arizona",11.50%,11.5
"Maries County, Missouri",17.40%,17.4
"Marin County, California",7%,7
"Marinette County, Wisconsin",9.70%,9.7
"Marion County, Alabama",16.40%,16.4
"Marion County, Arkansas",17.80%,17.8
"Marion County, Florida",14.40%,14.4
"Marion County, Georgia",12.40%,12.4
"Marion County, Illinois",17%,17
"Marion County, Indiana",15.40%,15.4
"Marion County, Iowa",7.70%,7.7
"Marion County, Kansas",8.80%,8.8
"Marion County, Kentucky",22.50%,22.5
"Marion County, Mississippi",22.80%,22.8
"Marion County, Missouri",14.20%,14.2
"Marion County, Ohio",16.10%,16.1
"Marion County, Oregon",13%,13
"Marion County, South Carolina",27.40%,27.4
"Marion County, Tennessee",16.30%,16.3
"Marion County, Texas",15.70%,15.7
"Marion County, West Virginia",14.90%,14.9
"Mariposa County, California",16%,16
"Marlboro County, South Carolina",27.80%,27.8
"Marquette County, Michigan",13.60%,13.6
"Marquette County, Wisconsin",10.40%,10.4
"Marshall County, Alabama",16.60%,16.6
"Marshall County, Illinois",12.30%,12.3
"Marshall County, Indiana",10.80%,10.8
"Marshall County, Iowa",11.20%,11.2
"Marshall County, Kansas",10.50%,10.5
"Marshall County, Kentucky",12.10%,12.1
"Marshall County, Minnesota",7.40%,7.4
"Marshall County, Mississippi",19.50%,19.5
"Marshall County, Oklahoma",18.80%,18.8
"Marshall County, South Dakota",7.50%,7.5
"Marshall County, Tennessee",15.60%,15.6
"Marshall County, West Virginia",14.70%,14.7
"Martin County, Florida",10.50%,10.5
"Martin County, Indiana",14.10%,14.1
"Martin County, Kentucky",23.50%,23.5
"Martin County, Minnesota",11.70%,11.7
"Martin County, North Carolina",20.50%,20.5
"Martin County, Texas",16.90%,16.9
"Martinsville city, Virginia",24.60%,24.6
"Mason County, Illinois",13.70%,13.7
"Mason County, Kentucky",18.70%,18.7
"Mason County, Michigan",13.70%,13.7
"Mason County, Texas",4.90%,4.9
"Mason County, Washington",12.90%,12.9
"Mason County, West Virginia",16.30%,16.3
"Massac County, Illinois",13.80%,13.8
"Matagorda County, Texas",21.80%,21.8
"Matanuska-Susitna Borough, Alaska",10.20%,10.2
"Mathews County, Virginia",6.80%,6.8
"Maui County, Hawaii",9.30%,9.3
"Maunabo Municipio, Puerto Rico",49.90%,49.9
"Maury County, Tennessee",8.90%,8.9
"Maverick County, Texas",23.40%,23.4
"Mayagüez Municipio, Puerto Rico",53.50%,53.5
"Mayes County, Oklahoma",17.10%,17.1
"McClain County, Oklahoma",7.10%,7.1
"McCone County, Montana",2.40%,2.4
"McCook County, South Dakota",8.40%,8.4
"McCormick County, South Carolina",16.70%,16.7
"McCracken County, Kentucky",15.20%,15.2
"McCreary County, Kentucky",33.70%,33.7
"McCulloch County, Texas",13.50%,13.5
"McCurtain County, Oklahoma",21.10%,21.1
"McDonald County, Missouri",16.90%,16.9
"McDonough County, Illinois",19.80%,19.8
"McDowell County, North Carolina",14.90%,14.9
"McDowell County, West Virginia",33.30%,33.3
"McDuffie County, Georgia",16.10%,16.1
"McHenry County, Illinois",6%,6
"McHenry County, North Dakota",10.30%,10.3
"McIntosh County, Georgia",20.30%,20.3
"McIntosh County, North Dakota",13.60%,13.6
"McIntosh County, Oklahoma",22.10%,22.1
"McKean County, Pennsylvania",14.10%,14.1
"McKenzie County, North Dakota",13.40%,13.4
"McKinley County, New Mexico",33.60%,33.6
"McLean County, Illinois",14.20%,14.2
"McLean County, Kentucky",7.90%,7.9
"McLean County, North Dakota",6.90%,6.9
"McLennan County, Texas",17.90%,17.9
"McLeod County, Minnesota",7.10%,7.1
"McMinn County, Tennessee",13.60%,13.6
"McMullen County, Texas",14.90%,14.9
"McNairy County, Tennessee",16.70%,16.7
"McPherson County, Kansas",10.60%,10.6
"McPherson County, Nebraska",7.70%,7.7
"McPherson County, South Dakota",13.20%,13.2
"Meade County, Kansas",7.10%,7.1
"Meade County, Kentucky",13.30%,13.3
"Meade County, South Dakota",7.40%,7.4
"Meagher County, Montana",12%,12
"Mecklenburg County, North Carolina",10.50%,10.5
"Mecklenburg County, Virginia",18.80%,18.8
"Mecosta County, Michigan",18%,18
"Medina County, Ohio",6%,6
"Medina County, Texas",10.30%,10.3
"Meeker County, Minnesota",7.60%,7.6
"Meigs County, Ohio",19.60%,19.6
"Meigs County, Tennessee",15.40%,15.4
"Mellette County, South Dakota",49.10%,49.1
"Menard County, Illinois",7.90%,7.9
"Menard County, Texas",22.50%,22.5
"Mendocino County, California",16.20%,16.2
"Menifee County, Kentucky",26.90%,26.9
"Menominee County, Michigan",10.80%,10.8
"Menominee County, Wisconsin",20%,20
"Merced County, California",18.50%,18.5
"Mercer County, Illinois",8%,8
"Mercer County, Kentucky",11.20%,11.2
"Mercer County, Missouri",14.90%,14.9
"Mercer County, New Jersey",11.20%,11.2
"Mercer County, North Dakota",9.60%,9.6
"Mercer County, Ohio",6.40%,6.4
"Mercer County, Pennsylvania",13.50%,13.5
"Mercer County, West Virginia",18.80%,18.8
"Meriwether County, Georgia",22.10%,22.1
"Merrick County, Nebraska",10.20%,10.2
"Merrimack County, New Hampshire",7.20%,7.2
"Mesa County, Colorado",11.50%,11.5
"Metcalfe County, Kentucky",24%,24
"Miami County, Indiana",15.70%,15.7
"Miami County, Kansas",7%,7
"Miami County, Ohio",8.50%,8.5
"Miami-Dade County, Florida",15.30%,15.3
"Middlesex County, Massachusetts",7.40%,7.4
"Middlesex County, New Jersey",8.40%,8.4
"Middlesex County, Virginia",9.70%,9.7
"Midland County, Michigan",10.10%,10.1
"Midland County, Texas",10.80%,10.8
"Mifflin County, Pennsylvania",16.70%,16.7
"Milam County, Texas",14.30%,14.3
"Millard County, Utah",11.20%,11.2
"Mille Lacs County, Minnesota",11%,11
"Miller County, Arkansas",20.50%,20.5
"Miller County, Georgia",24.50%,24.5
"Miller County, Missouri",16%,16
