Geographic Area,VEHICLES AVAILABLE—No vehicle available—Estimate,No vhcl
"Holt County, Missouri",3.30%,3.3
"Holt County, Nebraska",3%,3
"Honolulu County, Hawaii",9.60%,9.6
"Hood County, Texas",2.50%,2.5
"Hood River County, Oregon",5.40%,5.4
"Hooker County, Nebraska",5.80%,5.8
"Hoonah-Angoon Census Area, Alaska",33.10%,33.1
"Hopewell city, Virginia",9%,9
"Hopkins County, Kentucky",5.50%,5.5
"Hopkins County, Texas",4.10%,4.1
"Hormigueros Municipio, Puerto Rico",13%,13
"Horry County, South Carolina",4.30%,4.3
"Hot Spring County, Arkansas",5.90%,5.9
"Hot Springs County, Wyoming",4.20%,4.2
"Houghton County, Michigan",9.10%,9.1
"Houston County, Alabama",6.20%,6.2
"Houston County, Georgia",4.20%,4.2
"Houston County, Minnesota",3.50%,3.5
"Houston County, Tennessee",4.20%,4.2
"Houston County, Texas",7.80%,7.8
"Howard County, Arkansas",4.40%,4.4
"Howard County, Indiana",6.60%,6.6
"Howard County, Iowa",6.70%,6.7
"Howard County, Maryland",4%,4
"Howard County, Missouri",3.20%,3.2
"Howard County, Nebraska",6.10%,6.1
"Howard County, Texas",5.20%,5.2
"Howell County, Missouri",7.50%,7.5
"Hubbard County, Minnesota",5.20%,5.2
"Hudson County, New Jersey",32.50%,32.5
"Hudspeth County, Texas",8.20%,8.2
"Huerfano County, Colorado",5.30%,5.3
"Hughes County, Oklahoma",4.70%,4.7
"Hughes County, South Dakota",7.50%,7.5
"Humacao Municipio, Puerto Rico",14.60%,14.6
"Humboldt County, California",7%,7
"Humboldt County, Iowa",5.30%,5.3
"Humboldt County, Nevada",4%,4
"Humphreys County, Mississippi",12.20%,12.2
"Humphreys County, Tennessee",3.30%,3.3
"Hunt County, Texas",4.80%,4.8
"Hunterdon County, New Jersey",2.70%,2.7
"Huntingdon County, Pennsylvania",6.60%,6.6
"Huntington County, Indiana",3.20%,3.2
"Huron County, Michigan",6.20%,6.2
"Huron County, Ohio",4.50%,4.5
"Hutchinson County, South Dakota",4.70%,4.7
"Hutchinson County, Texas",4.20%,4.2
"Hyde County, North Carolina",2.20%,2.2
"Hyde County, South Dakota",0%,0
"Iberia Parish, Louisiana",11.50%,11.5
"Iberville Parish, Louisiana",7.60%,7.6
"Ida County, Iowa",4.30%,4.3
"Idaho County, Idaho",1.40%,1.4
"Imperial County, California",6.30%,6.3
"Independence County, Arkansas",6.10%,6.1
"Indian River County, Florida",4.30%,4.3
"Indiana County, Pennsylvania",7.90%,7.9
"Ingham County, Michigan",9.10%,9.1
"Inyo County, California",5.20%,5.2
"Ionia County, Michigan",5.30%,5.3
"Iosco County, Michigan",7.50%,7.5
"Iowa County, Iowa",2.90%,2.9
"Iowa County, Wisconsin",3.20%,3.2
"Iredell County, North Carolina",3.30%,3.3
"Irion County, Texas",0.60%,0.6
"Iron County, Michigan",7.70%,7.7
"Iron County, Missouri",5.80%,5.8
"Iron County, Utah",3.40%,3.4
"Iron County, Wisconsin",4.20%,4.2
"Iroquois County, Illinois",4.40%,4.4
"Irwin County, Georgia",6.80%,6.8
"Isabela Municipio, Puerto Rico",12.30%,12.3
"Isabella County, Michigan",7%,7
"Isanti County, Minnesota",3.30%,3.3
"Island County, Washington",3.20%,3.2
"Isle of Wight County, Virginia",4.70%,4.7
"Issaquena County, Mississippi",17.30%,17.3
"Itasca County, Minnesota",5.60%,5.6
"Itawamba County, Mississippi",3.80%,3.8
"Izard County, Arkansas",7.20%,7.2
"Jack County, Texas",10.80%,10.8
"Jackson County, Alabama",4.60%,4.6
"Jackson County, Arkansas",8%,8
"Jackson County, Colorado",5.90%,5.9
"Jackson County, Florida",5.20%,5.2
"Jackson County, Georgia",2.90%,2.9
"Jackson County, Illinois",11.40%,11.4
"Jackson County, Indiana",5.80%,5.8
"Jackson County, Iowa",5.90%,5.9
"Jackson County, Kansas",3.70%,3.7
"Jackson County, Kentucky",7.60%,7.6
"Jackson County, Michigan",7%,7
"Jackson County, Minnesota",4.90%,4.9
"Jackson County, Mississippi",4.50%,4.5
"Jackson County, Missouri",7.90%,7.9
"Jackson County, North Carolina",4.80%,4.8
"Jackson County, Ohio",7%,7
"Jackson County, Oklahoma",6.40%,6.4
"Jackson County, Oregon",5.40%,5.4
"Jackson County, South Dakota",14.80%,14.8
"Jackson County, Tennessee",6.80%,6.8
"Jackson County, Texas",6.70%,6.7
"Jackson County, West Virginia",9.30%,9.3
"Jackson County, Wisconsin",5.30%,5.3
"Jackson Parish, Louisiana",10.70%,10.7
"James City County, Virginia",4.20%,4.2
"Jasper County, Georgia",3.10%,3.1
"Jasper County, Illinois",4.50%,4.5
"Jasper County, Indiana",2.90%,2.9
"Jasper County, Iowa",4.10%,4.1
"Jasper County, Mississippi",9.40%,9.4
"Jasper County, Missouri",6.50%,6.5
"Jasper County, South Carolina",3.60%,3.6
"Jasper County, Texas",5.90%,5.9
"Jay County, Indiana",9.70%,9.7
"Jayuya Municipio, Puerto Rico",14.20%,14.2
"Jeff Davis County, Georgia",7.70%,7.7
"Jeff Davis County, Texas",2.70%,2.7
"Jefferson County, Alabama",6.90%,6.9
"Jefferson County, Arkansas",7.70%,7.7
"Jefferson County, Colorado",3.90%,3.9
"Jefferson County, Florida",7%,7
"Jefferson County, Georgia",9.10%,9.1
"Jefferson County, Idaho",1.20%,1.2
"Jefferson County, Illinois",6.20%,6.2
"Jefferson County, Indiana",5.30%,5.3
"Jefferson County, Iowa",8.30%,8.3
"Jefferson County, Kansas",4.50%,4.5
"Jefferson County, Kentucky",9%,9
"Jefferson County, Mississippi",5.80%,5.8
"Jefferson County, Missouri",3.20%,3.2
"Jefferson County, Montana",3.10%,3.1
"Jefferson County, Nebraska",6%,6
"Jefferson County, New York",8.50%,8.5
"Jefferson County, Ohio",8.60%,8.6
"Jefferson County, Oklahoma",8.40%,8.4
"Jefferson County, Oregon",4.90%,4.9
"Jefferson County, Pennsylvania",7.90%,7.9
"Jefferson County, Tennessee",2.60%,2.6
"Jefferson County, Texas",7.40%,7.4
"Jefferson County, Washington",4.60%,4.6
"Jefferson County, West Virginia",5.60%,5.6
"Jefferson County, Wisconsin",4.40%,4.4
"Jefferson Davis County, Mississippi",7%,7
"Jefferson Davis Parish, Louisiana",5.70%,5.7
"Jefferson Parish, Louisiana",7.20%,7.2
"Jenkins County, Georgia",6.60%,6.6
"Jennings County, Indiana",3.80%,3.8
"Jerauld County, South Dakota",5.10%,5.1
"Jerome County, Idaho",3.40%,3.4
"Jersey County, Illinois",4.10%,4.1
"Jessamine County, Kentucky",4%,4
"Jewell County, Kansas",3.40%,3.4
"Jim Hogg County, Texas",4.90%,4.9
"Jim Wells County, Texas",7.60%,7.6
"Jo Daviess County, Illinois",7.20%,7.2
"Johnson County, Arkansas",5.20%,5.2
"Johnson County, Georgia",5.30%,5.3
"Johnson County, Illinois",4.10%,4.1
"Johnson County, Indiana",3.10%,3.1
"Johnson County, Iowa",7.60%,7.6
"Johnson County, Kansas",3.30%,3.3
"Johnson County, Kentucky",7.60%,7.6
"Johnson County, Missouri",4.30%,4.3
"Johnson County, Nebraska",5.50%,5.5
"Johnson County, Tennessee",5.10%,5.1
"Johnson County, Texas",2.40%,2.4
"Johnson County, Wyoming",3.10%,3.1
"Johnston County, North Carolina",4.10%,4.1
"Johnston County, Oklahoma",6.80%,6.8
"Jones County, Georgia",4.70%,4.7
"Jones County, Iowa",4.20%,4.2
"Jones County, Mississippi",6%,6
"Jones County, North Carolina",7.80%,7.8
"Jones County, South Dakota",2.60%,2.6
"Jones County, Texas",3.60%,3.6
"Josephine County, Oregon",4.70%,4.7
"Juab County, Utah",3.90%,3.9
"Juana Díaz Municipio, Puerto Rico",13.60%,13.6
"Judith Basin County, Montana",1.90%,1.9
"Juncos Municipio, Puerto Rico",8.80%,8.8
"Juneau City and Borough, Alaska",9.60%,9.6
"Juneau County, Wisconsin",3.40%,3.4
"Juniata County, Pennsylvania",7.90%,7.9
"Kalamazoo County, Michigan",6.80%,6.8
"Kalawao County, Hawaii",9.40%,9.4
"Kalkaska County, Michigan",5.30%,5.3
"Kanabec County, Minnesota",4.50%,4.5
"Kanawha County, West Virginia",10.80%,10.8
"Kandiyohi County, Minnesota",5.50%,5.5
"Kane County, Illinois",4.70%,4.7
"Kane County, Utah",4.60%,4.6
"Kankakee County, Illinois",6.90%,6.9
"Karnes County, Texas",8.80%,8.8
"Kauai County, Hawaii",4.30%,4.3
"Kaufman County, Texas",3.20%,3.2
"Kay County, Oklahoma",6.50%,6.5
"Kearney County, Nebraska",3.30%,3.3
"Kearny County, Kansas",2.70%,2.7
"Keith County, Nebraska",5.30%,5.3
"Kemper County, Mississippi",4.90%,4.9
"Kenai Peninsula Borough, Alaska",4.80%,4.8
"Kendall County, Illinois",2.10%,2.1
"Kendall County, Texas",2.60%,2.6
"Kenedy County, Texas",0%,0
"Kennebec County, Maine",7.30%,7.3
"Kenosha County, Wisconsin",4.90%,4.9
"Kent County, Delaware",6.80%,6.8
"Kent County, Maryland",6.50%,6.5
"Kent County, Michigan",6.70%,6.7
"Kent County, Rhode Island",6%,6
"Kent County, Texas",2.80%,2.8
"Kenton County, Kentucky",6.90%,6.9
"Keokuk County, Iowa",2.20%,2.2
"Kern County, California",6.40%,6.4
"Kerr County, Texas",4.40%,4.4
"Kershaw County, South Carolina",3.50%,3.5
"Ketchikan Gateway Borough, Alaska",11.80%,11.8
"Kewaunee County, Wisconsin",3.90%,3.9
"Keweenaw County, Michigan",2.20%,2.2
"Keya Paha County, Nebraska",0.60%,0.6
"Kidder County, North Dakota",0.30%,0.3
"Kimball County, Nebraska",3.20%,3.2
"Kimble County, Texas",4.20%,4.2
"King and Queen County, Virginia",4%,4
"King County, Texas",0%,0
"King County, Washington",10.90%,10.9
"King George County, Virginia",1.80%,1.8
"King William County, Virginia",3.20%,3.2
"Kingfisher County, Oklahoma",3.20%,3.2
"Kingman County, Kansas",4.20%,4.2
"Kings County, California",4.80%,4.8
"Kings County, New York",55.30%,55.3
"Kingsbury County, South Dakota",4.80%,4.8
"Kinney County, Texas",3.10%,3.1
"Kiowa County, Colorado",2.70%,2.7
"Kiowa County, Kansas",2.80%,2.8
"Kiowa County, Oklahoma",2.80%,2.8
"Kit Carson County, Colorado",5.70%,5.7
"Kitsap County, Washington",4.30%,4.3
"Kittitas County, Washington",3.40%,3.4
"Kittson County, Minnesota",4.60%,4.6
"Klamath County, Oregon",5.10%,5.1
"Kleberg County, Texas",6.10%,6.1
"Klickitat County, Washington",5.20%,5.2
"Knott County, Kentucky",7.50%,7.5
"Knox County, Illinois",9.50%,9.5
"Knox County, Indiana",7%,7
"Knox County, Kentucky",13%,13
"Knox County, Maine",5.80%,5.8
"Knox County, Missouri",2.70%,2.7
"Knox County, Nebraska",3.60%,3.6
"Knox County, Ohio",6%,6
"Knox County, Tennessee",5.60%,5.6
"Knox County, Texas",3.40%,3.4
"Kodiak Island Borough, Alaska",8.90%,8.9
"Koochiching County, Minnesota",6.90%,6.9
"Kootenai County, Idaho",4.30%,4.3
"Kosciusko County, Indiana",5%,5
"Kossuth County, Iowa",7.50%,7.5
"Kusilvak Census Area, Alaska",85.90%,85.9
"La Crosse County, Wisconsin",7%,7
"La Paz County, Arizona",4.80%,4.8
"La Plata County, Colorado",2%,2
"LaSalle County, Texas",2.50%,2.5
"Labette County, Kansas",5%,5
"Lac qui Parle County, Minnesota",3.40%,3.4
"Lackawanna County, Pennsylvania",9.40%,9.4
"Laclede County, Missouri",6.80%,6.8
"Lafayette County, Arkansas",7.40%,7.4
"Lafayette County, Florida",1.80%,1.8
"Lafayette County, Mississippi",5.90%,5.9
"Lafayette County, Missouri",3.40%,3.4
"Lafayette County, Wisconsin",4.60%,4.6
"Lafayette Parish, Louisiana",6.50%,6.5
"Lafourche Parish, Louisiana",7.90%,7.9
"LaGrange County, Indiana",27.30%,27.3
"Lajas Municipio, Puerto Rico",13.90%,13.9
"Lake and Peninsula Borough, Alaska",42%,42
"Lake County, California",5.60%,5.6
"Lake County, Colorado",3.50%,3.5
"Lake County, Florida",4.10%,4.1
"Lake County, Illinois",5.10%,5.1
"Lake County, Indiana",7.60%,7.6
"Lake County, Michigan",9.30%,9.3
"Lake County, Minnesota",4.30%,4.3
"Lake County, Montana",4%,4
"Lake County, Ohio",4.40%,4.4
"Lake County, Oregon",7.70%,7.7
"Lake County, South Dakota",2.50%,2.5
"Lake County, Tennessee",16.70%,16.7
"Lake of the Woods County, Minnesota",2.40%,2.4
"Lamar County, Alabama",5.70%,5.7
"Lamar County, Georgia",3%,3
"Lamar County, Mississippi",4.50%,4.5
"Lamar County, Texas",7.10%,7.1
"Lamb County, Texas",4.90%,4.9
"Lamoille County, Vermont",5.10%,5.1
"LaMoure County, North Dakota",3.40%,3.4
"Lampasas County, Texas",4.40%,4.4
"Lancaster County, Nebraska",5.10%,5.1
"Lancaster County, Pennsylvania",9.10%,9.1
"Lancaster County, South Carolina",4.10%,4.1
"Lancaster County, Virginia",4%,4
"Lander County, Nevada",2.40%,2.4
"Lane County, Kansas",2.80%,2.8
"Lane County, Oregon",7.40%,7.4
"Langlade County, Wisconsin",4.50%,4.5
"Lanier County, Georgia",5.50%,5.5
"Lapeer County, Michigan",4.30%,4.3
"LaPorte County, Indiana",5.30%,5.3
"Laramie County, Wyoming",4.90%,4.9
"Lares Municipio, Puerto Rico",13.30%,13.3
"Larimer County, Colorado",3.80%,3.8
"Larue County, Kentucky",3.70%,3.7
"Las Animas County, Colorado",8.40%,8.4
"Las Marías Municipio, Puerto Rico",12.50%,12.5
"Las Piedras Municipio, Puerto Rico",10%,10
"LaSalle County, Illinois",5.90%,5.9
"LaSalle Parish, Louisiana",4.70%,4.7
"Lassen County, California",5.10%,5.1
"Latah County, Idaho",4.10%,4.1
"Latimer County, Oklahoma",3.90%,3.9
"Lauderdale County, Alabama",6.10%,6.1
"Lauderdale County, Mississippi",9.80%,9.8
"Lauderdale County, Tennessee",8.30%,8.3
"Laurel County, Kentucky",5.40%,5.4
"Laurens County, Georgia",6.40%,6.4
"Laurens County, South Carolina",6.30%,6.3
"Lavaca County, Texas",3.60%,3.6
"Lawrence County, Alabama",5.10%,5.1
"Lawrence County, Arkansas",5.50%,5.5
"Lawrence County, Illinois",4.10%,4.1
"Lawrence County, Indiana",5.90%,5.9
"Lawrence County, Kentucky",4.70%,4.7
"Lawrence County, Mississippi",5.30%,5.3
"Lawrence County, Missouri",6%,6
"Lawrence County, Ohio",5.50%,5.5
"Lawrence County, Pennsylvania",7.70%,7.7
"Lawrence County, South Dakota",4.50%,4.5
"Lawrence County, Tennessee",7.10%,7.1
"Le Flore County, Oklahoma",5.90%,5.9
"Le Sueur County, Minnesota",2.80%,2.8
"Lea County, New Mexico",4.50%,4.5
"Leake County, Mississippi",8.90%,8.9
"Leavenworth County, Kansas",4.80%,4.8
"Lebanon County, Pennsylvania",6.80%,6.8
"Lee County, Alabama",4.80%,4.8
"Lee County, Arkansas",21.70%,21.7
"Lee County, Florida",5.10%,5.1
"Lee County, Georgia",3%,3
"Lee County, Illinois",7.80%,7.8
"Lee County, Iowa",5.10%,5.1
"Lee County, Kentucky",15.40%,15.4
"Lee County, Mississippi",4.90%,4.9
"Lee County, North Carolina",4%,4
"Lee County, South Carolina",12.40%,12.4
"Lee County, Texas",4.70%,4.7
"Lee County, Virginia",9%,9
"Leelanau County, Michigan",4%,4
"Leflore County, Mississippi",12.90%,12.9
"Lehigh County, Pennsylvania",7.90%,7.9
"Lemhi County, Idaho",5%,5
"Lenawee County, Michigan",5.20%,5.2
"Lenoir County, North Carolina",8.60%,8.6
"Leon County, Florida",6.90%,6.9
"Leon County, Texas",1.90%,1.9
"Leslie County, Kentucky",8.40%,8.4
"Letcher County, Kentucky",7.10%,7.1
"Levy County, Florida",4.70%,4.7
"Lewis and Clark County, Montana",5.30%,5.3
"Lewis County, Idaho",4.60%,4.6
"Lewis County, Kentucky",6.40%,6.4
"Lewis County, Missouri",5.70%,5.7
"Lewis County, New York",5.60%,5.6
"Lewis County, Tennessee",2.80%,2.8
"Lewis County, Washington",4.60%,4.6
"Lewis County, West Virginia",10.30%,10.3
"Lexington city, Virginia",11%,11
"Lexington County, South Carolina",4.70%,4.7
"Liberty County, Florida",7.70%,7.7
"Liberty County, Georgia",5.50%,5.5
"Liberty County, Montana",13.90%,13.9
"Liberty County, Texas",4.60%,4.6
"Licking County, Ohio",5.20%,5.2
"Limestone County, Alabama",3.10%,3.1
"Limestone County, Texas",3.90%,3.9
"Lincoln County, Arkansas",4.80%,4.8
"Lincoln County, Colorado",5.30%,5.3
"Lincoln County, Georgia",7.30%,7.3
"Lincoln County, Idaho",0.70%,0.7
"Lincoln County, Kansas",3.80%,3.8
"Lincoln County, Kentucky",6.70%,6.7
"Lincoln County, Maine",5.40%,5.4
"Lincoln County, Minnesota",3%,3
"Lincoln County, Mississippi",4.40%,4.4
"Lincoln County, Missouri",4%,4
"Lincoln County, Montana",3.80%,3.8
"Lincoln County, Nebraska",4.30%,4.3
"Lincoln County, Nevada",5.90%,5.9
"Lincoln County, New Mexico",4.50%,4.5
"Lincoln County, North Carolina",3.40%,3.4
"Lincoln County, Oklahoma",2.90%,2.9
"Lincoln County, Oregon",4.80%,4.8
"Lincoln County, South Dakota",1.50%,1.5
"Lincoln County, Tennessee",4.60%,4.6
"Lincoln County, Washington",2.80%,2.8
"Lincoln County, West Virginia",9%,9
"Lincoln County, Wisconsin",5.30%,5.3
"Lincoln County, Wyoming",3.10%,3.1
"Lincoln Parish, Louisiana",8.60%,8.6
"Linn County, Iowa",5.10%,5.1
"Linn County, Kansas",4.10%,4.1
"Linn County, Missouri",5.40%,5.4
"Linn County, Oregon",4.40%,4.4
"Lipscomb County, Texas",4.30%,4.3
"Little River County, Arkansas",4.90%,4.9
"Live Oak County, Texas",6.90%,6.9
"Livingston County, Illinois",5.20%,5.2
"Livingston County, Kentucky",2.90%,2.9
"Livingston County, Michigan",3%,3
"Livingston County, Missouri",6.20%,6.2
"Livingston County, New York",6%,6
"Livingston Parish, Louisiana",4.10%,4.1
"Llano County, Texas",3.30%,3.3
"Logan County, Arkansas",5.20%,5.2
"Logan County, Colorado",5.80%,5.8
"Logan County, Illinois",7%,7
"Logan County, Kansas",3.50%,3.5
"Logan County, Kentucky",6.10%,6.1
"Logan County, Nebraska",0%,0
"Logan County, North Dakota",1.30%,1.3
"Logan County, Ohio",5.40%,5.4
"Logan County, Oklahoma",3.20%,3.2
"Logan County, West Virginia",9.80%,9.8
"Loíza Municipio, Puerto Rico",19.40%,19.4
"Long County, Georgia",7.90%,7.9
"Lonoke County, Arkansas",4.90%,4.9
"Lorain County, Ohio",5.70%,5.7
"Los Alamos County, New Mexico",1.20%,1.2
"Los Angeles County, California",8.70%,8.7
"Loudon County, Tennessee",3.10%,3.1
"Loudoun County, Virginia",3.10%,3.1
"Louisa County, Iowa",4.50%,4.5
"Louisa County, Virginia",3.50%,3.5
"Loup County, Nebraska",1.80%,1.8
"Love County, Oklahoma",3.60%,3.6
"Loving County, Texas",12.50%,12.5
"Lower Connecticut River Valley Planning Region, Connecticut",4.80%,4.8
"Lowndes County, Alabama",11.10%,11.1
"Lowndes County, Georgia",7.50%,7.5
"Lowndes County, Mississippi",6.80%,6.8
"Lubbock County, Texas",5.60%,5.6
"Lucas County, Iowa",7.70%,7.7
"Lucas County, Ohio",8.60%,8.6
"Luce County, Michigan",5.60%,5.6
"Lumpkin County, Georgia",2.60%,2.6
"Luna County, New Mexico",8.10%,8.1
"Lunenburg County, Virginia",7.70%,7.7
"Luquillo Municipio, Puerto Rico",14.90%,14.9
"Luzerne County, Pennsylvania",10.70%,10.7
"Lycoming County, Pennsylvania",9.40%,9.4
"Lyman County, South Dakota",10.10%,10.1
"Lynchburg city, Virginia",10.60%,10.6
"Lynn County, Texas",4.20%,4.2
"Lyon County, Iowa",3.90%,3.9
"Lyon County, Kansas",6.50%,6.5
"Lyon County, Kentucky",2.70%,2.7
"Lyon County, Minnesota",7.30%,7.3
"Lyon County, Nevada",2.70%,2.7
"Mackinac County, Michigan",12.10%,12.1
"Macomb County, Michigan",5.80%,5.8
"Macon County, Alabama",10.80%,10.8
"Macon County, Georgia",13.60%,13.6
"Macon County, Illinois",9.60%,9.6
"Macon County, Missouri",5.60%,5.6
"Macon County, North Carolina",6.40%,6.4
"Macon County, Tennessee",3.30%,3.3
"Macoupin County, Illinois",4.60%,4.6
"Madera County, California",4.30%,4.3
"Madison County, Alabama",4.10%,4.1
"Madison County, Arkansas",3.20%,3.2
"Madison County, Florida",9.50%,9.5
"Madison County, Georgia",4%,4
"Madison County, Idaho",2.80%,2.8
"Madison County, Illinois",5.60%,5.6
"Madison County, Indiana",6.60%,6.6
"Madison County, Iowa",4.20%,4.2
"Madison County, Kentucky",4.50%,4.5
"Madison County, Mississippi",3.70%,3.7
"Madison County, Missouri",4.90%,4.9
"Madison County, Montana",1.70%,1.7
"Madison County, Nebraska",4.70%,4.7
"Madison County, New York",6.10%,6.1
"Madison County, North Carolina",4.50%,4.5
"Madison County, Ohio",3%,3
"Madison County, Tennessee",7.70%,7.7
"Madison County, Texas",8.70%,8.7
"Madison County, Virginia",2.90%,2.9
"Madison Parish, Louisiana",13.30%,13.3
"Magoffin County, Kentucky",8.50%,8.5
"Mahaska County, Iowa",4.70%,4.7
"Mahnomen County, Minnesota",8.20%,8.2
"Mahoning County, Ohio",8.10%,8.1
"Major County, Oklahoma",3.50%,3.5
"Malheur County, Oregon",5.80%,5.8
"Manassas city, Virginia",3.70%,3.7
"Manassas Park city, Virginia",4.80%,4.8
"Manatee County, Florida",4%,4
"Manatí Municipio, Puerto Rico",18%,18
"Manistee County, Michigan",5%,5
"Manitowoc County, Wisconsin",5.90%,5.9
"Marathon County, Wisconsin",4.70%,4.7
"Marengo County, Alabama",8.60%,8.6
"Maricao Municipio, Puerto Rico",11.90%,11.9
"Maricopa County, Arizona",5.20%,5.2
"Maries County, Missouri",5.90%,5.9
"Marin County, California",4.60%,4.6
"Marinette County, Wisconsin",4.20%,4.2
"Marion County, Alabama",5%,5
"Marion County, Arkansas",4.20%,4.2
"Marion County, Florida",4.90%,4.9
"Marion County, Georgia",6.30%,6.3
"Marion County, Illinois",6.90%,6.9
"Marion County, Indiana",8.20%,8.2
"Marion County, Iowa",3.70%,3.7
"Marion County, Kansas",3.30%,3.3
"Marion County, Kentucky",5.70%,5.7
"Marion County, Mississippi",5.80%,5.8
"Marion County, Missouri",7.80%,7.8
"Marion County, Ohio",7.60%,7.6
"Marion County, Oregon",6.20%,6.2
"Marion County, South Carolina",12.30%,12.3
"Marion County, Tennessee",4.50%,4.5
"Marion County, Texas",4.90%,4.9
"Marion County, West Virginia",8%,8
"Mariposa County, California",5.20%,5.2
"Marlboro County, South Carolina",13.30%,13.3
"Marquette County, Michigan",6%,6
"Marquette County, Wisconsin",4.50%,4.5
"Marshall County, Alabama",4.80%,4.8
"Marshall County, Illinois",3.70%,3.7
"Marshall County, Indiana",6.10%,6.1
"Marshall County, Iowa",7.10%,7.1
"Marshall County, Kansas",4%,4
"Marshall County, Kentucky",4.40%,4.4
"Marshall County, Minnesota",3.90%,3.9
"Marshall County, Mississippi",3.80%,3.8
"Marshall County, Oklahoma",4.10%,4.1
"Marshall County, South Dakota",1.90%,1.9
"Marshall County, Tennessee",2.10%,2.1
"Marshall County, West Virginia",6.60%,6.6
"Martin County, Florida",4.90%,4.9
"Martin County, Indiana",3.70%,3.7
"Martin County, Kentucky",8.30%,8.3
"Martin County, Minnesota",6.10%,6.1
"Martin County, North Carolina",9.30%,9.3
"Martin County, Texas",0%,0
"Martinsville city, Virginia",13.20%,13.2
"Mason County, Illinois",5.30%,5.3
"Mason County, Kentucky",10.50%,10.5
"Mason County, Michigan",6.80%,6.8
"Mason County, Texas",3.40%,3.4
"Mason County, Washington",3.90%,3.9
"Mason County, West Virginia",7.10%,7.1
"Massac County, Illinois",4.30%,4.3
"Matagorda County, Texas",6.60%,6.6
"Matanuska-Susitna Borough, Alaska",3.70%,3.7
"Mathews County, Virginia",0.60%,0.6
"Maui County, Hawaii",4.40%,4.4
"Maunabo Municipio, Puerto Rico",15%,15
"Maury County, Tennessee",2.60%,2.6
"Maverick County, Texas",7.80%,7.8
"Mayagüez Municipio, Puerto Rico",19.80%,19.8
"Mayes County, Oklahoma",4.40%,4.4
"McClain County, Oklahoma",1.30%,1.3
"McCone County, Montana",0%,0
"McCook County, South Dakota",2.20%,2.2
"McCormick County, South Carolina",5.10%,5.1
"McCracken County, Kentucky",8.20%,8.2
"McCreary County, Kentucky",10.80%,10.8
"McCulloch County, Texas",4.80%,4.8
"McCurtain County, Oklahoma",7.80%,7.8
"McDonald County, Missouri",5.60%,5.6
"McDonough County, Illinois",9.70%,9.7
"McDowell County, North Carolina",6.40%,6.4
"McDowell County, West Virginia",9.90%,9.9
"McDuffie County, Georgia",4.80%,4.8
"McHenry County, Illinois",3.80%,3.8
"McHenry County, North Dakota",5%,5
"McIntosh County, Georgia",6.60%,6.6
"McIntosh County, North Dakota",7.10%,7.1
"McIntosh County, Oklahoma",5.20%,5.2
"McKean County, Pennsylvania",7.40%,7.4
"McKenzie County, North Dakota",2.50%,2.5
"McKinley County, New Mexico",11.80%,11.8
"McLean County, Illinois",5.90%,5.9
"McLean County, Kentucky",5.80%,5.8
"McLean County, North Dakota",3.30%,3.3
"McLennan County, Texas",5.20%,5.2
"McLeod County, Minnesota",4%,4
"McMinn County, Tennessee",3.50%,3.5
"McMullen County, Texas",3%,3
"McNairy County, Tennessee",4.80%,4.8
"McPherson County, Kansas",3.70%,3.7
"McPherson County, Nebraska",1%,1
"McPherson County, South Dakota",4.20%,4.2
"Meade County, Kansas",2.90%,2.9
"Meade County, Kentucky",4.20%,4.2
"Meade County, South Dakota",2.50%,2.5
"Meagher County, Montana",0.40%,0.4
"Mecklenburg County, North Carolina",5.60%,5.6
"Mecklenburg County, Virginia",7.50%,7.5
"Mecosta County, Michigan",6.20%,6.2
"Medina County, Ohio",3.50%,3.5
"Medina County, Texas",4.70%,4.7
"Meeker County, Minnesota",4.60%,4.6
"Meigs County, Ohio",6.60%,6.6
"Meigs County, Tennessee",4.30%,4.3
"Mellette County, South Dakota",6.60%,6.6
"Menard County, Illinois",4%,4
"Menard County, Texas",4.10%,4.1
"Mendocino County, California",8%,8
"Menifee County, Kentucky",6.90%,6.9
"Menominee County, Michigan",6.80%,6.8
"Menominee County, Wisconsin",5.20%,5.2
"Merced County, California",7.20%,7.2
"Mercer County, Illinois",5%,5
"Mercer County, Kentucky",4.90%,4.9
"Mercer County, Missouri",5.30%,5.3
"Mercer County, New Jersey",11.60%,11.6
"Mercer County, North Dakota",2.30%,2.3
"Mercer County, Ohio",4.40%,4.4
"Mercer County, Pennsylvania",9.90%,9.9
"Mercer County, West Virginia",8.30%,8.3
"Meriwether County, Georgia",7.30%,7.3
"Merrick County, Nebraska",2.70%,2.7
"Merrimack County, New Hampshire",5.10%,5.1
"Mesa County, Colorado",5.30%,5.3
"Metcalfe County, Kentucky",6.30%,6.3
"Miami County, Indiana",5.60%,5.6
"Miami County, Kansas",2.70%,2.7
"Miami County, Ohio",4.70%,4.7
"Miami-Dade County, Florida",9.70%,9.7
"Middlesex County, Massachusetts",10.50%,10.5
"Middlesex County, New Jersey",8.10%,8.1
"Middlesex County, Virginia",2.80%,2.8
"Midland County, Michigan",5.80%,5.8
"Midland County, Texas",4.70%,4.7
"Mifflin County, Pennsylvania",9.90%,9.9
"Milam County, Texas",4%,4
"Millard County, Utah",3.70%,3.7
"Mille Lacs County, Minnesota",6.70%,6.7
"Miller County, Arkansas",8.90%,8.9
"Miller County, Georgia",11.40%,11.4
