Geographic Area,With an ambulatory difficulty—Estimate,Amblry diffclty
"Holmes County, Ohio",4.10%,4.1
"Holt County, Missouri",9.70%,9.7
"Holt County, Nebraska",6.60%,6.6
"Honolulu County, Hawaii",6.40%,6.4
"Hood County, Texas",6.70%,6.7
"Hood River County, Oregon",6.70%,6.7
"Hooker County, Nebraska",7%,7
"Hoonah-Angoon Census Area, Alaska",7.90%,7.9
"Hopewell city, Virginia",11.10%,11.1
"Hopkins County, Kentucky",11.90%,11.9
"Hopkins County, Texas",8.70%,8.7
"Hormigueros Municipio, Puerto Rico",17%,17
"Horry County, South Carolina",9.20%,9.2
"Hot Spring County, Arkansas",13.40%,13.4
"Hot Springs County, Wyoming",11.50%,11.5
"Houghton County, Michigan",4.70%,4.7
"Houston County, Alabama",9.60%,9.6
"Houston County, Georgia",6.90%,6.9
"Houston County, Minnesota",6%,6
"Houston County, Tennessee",10%,10
"Houston County, Texas",12%,12
"Howard County, Arkansas",9.30%,9.3
"Howard County, Indiana",9.20%,9.2
"Howard County, Iowa",5.10%,5.1
"Howard County, Maryland",3.80%,3.8
"Howard County, Missouri",8.70%,8.7
"Howard County, Nebraska",7.10%,7.1
"Howard County, Texas",8.60%,8.6
"Howell County, Missouri",10.20%,10.2
"Hubbard County, Minnesota",6.50%,6.5
"Hudson County, New Jersey",5%,5
"Hudspeth County, Texas",14.40%,14.4
"Huerfano County, Colorado",12.90%,12.9
"Hughes County, Oklahoma",12%,12
"Hughes County, South Dakota",5.40%,5.4
"Humacao Municipio, Puerto Rico",5.20%,5.2
"Humboldt County, California",8.60%,8.6
"Humboldt County, Iowa",7.80%,7.8
"Humboldt County, Nevada",8.10%,8.1
"Humphreys County, Mississippi",14.80%,14.8
"Humphreys County, Tennessee",10.30%,10.3
"Hunt County, Texas",8.30%,8.3
"Hunterdon County, New Jersey",3.90%,3.9
"Huntingdon County, Pennsylvania",8.70%,8.7
"Huntington County, Indiana",7.60%,7.6
"Huron County, Michigan",9.20%,9.2
"Huron County, Ohio",8%,8
"Hutchinson County, South Dakota",7.30%,7.3
"Hutchinson County, Texas",9.70%,9.7
"Hyde County, North Carolina",12.70%,12.7
"Hyde County, South Dakota",3.90%,3.9
"Iberia Parish, Louisiana",7.90%,7.9
"Iberville Parish, Louisiana",9.70%,9.7
"Ida County, Iowa",5%,5
"Idaho County, Idaho",8.40%,8.4
"Imperial County, California",8.70%,8.7
"Independence County, Arkansas",11.60%,11.6
"Indian River County, Florida",9.70%,9.7
"Indiana County, Pennsylvania",7.40%,7.4
"Ingham County, Michigan",6.20%,6.2
"Inyo County, California",9.10%,9.1
"Ionia County, Michigan",6.70%,6.7
"Iosco County, Michigan",11.30%,11.3
"Iowa County, Iowa",6.90%,6.9
"Iowa County, Wisconsin",5.30%,5.3
"Iredell County, North Carolina",6.30%,6.3
"Irion County, Texas",8.80%,8.8
"Iron County, Michigan",11.30%,11.3
"Iron County, Missouri",12.90%,12.9
"Iron County, Utah",4.60%,4.6
"Iron County, Wisconsin",7.50%,7.5
"Iroquois County, Illinois",9.40%,9.4
"Irwin County, Georgia",5.40%,5.4
"Isabela Municipio, Puerto Rico",15.80%,15.8
"Isabella County, Michigan",6.40%,6.4
"Isanti County, Minnesota",6.40%,6.4
"Island County, Washington",7.50%,7.5
"Isle of Wight County, Virginia",8.20%,8.2
"Issaquena County, Mississippi",15.80%,15.8
"Itasca County, Minnesota",8.60%,8.6
"Itawamba County, Mississippi",8.20%,8.2
"Izard County, Arkansas",17.10%,17.1
"Jack County, Texas",6.60%,6.6
"Jackson County, Alabama",12.80%,12.8
"Jackson County, Arkansas",14.30%,14.3
"Jackson County, Colorado",6.70%,6.7
"Jackson County, Florida",12%,12
"Jackson County, Georgia",7.20%,7.2
"Jackson County, Illinois",8.40%,8.4
"Jackson County, Indiana",8.70%,8.7
"Jackson County, Iowa",5.20%,5.2
"Jackson County, Kansas",7.20%,7.2
"Jackson County, Kentucky",15.90%,15.9
"Jackson County, Michigan",7.40%,7.4
"Jackson County, Minnesota",6.60%,6.6
"Jackson County, Mississippi",11.30%,11.3
"Jackson County, Missouri",7.10%,7.1
"Jackson County, North Carolina",6.40%,6.4
"Jackson County, Ohio",12.30%,12.3
"Jackson County, Oklahoma",8.80%,8.8
"Jackson County, Oregon",7.90%,7.9
"Jackson County, South Dakota",5.30%,5.3
"Jackson County, Tennessee",16.50%,16.5
"Jackson County, Texas",8.20%,8.2
"Jackson County, West Virginia",11.50%,11.5
"Jackson County, Wisconsin",6.80%,6.8
"Jackson Parish, Louisiana",11.70%,11.7
"James City County, Virginia",6.70%,6.7
"Jasper County, Georgia",8%,8
"Jasper County, Illinois",8.80%,8.8
"Jasper County, Indiana",7.10%,7.1
"Jasper County, Iowa",5.60%,5.6
"Jasper County, Mississippi",15.60%,15.6
"Jasper County, Missouri",8.30%,8.3
"Jasper County, South Carolina",6.80%,6.8
"Jasper County, Texas",7.90%,7.9
"Jay County, Indiana",8.70%,8.7
"Jayuya Municipio, Puerto Rico",13.40%,13.4
"Jeff Davis County, Georgia",11.30%,11.3
"Jeff Davis County, Texas",14.20%,14.2
"Jefferson County, Alabama",8.40%,8.4
"Jefferson County, Arkansas",11%,11
"Jefferson County, Colorado",4.60%,4.6
"Jefferson County, Florida",13.60%,13.6
"Jefferson County, Georgia",9.10%,9.1
"Jefferson County, Idaho",4.80%,4.8
"Jefferson County, Illinois",9.40%,9.4
"Jefferson County, Indiana",10.50%,10.5
"Jefferson County, Iowa",6.50%,6.5
"Jefferson County, Kansas",7.40%,7.4
"Jefferson County, Kentucky",7.80%,7.8
"Jefferson County, Mississippi",10.70%,10.7
"Jefferson County, Missouri",7.30%,7.3
"Jefferson County, Montana",8.90%,8.9
"Jefferson County, Nebraska",10.60%,10.6
"Jefferson County, New York",7.10%,7.1
"Jefferson County, Ohio",9.50%,9.5
"Jefferson County, Oklahoma",15.30%,15.3
"Jefferson County, Oregon",10%,10
"Jefferson County, Pennsylvania",7.60%,7.6
"Jefferson County, Tennessee",11.20%,11.2
"Jefferson County, Texas",9.30%,9.3
"Jefferson County, Washington",9.90%,9.9
"Jefferson County, West Virginia",6.60%,6.6
"Jefferson County, Wisconsin",5%,5
"Jefferson Davis County, Mississippi",13.30%,13.3
"Jefferson Davis Parish, Louisiana",8.70%,8.7
"Jefferson Parish, Louisiana",8.50%,8.5
"Jenkins County, Georgia",15%,15
"Jennings County, Indiana",9.40%,9.4
"Jerauld County, South Dakota",8.40%,8.4
"Jerome County, Idaho",6.50%,6.5
"Jersey County, Illinois",8.60%,8.6
"Jessamine County, Kentucky",7.50%,7.5
"Jewell County, Kansas",9.90%,9.9
"Jim Hogg County, Texas",7.20%,7.2
"Jim Wells County, Texas",11.20%,11.2
"Jo Daviess County, Illinois",7.90%,7.9
"Johnson County, Arkansas",11.90%,11.9
"Johnson County, Georgia",10.50%,10.5
"Johnson County, Illinois",11.60%,11.6
"Johnson County, Indiana",4.90%,4.9
"Johnson County, Iowa",3.70%,3.7
"Johnson County, Kansas",4%,4
"Johnson County, Kentucky",17%,17
"Johnson County, Missouri",5.60%,5.6
"Johnson County, Nebraska",9.20%,9.2
"Johnson County, Tennessee",10.80%,10.8
"Johnson County, Texas",5.70%,5.7
"Johnson County, Wyoming",5.70%,5.7
"Johnston County, North Carolina",7.50%,7.5
"Johnston County, Oklahoma",15.40%,15.4
"Jones County, Georgia",9.50%,9.5
"Jones County, Iowa",5.70%,5.7
"Jones County, Mississippi",9.30%,9.3
"Jones County, North Carolina",12.80%,12.8
"Jones County, South Dakota",2.60%,2.6
"Jones County, Texas",10%,10
"Josephine County, Oregon",10.90%,10.9
"Juab County, Utah",5.60%,5.6
"Juana Díaz Municipio, Puerto Rico",14.10%,14.1
"Judith Basin County, Montana",5.90%,5.9
"Juncos Municipio, Puerto Rico",15.20%,15.2
"Juneau City and Borough, Alaska",4.20%,4.2
"Juneau County, Wisconsin",8.30%,8.3
"Juniata County, Pennsylvania",6%,6
"Kalamazoo County, Michigan",5.30%,5.3
"Kalawao County, Hawaii",6.40%,6.4
"Kalkaska County, Michigan",10.30%,10.3
"Kanabec County, Minnesota",9.30%,9.3
"Kanawha County, West Virginia",10.30%,10.3
"Kandiyohi County, Minnesota",5.80%,5.8
"Kane County, Illinois",4.70%,4.7
"Kane County, Utah",9.30%,9.3
"Kankakee County, Illinois",8.10%,8.1
"Karnes County, Texas",7.60%,7.6
"Kauai County, Hawaii",5.60%,5.6
"Kaufman County, Texas",5.10%,5.1
"Kay County, Oklahoma",9.90%,9.9
"Kearney County, Nebraska",4.30%,4.3
"Kearny County, Kansas",6.10%,6.1
"Keith County, Nebraska",9.10%,9.1
"Kemper County, Mississippi",10.10%,10.1
"Kenai Peninsula Borough, Alaska",6.70%,6.7
"Kendall County, Illinois",3.80%,3.8
"Kendall County, Texas",4%,4
"Kenedy County, Texas",26.10%,26.1
"Kennebec County, Maine",7.40%,7.4
"Kenosha County, Wisconsin",6.20%,6.2
"Kent County, Delaware",9.30%,9.3
"Kent County, Maryland",7.70%,7.7
"Kent County, Michigan",4.70%,4.7
"Kent County, Rhode Island",6.90%,6.9
"Kent County, Texas",15.20%,15.2
"Kenton County, Kentucky",6%,6
"Keokuk County, Iowa",9.80%,9.8
"Kern County, California",6.20%,6.2
"Kerr County, Texas",8.40%,8.4
"Kershaw County, South Carolina",8.50%,8.5
"Ketchikan Gateway Borough, Alaska",8%,8
"Kewaunee County, Wisconsin",6.80%,6.8
"Keweenaw County, Michigan",6.30%,6.3
"Keya Paha County, Nebraska",7%,7
"Kidder County, North Dakota",6.40%,6.4
"Kimball County, Nebraska",9.70%,9.7
"Kimble County, Texas",8.90%,8.9
"King and Queen County, Virginia",8.60%,8.6
"King County, Texas",7.90%,7.9
"King County, Washington",4.70%,4.7
"King George County, Virginia",5.40%,5.4
"King William County, Virginia",6.20%,6.2
"Kingfisher County, Oklahoma",7.30%,7.3
"Kingman County, Kansas",7.10%,7.1
"Kings County, California",6.70%,6.7
"Kings County, New York",6.80%,6.8
"Kingsbury County, South Dakota",5.40%,5.4
"Kinney County, Texas",26.60%,26.6
"Kiowa County, Colorado",5.70%,5.7
"Kiowa County, Kansas",5.80%,5.8
"Kiowa County, Oklahoma",15.50%,15.5
"Kit Carson County, Colorado",8%,8
"Kitsap County, Washington",7.30%,7.3
"Kittitas County, Washington",4.80%,4.8
"Kittson County, Minnesota",5.10%,5.1
"Klamath County, Oregon",10.80%,10.8
"Kleberg County, Texas",8.70%,8.7
"Klickitat County, Washington",6.50%,6.5
"Knott County, Kentucky",17.80%,17.8
"Knox County, Illinois",6.80%,6.8
"Knox County, Indiana",8.40%,8.4
"Knox County, Kentucky",13.30%,13.3
"Knox County, Maine",5.80%,5.8
"Knox County, Missouri",9.70%,9.7
"Knox County, Nebraska",8.40%,8.4
"Knox County, Ohio",7%,7
"Knox County, Tennessee",6.50%,6.5
"Knox County, Texas",8.10%,8.1
"Kodiak Island Borough, Alaska",3%,3
"Koochiching County, Minnesota",9.40%,9.4
"Kootenai County, Idaho",7.40%,7.4
"Kosciusko County, Indiana",6.60%,6.6
"Kossuth County, Iowa",8%,8
"Kusilvak Census Area, Alaska",5.10%,5.1
"La Crosse County, Wisconsin",5.50%,5.5
"La Paz County, Arizona",14.90%,14.9
"La Plata County, Colorado",3.50%,3.5
"LaSalle County, Texas",5%,5
"Labette County, Kansas",10.40%,10.4
"Lac qui Parle County, Minnesota",7%,7
"Lackawanna County, Pennsylvania",8.10%,8.1
"Laclede County, Missouri",10.70%,10.7
"Lafayette County, Arkansas",13.50%,13.5
"Lafayette County, Florida",11%,11
"Lafayette County, Mississippi",5.80%,5.8
"Lafayette County, Missouri",8.10%,8.1
"Lafayette County, Wisconsin",4.90%,4.9
"Lafayette Parish, Louisiana",6.60%,6.6
"Lafourche Parish, Louisiana",9.50%,9.5
"LaGrange County, Indiana",5.40%,5.4
"Lajas Municipio, Puerto Rico",16%,16
"Lake and Peninsula Borough, Alaska",7.60%,7.6
"Lake County, California",10.70%,10.7
"Lake County, Colorado",4.50%,4.5
"Lake County, Florida",8.60%,8.6
"Lake County, Illinois",4.50%,4.5
"Lake County, Indiana",7.20%,7.2
"Lake County, Michigan",15.40%,15.4
"Lake County, Minnesota",7.40%,7.4
"Lake County, Montana",6.50%,6.5
"Lake County, Ohio",6.80%,6.8
"Lake County, Oregon",9.30%,9.3
"Lake County, South Dakota",4.80%,4.8
"Lake County, Tennessee",14.10%,14.1
"Lake of the Woods County, Minnesota",6.40%,6.4
"Lamar County, Alabama",13.80%,13.8
"Lamar County, Georgia",8.20%,8.2
"Lamar County, Mississippi",7.60%,7.6
"Lamar County, Texas",10.90%,10.9
"Lamb County, Texas",10.70%,10.7
"Lamoille County, Vermont",5.60%,5.6
"LaMoure County, North Dakota",5.70%,5.7
"Lampasas County, Texas",11.80%,11.8
"Lancaster County, Nebraska",5%,5
"Lancaster County, Pennsylvania",5.30%,5.3
"Lancaster County, South Carolina",7.30%,7.3
"Lancaster County, Virginia",11.70%,11.7
"Lander County, Nevada",5.80%,5.8
"Lane County, Kansas",9%,9
"Lane County, Oregon",7.60%,7.6
"Langlade County, Wisconsin",7.90%,7.9
"Lanier County, Georgia",7.60%,7.6
"Lapeer County, Michigan",7%,7
"LaPorte County, Indiana",7.70%,7.7
"Laramie County, Wyoming",6.80%,6.8
"Lares Municipio, Puerto Rico",12.80%,12.8
"Larimer County, Colorado",4.20%,4.2
"Larue County, Kentucky",9.80%,9.8
"Las Animas County, Colorado",12.50%,12.5
"Las Marías Municipio, Puerto Rico",4.50%,4.5
"Las Piedras Municipio, Puerto Rico",4.90%,4.9
"LaSalle County, Illinois",7.60%,7.6
"LaSalle Parish, Louisiana",10.70%,10.7
"Lassen County, California",11.70%,11.7
"Latah County, Idaho",4.30%,4.3
"Latimer County, Oklahoma",11.60%,11.6
"Lauderdale County, Alabama",8.40%,8.4
"Lauderdale County, Mississippi",10.70%,10.7
"Lauderdale County, Tennessee",12.20%,12.2
"Laurel County, Kentucky",11.10%,11.1
"Laurens County, Georgia",8.70%,8.7
"Laurens County, South Carolina",10%,10
"Lavaca County, Texas",6.30%,6.3
"Lawrence County, Alabama",13.20%,13.2
"Lawrence County, Arkansas",16.20%,16.2
"Lawrence County, Illinois",10.80%,10.8
"Lawrence County, Indiana",10%,10
"Lawrence County, Kentucky",15.80%,15.8
"Lawrence County, Mississippi",11.50%,11.5
"Lawrence County, Missouri",8.90%,8.9
"Lawrence County, Ohio",13%,13
"Lawrence County, Pennsylvania",9.40%,9.4
"Lawrence County, South Dakota",7.30%,7.3
"Lawrence County, Tennessee",9.60%,9.6
"Le Flore County, Oklahoma",11.10%,11.1
"Le Sueur County, Minnesota",4.20%,4.2
"Lea County, New Mexico",6.50%,6.5
"Leake County, Mississippi",16.10%,16.1
"Leavenworth County, Kansas",6.40%,6.4
"Lebanon County, Pennsylvania",6.60%,6.6
"Lee County, Alabama",6.30%,6.3
"Lee County, Arkansas",15.60%,15.6
"Lee County, Florida",7.30%,7.3
"Lee County, Georgia",5.50%,5.5
"Lee County, Illinois",8.80%,8.8
"Lee County, Iowa",8.40%,8.4
"Lee County, Kentucky",18%,18
"Lee County, Mississippi",7.70%,7.7
"Lee County, North Carolina",7.60%,7.6
"Lee County, South Carolina",10.40%,10.4
"Lee County, Texas",8.60%,8.6
"Lee County, Virginia",20%,20
"Leelanau County, Michigan",5.20%,5.2
"Leflore County, Mississippi",8.60%,8.6
"Lehigh County, Pennsylvania",6.10%,6.1
"Lemhi County, Idaho",13.60%,13.6
"Lenawee County, Michigan",7.20%,7.2
"Lenoir County, North Carolina",13.60%,13.6
"Leon County, Florida",5.40%,5.4
"Leon County, Texas",11.70%,11.7
"Leslie County, Kentucky",17.80%,17.8
"Letcher County, Kentucky",18.10%,18.1
"Levy County, Florida",10.70%,10.7
"Lewis and Clark County, Montana",6.50%,6.5
"Lewis County, Idaho",14%,14
"Lewis County, Kentucky",13.30%,13.3
"Lewis County, Missouri",7.10%,7.1
"Lewis County, New York",7.80%,7.8
"Lewis County, Tennessee",11.10%,11.1
"Lewis County, Washington",9.90%,9.9
"Lewis County, West Virginia",10.80%,10.8
"Lexington city, Virginia",5.30%,5.3
"Lexington County, South Carolina",7.70%,7.7
"Liberty County, Florida",14.10%,14.1
"Liberty County, Georgia",8.20%,8.2
"Liberty County, Montana",8%,8
"Liberty County, Texas",9.40%,9.4
"Licking County, Ohio",7.50%,7.5
"Limestone County, Alabama",8.50%,8.5
"Limestone County, Texas",10.10%,10.1
"Lincoln County, Arkansas",8.60%,8.6
"Lincoln County, Colorado",9.60%,9.6
"Lincoln County, Georgia",13%,13
"Lincoln County, Idaho",6.30%,6.3
"Lincoln County, Kansas",6.30%,6.3
"Lincoln County, Kentucky",11.40%,11.4
"Lincoln County, Maine",7.80%,7.8
"Lincoln County, Minnesota",6.70%,6.7
"Lincoln County, Mississippi",8.50%,8.5
"Lincoln County, Missouri",7.60%,7.6
"Lincoln County, Montana",12.60%,12.6
"Lincoln County, Nebraska",8%,8
"Lincoln County, Nevada",15.50%,15.5
"Lincoln County, New Mexico",12.50%,12.5
"Lincoln County, North Carolina",8%,8
"Lincoln County, Oklahoma",11.30%,11.3
"Lincoln County, Oregon",12.90%,12.9
"Lincoln County, South Dakota",3.60%,3.6
"Lincoln County, Tennessee",8.80%,8.8
"Lincoln County, Washington",12.30%,12.3
"Lincoln County, West Virginia",17.20%,17.2
"Lincoln County, Wisconsin",7.70%,7.7
"Lincoln County, Wyoming",4.20%,4.2
"Lincoln Parish, Louisiana",6.80%,6.8
"Linn County, Iowa",4.80%,4.8
"Linn County, Kansas",11.10%,11.1
"Linn County, Missouri",8.80%,8.8
"Linn County, Oregon",9.10%,9.1
"Lipscomb County, Texas",5.20%,5.2
"Little River County, Arkansas",11.20%,11.2
"Live Oak County, Texas",9.10%,9.1
"Livingston County, Illinois",8.30%,8.3
"Livingston County, Kentucky",12.40%,12.4
"Livingston County, Michigan",5.10%,5.1
"Livingston County, Missouri",8.50%,8.5
"Livingston County, New York",6.60%,6.6
"Livingston Parish, Louisiana",7.20%,7.2
"Llano County, Texas",11.10%,11.1
"Logan County, Arkansas",12.50%,12.5
"Logan County, Colorado",7.60%,7.6
"Logan County, Illinois",8.10%,8.1
"Logan County, Kansas",9.70%,9.7
"Logan County, Kentucky",8.80%,8.8
"Logan County, Nebraska",4.70%,4.7
"Logan County, North Dakota",7.40%,7.4
"Logan County, Ohio",6.40%,6.4
"Logan County, Oklahoma",9.50%,9.5
"Logan County, West Virginia",18.60%,18.6
"Loíza Municipio, Puerto Rico",14.20%,14.2
"Long County, Georgia",11.90%,11.9
"Lonoke County, Arkansas",9.10%,9.1
"Lorain County, Ohio",7.50%,7.5
"Los Alamos County, New Mexico",5.70%,5.7
"Los Angeles County, California",5.90%,5.9
"Loudon County, Tennessee",7.70%,7.7
"Loudoun County, Virginia",2.80%,2.8
"Louisa County, Iowa",7.70%,7.7
"Louisa County, Virginia",9%,9
"Loup County, Nebraska",10%,10
"Love County, Oklahoma",11.70%,11.7
"Loving County, Texas",21.90%,21.9
"Lower Connecticut River Valley Planning Region, Connecticut",5.10%,5.1
"Lowndes County, Alabama",15.30%,15.3
"Lowndes County, Georgia",5.30%,5.3
"Lowndes County, Mississippi",6.60%,6.6
"Lubbock County, Texas",6.60%,6.6
"Lucas County, Iowa",8.90%,8.9
"Lucas County, Ohio",7.60%,7.6
"Luce County, Michigan",12.60%,12.6
"Lumpkin County, Georgia",5.90%,5.9
"Luna County, New Mexico",12%,12
"Lunenburg County, Virginia",12.70%,12.7
"Luquillo Municipio, Puerto Rico",15.40%,15.4
"Luzerne County, Pennsylvania",7.90%,7.9
"Lycoming County, Pennsylvania",8%,8
"Lyman County, South Dakota",9.40%,9.4
"Lynchburg city, Virginia",6.20%,6.2
"Lynn County, Texas",10.90%,10.9
"Lyon County, Iowa",4.80%,4.8
"Lyon County, Kansas",7.30%,7.3
"Lyon County, Kentucky",11.90%,11.9
"Lyon County, Minnesota",6.50%,6.5
"Lyon County, Nevada",8.10%,8.1
"Mackinac County, Michigan",8.10%,8.1
"Macomb County, Michigan",7.40%,7.4
"Macon County, Alabama",10.40%,10.4
"Macon County, Georgia",8.10%,8.1
"Macon County, Illinois",7.90%,7.9
"Macon County, Missouri",9.70%,9.7
"Macon County, North Carolina",10.50%,10.5
"Macon County, Tennessee",9.50%,9.5
"Macoupin County, Illinois",8.70%,8.7
"Madera County, California",6.90%,6.9
"Madison County, Alabama",6.80%,6.8
"Madison County, Arkansas",11.50%,11.5
"Madison County, Florida",10.10%,10.1
"Madison County, Georgia",10.50%,10.5
"Madison County, Idaho",2.10%,2.1
"Madison County, Illinois",8.30%,8.3
"Madison County, Indiana",10.20%,10.2
"Madison County, Iowa",5.20%,5.2
"Madison County, Kentucky",7.50%,7.5
"Madison County, Mississippi",6%,6
"Madison County, Missouri",12.80%,12.8
"Madison County, Montana",6.10%,6.1
"Madison County, Nebraska",5.60%,5.6
"Madison County, New York",5.90%,5.9
"Madison County, North Carolina",8.70%,8.7
"Madison County, Ohio",8.20%,8.2
"Madison County, Tennessee",9.50%,9.5
"Madison County, Texas",8%,8
"Madison County, Virginia",8.50%,8.5
"Madison Parish, Louisiana",11.50%,11.5
"Magoffin County, Kentucky",19.70%,19.7
"Mahaska County, Iowa",7.10%,7.1
"Mahnomen County, Minnesota",8.90%,8.9
"Mahoning County, Ohio",8.60%,8.6
"Major County, Oklahoma",11.20%,11.2
"Malheur County, Oregon",8.50%,8.5
"Manassas city, Virginia",4.50%,4.5
"Manassas Park city, Virginia",4.50%,4.5
"Manatee County, Florida",7.70%,7.7
"Manatí Municipio, Puerto Rico",13%,13
"Manistee County, Michigan",8.70%,8.7
"Manitowoc County, Wisconsin",5.70%,5.7
"Marathon County, Wisconsin",5.70%,5.7
"Marengo County, Alabama",14.90%,14.9
"Maricao Municipio, Puerto Rico",4.40%,4.4
"Maricopa County, Arizona",5.80%,5.8
"Maries County, Missouri",10.70%,10.7
"Marin County, California",4.50%,4.5
"Marinette County, Wisconsin",7.70%,7.7
"Marion County, Alabama",15.90%,15.9
"Marion County, Arkansas",13.20%,13.2
"Marion County, Florida",9%,9
"Marion County, Georgia",10.10%,10.1
"Marion County, Illinois",9.40%,9.4
"Marion County, Indiana",7%,7
"Marion County, Iowa",7.30%,7.3
"Marion County, Kansas",7.60%,7.6
"Marion County, Kentucky",11.40%,11.4
"Marion County, Mississippi",13.10%,13.1
"Marion County, Missouri",8.80%,8.8
"Marion County, Ohio",9.60%,9.6
"Marion County, Oregon",7.60%,7.6
"Marion County, South Carolina",10.40%,10.4
"Marion County, Tennessee",12%,12
"Marion County, Texas",14.50%,14.5
"Marion County, West Virginia",9.40%,9.4
"Mariposa County, California",10.10%,10.1
"Marlboro County, South Carolina",11.40%,11.4
"Marquette County, Michigan",6.80%,6.8
"Marquette County, Wisconsin",8.70%,8.7
"Marshall County, Alabama",8.40%,8.4
"Marshall County, Illinois",7.80%,7.8
"Marshall County, Indiana",6.30%,6.3
"Marshall County, Iowa",5.20%,5.2
"Marshall County, Kansas",7.20%,7.2
"Marshall County, Kentucky",9.30%,9.3
"Marshall County, Minnesota",7.40%,7.4
"Marshall County, Mississippi",10.90%,10.9
"Marshall County, Oklahoma",13.80%,13.8
"Marshall County, South Dakota",3.70%,3.7
"Marshall County, Tennessee",6.10%,6.1
"Marshall County, West Virginia",9.90%,9.9
"Martin County, Florida",7.80%,7.8
"Martin County, Indiana",8.90%,8.9
"Martin County, Kentucky",18%,18
"Martin County, Minnesota",7.10%,7.1
"Martin County, North Carolina",14.50%,14.5
"Martin County, Texas",4.80%,4.8
"Martinsville city, Virginia",14.40%,14.4
"Mason County, Illinois",8.50%,8.5
"Mason County, Kentucky",11.50%,11.5
"Mason County, Michigan",8.70%,8.7
"Mason County, Texas",15.30%,15.3
"Mason County, Washington",10.60%,10.6
"Mason County, West Virginia",11%,11
"Massac County, Illinois",15%,15
"Matagorda County, Texas",9.60%,9.6
"Matanuska-Susitna Borough, Alaska",6.70%,6.7
"Mathews County, Virginia",10.70%,10.7
"Maui County, Hawaii",5.40%,5.4
"Maunabo Municipio, Puerto Rico",6.50%,6.5
"Maury County, Tennessee",6.40%,6.4
"Maverick County, Texas",6.30%,6.3
"Mayagüez Municipio, Puerto Rico",13.40%,13.4
"Mayes County, Oklahoma",12.50%,12.5
"McClain County, Oklahoma",7.70%,7.7
"McCone County, Montana",5.70%,5.7
"McCook County, South Dakota",5.90%,5.9
"McCormick County, South Carolina",11.10%,11.1
"McCracken County, Kentucky",8.90%,8.9
"McCreary County, Kentucky",16%,16
"McCulloch County, Texas",13.40%,13.4
"McCurtain County, Oklahoma",12.50%,12.5
"McDonald County, Missouri",9.70%,9.7
"McDonough County, Illinois",7.40%,7.4
"McDowell County, North Carolina",11.70%,11.7
"McDowell County, West Virginia",19.10%,19.1
"McDuffie County, Georgia",6.60%,6.6
"McHenry County, Illinois",4.60%,4.6
"McHenry County, North Dakota",6.50%,6.5
"McIntosh County, Georgia",14%,14
"McIntosh County, North Dakota",5.30%,5.3
"McIntosh County, Oklahoma",14.60%,14.6
"McKean County, Pennsylvania",8.20%,8.2
"McKenzie County, North Dakota",4.10%,4.1
"McKinley County, New Mexico",8.60%,8.6
"McLean County, Illinois",4.30%,4.3
"McLean County, Kentucky",9.10%,9.1
"McLean County, North Dakota",5.50%,5.5
"McLennan County, Texas",7.40%,7.4
"McLeod County, Minnesota",6.30%,6.3
"McMinn County, Tennessee",11.20%,11.2
"McMullen County, Texas",9%,9
"McNairy County, Tennessee",9.40%,9.4
"McPherson County, Kansas",6.70%,6.7
"McPherson County, Nebraska",4.10%,4.1
"McPherson County, South Dakota",7.40%,7.4
"Meade County, Kansas",3.80%,3.8
"Meade County, Kentucky",11.90%,11.9
"Meade County, South Dakota",6.80%,6.8
"Meagher County, Montana",9.20%,9.2
"Mecklenburg County, North Carolina",4%,4
"Mecklenburg County, Virginia",11.10%,11.1
"Mecosta County, Michigan",8.70%,8.7
"Medina County, Ohio",5.40%,5.4
"Medina County, Texas",10.10%,10.1
"Meeker County, Minnesota",5.40%,5.4
"Meigs County, Ohio",13.30%,13.3
"Meigs County, Tennessee",12.50%,12.5
"Mellette County, South Dakota",7.30%,7.3
"Menard County, Illinois",7.20%,7.2
"Menard County, Texas",19.10%,19.1
"Mendocino County, California",9.50%,9.5
"Menifee County, Kentucky",19.70%,19.7
"Menominee County, Michigan",7.20%,7.2
"Menominee County, Wisconsin",9.30%,9.3
"Merced County, California",7.10%,7.1
"Mercer County, Illinois",7.40%,7.4
"Mercer County, Kentucky",9.70%,9.7
"Mercer County, Missouri",8.90%,8.9
"Mercer County, New Jersey",5.40%,5.4
"Mercer County, North Dakota",7.20%,7.2
"Mercer County, Ohio",5.60%,5.6
"Mercer County, Pennsylvania",8.90%,8.9
"Mercer County, West Virginia",13.90%,13.9
"Meriwether County, Georgia",13.20%,13.2
"Merrick County, Nebraska",8.10%,8.1
"Merrimack County, New Hampshire",6.30%,6.3
"Mesa County, Colorado",7.40%,7.4
"Metcalfe County, Kentucky",11.20%,11.2
"Miami County, Indiana",8.50%,8.5
"Miami County, Kansas",6.20%,6.2
"Miami County, Ohio",6.50%,6.5
"Miami-Dade County, Florida",5.80%,5.8
"Middlesex County, Massachusetts",4.40%,4.4
"Middlesex County, New Jersey",5.30%,5.3
"Middlesex County, Virginia",8.20%,8.2
"Midland County, Michigan",6.70%,6.7
"Midland County, Texas",5.10%,5.1
"Mifflin County, Pennsylvania",7.10%,7.1
"Milam County, Texas",8.90%,8.9
"Millard County, Utah",6.70%,6.7
"Mille Lacs County, Minnesota",7.60%,7.6
