Geographic Area,Unemployment rate—Population 16 years and over—Estimate,Unemploymt
"Holmes County, Florida",4.70%,4.7
"Holmes County, Mississippi",8.80%,8.8
"Holmes County, Ohio",2%,2
"Holt County, Missouri",3.90%,3.9
"Holt County, Nebraska",1.30%,1.3
"Honolulu County, Hawaii",4.80%,4.8
"Hood County, Texas",5.80%,5.8
"Hood River County, Oregon",3.30%,3.3
"Hooker County, Nebraska",3.20%,3.2
"Hoonah-Angoon Census Area, Alaska",14%,14
"Hopewell city, Virginia",8.80%,8.8
"Hopkins County, Kentucky",7.70%,7.7
"Hopkins County, Texas",4.80%,4.8
"Hormigueros Municipio, Puerto Rico",16.50%,16.5
"Horry County, South Carolina",5.60%,5.6
"Hot Spring County, Arkansas",4.60%,4.6
"Hot Springs County, Wyoming",1.40%,1.4
"Houghton County, Michigan",6.20%,6.2
"Houston County, Alabama",5%,5
"Houston County, Georgia",4.80%,4.8
"Houston County, Minnesota",1.60%,1.6
"Houston County, Tennessee",4.20%,4.2
"Houston County, Texas",4.50%,4.5
"Howard County, Arkansas",6.40%,6.4
"Howard County, Indiana",5.80%,5.8
"Howard County, Iowa",1.50%,1.5
"Howard County, Maryland",3.80%,3.8
"Howard County, Missouri",4.50%,4.5
"Howard County, Nebraska",4%,4
"Howard County, Texas",5.20%,5.2
"Howell County, Missouri",5.50%,5.5
"Hubbard County, Minnesota",4.30%,4.3
"Hudson County, New Jersey",5.80%,5.8
"Hudspeth County, Texas",8.20%,8.2
"Huerfano County, Colorado",6.40%,6.4
"Hughes County, Oklahoma",6.30%,6.3
"Hughes County, South Dakota",0.40%,0.4
"Humacao Municipio, Puerto Rico",7.30%,7.3
"Humboldt County, California",9.20%,9.2
"Humboldt County, Iowa",2.50%,2.5
"Humboldt County, Nevada",4.30%,4.3
"Humphreys County, Mississippi",13.70%,13.7
"Humphreys County, Tennessee",10.20%,10.2
"Hunt County, Texas",5.80%,5.8
"Hunterdon County, New Jersey",4.60%,4.6
"Huntingdon County, Pennsylvania",5.10%,5.1
"Huntington County, Indiana",3.40%,3.4
"Huron County, Michigan",5.30%,5.3
"Huron County, Ohio",4.40%,4.4
"Hutchinson County, South Dakota",1.50%,1.5
"Hutchinson County, Texas",4.30%,4.3
"Hyde County, North Carolina",8.70%,8.7
"Hyde County, South Dakota",0.70%,0.7
"Iberia Parish, Louisiana",6.30%,6.3
"Iberville Parish, Louisiana",7.50%,7.5
"Ida County, Iowa",2%,2
"Idaho County, Idaho",4.30%,4.3
"Imperial County, California",13.20%,13.2
"Independence County, Arkansas",5.20%,5.2
"Indian River County, Florida",5.90%,5.9
"Indiana County, Pennsylvania",6.50%,6.5
"Ingham County, Michigan",6.40%,6.4
"Inyo County, California",4.90%,4.9
"Ionia County, Michigan",5.30%,5.3
"Iosco County, Michigan",7.40%,7.4
"Iowa County, Iowa",3.20%,3.2
"Iowa County, Wisconsin",2.40%,2.4
"Iredell County, North Carolina",4.60%,4.6
"Irion County, Texas",1.30%,1.3
"Iron County, Michigan",4.60%,4.6
"Iron County, Missouri",3.30%,3.3
"Iron County, Utah",3.30%,3.3
"Iron County, Wisconsin",3.90%,3.9
"Iroquois County, Illinois",4.90%,4.9
"Irwin County, Georgia",6.20%,6.2
"Isabela Municipio, Puerto Rico",7%,7
"Isabella County, Michigan",7.20%,7.2
"Isanti County, Minnesota",4.20%,4.2
"Island County, Washington",5.50%,5.5
"Isle of Wight County, Virginia",5.50%,5.5
"Issaquena County, Mississippi",12.10%,12.1
"Itasca County, Minnesota",6.20%,6.2
"Itawamba County, Mississippi",2.80%,2.8
"Izard County, Arkansas",7.50%,7.5
"Jack County, Texas",8.20%,8.2
"Jackson County, Alabama",6%,6
"Jackson County, Arkansas",10.90%,10.9
"Jackson County, Colorado",8.20%,8.2
"Jackson County, Florida",4.70%,4.7
"Jackson County, Georgia",3.60%,3.6
"Jackson County, Illinois",8.10%,8.1
"Jackson County, Indiana",2.70%,2.7
"Jackson County, Iowa",4.20%,4.2
"Jackson County, Kansas",2.10%,2.1
"Jackson County, Kentucky",6%,6
"Jackson County, Michigan",6.30%,6.3
"Jackson County, Minnesota",2%,2
"Jackson County, Mississippi",8.10%,8.1
"Jackson County, Missouri",4.90%,4.9
"Jackson County, North Carolina",5.90%,5.9
"Jackson County, Ohio",5.90%,5.9
"Jackson County, Oklahoma",4.20%,4.2
"Jackson County, Oregon",5.50%,5.5
"Jackson County, South Dakota",7.40%,7.4
"Jackson County, Tennessee",7.20%,7.2
"Jackson County, Texas",5.50%,5.5
"Jackson County, West Virginia",3.60%,3.6
"Jackson County, Wisconsin",5.50%,5.5
"Jackson Parish, Louisiana",4.90%,4.9
"James City County, Virginia",3.70%,3.7
"Jasper County, Georgia",6.10%,6.1
"Jasper County, Illinois",4.90%,4.9
"Jasper County, Indiana",4.10%,4.1
"Jasper County, Iowa",4.80%,4.8
"Jasper County, Mississippi",3.80%,3.8
"Jasper County, Missouri",4.10%,4.1
"Jasper County, South Carolina",6.30%,6.3
"Jasper County, Texas",12.50%,12.5
"Jay County, Indiana",4.40%,4.4
"Jayuya Municipio, Puerto Rico",19.80%,19.8
"Jeff Davis County, Georgia",4.10%,4.1
"Jeff Davis County, Texas",0%,0
"Jefferson County, Alabama",5.40%,5.4
"Jefferson County, Arkansas",7.80%,7.8
"Jefferson County, Colorado",3.90%,3.9
"Jefferson County, Florida",6.70%,6.7
"Jefferson County, Georgia",4.50%,4.5
"Jefferson County, Idaho",2.40%,2.4
"Jefferson County, Illinois",6.50%,6.5
"Jefferson County, Indiana",3.40%,3.4
"Jefferson County, Iowa",5.20%,5.2
"Jefferson County, Kansas",3.50%,3.5
"Jefferson County, Kentucky",5.10%,5.1
"Jefferson County, Mississippi",5.40%,5.4
"Jefferson County, Missouri",3.80%,3.8
"Jefferson County, Montana",3.40%,3.4
"Jefferson County, Nebraska",1.10%,1.1
"Jefferson County, New York",6.40%,6.4
"Jefferson County, Ohio",5.50%,5.5
"Jefferson County, Oklahoma",4.30%,4.3
"Jefferson County, Oregon",7%,7
"Jefferson County, Pennsylvania",5.40%,5.4
"Jefferson County, Tennessee",5.40%,5.4
"Jefferson County, Texas",5.40%,5.4
"Jefferson County, Washington",8.40%,8.4
"Jefferson County, West Virginia",4.90%,4.9
"Jefferson County, Wisconsin",3.40%,3.4
"Jefferson Davis County, Mississippi",9.20%,9.2
"Jefferson Davis Parish, Louisiana",4%,4
"Jefferson Parish, Louisiana",6%,6
"Jenkins County, Georgia",4.90%,4.9
"Jennings County, Indiana",5%,5
"Jerauld County, South Dakota",0.70%,0.7
"Jerome County, Idaho",3.50%,3.5
"Jersey County, Illinois",3.40%,3.4
"Jessamine County, Kentucky",4.50%,4.5
"Jewell County, Kansas",1.50%,1.5
"Jim Hogg County, Texas",4.50%,4.5
"Jim Wells County, Texas",5.20%,5.2
"Jo Daviess County, Illinois",2.70%,2.7
"Johnson County, Arkansas",4.80%,4.8
"Johnson County, Georgia",8.30%,8.3
"Johnson County, Illinois",2.90%,2.9
"Johnson County, Indiana",3.40%,3.4
"Johnson County, Iowa",3.80%,3.8
"Johnson County, Kansas",3.20%,3.2
"Johnson County, Kentucky",5.30%,5.3
"Johnson County, Missouri",4.80%,4.8
"Johnson County, Nebraska",1.40%,1.4
"Johnson County, Tennessee",4.40%,4.4
"Johnson County, Texas",3.50%,3.5
"Johnson County, Wyoming",2.30%,2.3
"Johnston County, North Carolina",3.70%,3.7
"Johnston County, Oklahoma",5.50%,5.5
"Jones County, Georgia",4.30%,4.3
"Jones County, Iowa",3.10%,3.1
"Jones County, Mississippi",3.70%,3.7
"Jones County, North Carolina",4.80%,4.8
"Jones County, South Dakota",1.60%,1.6
"Jones County, Texas",4.70%,4.7
"Josephine County, Oregon",8.10%,8.1
"Juab County, Utah",1.90%,1.9
"Juana Díaz Municipio, Puerto Rico",18.50%,18.5
"Judith Basin County, Montana",2.40%,2.4
"Juncos Municipio, Puerto Rico",14.60%,14.6
"Juneau City and Borough, Alaska",4.50%,4.5
"Juneau County, Wisconsin",4.20%,4.2
"Juniata County, Pennsylvania",3.10%,3.1
"Kalamazoo County, Michigan",6.40%,6.4
"Kalawao County, Hawaii",0%,0
"Kalkaska County, Michigan",4.60%,4.6
"Kanabec County, Minnesota",4.40%,4.4
"Kanawha County, West Virginia",5.40%,5.4
"Kandiyohi County, Minnesota",3.80%,3.8
"Kane County, Illinois",5%,5
"Kane County, Utah",3.50%,3.5
"Kankakee County, Illinois",5.20%,5.2
"Karnes County, Texas",5.30%,5.3
"Kauai County, Hawaii",4.10%,4.1
"Kaufman County, Texas",4.90%,4.9
"Kay County, Oklahoma",6.20%,6.2
"Kearney County, Nebraska",1.60%,1.6
"Kearny County, Kansas",2.20%,2.2
"Keith County, Nebraska",2.60%,2.6
"Kemper County, Mississippi",14.10%,14.1
"Kenai Peninsula Borough, Alaska",7.20%,7.2
"Kendall County, Illinois",4.30%,4.3
"Kendall County, Texas",4.80%,4.8
"Kenedy County, Texas",0%,0
"Kennebec County, Maine",4.10%,4.1
"Kenosha County, Wisconsin",5.40%,5.4
"Kent County, Delaware",6%,6
"Kent County, Maryland",3.30%,3.3
"Kent County, Michigan",4.50%,4.5
"Kent County, Rhode Island",4.60%,4.6
"Kent County, Texas",5.40%,5.4
"Kenton County, Kentucky",4.40%,4.4
"Keokuk County, Iowa",3.60%,3.6
"Kern County, California",8.40%,8.4
"Kerr County, Texas",3.30%,3.3
"Kershaw County, South Carolina",4.70%,4.7
"Ketchikan Gateway Borough, Alaska",4.10%,4.1
"Kewaunee County, Wisconsin",2%,2
"Keweenaw County, Michigan",4.70%,4.7
"Keya Paha County, Nebraska",0.20%,0.2
"Kidder County, North Dakota",1%,1
"Kimball County, Nebraska",2.20%,2.2
"Kimble County, Texas",0.80%,0.8
"King and Queen County, Virginia",5.70%,5.7
"King County, Texas",4.50%,4.5
"King County, Washington",4.50%,4.5
"King George County, Virginia",2.60%,2.6
"King William County, Virginia",4%,4
"Kingfisher County, Oklahoma",2.50%,2.5
"Kingman County, Kansas",4.70%,4.7
"Kings County, California",9.20%,9.2
"Kings County, New York",7.30%,7.3
"Kingsbury County, South Dakota",0.80%,0.8
"Kinney County, Texas",1.90%,1.9
"Kiowa County, Colorado",0%,0
"Kiowa County, Kansas",3.60%,3.6
"Kiowa County, Oklahoma",4.40%,4.4
"Kit Carson County, Colorado",2.60%,2.6
"Kitsap County, Washington",4.70%,4.7
"Kittitas County, Washington",5.90%,5.9
"Kittson County, Minnesota",3.10%,3.1
"Klamath County, Oregon",7.60%,7.6
"Kleberg County, Texas",7.50%,7.5
"Klickitat County, Washington",6.90%,6.9
"Knott County, Kentucky",10.60%,10.6
"Knox County, Illinois",4.90%,4.9
"Knox County, Indiana",3.20%,3.2
"Knox County, Kentucky",8.90%,8.9
"Knox County, Maine",3.80%,3.8
"Knox County, Missouri",2.10%,2.1
"Knox County, Nebraska",4.10%,4.1
"Knox County, Ohio",3.30%,3.3
"Knox County, Tennessee",3.80%,3.8
"Knox County, Texas",1.60%,1.6
"Kodiak Island Borough, Alaska",5.70%,5.7
"Koochiching County, Minnesota",5.10%,5.1
"Kootenai County, Idaho",3.10%,3.1
"Kosciusko County, Indiana",3.30%,3.3
"Kossuth County, Iowa",3.80%,3.8
"Kusilvak Census Area, Alaska",20.90%,20.9
"La Crosse County, Wisconsin",3.10%,3.1
"La Paz County, Arizona",10.70%,10.7
"La Plata County, Colorado",3.20%,3.2
"LaSalle County, Texas",4.20%,4.2
"Labette County, Kansas",2.40%,2.4
"Lac qui Parle County, Minnesota",2.10%,2.1
"Lackawanna County, Pennsylvania",4.80%,4.8
"Laclede County, Missouri",5.90%,5.9
"Lafayette County, Arkansas",8.70%,8.7
"Lafayette County, Florida",8.60%,8.6
"Lafayette County, Mississippi",2.80%,2.8
"Lafayette County, Missouri",2.40%,2.4
"Lafayette County, Wisconsin",2.40%,2.4
"Lafayette Parish, Louisiana",5.20%,5.2
"Lafourche Parish, Louisiana",6.50%,6.5
"LaGrange County, Indiana",3.20%,3.2
"Lajas Municipio, Puerto Rico",19.80%,19.8
"Lake and Peninsula Borough, Alaska",14%,14
"Lake County, California",10.40%,10.4
"Lake County, Colorado",2.40%,2.4
"Lake County, Florida",5.50%,5.5
"Lake County, Illinois",5%,5
"Lake County, Indiana",6.70%,6.7
"Lake County, Michigan",7.50%,7.5
"Lake County, Minnesota",2.80%,2.8
"Lake County, Montana",6.50%,6.5
"Lake County, Ohio",4.40%,4.4
"Lake County, Oregon",7.70%,7.7
"Lake County, South Dakota",1.60%,1.6
"Lake County, Tennessee",7%,7
"Lake of the Woods County, Minnesota",2.10%,2.1
"Lamar County, Alabama",5%,5
"Lamar County, Georgia",5.40%,5.4
"Lamar County, Mississippi",5.80%,5.8
"Lamar County, Texas",3.90%,3.9
"Lamb County, Texas",2.80%,2.8
"Lamoille County, Vermont",3.90%,3.9
"LaMoure County, North Dakota",1.70%,1.7
"Lampasas County, Texas",5.30%,5.3
"Lancaster County, Nebraska",3.20%,3.2
"Lancaster County, Pennsylvania",3.40%,3.4
"Lancaster County, South Carolina",5%,5
"Lancaster County, Virginia",9.30%,9.3
"Lander County, Nevada",11.70%,11.7
"Lane County, Kansas",0.40%,0.4
"Lane County, Oregon",6.70%,6.7
"Langlade County, Wisconsin",4.90%,4.9
"Lanier County, Georgia",2.30%,2.3
"Lapeer County, Michigan",5.30%,5.3
"LaPorte County, Indiana",5%,5
"Laramie County, Wyoming",3.50%,3.5
"Lares Municipio, Puerto Rico",11%,11
"Larimer County, Colorado",4.60%,4.6
"Larue County, Kentucky",2.80%,2.8
"Las Animas County, Colorado",7.40%,7.4
"Las Marías Municipio, Puerto Rico",8.10%,8.1
"Las Piedras Municipio, Puerto Rico",10.90%,10.9
"LaSalle County, Illinois",5.40%,5.4
"LaSalle Parish, Louisiana",4.60%,4.6
"Lassen County, California",7.90%,7.9
"Latah County, Idaho",5.30%,5.3
"Latimer County, Oklahoma",7.80%,7.8
"Lauderdale County, Alabama",3.60%,3.6
"Lauderdale County, Mississippi",5.50%,5.5
"Lauderdale County, Tennessee",6.10%,6.1
"Laurel County, Kentucky",3.60%,3.6
"Laurens County, Georgia",5.50%,5.5
"Laurens County, South Carolina",5.20%,5.2
"Lavaca County, Texas",3%,3
"Lawrence County, Alabama",3%,3
"Lawrence County, Arkansas",6.70%,6.7
"Lawrence County, Illinois",7.80%,7.8
"Lawrence County, Indiana",3.30%,3.3
"Lawrence County, Kentucky",5.20%,5.2
"Lawrence County, Mississippi",12%,12
"Lawrence County, Missouri",5.20%,5.2
"Lawrence County, Ohio",3.80%,3.8
"Lawrence County, Pennsylvania",6.80%,6.8
"Lawrence County, South Dakota",2.50%,2.5
"Lawrence County, Tennessee",6.30%,6.3
"Le Flore County, Oklahoma",5.20%,5.2
"Le Sueur County, Minnesota",3.60%,3.6
"Lea County, New Mexico",7.40%,7.4
"Leake County, Mississippi",6%,6
"Leavenworth County, Kansas",4.50%,4.5
"Lebanon County, Pennsylvania",4.40%,4.4
"Lee County, Alabama",3.80%,3.8
"Lee County, Arkansas",14.30%,14.3
"Lee County, Florida",4.50%,4.5
"Lee County, Georgia",4.40%,4.4
"Lee County, Illinois",3.50%,3.5
"Lee County, Iowa",4.60%,4.6
"Lee County, Kentucky",8.10%,8.1
"Lee County, Mississippi",5.60%,5.6
"Lee County, North Carolina",5.20%,5.2
"Lee County, South Carolina",9.20%,9.2
"Lee County, Texas",2.80%,2.8
"Lee County, Virginia",8.10%,8.1
"Leelanau County, Michigan",3.20%,3.2
"Leflore County, Mississippi",11.80%,11.8
"Lehigh County, Pennsylvania",5.80%,5.8
"Lemhi County, Idaho",3.10%,3.1
"Lenawee County, Michigan",5.60%,5.6
"Lenoir County, North Carolina",7.10%,7.1
"Leon County, Florida",5.70%,5.7
"Leon County, Texas",5.10%,5.1
"Leslie County, Kentucky",10%,10
"Letcher County, Kentucky",7.70%,7.7
"Levy County, Florida",4.40%,4.4
"Lewis and Clark County, Montana",3.50%,3.5
"Lewis County, Idaho",4.20%,4.2
"Lewis County, Kentucky",7.30%,7.3
"Lewis County, Missouri",5.90%,5.9
"Lewis County, New York",5.20%,5.2
"Lewis County, Tennessee",5.20%,5.2
"Lewis County, Washington",6.30%,6.3
"Lewis County, West Virginia",8.70%,8.7
"Lexington city, Virginia",2.50%,2.5
"Lexington County, South Carolina",4.40%,4.4
"Liberty County, Florida",8.20%,8.2
"Liberty County, Georgia",8.70%,8.7
"Liberty County, Montana",0.20%,0.2
"Liberty County, Texas",6.90%,6.9
"Licking County, Ohio",3.30%,3.3
"Limestone County, Alabama",4.10%,4.1
"Limestone County, Texas",3.60%,3.6
"Lincoln County, Arkansas",4%,4
"Lincoln County, Colorado",2.30%,2.3
"Lincoln County, Georgia",3.60%,3.6
"Lincoln County, Idaho",5.60%,5.6
"Lincoln County, Kansas",1.80%,1.8
"Lincoln County, Kentucky",6.60%,6.6
"Lincoln County, Maine",3.30%,3.3
"Lincoln County, Minnesota",2.70%,2.7
"Lincoln County, Mississippi",4.30%,4.3
"Lincoln County, Missouri",3.40%,3.4
"Lincoln County, Montana",6.90%,6.9
"Lincoln County, Nebraska",3.40%,3.4
"Lincoln County, Nevada",4.10%,4.1
"Lincoln County, New Mexico",5.30%,5.3
"Lincoln County, North Carolina",4.40%,4.4
"Lincoln County, Oklahoma",3%,3
"Lincoln County, Oregon",7.70%,7.7
"Lincoln County, South Dakota",1.40%,1.4
"Lincoln County, Tennessee",4.30%,4.3
"Lincoln County, Washington",5.30%,5.3
"Lincoln County, West Virginia",5.90%,5.9
"Lincoln County, Wisconsin",4.80%,4.8
"Lincoln County, Wyoming",2.60%,2.6
"Lincoln Parish, Louisiana",4.20%,4.2
"Linn County, Iowa",3.80%,3.8
"Linn County, Kansas",4.40%,4.4
"Linn County, Missouri",2.80%,2.8
"Linn County, Oregon",6.20%,6.2
"Lipscomb County, Texas",5.90%,5.9
"Little River County, Arkansas",8%,8
"Live Oak County, Texas",3.60%,3.6
"Livingston County, Illinois",3.70%,3.7
"Livingston County, Kentucky",6.10%,6.1
"Livingston County, Michigan",4%,4
"Livingston County, Missouri",3%,3
"Livingston County, New York",4.70%,4.7
"Livingston Parish, Louisiana",4.50%,4.5
"Llano County, Texas",6%,6
"Logan County, Arkansas",5.50%,5.5
"Logan County, Colorado",3.20%,3.2
"Logan County, Illinois",5.20%,5.2
"Logan County, Kansas",0.30%,0.3
"Logan County, Kentucky",5.60%,5.6
"Logan County, Nebraska",0.40%,0.4
"Logan County, North Dakota",1.30%,1.3
"Logan County, Ohio",3.50%,3.5
"Logan County, Oklahoma",2.90%,2.9
"Logan County, West Virginia",13.30%,13.3
"Loíza Municipio, Puerto Rico",21.70%,21.7
"Long County, Georgia",4.50%,4.5
"Lonoke County, Arkansas",4.50%,4.5
"Lorain County, Ohio",4.40%,4.4
"Los Alamos County, New Mexico",1.90%,1.9
"Los Angeles County, California",7%,7
"Loudon County, Tennessee",3%,3
"Loudoun County, Virginia",3.20%,3.2
"Louisa County, Iowa",4.40%,4.4
"Louisa County, Virginia",6.40%,6.4
"Loup County, Nebraska",0%,0
"Love County, Oklahoma",5.40%,5.4
"Loving County, Texas",0%,0
"Lower Connecticut River Valley Planning Region, Connecticut",4.10%,4.1
"Lowndes County, Alabama",7.50%,7.5
"Lowndes County, Georgia",5.10%,5.1
"Lowndes County, Mississippi",6.20%,6.2
"Lubbock County, Texas",4.60%,4.6
"Lucas County, Iowa",3.90%,3.9
"Lucas County, Ohio",6.80%,6.8
"Luce County, Michigan",8.30%,8.3
"Lumpkin County, Georgia",5.10%,5.1
"Luna County, New Mexico",7%,7
"Lunenburg County, Virginia",4%,4
"Luquillo Municipio, Puerto Rico",22.40%,22.4
"Luzerne County, Pennsylvania",5.90%,5.9
"Lycoming County, Pennsylvania",5.30%,5.3
"Lyman County, South Dakota",5%,5
"Lynchburg city, Virginia",5.40%,5.4
"Lynn County, Texas",3.60%,3.6
"Lyon County, Iowa",2.40%,2.4
"Lyon County, Kansas",2.70%,2.7
"Lyon County, Kentucky",3.60%,3.6
"Lyon County, Minnesota",3%,3
"Lyon County, Nevada",7.20%,7.2
"Mackinac County, Michigan",10.10%,10.1
"Macomb County, Michigan",5.70%,5.7
"Macon County, Alabama",12.50%,12.5
"Macon County, Georgia",9.20%,9.2
"Macon County, Illinois",7.20%,7.2
"Macon County, Missouri",3.80%,3.8
"Macon County, North Carolina",3.50%,3.5
"Macon County, Tennessee",3.60%,3.6
"Macoupin County, Illinois",4.60%,4.6
"Madera County, California",11.10%,11.1
"Madison County, Alabama",4.20%,4.2
"Madison County, Arkansas",4.80%,4.8
"Madison County, Florida",2.70%,2.7
"Madison County, Georgia",5.80%,5.8
"Madison County, Idaho",8.10%,8.1
"Madison County, Illinois",5.20%,5.2
"Madison County, Indiana",5.50%,5.5
"Madison County, Iowa",2.30%,2.3
"Madison County, Kentucky",5.40%,5.4
"Madison County, Mississippi",4.20%,4.2
"Madison County, Missouri",5.10%,5.1
"Madison County, Montana",2.30%,2.3
"Madison County, Nebraska",2.60%,2.6
"Madison County, New York",4.10%,4.1
"Madison County, North Carolina",1.70%,1.7
"Madison County, Ohio",3.40%,3.4
"Madison County, Tennessee",7.40%,7.4
"Madison County, Texas",6.30%,6.3
"Madison County, Virginia",3.70%,3.7
"Madison Parish, Louisiana",5.80%,5.8
"Magoffin County, Kentucky",12.80%,12.8
"Mahaska County, Iowa",3.30%,3.3
"Mahnomen County, Minnesota",10.30%,10.3
"Mahoning County, Ohio",7.20%,7.2
"Major County, Oklahoma",1.80%,1.8
"Malheur County, Oregon",6.20%,6.2
"Manassas city, Virginia",3.30%,3.3
"Manassas Park city, Virginia",3.20%,3.2
"Manatee County, Florida",5.20%,5.2
"Manatí Municipio, Puerto Rico",17.40%,17.4
"Manistee County, Michigan",6.60%,6.6
"Manitowoc County, Wisconsin",2%,2
"Marathon County, Wisconsin",3.10%,3.1
"Marengo County, Alabama",2.80%,2.8
"Maricao Municipio, Puerto Rico",2%,2
"Maricopa County, Arizona",4.80%,4.8
"Maries County, Missouri",5.60%,5.6
"Marin County, California",5.80%,5.8
"Marinette County, Wisconsin",3.80%,3.8
"Marion County, Alabama",6.50%,6.5
"Marion County, Arkansas",7%,7
"Marion County, Florida",5.90%,5.9
"Marion County, Georgia",5.40%,5.4
"Marion County, Illinois",8.10%,8.1
"Marion County, Indiana",5.50%,5.5
"Marion County, Iowa",2.30%,2.3
"Marion County, Kansas",3.70%,3.7
"Marion County, Kentucky",6%,6
"Marion County, Mississippi",9.50%,9.5
"Marion County, Missouri",2.90%,2.9
"Marion County, Ohio",5.70%,5.7
"Marion County, Oregon",5.40%,5.4
"Marion County, South Carolina",6.80%,6.8
"Marion County, Tennessee",5.70%,5.7
"Marion County, Texas",10.70%,10.7
"Marion County, West Virginia",6.40%,6.4
"Mariposa County, California",6.20%,6.2
"Marlboro County, South Carolina",7.80%,7.8
"Marquette County, Michigan",5.60%,5.6
"Marquette County, Wisconsin",3.60%,3.6
"Marshall County, Alabama",3.80%,3.8
"Marshall County, Illinois",4.20%,4.2
"Marshall County, Indiana",3%,3
"Marshall County, Iowa",5.60%,5.6
"Marshall County, Kansas",2.80%,2.8
"Marshall County, Kentucky",3%,3
"Marshall County, Minnesota",2.90%,2.9
"Marshall County, Mississippi",4.80%,4.8
"Marshall County, Oklahoma",5.80%,5.8
"Marshall County, South Dakota",1.20%,1.2
"Marshall County, Tennessee",5.80%,5.8
"Marshall County, West Virginia",3.90%,3.9
"Martin County, Florida",4.40%,4.4
"Martin County, Indiana",1.90%,1.9
"Martin County, Kentucky",6.40%,6.4
"Martin County, Minnesota",5.20%,5.2
"Martin County, North Carolina",9.60%,9.6
"Martin County, Texas",10.20%,10.2
"Martinsville city, Virginia",4.30%,4.3
"Mason County, Illinois",5.20%,5.2
"Mason County, Kentucky",4.70%,4.7
"Mason County, Michigan",4.80%,4.8
"Mason County, Texas",2.80%,2.8
"Mason County, Washington",6.20%,6.2
"Mason County, West Virginia",2.90%,2.9
"Massac County, Illinois",3.70%,3.7
"Matagorda County, Texas",6.70%,6.7
"Matanuska-Susitna Borough, Alaska",7%,7
"Mathews County, Virginia",8.20%,8.2
"Maui County, Hawaii",5.40%,5.4
"Maunabo Municipio, Puerto Rico",23.70%,23.7
"Maury County, Tennessee",2.50%,2.5
"Maverick County, Texas",7.10%,7.1
"Mayagüez Municipio, Puerto Rico",23.90%,23.9
"Mayes County, Oklahoma",5.90%,5.9
"McClain County, Oklahoma",4.10%,4.1
"McCone County, Montana",2.50%,2.5
"McCook County, South Dakota",2.10%,2.1
"McCormick County, South Carolina",6.40%,6.4
"McCracken County, Kentucky",3.60%,3.6
"McCreary County, Kentucky",5.60%,5.6
"McCulloch County, Texas",8.70%,8.7
"McCurtain County, Oklahoma",4.90%,4.9
"McDonald County, Missouri",5.90%,5.9
"McDonough County, Illinois",8%,8
"McDowell County, North Carolina",5.50%,5.5
"McDowell County, West Virginia",15.10%,15.1
"McDuffie County, Georgia",3.80%,3.8
"McHenry County, Illinois",4.90%,4.9
"McHenry County, North Dakota",4.40%,4.4
"McIntosh County, Georgia",4.40%,4.4
"McIntosh County, North Dakota",0.50%,0.5
"McIntosh County, Oklahoma",4%,4
"McKean County, Pennsylvania",5.30%,5.3
"McKenzie County, North Dakota",1.70%,1.7
"McKinley County, New Mexico",9.60%,9.6
"McLean County, Illinois",3.20%,3.2
"McLean County, Kentucky",6.70%,6.7
"McLean County, North Dakota",1.40%,1.4
"McLennan County, Texas",4.40%,4.4
"McLeod County, Minnesota",3.20%,3.2
"McMinn County, Tennessee",5.30%,5.3
"McMullen County, Texas",2.40%,2.4
"McNairy County, Tennessee",6.20%,6.2
"McPherson County, Kansas",2.10%,2.1
"McPherson County, Nebraska",0%,0
"McPherson County, South Dakota",0.30%,0.3
"Meade County, Kansas",1.20%,1.2
"Meade County, Kentucky",4.20%,4.2
"Meade County, South Dakota",3.50%,3.5
"Meagher County, Montana",1.50%,1.5
"Mecklenburg County, North Carolina",4.50%,4.5
"Mecklenburg County, Virginia",3.60%,3.6
"Mecosta County, Michigan",5.50%,5.5
"Medina County, Ohio",3%,3
"Medina County, Texas",2.40%,2.4
"Meeker County, Minnesota",2.50%,2.5
"Meigs County, Ohio",6.40%,6.4
"Meigs County, Tennessee",7.50%,7.5
"Mellette County, South Dakota",16.50%,16.5
"Menard County, Illinois",4.90%,4.9
"Menard County, Texas",14.30%,14.3
"Mendocino County, California",9.10%,9.1
"Menifee County, Kentucky",4.70%,4.7
"Menominee County, Michigan",4.50%,4.5
"Menominee County, Wisconsin",10.70%,10.7
"Merced County, California",10.70%,10.7
"Mercer County, Illinois",3.30%,3.3
"Mercer County, Kentucky",4.50%,4.5
"Mercer County, Missouri",2.90%,2.9
"Mercer County, New Jersey",6.10%,6.1
"Mercer County, North Dakota",2.70%,2.7
"Mercer County, Ohio",2%,2
"Mercer County, Pennsylvania",5.50%,5.5
"Mercer County, West Virginia",4.20%,4.2
"Meriwether County, Georgia",7.10%,7.1
"Merrick County, Nebraska",0.50%,0.5
"Merrimack County, New Hampshire",3.60%,3.6
"Mesa County, Colorado",5.30%,5.3
"Metcalfe County, Kentucky",4.80%,4.8
"Miami County, Indiana",4.50%,4.5
"Miami County, Kansas",2.80%,2.8
"Miami County, Ohio",3.40%,3.4
"Miami-Dade County, Florida",4.60%,4.6
"Middlesex County, Massachusetts",4.40%,4.4
"Middlesex County, New Jersey",6.30%,6.3
"Middlesex County, Virginia",4.60%,4.6
"Midland County, Michigan",5%,5
"Midland County, Texas",3.40%,3.4
"Mifflin County, Pennsylvania",3.90%,3.9
"Milam County, Texas",5.80%,5.8
