Geographic Area,"Natural resources, construction, and maintenance occupations",Natural rescs
"Holmes County, Florida",15.30%,15.3
"Holmes County, Mississippi",13.10%,13.1
"Holmes County, Ohio",13.70%,13.7
"Holt County, Missouri",12.20%,12.2
"Holt County, Nebraska",13.60%,13.6
"Honolulu County, Hawaii",8.40%,8.4
"Hood County, Texas",10.10%,10.1
"Hood River County, Oregon",17.20%,17.2
"Hooker County, Nebraska",21.10%,21.1
"Hoonah-Angoon Census Area, Alaska",10.60%,10.6
"Hopewell city, Virginia",9.60%,9.6
"Hopkins County, Kentucky",13%,13
"Hopkins County, Texas",14.40%,14.4
"Hormigueros Municipio, Puerto Rico",5.20%,5.2
"Horry County, South Carolina",10.40%,10.4
"Hot Spring County, Arkansas",13.50%,13.5
"Hot Springs County, Wyoming",12.90%,12.9
"Houghton County, Michigan",10.30%,10.3
"Houston County, Alabama",9.30%,9.3
"Houston County, Georgia",8.90%,8.9
"Houston County, Minnesota",13%,13
"Houston County, Tennessee",18.30%,18.3
"Houston County, Texas",9.40%,9.4
"Howard County, Arkansas",15%,15
"Howard County, Indiana",7.50%,7.5
"Howard County, Iowa",16.70%,16.7
"Howard County, Maryland",3.50%,3.5
"Howard County, Missouri",10.30%,10.3
"Howard County, Nebraska",15.20%,15.2
"Howard County, Texas",16.50%,16.5
"Howell County, Missouri",10.60%,10.6
"Hubbard County, Minnesota",13.10%,13.1
"Hudson County, New Jersey",6.50%,6.5
"Hudspeth County, Texas",24.50%,24.5
"Huerfano County, Colorado",10.80%,10.8
"Hughes County, Oklahoma",13.80%,13.8
"Hughes County, South Dakota",7.10%,7.1
"Humacao Municipio, Puerto Rico",9.90%,9.9
"Humboldt County, California",10.40%,10.4
"Humboldt County, Iowa",11.10%,11.1
"Humboldt County, Nevada",21.30%,21.3
"Humphreys County, Mississippi",15%,15
"Humphreys County, Tennessee",12.90%,12.9
"Hunt County, Texas",12.30%,12.3
"Hunterdon County, New Jersey",7.20%,7.2
"Huntingdon County, Pennsylvania",13.20%,13.2
"Huntington County, Indiana",9.70%,9.7
"Huron County, Michigan",12.90%,12.9
"Huron County, Ohio",12.80%,12.8
"Hutchinson County, South Dakota",13.40%,13.4
"Hutchinson County, Texas",16.40%,16.4
"Hyde County, North Carolina",6.40%,6.4
"Hyde County, South Dakota",15.10%,15.1
"Iberia Parish, Louisiana",14.20%,14.2
"Iberville Parish, Louisiana",13.30%,13.3
"Ida County, Iowa",15.50%,15.5
"Idaho County, Idaho",15.10%,15.1
"Imperial County, California",15.20%,15.2
"Independence County, Arkansas",12.70%,12.7
"Indian River County, Florida",9.10%,9.1
"Indiana County, Pennsylvania",11.50%,11.5
"Ingham County, Michigan",5.50%,5.5
"Inyo County, California",9.80%,9.8
"Ionia County, Michigan",13.90%,13.9
"Iosco County, Michigan",16.80%,16.8
"Iowa County, Iowa",12.80%,12.8
"Iowa County, Wisconsin",15%,15
"Iredell County, North Carolina",9%,9
"Irion County, Texas",21.10%,21.1
"Iron County, Michigan",12.20%,12.2
"Iron County, Missouri",15.30%,15.3
"Iron County, Utah",11.90%,11.9
"Iron County, Wisconsin",14.40%,14.4
"Iroquois County, Illinois",13.50%,13.5
"Irwin County, Georgia",13.60%,13.6
"Isabela Municipio, Puerto Rico",8.70%,8.7
"Isabella County, Michigan",8.40%,8.4
"Isanti County, Minnesota",16.50%,16.5
"Island County, Washington",11%,11
"Isle of Wight County, Virginia",9.70%,9.7
"Issaquena County, Mississippi",30.40%,30.4
"Itasca County, Minnesota",12.60%,12.6
"Itawamba County, Mississippi",11.70%,11.7
"Izard County, Arkansas",14%,14
"Jack County, Texas",17.20%,17.2
"Jackson County, Alabama",13.20%,13.2
"Jackson County, Arkansas",12.70%,12.7
"Jackson County, Colorado",14.20%,14.2
"Jackson County, Florida",13.20%,13.2
"Jackson County, Georgia",9.30%,9.3
"Jackson County, Illinois",7.90%,7.9
"Jackson County, Indiana",9.30%,9.3
"Jackson County, Iowa",14.70%,14.7
"Jackson County, Kansas",18.50%,18.5
"Jackson County, Kentucky",10.40%,10.4
"Jackson County, Michigan",9.30%,9.3
"Jackson County, Minnesota",13.70%,13.7
"Jackson County, Mississippi",12.10%,12.1
"Jackson County, Missouri",8.20%,8.2
"Jackson County, North Carolina",9.20%,9.2
"Jackson County, Ohio",11.20%,11.2
"Jackson County, Oklahoma",16.80%,16.8
"Jackson County, Oregon",8.30%,8.3
"Jackson County, South Dakota",3.30%,3.3
"Jackson County, Tennessee",17.40%,17.4
"Jackson County, Texas",20.70%,20.7
"Jackson County, West Virginia",11.10%,11.1
"Jackson County, Wisconsin",14.20%,14.2
"Jackson Parish, Louisiana",12.10%,12.1
"James City County, Virginia",6.30%,6.3
"Jasper County, Georgia",15.20%,15.2
"Jasper County, Illinois",15.10%,15.1
"Jasper County, Indiana",15.60%,15.6
"Jasper County, Iowa",11.20%,11.2
"Jasper County, Mississippi",12.20%,12.2
"Jasper County, Missouri",7.40%,7.4
"Jasper County, South Carolina",15.30%,15.3
"Jasper County, Texas",14.90%,14.9
"Jay County, Indiana",13.60%,13.6
"Jayuya Municipio, Puerto Rico",11.90%,11.9
"Jeff Davis County, Georgia",12.50%,12.5
"Jeff Davis County, Texas",13.20%,13.2
"Jefferson County, Alabama",7%,7
"Jefferson County, Arkansas",7.60%,7.6
"Jefferson County, Colorado",7.10%,7.1
"Jefferson County, Florida",12%,12
"Jefferson County, Georgia",14.80%,14.8
"Jefferson County, Idaho",15.40%,15.4
"Jefferson County, Illinois",9.90%,9.9
"Jefferson County, Indiana",9.10%,9.1
"Jefferson County, Iowa",10%,10
"Jefferson County, Kansas",19.10%,19.1
"Jefferson County, Kentucky",6.10%,6.1
"Jefferson County, Mississippi",9.10%,9.1
"Jefferson County, Missouri",13.50%,13.5
"Jefferson County, Montana",14%,14
"Jefferson County, Nebraska",16.30%,16.3
"Jefferson County, New York",10.10%,10.1
"Jefferson County, Ohio",9.90%,9.9
"Jefferson County, Oklahoma",17.30%,17.3
"Jefferson County, Oregon",10.60%,10.6
"Jefferson County, Pennsylvania",13.30%,13.3
"Jefferson County, Tennessee",11.50%,11.5
"Jefferson County, Texas",13.40%,13.4
"Jefferson County, Washington",10.70%,10.7
"Jefferson County, West Virginia",9.70%,9.7
"Jefferson County, Wisconsin",10.90%,10.9
"Jefferson Davis County, Mississippi",11.50%,11.5
"Jefferson Davis Parish, Louisiana",17.70%,17.7
"Jefferson Parish, Louisiana",10.90%,10.9
"Jenkins County, Georgia",8.50%,8.5
"Jennings County, Indiana",14.40%,14.4
"Jerauld County, South Dakota",8.70%,8.7
"Jerome County, Idaho",22.10%,22.1
"Jersey County, Illinois",10.70%,10.7
"Jessamine County, Kentucky",8.90%,8.9
"Jewell County, Kansas",10.20%,10.2
"Jim Hogg County, Texas",22.30%,22.3
"Jim Wells County, Texas",16.90%,16.9
"Jo Daviess County, Illinois",10.70%,10.7
"Johnson County, Arkansas",10%,10
"Johnson County, Georgia",22.90%,22.9
"Johnson County, Illinois",10.90%,10.9
"Johnson County, Indiana",9%,9
"Johnson County, Iowa",5.40%,5.4
"Johnson County, Kansas",4.40%,4.4
"Johnson County, Kentucky",8.20%,8.2
"Johnson County, Missouri",9.80%,9.8
"Johnson County, Nebraska",15.40%,15.4
"Johnson County, Tennessee",13.10%,13.1
"Johnson County, Texas",10.60%,10.6
"Johnson County, Wyoming",11.70%,11.7
"Johnston County, North Carolina",12.90%,12.9
"Johnston County, Oklahoma",11.60%,11.6
"Jones County, Georgia",11.70%,11.7
"Jones County, Iowa",10.50%,10.5
"Jones County, Mississippi",12.40%,12.4
"Jones County, North Carolina",15%,15
"Jones County, South Dakota",11.90%,11.9
"Jones County, Texas",17.20%,17.2
"Josephine County, Oregon",8.20%,8.2
"Juab County, Utah",13.60%,13.6
"Juana Díaz Municipio, Puerto Rico",10.90%,10.9
"Judith Basin County, Montana",13.90%,13.9
"Juncos Municipio, Puerto Rico",9%,9
"Juneau City and Borough, Alaska",11.10%,11.1
"Juneau County, Wisconsin",11%,11
"Juniata County, Pennsylvania",17%,17
"Kalamazoo County, Michigan",6.40%,6.4
"Kalawao County, Hawaii",11.10%,11.1
"Kalkaska County, Michigan",15.30%,15.3
"Kanabec County, Minnesota",16.60%,16.6
"Kanawha County, West Virginia",6.30%,6.3
"Kandiyohi County, Minnesota",11%,11
"Kane County, Illinois",7.50%,7.5
"Kane County, Utah",5.20%,5.2
"Kankakee County, Illinois",9.60%,9.6
"Karnes County, Texas",15.50%,15.5
"Kauai County, Hawaii",9.70%,9.7
"Kaufman County, Texas",10.80%,10.8
"Kay County, Oklahoma",14.10%,14.1
"Kearney County, Nebraska",14.70%,14.7
"Kearny County, Kansas",22.70%,22.7
"Keith County, Nebraska",12.80%,12.8
"Kemper County, Mississippi",5.70%,5.7
"Kenai Peninsula Borough, Alaska",14.40%,14.4
"Kendall County, Illinois",8.60%,8.6
"Kendall County, Texas",9%,9
"Kenedy County, Texas",30.40%,30.4
"Kennebec County, Maine",10.80%,10.8
"Kenosha County, Wisconsin",8.10%,8.1
"Kent County, Delaware",9.50%,9.5
"Kent County, Maryland",9.20%,9.2
"Kent County, Michigan",6.70%,6.7
"Kent County, Rhode Island",7.90%,7.9
"Kent County, Texas",25.90%,25.9
"Kenton County, Kentucky",6.50%,6.5
"Keokuk County, Iowa",14.10%,14.1
"Kern County, California",18.90%,18.9
"Kerr County, Texas",11.60%,11.6
"Kershaw County, South Carolina",10.80%,10.8
"Ketchikan Gateway Borough, Alaska",11.20%,11.2
"Kewaunee County, Wisconsin",16.20%,16.2
"Keweenaw County, Michigan",11.80%,11.8
"Keya Paha County, Nebraska",20.70%,20.7
"Kidder County, North Dakota",17.70%,17.7
"Kimball County, Nebraska",12.80%,12.8
"Kimble County, Texas",18.80%,18.8
"King and Queen County, Virginia",16.70%,16.7
"King County, Texas",23.50%,23.5
"King County, Washington",5.10%,5.1
"King George County, Virginia",7.90%,7.9
"King William County, Virginia",12.10%,12.1
"Kingfisher County, Oklahoma",18.10%,18.1
"Kingman County, Kansas",11.60%,11.6
"Kings County, California",20.30%,20.3
"Kings County, New York",5.50%,5.5
"Kingsbury County, South Dakota",13.30%,13.3
"Kinney County, Texas",6.80%,6.8
"Kiowa County, Colorado",19%,19
"Kiowa County, Kansas",12.80%,12.8
"Kiowa County, Oklahoma",18.70%,18.7
"Kit Carson County, Colorado",19.40%,19.4
"Kitsap County, Washington",10.30%,10.3
"Kittitas County, Washington",9.70%,9.7
"Kittson County, Minnesota",12.80%,12.8
"Klamath County, Oregon",11.50%,11.5
"Kleberg County, Texas",12.80%,12.8
"Klickitat County, Washington",15.50%,15.5
"Knott County, Kentucky",11.20%,11.2
"Knox County, Illinois",10%,10
"Knox County, Indiana",9%,9
"Knox County, Kentucky",8.30%,8.3
"Knox County, Maine",14.80%,14.8
"Knox County, Missouri",17.90%,17.9
"Knox County, Nebraska",15%,15
"Knox County, Ohio",10.30%,10.3
"Knox County, Tennessee",7.30%,7.3
"Knox County, Texas",21.30%,21.3
"Kodiak Island Borough, Alaska",12%,12
"Koochiching County, Minnesota",14.50%,14.5
"Kootenai County, Idaho",11.60%,11.6
"Kosciusko County, Indiana",9%,9
"Kossuth County, Iowa",14.80%,14.8
"Kusilvak Census Area, Alaska",10.90%,10.9
"La Crosse County, Wisconsin",6.80%,6.8
"La Paz County, Arizona",16.40%,16.4
"La Plata County, Colorado",9%,9
"LaSalle County, Texas",32.80%,32.8
"Labette County, Kansas",10.90%,10.9
"Lac qui Parle County, Minnesota",13.50%,13.5
"Lackawanna County, Pennsylvania",7.30%,7.3
"Laclede County, Missouri",10.10%,10.1
"Lafayette County, Arkansas",13%,13
"Lafayette County, Florida",19.20%,19.2
"Lafayette County, Mississippi",6.20%,6.2
"Lafayette County, Missouri",16%,16
"Lafayette County, Wisconsin",16.70%,16.7
"Lafayette Parish, Louisiana",8.30%,8.3
"Lafourche Parish, Louisiana",13.10%,13.1
"LaGrange County, Indiana",13.70%,13.7
"Lajas Municipio, Puerto Rico",9.70%,9.7
"Lake and Peninsula Borough, Alaska",22.20%,22.2
"Lake County, California",14.80%,14.8
"Lake County, Colorado",17.40%,17.4
"Lake County, Florida",10.10%,10.1
"Lake County, Illinois",5.60%,5.6
"Lake County, Indiana",9.80%,9.8
"Lake County, Michigan",12.20%,12.2
"Lake County, Minnesota",13.30%,13.3
"Lake County, Montana",9.90%,9.9
"Lake County, Ohio",7%,7
"Lake County, Oregon",10.90%,10.9
"Lake County, South Dakota",12.60%,12.6
"Lake County, Tennessee",9.20%,9.2
"Lake of the Woods County, Minnesota",13.50%,13.5
"Lamar County, Alabama",9.80%,9.8
"Lamar County, Georgia",11.40%,11.4
"Lamar County, Mississippi",8.10%,8.1
"Lamar County, Texas",13.10%,13.1
"Lamb County, Texas",17.80%,17.8
"Lamoille County, Vermont",12%,12
"LaMoure County, North Dakota",13.40%,13.4
"Lampasas County, Texas",11.30%,11.3
"Lancaster County, Nebraska",8.10%,8.1
"Lancaster County, Pennsylvania",10%,10
"Lancaster County, South Carolina",9%,9
"Lancaster County, Virginia",10.50%,10.5
"Lander County, Nevada",23.70%,23.7
"Lane County, Kansas",16.90%,16.9
"Lane County, Oregon",9.10%,9.1
"Langlade County, Wisconsin",14.20%,14.2
"Lanier County, Georgia",11.70%,11.7
"Lapeer County, Michigan",13.90%,13.9
"LaPorte County, Indiana",9.60%,9.6
"Laramie County, Wyoming",12%,12
"Lares Municipio, Puerto Rico",14.30%,14.3
"Larimer County, Colorado",7.90%,7.9
"Larue County, Kentucky",10.10%,10.1
"Las Animas County, Colorado",13.20%,13.2
"Las Marías Municipio, Puerto Rico",16.80%,16.8
"Las Piedras Municipio, Puerto Rico",10.50%,10.5
"LaSalle County, Illinois",11.20%,11.2
"LaSalle Parish, Louisiana",23.80%,23.8
"Lassen County, California",11%,11
"Latah County, Idaho",9.20%,9.2
"Latimer County, Oklahoma",16.50%,16.5
"Lauderdale County, Alabama",10.20%,10.2
"Lauderdale County, Mississippi",9.10%,9.1
"Lauderdale County, Tennessee",10.60%,10.6
"Laurel County, Kentucky",7.70%,7.7
"Laurens County, Georgia",11.20%,11.2
"Laurens County, South Carolina",11%,11
"Lavaca County, Texas",12.80%,12.8
"Lawrence County, Alabama",12.30%,12.3
"Lawrence County, Arkansas",14.80%,14.8
"Lawrence County, Illinois",13.30%,13.3
"Lawrence County, Indiana",11.90%,11.9
"Lawrence County, Kentucky",13.80%,13.8
"Lawrence County, Mississippi",20.50%,20.5
"Lawrence County, Missouri",10.60%,10.6
"Lawrence County, Ohio",7.90%,7.9
"Lawrence County, Pennsylvania",10.20%,10.2
"Lawrence County, South Dakota",11.90%,11.9
"Lawrence County, Tennessee",12.70%,12.7
"Le Flore County, Oklahoma",13.40%,13.4
"Le Sueur County, Minnesota",12.40%,12.4
"Lea County, New Mexico",19.90%,19.9
"Leake County, Mississippi",15.30%,15.3
"Leavenworth County, Kansas",7.90%,7.9
"Lebanon County, Pennsylvania",9.10%,9.1
"Lee County, Alabama",7.40%,7.4
"Lee County, Arkansas",17.50%,17.5
"Lee County, Florida",11.80%,11.8
"Lee County, Georgia",9.80%,9.8
"Lee County, Illinois",10.20%,10.2
"Lee County, Iowa",10.10%,10.1
"Lee County, Kentucky",14.90%,14.9
"Lee County, Mississippi",8.30%,8.3
"Lee County, North Carolina",11.10%,11.1
"Lee County, South Carolina",11.80%,11.8
"Lee County, Texas",15.60%,15.6
"Lee County, Virginia",13.30%,13.3
"Leelanau County, Michigan",9.60%,9.6
"Leflore County, Mississippi",6.20%,6.2
"Lehigh County, Pennsylvania",6.60%,6.6
"Lemhi County, Idaho",16.70%,16.7
"Lenawee County, Michigan",9.90%,9.9
"Lenoir County, North Carolina",13%,13
"Leon County, Florida",5.20%,5.2
"Leon County, Texas",15.50%,15.5
"Leslie County, Kentucky",17.60%,17.6
"Letcher County, Kentucky",10.30%,10.3
"Levy County, Florida",17.50%,17.5
"Lewis and Clark County, Montana",8.70%,8.7
"Lewis County, Idaho",16.90%,16.9
"Lewis County, Kentucky",18.40%,18.4
"Lewis County, Missouri",9.60%,9.6
"Lewis County, New York",17.20%,17.2
"Lewis County, Tennessee",11.30%,11.3
"Lewis County, Washington",14.90%,14.9
"Lewis County, West Virginia",16.30%,16.3
"Lexington city, Virginia",1.70%,1.7
"Lexington County, South Carolina",10.30%,10.3
"Liberty County, Florida",13.90%,13.9
"Liberty County, Georgia",9.40%,9.4
"Liberty County, Montana",14.30%,14.3
"Liberty County, Texas",22.30%,22.3
"Licking County, Ohio",8.60%,8.6
"Limestone County, Alabama",10.40%,10.4
"Limestone County, Texas",17.20%,17.2
"Lincoln County, Arkansas",15.30%,15.3
"Lincoln County, Colorado",11.40%,11.4
"Lincoln County, Georgia",12.60%,12.6
"Lincoln County, Idaho",21.70%,21.7
"Lincoln County, Kansas",10.50%,10.5
"Lincoln County, Kentucky",12.70%,12.7
"Lincoln County, Maine",14.80%,14.8
"Lincoln County, Minnesota",11.80%,11.8
"Lincoln County, Mississippi",13.60%,13.6
"Lincoln County, Missouri",14.80%,14.8
"Lincoln County, Montana",14.80%,14.8
"Lincoln County, Nebraska",13.80%,13.8
"Lincoln County, Nevada",23%,23
"Lincoln County, New Mexico",15.30%,15.3
"Lincoln County, North Carolina",9.20%,9.2
"Lincoln County, Oklahoma",14.50%,14.5
"Lincoln County, Oregon",10.40%,10.4
"Lincoln County, South Dakota",6.50%,6.5
"Lincoln County, Tennessee",13.60%,13.6
"Lincoln County, Washington",13.40%,13.4
"Lincoln County, West Virginia",11.60%,11.6
"Lincoln County, Wisconsin",9.60%,9.6
"Lincoln County, Wyoming",21.60%,21.6
"Lincoln Parish, Louisiana",8.50%,8.5
"Linn County, Iowa",7.70%,7.7
"Linn County, Kansas",18.30%,18.3
"Linn County, Missouri",12.60%,12.6
"Linn County, Oregon",10.80%,10.8
"Lipscomb County, Texas",15.20%,15.2
"Little River County, Arkansas",14.20%,14.2
"Live Oak County, Texas",20.80%,20.8
"Livingston County, Illinois",10.10%,10.1
"Livingston County, Kentucky",16.40%,16.4
"Livingston County, Michigan",9.70%,9.7
"Livingston County, Missouri",8.50%,8.5
"Livingston County, New York",12.90%,12.9
"Livingston Parish, Louisiana",15.40%,15.4
"Llano County, Texas",11.20%,11.2
"Logan County, Arkansas",11.60%,11.6
"Logan County, Colorado",10.90%,10.9
"Logan County, Illinois",10.40%,10.4
"Logan County, Kansas",12.60%,12.6
"Logan County, Kentucky",12.90%,12.9
"Logan County, Nebraska",15.10%,15.1
"Logan County, North Dakota",19%,19
"Logan County, Ohio",10.30%,10.3
"Logan County, Oklahoma",11.60%,11.6
"Logan County, West Virginia",13.10%,13.1
"Loíza Municipio, Puerto Rico",8.10%,8.1
"Long County, Georgia",13.60%,13.6
"Lonoke County, Arkansas",13.70%,13.7
"Lorain County, Ohio",8.20%,8.2
"Los Alamos County, New Mexico",4.20%,4.2
"Los Angeles County, California",7.60%,7.6
"Loudon County, Tennessee",9.90%,9.9
"Loudoun County, Virginia",3.90%,3.9
"Louisa County, Iowa",15.20%,15.2
"Louisa County, Virginia",10.80%,10.8
"Loup County, Nebraska",17.80%,17.8
"Love County, Oklahoma",13.70%,13.7
"Loving County, Texas",0%,0
"Lower Connecticut River Valley Planning Region, Connecticut",7.20%,7.2
"Lowndes County, Alabama",10.30%,10.3
"Lowndes County, Georgia",8.70%,8.7
"Lowndes County, Mississippi",10.40%,10.4
"Lubbock County, Texas",8.70%,8.7
"Lucas County, Iowa",12.40%,12.4
"Lucas County, Ohio",7.10%,7.1
"Luce County, Michigan",7.60%,7.6
"Lumpkin County, Georgia",9.20%,9.2
"Luna County, New Mexico",14.10%,14.1
"Lunenburg County, Virginia",16.40%,16.4
"Luquillo Municipio, Puerto Rico",10.40%,10.4
"Luzerne County, Pennsylvania",8.20%,8.2
"Lycoming County, Pennsylvania",8.90%,8.9
"Lyman County, South Dakota",13.70%,13.7
"Lynchburg city, Virginia",5.70%,5.7
"Lynn County, Texas",15.40%,15.4
"Lyon County, Iowa",10.70%,10.7
"Lyon County, Kansas",8.20%,8.2
"Lyon County, Kentucky",10.60%,10.6
"Lyon County, Minnesota",9.60%,9.6
"Lyon County, Nevada",12.80%,12.8
"Mackinac County, Michigan",10.80%,10.8
"Macomb County, Michigan",7.60%,7.6
"Macon County, Alabama",5.60%,5.6
"Macon County, Georgia",11.20%,11.2
"Macon County, Illinois",8.10%,8.1
"Macon County, Missouri",11.50%,11.5
"Macon County, North Carolina",12.70%,12.7
"Macon County, Tennessee",14.70%,14.7
"Macoupin County, Illinois",12.90%,12.9
"Madera County, California",21.70%,21.7
"Madison County, Alabama",6.20%,6.2
"Madison County, Arkansas",18.10%,18.1
"Madison County, Florida",11.80%,11.8
"Madison County, Georgia",14.20%,14.2
"Madison County, Idaho",6.50%,6.5
"Madison County, Illinois",8.80%,8.8
"Madison County, Indiana",10.70%,10.7
"Madison County, Iowa",14.10%,14.1
"Madison County, Kentucky",7.10%,7.1
"Madison County, Mississippi",6.20%,6.2
"Madison County, Missouri",12.20%,12.2
"Madison County, Montana",21.20%,21.2
"Madison County, Nebraska",12%,12
"Madison County, New York",9.50%,9.5
"Madison County, North Carolina",15.70%,15.7
"Madison County, Ohio",12.30%,12.3
"Madison County, Tennessee",6.80%,6.8
"Madison County, Texas",19.20%,19.2
"Madison County, Virginia",8.80%,8.8
"Madison Parish, Louisiana",11%,11
"Magoffin County, Kentucky",14.50%,14.5
"Mahaska County, Iowa",11.60%,11.6
"Mahnomen County, Minnesota",14.30%,14.3
"Mahoning County, Ohio",7.60%,7.6
"Major County, Oklahoma",17.20%,17.2
"Malheur County, Oregon",18.30%,18.3
"Manassas city, Virginia",13.40%,13.4
"Manassas Park city, Virginia",14.30%,14.3
"Manatee County, Florida",9.30%,9.3
"Manatí Municipio, Puerto Rico",9.10%,9.1
"Manistee County, Michigan",12.50%,12.5
"Manitowoc County, Wisconsin",11.20%,11.2
"Marathon County, Wisconsin",9.30%,9.3
"Marengo County, Alabama",11.40%,11.4
"Maricao Municipio, Puerto Rico",19.90%,19.9
"Maricopa County, Arizona",8.30%,8.3
"Maries County, Missouri",13.30%,13.3
"Marin County, California",5.50%,5.5
"Marinette County, Wisconsin",11.30%,11.3
"Marion County, Alabama",13.50%,13.5
"Marion County, Arkansas",11.40%,11.4
"Marion County, Florida",10.50%,10.5
"Marion County, Georgia",16.10%,16.1
"Marion County, Illinois",8.50%,8.5
"Marion County, Indiana",7.10%,7.1
"Marion County, Iowa",8.40%,8.4
"Marion County, Kansas",12.70%,12.7
"Marion County, Kentucky",9.80%,9.8
"Marion County, Mississippi",19.60%,19.6
"Marion County, Missouri",9.80%,9.8
"Marion County, Ohio",7.50%,7.5
"Marion County, Oregon",13%,13
"Marion County, South Carolina",11.10%,11.1
"Marion County, Tennessee",14.50%,14.5
"Marion County, Texas",10.70%,10.7
"Marion County, West Virginia",12.30%,12.3
"Mariposa County, California",10.80%,10.8
"Marlboro County, South Carolina",9.90%,9.9
"Marquette County, Michigan",10.10%,10.1
"Marquette County, Wisconsin",15.40%,15.4
"Marshall County, Alabama",10.90%,10.9
"Marshall County, Illinois",13.30%,13.3
"Marshall County, Indiana",11.70%,11.7
"Marshall County, Iowa",11.50%,11.5
"Marshall County, Kansas",9.80%,9.8
"Marshall County, Kentucky",11.20%,11.2
"Marshall County, Minnesota",13.50%,13.5
"Marshall County, Mississippi",13.30%,13.3
"Marshall County, Oklahoma",9.10%,9.1
"Marshall County, South Dakota",15.10%,15.1
"Marshall County, Tennessee",11.50%,11.5
"Marshall County, West Virginia",12.70%,12.7
"Martin County, Florida",10.60%,10.6
"Martin County, Indiana",15%,15
"Martin County, Kentucky",14.30%,14.3
"Martin County, Minnesota",11.30%,11.3
"Martin County, North Carolina",10.90%,10.9
"Martin County, Texas",16%,16
"Martinsville city, Virginia",7.80%,7.8
"Mason County, Illinois",13.10%,13.1
"Mason County, Kentucky",11%,11
"Mason County, Michigan",11.30%,11.3
"Mason County, Texas",9.60%,9.6
"Mason County, Washington",15.60%,15.6
"Mason County, West Virginia",13.90%,13.9
"Massac County, Illinois",10.60%,10.6
"Matagorda County, Texas",21.60%,21.6
"Matanuska-Susitna Borough, Alaska",17%,17
"Mathews County, Virginia",18.40%,18.4
"Maui County, Hawaii",9.80%,9.8
"Maunabo Municipio, Puerto Rico",16%,16
"Maury County, Tennessee",9.50%,9.5
"Maverick County, Texas",12.90%,12.9
"Mayagüez Municipio, Puerto Rico",6%,6
"Mayes County, Oklahoma",13.40%,13.4
"McClain County, Oklahoma",13.80%,13.8
"McCone County, Montana",17.70%,17.7
"McCook County, South Dakota",15.40%,15.4
"McCormick County, South Carolina",8.80%,8.8
"McCracken County, Kentucky",7%,7
"McCreary County, Kentucky",11%,11
"McCulloch County, Texas",13%,13
"McCurtain County, Oklahoma",14.70%,14.7
"McDonald County, Missouri",12.60%,12.6
"McDonough County, Illinois",8.50%,8.5
"McDowell County, North Carolina",11.50%,11.5
"McDowell County, West Virginia",10%,10
"McDuffie County, Georgia",11.60%,11.6
"McHenry County, Illinois",9.60%,9.6
"McHenry County, North Dakota",13.40%,13.4
"McIntosh County, Georgia",11.80%,11.8
"McIntosh County, North Dakota",17.50%,17.5
"McIntosh County, Oklahoma",16%,16
"McKean County, Pennsylvania",10.50%,10.5
"McKenzie County, North Dakota",21.70%,21.7
"McKinley County, New Mexico",8.90%,8.9
"McLean County, Illinois",6.30%,6.3
"McLean County, Kentucky",16%,16
"McLean County, North Dakota",19.30%,19.3
"McLennan County, Texas",10.30%,10.3
"McLeod County, Minnesota",12.40%,12.4
"McMinn County, Tennessee",9.90%,9.9
"McMullen County, Texas",17%,17
"McNairy County, Tennessee",13.20%,13.2
"McPherson County, Kansas",8.80%,8.8
"McPherson County, Nebraska",10.70%,10.7
"McPherson County, South Dakota",21.50%,21.5
"Meade County, Kansas",14.40%,14.4
"Meade County, Kentucky",14.50%,14.5
"Meade County, South Dakota",14.50%,14.5
"Meagher County, Montana",14.40%,14.4
"Mecklenburg County, North Carolina",6.70%,6.7
"Mecklenburg County, Virginia",9.60%,9.6
"Mecosta County, Michigan",11.60%,11.6
"Medina County, Ohio",8.50%,8.5
"Medina County, Texas",14.10%,14.1
"Meeker County, Minnesota",13.30%,13.3
"Meigs County, Ohio",13.80%,13.8
"Meigs County, Tennessee",15.40%,15.4
"Mellette County, South Dakota",10.70%,10.7
"Menard County, Illinois",8.30%,8.3
"Menard County, Texas",12.70%,12.7
"Mendocino County, California",12.90%,12.9
"Menifee County, Kentucky",14.60%,14.6
"Menominee County, Michigan",11.70%,11.7
"Menominee County, Wisconsin",12.70%,12.7
"Merced County, California",19.70%,19.7
"Mercer County, Illinois",15.40%,15.4
"Mercer County, Kentucky",10.10%,10.1
"Mercer County, Missouri",13.40%,13.4
"Mercer County, New Jersey",6.20%,6.2
"Mercer County, North Dakota",22.70%,22.7
"Mercer County, Ohio",9.10%,9.1
"Mercer County, Pennsylvania",8.60%,8.6
"Mercer County, West Virginia",10.70%,10.7
"Meriwether County, Georgia",14%,14
"Merrick County, Nebraska",12.60%,12.6
"Merrimack County, New Hampshire",9.20%,9.2
"Mesa County, Colorado",12%,12
"Metcalfe County, Kentucky",17.50%,17.5
"Miami County, Indiana",13%,13
"Miami County, Kansas",11.70%,11.7
"Miami County, Ohio",7.80%,7.8
"Miami-Dade County, Florida",10%,10
"Middlesex County, Massachusetts",5.30%,5.3
"Middlesex County, New Jersey",5.80%,5.8
"Middlesex County, Virginia",12.70%,12.7
"Midland County, Michigan",7.70%,7.7
"Midland County, Texas",14.20%,14.2
"Mifflin County, Pennsylvania",12.20%,12.2
"Milam County, Texas",19%,19
