Geographic Area,Percent—Total population—SELECTED AGE CATEGORIES—65 years and over—Estimate,Over 65 yrs
"Holmes County, Florida",20.20%,20.2
"Holmes County, Mississippi",15.80%,15.8
"Holmes County, Ohio",14%,14
"Holt County, Missouri",25.60%,25.6
"Holt County, Nebraska",22.10%,22.1
"Honolulu County, Hawaii",18.60%,18.6
"Hood County, Texas",25.20%,25.2
"Hood River County, Oregon",17.10%,17.1
"Hooker County, Nebraska",19%,19
"Hoonah-Angoon Census Area, Alaska",24%,24
"Hopewell city, Virginia",14.70%,14.7
"Hopkins County, Kentucky",18.70%,18.7
"Hopkins County, Texas",18.30%,18.3
"Hormigueros Municipio, Puerto Rico",29.20%,29.2
"Horry County, South Carolina",25.20%,25.2
"Hot Spring County, Arkansas",19.20%,19.2
"Hot Springs County, Wyoming",26.20%,26.2
"Houghton County, Michigan",17.40%,17.4
"Houston County, Alabama",18.20%,18.2
"Houston County, Georgia",13.20%,13.2
"Houston County, Minnesota",22.10%,22.1
"Houston County, Tennessee",20.10%,20.1
"Houston County, Texas",22.10%,22.1
"Howard County, Arkansas",18.10%,18.1
"Howard County, Indiana",19.40%,19.4
"Howard County, Iowa",20.40%,20.4
"Howard County, Maryland",14.50%,14.5
"Howard County, Missouri",19.30%,19.3
"Howard County, Nebraska",21.70%,21.7
"Howard County, Texas",12.70%,12.7
"Howell County, Missouri",19.60%,19.6
"Hubbard County, Minnesota",25.80%,25.8
"Hudson County, New Jersey",12.20%,12.2
"Hudspeth County, Texas",11%,11
"Huerfano County, Colorado",33.10%,33.1
"Hughes County, Oklahoma",18.90%,18.9
"Hughes County, South Dakota",17.10%,17.1
"Humacao Municipio, Puerto Rico",24.20%,24.2
"Humboldt County, California",18.90%,18.9
"Humboldt County, Iowa",21.20%,21.2
"Humboldt County, Nevada",15.40%,15.4
"Humphreys County, Mississippi",17.40%,17.4
"Humphreys County, Tennessee",20.20%,20.2
"Hunt County, Texas",15.90%,15.9
"Hunterdon County, New Jersey",19.60%,19.6
"Huntingdon County, Pennsylvania",21.20%,21.2
"Huntington County, Indiana",17.80%,17.8
"Huron County, Michigan",26.10%,26.1
"Huron County, Ohio",17.90%,17.9
"Hutchinson County, South Dakota",21.90%,21.9
"Hutchinson County, Texas",17.20%,17.2
"Hyde County, North Carolina",23.40%,23.4
"Hyde County, South Dakota",24.10%,24.1
"Iberia Parish, Louisiana",15.60%,15.6
"Iberville Parish, Louisiana",16.70%,16.7
"Ida County, Iowa",22%,22
"Idaho County, Idaho",28.30%,28.3
"Imperial County, California",13.20%,13.2
"Independence County, Arkansas",17.40%,17.4
"Indian River County, Florida",33.90%,33.9
"Indiana County, Pennsylvania",19.70%,19.7
"Ingham County, Michigan",14.20%,14.2
"Inyo County, California",23.80%,23.8
"Ionia County, Michigan",15.30%,15.3
"Iosco County, Michigan",30%,30
"Iowa County, Iowa",19.10%,19.1
"Iowa County, Wisconsin",19.30%,19.3
"Iredell County, North Carolina",16.30%,16.3
"Irion County, Texas",19.40%,19.4
"Iron County, Michigan",30.50%,30.5
"Iron County, Missouri",22%,22
"Iron County, Utah",12.90%,12.9
"Iron County, Wisconsin",31.50%,31.5
"Iroquois County, Illinois",21.80%,21.8
"Irwin County, Georgia",18.30%,18.3
"Isabela Municipio, Puerto Rico",21.30%,21.3
"Isabella County, Michigan",13.30%,13.3
"Isanti County, Minnesota",16.60%,16.6
"Island County, Washington",25.30%,25.3
"Isle of Wight County, Virginia",19.30%,19.3
"Issaquena County, Mississippi",21%,21
"Itasca County, Minnesota",24.60%,24.6
"Itawamba County, Mississippi",17.50%,17.5
"Izard County, Arkansas",25.40%,25.4
"Jack County, Texas",17.30%,17.3
"Jackson County, Alabama",20.60%,20.6
"Jackson County, Arkansas",17.80%,17.8
"Jackson County, Colorado",31.40%,31.4
"Jackson County, Florida",21.10%,21.1
"Jackson County, Georgia",14.40%,14.4
"Jackson County, Illinois",16%,16
"Jackson County, Indiana",16.60%,16.6
"Jackson County, Iowa",21.30%,21.3
"Jackson County, Kansas",19.50%,19.5
"Jackson County, Kentucky",17.80%,17.8
"Jackson County, Michigan",18.20%,18.2
"Jackson County, Minnesota",22.60%,22.6
"Jackson County, Mississippi",16.50%,16.5
"Jackson County, Missouri",15.40%,15.4
"Jackson County, North Carolina",20.40%,20.4
"Jackson County, Ohio",17.60%,17.6
"Jackson County, Oklahoma",15.10%,15.1
"Jackson County, Oregon",22.50%,22.5
"Jackson County, South Dakota",14.60%,14.6
"Jackson County, Tennessee",22.50%,22.5
"Jackson County, Texas",19.30%,19.3
"Jackson County, West Virginia",20.60%,20.6
"Jackson County, Wisconsin",19.40%,19.4
"Jackson Parish, Louisiana",20.50%,20.5
"James City County, Virginia",26.10%,26.1
"Jasper County, Georgia",17.30%,17.3
"Jasper County, Illinois",20%,20
"Jasper County, Indiana",18%,18
"Jasper County, Iowa",19.10%,19.1
"Jasper County, Mississippi",20.70%,20.7
"Jasper County, Missouri",15.80%,15.8
"Jasper County, South Carolina",21.30%,21.3
"Jasper County, Texas",20.50%,20.5
"Jay County, Indiana",18.10%,18.1
"Jayuya Municipio, Puerto Rico",18.70%,18.7
"Jeff Davis County, Georgia",15%,15
"Jeff Davis County, Texas",41.70%,41.7
"Jefferson County, Alabama",16.30%,16.3
"Jefferson County, Arkansas",17.70%,17.7
"Jefferson County, Colorado",17.10%,17.1
"Jefferson County, Florida",24.10%,24.1
"Jefferson County, Georgia",18.40%,18.4
"Jefferson County, Idaho",11.40%,11.4
"Jefferson County, Illinois",19.60%,19.6
"Jefferson County, Indiana",18.50%,18.5
"Jefferson County, Iowa",25.30%,25.3
"Jefferson County, Kansas",19%,19
"Jefferson County, Kentucky",16.70%,16.7
"Jefferson County, Mississippi",18.10%,18.1
"Jefferson County, Missouri",15.70%,15.7
"Jefferson County, Montana",22.40%,22.4
"Jefferson County, Nebraska",24.70%,24.7
"Jefferson County, New York",14.20%,14.2
"Jefferson County, Ohio",21.90%,21.9
"Jefferson County, Oklahoma",20.40%,20.4
"Jefferson County, Oregon",19.50%,19.5
"Jefferson County, Pennsylvania",21.30%,21.3
"Jefferson County, Tennessee",20.20%,20.2
"Jefferson County, Texas",14.90%,14.9
"Jefferson County, Washington",38.60%,38.6
"Jefferson County, West Virginia",16.70%,16.7
"Jefferson County, Wisconsin",17.60%,17.6
"Jefferson Davis County, Mississippi",23.20%,23.2
"Jefferson Davis Parish, Louisiana",16.80%,16.8
"Jefferson Parish, Louisiana",17.80%,17.8
"Jenkins County, Georgia",21.30%,21.3
"Jennings County, Indiana",16.70%,16.7
"Jerauld County, South Dakota",30.90%,30.9
"Jerome County, Idaho",12.70%,12.7
"Jersey County, Illinois",19.90%,19.9
"Jessamine County, Kentucky",15.60%,15.6
"Jewell County, Kansas",30.20%,30.2
"Jim Hogg County, Texas",8.40%,8.4
"Jim Wells County, Texas",15.80%,15.8
"Jo Daviess County, Illinois",28.90%,28.9
"Johnson County, Arkansas",16.70%,16.7
"Johnson County, Georgia",19.60%,19.6
"Johnson County, Illinois",19.60%,19.6
"Johnson County, Indiana",15.30%,15.3
"Johnson County, Iowa",12.60%,12.6
"Johnson County, Kansas",15.20%,15.2
"Johnson County, Kentucky",18.50%,18.5
"Johnson County, Missouri",12.80%,12.8
"Johnson County, Nebraska",18.70%,18.7
"Johnson County, Tennessee",23.10%,23.1
"Johnson County, Texas",14%,14
"Johnson County, Wyoming",26.20%,26.2
"Johnston County, North Carolina",13.60%,13.6
"Johnston County, Oklahoma",18.80%,18.8
"Jones County, Georgia",17.90%,17.9
"Jones County, Iowa",21.10%,21.1
"Jones County, Mississippi",17.40%,17.4
"Jones County, North Carolina",23.20%,23.2
"Jones County, South Dakota",21.60%,21.6
"Jones County, Texas",15.60%,15.6
"Josephine County, Oregon",26.50%,26.5
"Juab County, Utah",12.50%,12.5
"Juana Díaz Municipio, Puerto Rico",19.40%,19.4
"Judith Basin County, Montana",25.30%,25.3
"Juncos Municipio, Puerto Rico",17.30%,17.3
"Juneau City and Borough, Alaska",14.80%,14.8
"Juneau County, Wisconsin",21%,21
"Juniata County, Pennsylvania",20.60%,20.6
"Kalamazoo County, Michigan",15.50%,15.5
"Kalawao County, Hawaii",22%,22
"Kalkaska County, Michigan",20.50%,20.5
"Kanabec County, Minnesota",21.30%,21.3
"Kanawha County, West Virginia",21.30%,21.3
"Kandiyohi County, Minnesota",19.70%,19.7
"Kane County, Illinois",14.50%,14.5
"Kane County, Utah",23.80%,23.8
"Kankakee County, Illinois",17.20%,17.2
"Karnes County, Texas",14.40%,14.4
"Kauai County, Hawaii",21.20%,21.2
"Kaufman County, Texas",11.20%,11.2
"Kay County, Oklahoma",19%,19
"Kearney County, Nebraska",20%,20
"Kearny County, Kansas",16%,16
"Keith County, Nebraska",27.20%,27.2
"Kemper County, Mississippi",20.60%,20.6
"Kenai Peninsula Borough, Alaska",18.60%,18.6
"Kendall County, Illinois",10.80%,10.8
"Kendall County, Texas",19.60%,19.6
"Kenedy County, Texas",36.20%,36.2
"Kennebec County, Maine",20.60%,20.6
"Kenosha County, Wisconsin",14.80%,14.8
"Kent County, Delaware",17.60%,17.6
"Kent County, Maryland",26.80%,26.8
"Kent County, Michigan",14.20%,14.2
"Kent County, Rhode Island",19.50%,19.5
"Kent County, Texas",37.30%,37.3
"Kenton County, Kentucky",15%,15
"Keokuk County, Iowa",21.90%,21.9
"Kern County, California",11.30%,11.3
"Kerr County, Texas",27.90%,27.9
"Kershaw County, South Carolina",18.60%,18.6
"Ketchikan Gateway Borough, Alaska",16.70%,16.7
"Kewaunee County, Wisconsin",21.20%,21.2
"Keweenaw County, Michigan",35.90%,35.9
"Keya Paha County, Nebraska",20.50%,20.5
"Kidder County, North Dakota",26.60%,26.6
"Kimball County, Nebraska",25.90%,25.9
"Kimble County, Texas",28%,28
"King and Queen County, Virginia",22.30%,22.3
"King County, Texas",13%,13
"King County, Washington",13.60%,13.6
"King George County, Virginia",13.60%,13.6
"King William County, Virginia",16.40%,16.4
"Kingfisher County, Oklahoma",16.50%,16.5
"Kingman County, Kansas",19.90%,19.9
"Kings County, California",10.50%,10.5
"Kings County, New York",14.50%,14.5
"Kingsbury County, South Dakota",22.60%,22.6
"Kinney County, Texas",24%,24
"Kiowa County, Colorado",21.80%,21.8
"Kiowa County, Kansas",22.70%,22.7
"Kiowa County, Oklahoma",20.20%,20.2
"Kit Carson County, Colorado",20%,20
"Kitsap County, Washington",18.70%,18.7
"Kittitas County, Washington",16.80%,16.8
"Kittson County, Minnesota",26.30%,26.3
"Klamath County, Oregon",21.40%,21.4
"Kleberg County, Texas",13.10%,13.1
"Klickitat County, Washington",24.40%,24.4
"Knott County, Kentucky",19.60%,19.6
"Knox County, Illinois",21.80%,21.8
"Knox County, Indiana",18.10%,18.1
"Knox County, Kentucky",17.20%,17.2
"Knox County, Maine",26.50%,26.5
"Knox County, Missouri",20.80%,20.8
"Knox County, Nebraska",24.80%,24.8
"Knox County, Ohio",18.50%,18.5
"Knox County, Tennessee",16.10%,16.1
"Knox County, Texas",18.60%,18.6
"Kodiak Island Borough, Alaska",12.30%,12.3
"Koochiching County, Minnesota",27%,27
"Kootenai County, Idaho",19.40%,19.4
"Kosciusko County, Indiana",17.40%,17.4
"Kossuth County, Iowa",24.70%,24.7
"Kusilvak Census Area, Alaska",6.10%,6.1
"La Crosse County, Wisconsin",17.10%,17.1
"La Paz County, Arizona",40.50%,40.5
"La Plata County, Colorado",19%,19
"LaSalle County, Texas",17.30%,17.3
"Labette County, Kansas",19.60%,19.6
"Lac qui Parle County, Minnesota",27.20%,27.2
"Lackawanna County, Pennsylvania",20%,20
"Laclede County, Missouri",18%,18
"Lafayette County, Arkansas",24.20%,24.2
"Lafayette County, Florida",19.20%,19.2
"Lafayette County, Mississippi",13.10%,13.1
"Lafayette County, Missouri",19%,19
"Lafayette County, Wisconsin",19.60%,19.6
"Lafayette Parish, Louisiana",14%,14
"Lafourche Parish, Louisiana",15.90%,15.9
"LaGrange County, Indiana",13.90%,13.9
"Lajas Municipio, Puerto Rico",25.90%,25.9
"Lake and Peninsula Borough, Alaska",9.20%,9.2
"Lake County, California",23.20%,23.2
"Lake County, Colorado",14.20%,14.2
"Lake County, Florida",26.70%,26.7
"Lake County, Illinois",15%,15
"Lake County, Indiana",17.10%,17.1
"Lake County, Michigan",27.80%,27.8
"Lake County, Minnesota",26.90%,26.9
"Lake County, Montana",23%,23
"Lake County, Ohio",20.70%,20.7
"Lake County, Oregon",25.40%,25.4
"Lake County, South Dakota",23.40%,23.4
"Lake County, Tennessee",15.40%,15.4
"Lake of the Woods County, Minnesota",25.10%,25.1
"Lamar County, Alabama",22.10%,22.1
"Lamar County, Georgia",17.50%,17.5
"Lamar County, Mississippi",14.40%,14.4
"Lamar County, Texas",19.30%,19.3
"Lamb County, Texas",17.10%,17.1
"Lamoille County, Vermont",17.80%,17.8
"LaMoure County, North Dakota",26.80%,26.8
"Lampasas County, Texas",20.50%,20.5
"Lancaster County, Nebraska",14.60%,14.6
"Lancaster County, Pennsylvania",18.80%,18.8
"Lancaster County, South Carolina",21.30%,21.3
"Lancaster County, Virginia",39.40%,39.4
"Lander County, Nevada",14%,14
"Lane County, Kansas",22.20%,22.2
"Lane County, Oregon",20.10%,20.1
"Langlade County, Wisconsin",24.50%,24.5
"Lanier County, Georgia",14.50%,14.5
"Lapeer County, Michigan",18.90%,18.9
"LaPorte County, Indiana",18.50%,18.5
"Laramie County, Wyoming",16.60%,16.6
"Lares Municipio, Puerto Rico",22.20%,22.2
"Larimer County, Colorado",16.40%,16.4
"Larue County, Kentucky",17.30%,17.3
"Las Animas County, Colorado",25.10%,25.1
"Las Marías Municipio, Puerto Rico",22.20%,22.2
"Las Piedras Municipio, Puerto Rico",20.20%,20.2
"LaSalle County, Illinois",19.10%,19.1
"LaSalle Parish, Louisiana",15.80%,15.8
"Lassen County, California",15.20%,15.2
"Latah County, Idaho",14.40%,14.4
"Latimer County, Oklahoma",21%,21
"Lauderdale County, Alabama",20.10%,20.1
"Lauderdale County, Mississippi",17.90%,17.9
"Lauderdale County, Tennessee",16%,16
"Laurel County, Kentucky",16.80%,16.8
"Laurens County, Georgia",18%,18
"Laurens County, South Carolina",18.70%,18.7
"Lavaca County, Texas",23.70%,23.7
"Lawrence County, Alabama",18.60%,18.6
"Lawrence County, Arkansas",18.80%,18.8
"Lawrence County, Illinois",17.80%,17.8
"Lawrence County, Indiana",20%,20
"Lawrence County, Kentucky",18.20%,18.2
"Lawrence County, Mississippi",18.80%,18.8
"Lawrence County, Missouri",17.90%,17.9
"Lawrence County, Ohio",18.70%,18.7
"Lawrence County, Pennsylvania",22.50%,22.5
"Lawrence County, South Dakota",23.40%,23.4
"Lawrence County, Tennessee",17.60%,17.6
"Le Flore County, Oklahoma",17.90%,17.9
"Le Sueur County, Minnesota",18.10%,18.1
"Lea County, New Mexico",11%,11
"Leake County, Mississippi",17.50%,17.5
"Leavenworth County, Kansas",15.10%,15.1
"Lebanon County, Pennsylvania",19.80%,19.8
"Lee County, Alabama",12.70%,12.7
"Lee County, Arkansas",19.70%,19.7
"Lee County, Florida",28.90%,28.9
"Lee County, Georgia",13%,13
"Lee County, Illinois",20.50%,20.5
"Lee County, Iowa",21.20%,21.2
"Lee County, Kentucky",17.50%,17.5
"Lee County, Mississippi",15.20%,15.2
"Lee County, North Carolina",16.80%,16.8
"Lee County, South Carolina",19.60%,19.6
"Lee County, Texas",20.50%,20.5
"Lee County, Virginia",22.20%,22.2
"Leelanau County, Michigan",32.40%,32.4
"Leflore County, Mississippi",14.60%,14.6
"Lehigh County, Pennsylvania",16.90%,16.9
"Lemhi County, Idaho",30.50%,30.5
"Lenawee County, Michigan",19.50%,19.5
"Lenoir County, North Carolina",20.90%,20.9
"Leon County, Florida",14.10%,14.1
"Leon County, Texas",23.60%,23.6
"Leslie County, Kentucky",18.30%,18.3
"Letcher County, Kentucky",20.10%,20.1
"Levy County, Florida",24.70%,24.7
"Lewis and Clark County, Montana",19.50%,19.5
"Lewis County, Idaho",27.90%,27.9
"Lewis County, Kentucky",18.90%,18.9
"Lewis County, Missouri",18.70%,18.7
"Lewis County, New York",19.60%,19.6
"Lewis County, Tennessee",20.40%,20.4
"Lewis County, Washington",21%,21
"Lewis County, West Virginia",20.90%,20.9
"Lexington city, Virginia",14.60%,14.6
"Lexington County, South Carolina",16.50%,16.5
"Liberty County, Florida",13.80%,13.8
"Liberty County, Georgia",9.50%,9.5
"Liberty County, Montana",22.40%,22.4
"Liberty County, Texas",12.60%,12.6
"Licking County, Ohio",16.90%,16.9
"Limestone County, Alabama",15.40%,15.4
"Limestone County, Texas",20.60%,20.6
"Lincoln County, Arkansas",15%,15
"Lincoln County, Colorado",17.30%,17.3
"Lincoln County, Georgia",24.80%,24.8
"Lincoln County, Idaho",14.40%,14.4
"Lincoln County, Kansas",25.10%,25.1
"Lincoln County, Kentucky",18.60%,18.6
"Lincoln County, Maine",28.30%,28.3
"Lincoln County, Minnesota",24.30%,24.3
"Lincoln County, Mississippi",17%,17
"Lincoln County, Missouri",14%,14
"Lincoln County, Montana",29.50%,29.5
"Lincoln County, Nebraska",20.20%,20.2
"Lincoln County, Nevada",16.60%,16.6
"Lincoln County, New Mexico",29.60%,29.6
"Lincoln County, North Carolina",18.60%,18.6
"Lincoln County, Oklahoma",18.80%,18.8
"Lincoln County, Oregon",30.50%,30.5
"Lincoln County, South Dakota",13.70%,13.7
"Lincoln County, Tennessee",19.30%,19.3
"Lincoln County, Washington",25.20%,25.2
"Lincoln County, West Virginia",20%,20
"Lincoln County, Wisconsin",22.70%,22.7
"Lincoln County, Wyoming",18.20%,18.2
"Lincoln Parish, Louisiana",13.80%,13.8
"Linn County, Iowa",16.60%,16.6
"Linn County, Kansas",22.10%,22.1
"Linn County, Missouri",21.40%,21.4
"Linn County, Oregon",19%,19
"Lipscomb County, Texas",16.70%,16.7
"Little River County, Arkansas",21.10%,21.1
"Live Oak County, Texas",21.30%,21.3
"Livingston County, Illinois",19.80%,19.8
"Livingston County, Kentucky",21.70%,21.7
"Livingston County, Michigan",18.30%,18.3
"Livingston County, Missouri",19.80%,19.8
"Livingston County, New York",18.90%,18.9
"Livingston Parish, Louisiana",13.50%,13.5
"Llano County, Texas",37.10%,37.1
"Logan County, Arkansas",20%,20
"Logan County, Colorado",18.40%,18.4
"Logan County, Illinois",18.90%,18.9
"Logan County, Kansas",20.90%,20.9
"Logan County, Kentucky",18.60%,18.6
"Logan County, Nebraska",18.10%,18.1
"Logan County, North Dakota",27%,27
"Logan County, Ohio",18.70%,18.7
"Logan County, Oklahoma",16.60%,16.6
"Logan County, West Virginia",21.60%,21.6
"Loíza Municipio, Puerto Rico",20.60%,20.6
"Long County, Georgia",9.20%,9.2
"Lonoke County, Arkansas",14%,14
"Lorain County, Ohio",19%,19
"Los Alamos County, New Mexico",17.80%,17.8
"Los Angeles County, California",14.20%,14.2
"Loudon County, Tennessee",26.90%,26.9
"Loudoun County, Virginia",10%,10
"Louisa County, Iowa",19.50%,19.5
"Louisa County, Virginia",20.20%,20.2
"Loup County, Nebraska",25.60%,25.6
"Love County, Oklahoma",18.20%,18.2
"Loving County, Texas",35.40%,35.4
"Lower Connecticut River Valley Planning Region, Connecticut",20.90%,20.9
"Lowndes County, Alabama",19.40%,19.4
"Lowndes County, Georgia",12.70%,12.7
"Lowndes County, Mississippi",16.60%,16.6
"Lubbock County, Texas",12.70%,12.7
"Lucas County, Iowa",21.50%,21.5
"Lucas County, Ohio",16.70%,16.7
"Luce County, Michigan",25.80%,25.8
"Lumpkin County, Georgia",18%,18
"Luna County, New Mexico",20.50%,20.5
"Lunenburg County, Virginia",22.30%,22.3
"Luquillo Municipio, Puerto Rico",23.10%,23.1
"Luzerne County, Pennsylvania",19.80%,19.8
"Lycoming County, Pennsylvania",20%,20
"Lyman County, South Dakota",17.10%,17.1
"Lynchburg city, Virginia",14.30%,14.3
"Lynn County, Texas",15.80%,15.8
"Lyon County, Iowa",19%,19
"Lyon County, Kansas",15.20%,15.2
"Lyon County, Kentucky",25.10%,25.1
"Lyon County, Minnesota",16.80%,16.8
"Lyon County, Nevada",21.20%,21.2
"Mackinac County, Michigan",28.80%,28.8
"Macomb County, Michigan",17.50%,17.5
"Macon County, Alabama",20.20%,20.2
"Macon County, Georgia",17.90%,17.9
"Macon County, Illinois",20.30%,20.3
"Macon County, Missouri",22%,22
"Macon County, North Carolina",28.80%,28.8
"Macon County, Tennessee",15.60%,15.6
"Macoupin County, Illinois",20.70%,20.7
"Madera County, California",14.20%,14.2
"Madison County, Alabama",15.40%,15.4
"Madison County, Arkansas",19.50%,19.5
"Madison County, Florida",22.40%,22.4
"Madison County, Georgia",17.70%,17.7
"Madison County, Idaho",5.50%,5.5
"Madison County, Illinois",17.70%,17.7
"Madison County, Indiana",18.50%,18.5
"Madison County, Iowa",18.10%,18.1
"Madison County, Kentucky",14.30%,14.3
"Madison County, Mississippi",14.50%,14.5
"Madison County, Missouri",19%,19
"Madison County, Montana",30.20%,30.2
"Madison County, Nebraska",16.30%,16.3
"Madison County, New York",19.10%,19.1
"Madison County, North Carolina",22.90%,22.9
"Madison County, Ohio",15.80%,15.8
"Madison County, Tennessee",17.30%,17.3
"Madison County, Texas",15.20%,15.2
"Madison County, Virginia",23.30%,23.3
"Madison Parish, Louisiana",16.30%,16.3
"Magoffin County, Kentucky",18.20%,18.2
"Mahaska County, Iowa",19%,19
"Mahnomen County, Minnesota",17.20%,17.2
"Mahoning County, Ohio",21.60%,21.6
"Major County, Oklahoma",20.90%,20.9
"Malheur County, Oregon",16.70%,16.7
"Manassas city, Virginia",10.70%,10.7
"Manassas Park city, Virginia",9.80%,9.8
"Manatee County, Florida",28.20%,28.2
"Manatí Municipio, Puerto Rico",23.60%,23.6
"Manistee County, Michigan",26.60%,26.6
"Manitowoc County, Wisconsin",21.20%,21.2
"Marathon County, Wisconsin",18.30%,18.3
"Marengo County, Alabama",19.90%,19.9
"Maricao Municipio, Puerto Rico",23.80%,23.8
"Maricopa County, Arizona",15.60%,15.6
"Maries County, Missouri",22.10%,22.1
"Marin County, California",23.20%,23.2
"Marinette County, Wisconsin",24.30%,24.3
"Marion County, Alabama",20.90%,20.9
"Marion County, Arkansas",28.80%,28.8
"Marion County, Florida",28.90%,28.9
"Marion County, Georgia",21.20%,21.2
"Marion County, Illinois",19.70%,19.7
"Marion County, Indiana",12.80%,12.8
"Marion County, Iowa",18.70%,18.7
"Marion County, Kansas",23.10%,23.1
"Marion County, Kentucky",16.80%,16.8
"Marion County, Mississippi",18.50%,18.5
"Marion County, Missouri",18.20%,18.2
"Marion County, Ohio",18.20%,18.2
"Marion County, Oregon",16.20%,16.2
"Marion County, South Carolina",20.30%,20.3
"Marion County, Tennessee",20%,20
"Marion County, Texas",27.10%,27.1
"Marion County, West Virginia",19.70%,19.7
"Mariposa County, California",29.30%,29.3
"Marlboro County, South Carolina",18.10%,18.1
"Marquette County, Michigan",19.70%,19.7
"Marquette County, Wisconsin",25.30%,25.3
"Marshall County, Alabama",17.20%,17.2
"Marshall County, Illinois",23.50%,23.5
"Marshall County, Indiana",18.10%,18.1
"Marshall County, Iowa",17.70%,17.7
"Marshall County, Kansas",22.10%,22.1
"Marshall County, Kentucky",21.80%,21.8
"Marshall County, Minnesota",22.20%,22.2
"Marshall County, Mississippi",18.30%,18.3
"Marshall County, Oklahoma",21.60%,21.6
"Marshall County, South Dakota",22.70%,22.7
"Marshall County, Tennessee",16.40%,16.4
"Marshall County, West Virginia",22.80%,22.8
"Martin County, Florida",31.80%,31.8
"Martin County, Indiana",20.10%,20.1
"Martin County, Kentucky",17.20%,17.2
"Martin County, Minnesota",23.60%,23.6
"Martin County, North Carolina",24.30%,24.3
"Martin County, Texas",10.50%,10.5
"Martinsville city, Virginia",17.70%,17.7
"Mason County, Illinois",22.90%,22.9
"Mason County, Kentucky",19%,19
"Mason County, Michigan",24.90%,24.9
"Mason County, Texas",31.20%,31.2
"Mason County, Washington",23.40%,23.4
"Mason County, West Virginia",21.70%,21.7
"Massac County, Illinois",20.70%,20.7
"Matagorda County, Texas",17.40%,17.4
"Matanuska-Susitna Borough, Alaska",12.90%,12.9
"Mathews County, Virginia",30.70%,30.7
"Maui County, Hawaii",19.30%,19.3
"Maunabo Municipio, Puerto Rico",24.80%,24.8
"Maury County, Tennessee",16.60%,16.6
"Maverick County, Texas",11.80%,11.8
"Mayagüez Municipio, Puerto Rico",25.30%,25.3
"Mayes County, Oklahoma",18.50%,18.5
"McClain County, Oklahoma",15.40%,15.4
"McCone County, Montana",29.30%,29.3
"McCook County, South Dakota",18%,18
"McCormick County, South Carolina",36.30%,36.3
"McCracken County, Kentucky",20.10%,20.1
"McCreary County, Kentucky",16.10%,16.1
"McCulloch County, Texas",22.60%,22.6
"McCurtain County, Oklahoma",17.90%,17.9
"McDonald County, Missouri",15.20%,15.2
"McDonough County, Illinois",18.80%,18.8
"McDowell County, North Carolina",20.60%,20.6
"McDowell County, West Virginia",23.10%,23.1
"McDuffie County, Georgia",17.90%,17.9
"McHenry County, Illinois",15.50%,15.5
"McHenry County, North Dakota",21.60%,21.6
"McIntosh County, Georgia",28.90%,28.9
"McIntosh County, North Dakota",30.80%,30.8
"McIntosh County, Oklahoma",25.40%,25.4
"McKean County, Pennsylvania",20%,20
"McKenzie County, North Dakota",8.90%,8.9
"McKinley County, New Mexico",12.70%,12.7
"McLean County, Illinois",13.90%,13.9
"McLean County, Kentucky",19.70%,19.7
"McLean County, North Dakota",24.60%,24.6
"McLennan County, Texas",14.80%,14.8
"McLeod County, Minnesota",19.40%,19.4
"McMinn County, Tennessee",19.80%,19.8
"McMullen County, Texas",19.10%,19.1
"McNairy County, Tennessee",20.70%,20.7
"McPherson County, Kansas",19.70%,19.7
"McPherson County, Nebraska",29.40%,29.4
"McPherson County, South Dakota",31.10%,31.1
"Meade County, Kansas",16.20%,16.2
"Meade County, Kentucky",14.70%,14.7
"Meade County, South Dakota",15.90%,15.9
"Meagher County, Montana",32.80%,32.8
"Mecklenburg County, North Carolina",11.60%,11.6
"Mecklenburg County, Virginia",26.20%,26.2
"Mecosta County, Michigan",19.70%,19.7
"Medina County, Ohio",18.80%,18.8
"Medina County, Texas",17%,17
"Meeker County, Minnesota",20.10%,20.1
"Meigs County, Ohio",20.20%,20.2
"Meigs County, Tennessee",21.10%,21.1
"Mellette County, South Dakota",15.70%,15.7
"Menard County, Illinois",20%,20
"Menard County, Texas",35.50%,35.5
"Mendocino County, California",23.30%,23.3
"Menifee County, Kentucky",20.70%,20.7
"Menominee County, Michigan",25.50%,25.5
"Menominee County, Wisconsin",14.20%,14.2
"Merced County, California",11.40%,11.4
"Mercer County, Illinois",21.50%,21.5
"Mercer County, Kentucky",18.80%,18.8
"Mercer County, Missouri",21.90%,21.9
"Mercer County, New Jersey",15.70%,15.7
"Mercer County, North Dakota",21.20%,21.2
"Mercer County, Ohio",18.50%,18.5
"Mercer County, Pennsylvania",22.40%,22.4
"Mercer County, West Virginia",22.30%,22.3
"Meriwether County, Georgia",20.80%,20.8
"Merrick County, Nebraska",21.50%,21.5
"Merrimack County, New Hampshire",18.90%,18.9
"Mesa County, Colorado",20%,20
"Metcalfe County, Kentucky",18.60%,18.6
"Miami County, Indiana",17.70%,17.7
"Miami County, Kansas",17.30%,17.3
"Miami County, Ohio",19%,19
"Miami-Dade County, Florida",16.60%,16.6
"Middlesex County, Massachusetts",15.70%,15.7
"Middlesex County, New Jersey",15.40%,15.4
"Middlesex County, Virginia",33.60%,33.6
"Midland County, Michigan",19.50%,19.5
"Midland County, Texas",10.30%,10.3
"Mifflin County, Pennsylvania",21.60%,21.6
"Milam County, Texas",20.70%,20.7
