Geographic Area,"9th to 12th grade, no diploma—Estimate",No diploma
"Holt County, Missouri",4.60%,4.6
"Holt County, Nebraska",3.80%,3.8
"Honolulu County, Hawaii",3.70%,3.7
"Hood County, Texas",5%,5
"Hood River County, Oregon",6.30%,6.3
"Hooker County, Nebraska",4.80%,4.8
"Hoonah-Angoon Census Area, Alaska",5.30%,5.3
"Hopewell city, Virginia",8.60%,8.6
"Hopkins County, Kentucky",7.10%,7.1
"Hopkins County, Texas",9.60%,9.6
"Hormigueros Municipio, Puerto Rico",5.80%,5.8
"Horry County, South Carolina",5.90%,5.9
"Hot Spring County, Arkansas",8.90%,8.9
"Hot Springs County, Wyoming",4.10%,4.1
"Houghton County, Michigan",4%,4
"Houston County, Alabama",8.80%,8.8
"Houston County, Georgia",4.60%,4.6
"Houston County, Minnesota",4%,4
"Houston County, Tennessee",10.50%,10.5
"Houston County, Texas",11.60%,11.6
"Howard County, Arkansas",7.30%,7.3
"Howard County, Indiana",5.70%,5.7
"Howard County, Iowa",3.40%,3.4
"Howard County, Maryland",2.50%,2.5
"Howard County, Missouri",7.70%,7.7
"Howard County, Nebraska",2.20%,2.2
"Howard County, Texas",10.90%,10.9
"Howell County, Missouri",10.40%,10.4
"Hubbard County, Minnesota",4.70%,4.7
"Hudson County, New Jersey",5.20%,5.2
"Hudspeth County, Texas",17.20%,17.2
"Huerfano County, Colorado",2.90%,2.9
"Hughes County, Oklahoma",11.90%,11.9
"Hughes County, South Dakota",2.10%,2.1
"Humacao Municipio, Puerto Rico",8.20%,8.2
"Humboldt County, California",6.20%,6.2
"Humboldt County, Iowa",4.50%,4.5
"Humboldt County, Nevada",9.10%,9.1
"Humphreys County, Mississippi",17.40%,17.4
"Humphreys County, Tennessee",9%,9
"Hunt County, Texas",8.40%,8.4
"Hunterdon County, New Jersey",2.30%,2.3
"Huntingdon County, Pennsylvania",7%,7
"Huntington County, Indiana",5.80%,5.8
"Huron County, Michigan",6.20%,6.2
"Huron County, Ohio",6.60%,6.6
"Hutchinson County, South Dakota",3.80%,3.8
"Hutchinson County, Texas",8.70%,8.7
"Hyde County, North Carolina",14.30%,14.3
"Hyde County, South Dakota",6.30%,6.3
"Iberia Parish, Louisiana",11.70%,11.7
"Iberville Parish, Louisiana",12.10%,12.1
"Ida County, Iowa",5.50%,5.5
"Idaho County, Idaho",6.40%,6.4
"Imperial County, California",14.40%,14.4
"Independence County, Arkansas",9.20%,9.2
"Indian River County, Florida",5.60%,5.6
"Indiana County, Pennsylvania",5.20%,5.2
"Ingham County, Michigan",4.20%,4.2
"Inyo County, California",4.10%,4.1
"Ionia County, Michigan",6.20%,6.2
"Iosco County, Michigan",8.40%,8.4
"Iowa County, Iowa",4.30%,4.3
"Iowa County, Wisconsin",3%,3
"Iredell County, North Carolina",6%,6
"Irion County, Texas",4.50%,4.5
"Iron County, Michigan",5.60%,5.6
"Iron County, Missouri",7.80%,7.8
"Iron County, Utah",5%,5
"Iron County, Wisconsin",3.20%,3.2
"Iroquois County, Illinois",7.80%,7.8
"Irwin County, Georgia",13.40%,13.4
"Isabela Municipio, Puerto Rico",6.70%,6.7
"Isabella County, Michigan",4.70%,4.7
"Isanti County, Minnesota",6%,6
"Island County, Washington",3.10%,3.1
"Isle of Wight County, Virginia",6.80%,6.8
"Issaquena County, Mississippi",26.20%,26.2
"Itasca County, Minnesota",4.60%,4.6
"Itawamba County, Mississippi",10%,10
"Izard County, Arkansas",12.20%,12.2
"Jack County, Texas",13.80%,13.8
"Jackson County, Alabama",12.80%,12.8
"Jackson County, Arkansas",9.50%,9.5
"Jackson County, Colorado",10.60%,10.6
"Jackson County, Florida",11.10%,11.1
"Jackson County, Georgia",7.70%,7.7
"Jackson County, Illinois",5.20%,5.2
"Jackson County, Indiana",6.30%,6.3
"Jackson County, Iowa",3.80%,3.8
"Jackson County, Kansas",4.10%,4.1
"Jackson County, Kentucky",15.50%,15.5
"Jackson County, Michigan",6.20%,6.2
"Jackson County, Minnesota",4.60%,4.6
"Jackson County, Mississippi",7%,7
"Jackson County, Missouri",5.50%,5.5
"Jackson County, North Carolina",6.80%,6.8
"Jackson County, Ohio",7.90%,7.9
"Jackson County, Oklahoma",7.50%,7.5
"Jackson County, Oregon",6.40%,6.4
"Jackson County, South Dakota",9.20%,9.2
"Jackson County, Tennessee",10.40%,10.4
"Jackson County, Texas",10.20%,10.2
"Jackson County, West Virginia",4.40%,4.4
"Jackson County, Wisconsin",5.80%,5.8
"Jackson Parish, Louisiana",11.80%,11.8
"James City County, Virginia",2.80%,2.8
"Jasper County, Georgia",7.60%,7.6
"Jasper County, Illinois",5.10%,5.1
"Jasper County, Indiana",5.20%,5.2
"Jasper County, Iowa",3.70%,3.7
"Jasper County, Mississippi",8.60%,8.6
"Jasper County, Missouri",8.10%,8.1
"Jasper County, South Carolina",7%,7
"Jasper County, Texas",9.30%,9.3
"Jay County, Indiana",7.20%,7.2
"Jayuya Municipio, Puerto Rico",4.80%,4.8
"Jeff Davis County, Georgia",14.70%,14.7
"Jeff Davis County, Texas",4.60%,4.6
"Jefferson County, Alabama",6.50%,6.5
"Jefferson County, Arkansas",7.60%,7.6
"Jefferson County, Colorado",3.30%,3.3
"Jefferson County, Florida",10%,10
"Jefferson County, Georgia",11.30%,11.3
"Jefferson County, Idaho",4.40%,4.4
"Jefferson County, Illinois",6.80%,6.8
"Jefferson County, Indiana",8.30%,8.3
"Jefferson County, Iowa",3.90%,3.9
"Jefferson County, Kansas",2.50%,2.5
"Jefferson County, Kentucky",6%,6
"Jefferson County, Mississippi",13.30%,13.3
"Jefferson County, Missouri",6.70%,6.7
"Jefferson County, Montana",3.40%,3.4
"Jefferson County, Nebraska",5.30%,5.3
"Jefferson County, New York",5.70%,5.7
"Jefferson County, Ohio",5.30%,5.3
"Jefferson County, Oklahoma",10.60%,10.6
"Jefferson County, Oregon",7.10%,7.1
"Jefferson County, Pennsylvania",5.70%,5.7
"Jefferson County, Tennessee",7.50%,7.5
"Jefferson County, Texas",7.90%,7.9
"Jefferson County, Washington",2.40%,2.4
"Jefferson County, West Virginia",6.80%,6.8
"Jefferson County, Wisconsin",4.10%,4.1
"Jefferson Davis County, Mississippi",10.10%,10.1
"Jefferson Davis Parish, Louisiana",11%,11
"Jefferson Parish, Louisiana",7.50%,7.5
"Jenkins County, Georgia",12.80%,12.8
"Jennings County, Indiana",8.70%,8.7
"Jerauld County, South Dakota",4.70%,4.7
"Jerome County, Idaho",11.40%,11.4
"Jersey County, Illinois",4.50%,4.5
"Jessamine County, Kentucky",7.40%,7.4
"Jewell County, Kansas",6.40%,6.4
"Jim Hogg County, Texas",12.30%,12.3
"Jim Wells County, Texas",13.10%,13.1
"Jo Daviess County, Illinois",3.70%,3.7
"Johnson County, Arkansas",10.90%,10.9
"Johnson County, Georgia",18.70%,18.7
"Johnson County, Illinois",11.10%,11.1
"Johnson County, Indiana",4.80%,4.8
"Johnson County, Iowa",2%,2
"Johnson County, Kansas",2%,2
"Johnson County, Kentucky",11.10%,11.1
"Johnson County, Missouri",4.80%,4.8
"Johnson County, Nebraska",6.80%,6.8
"Johnson County, Tennessee",11.80%,11.8
"Johnson County, Texas",8.80%,8.8
"Johnson County, Wyoming",3.80%,3.8
"Johnston County, North Carolina",6%,6
"Johnston County, Oklahoma",8.80%,8.8
"Jones County, Georgia",5.90%,5.9
"Jones County, Iowa",4.30%,4.3
"Jones County, Mississippi",7.80%,7.8
"Jones County, North Carolina",9.80%,9.8
"Jones County, South Dakota",5.10%,5.1
"Jones County, Texas",13.70%,13.7
"Josephine County, Oregon",7.60%,7.6
"Juab County, Utah",5.10%,5.1
"Juana Díaz Municipio, Puerto Rico",9.10%,9.1
"Judith Basin County, Montana",3.60%,3.6
"Juncos Municipio, Puerto Rico",7.90%,7.9
"Juneau City and Borough, Alaska",3.50%,3.5
"Juneau County, Wisconsin",8.50%,8.5
"Juniata County, Pennsylvania",11.40%,11.4
"Kalamazoo County, Michigan",4%,4
"Kalawao County, Hawaii",4%,4
"Kalkaska County, Michigan",9.10%,9.1
"Kanabec County, Minnesota",6%,6
"Kanawha County, West Virginia",6.50%,6.5
"Kandiyohi County, Minnesota",4.40%,4.4
"Kane County, Illinois",6.20%,6.2
"Kane County, Utah",4.10%,4.1
"Kankakee County, Illinois",6.40%,6.4
"Karnes County, Texas",15%,15
"Kauai County, Hawaii",3.60%,3.6
"Kaufman County, Texas",8.40%,8.4
"Kay County, Oklahoma",8.50%,8.5
"Kearney County, Nebraska",2.50%,2.5
"Kearny County, Kansas",9.70%,9.7
"Keith County, Nebraska",4.80%,4.8
"Kemper County, Mississippi",14.20%,14.2
"Kenai Peninsula Borough, Alaska",4.20%,4.2
"Kendall County, Illinois",4.20%,4.2
"Kendall County, Texas",3.40%,3.4
"Kenedy County, Texas",19.50%,19.5
"Kennebec County, Maine",3.50%,3.5
"Kenosha County, Wisconsin",5%,5
"Kent County, Delaware",7.30%,7.3
"Kent County, Maryland",7.10%,7.1
"Kent County, Michigan",4.30%,4.3
"Kent County, Rhode Island",4.80%,4.8
"Kent County, Texas",6.90%,6.9
"Kenton County, Kentucky",5.20%,5.2
"Keokuk County, Iowa",4.50%,4.5
"Kern County, California",10.60%,10.6
"Kerr County, Texas",6%,6
"Kershaw County, South Carolina",7.70%,7.7
"Ketchikan Gateway Borough, Alaska",4.10%,4.1
"Kewaunee County, Wisconsin",3.80%,3.8
"Keweenaw County, Michigan",0.70%,0.7
"Keya Paha County, Nebraska",1.30%,1.3
"Kidder County, North Dakota",6.60%,6.6
"Kimball County, Nebraska",10.90%,10.9
"Kimble County, Texas",9.40%,9.4
"King and Queen County, Virginia",10.70%,10.7
"King County, Texas",3.10%,3.1
"King County, Washington",3%,3
"King George County, Virginia",6.10%,6.1
"King William County, Virginia",5.40%,5.4
"Kingfisher County, Oklahoma",4.70%,4.7
"Kingman County, Kansas",7%,7
"Kings County, California",12.30%,12.3
"Kings County, New York",7.80%,7.8
"Kingsbury County, South Dakota",4.90%,4.9
"Kinney County, Texas",6.80%,6.8
"Kiowa County, Colorado",7.60%,7.6
"Kiowa County, Kansas",7.70%,7.7
"Kiowa County, Oklahoma",9.80%,9.8
"Kit Carson County, Colorado",7.30%,7.3
"Kitsap County, Washington",3.30%,3.3
"Kittitas County, Washington",5.30%,5.3
"Kittson County, Minnesota",2%,2
"Klamath County, Oregon",7.80%,7.8
"Kleberg County, Texas",8.20%,8.2
"Klickitat County, Washington",6.60%,6.6
"Knott County, Kentucky",15.60%,15.6
"Knox County, Illinois",8%,8
"Knox County, Indiana",7.70%,7.7
"Knox County, Kentucky",10.30%,10.3
"Knox County, Maine",4.90%,4.9
"Knox County, Missouri",8%,8
"Knox County, Nebraska",5.50%,5.5
"Knox County, Ohio",4.70%,4.7
"Knox County, Tennessee",5%,5
"Knox County, Texas",8.30%,8.3
"Kodiak Island Borough, Alaska",4.50%,4.5
"Koochiching County, Minnesota",5.60%,5.6
"Kootenai County, Idaho",4.70%,4.7
"Kosciusko County, Indiana",7%,7
"Kossuth County, Iowa",4.60%,4.6
"Kusilvak Census Area, Alaska",14.70%,14.7
"La Crosse County, Wisconsin",2.20%,2.2
"La Paz County, Arizona",11.40%,11.4
"La Plata County, Colorado",3%,3
"LaSalle County, Texas",23.70%,23.7
"Labette County, Kansas",5.80%,5.8
"Lac qui Parle County, Minnesota",4.80%,4.8
"Lackawanna County, Pennsylvania",5.80%,5.8
"Laclede County, Missouri",9%,9
"Lafayette County, Arkansas",9.60%,9.6
"Lafayette County, Florida",12.50%,12.5
"Lafayette County, Mississippi",5.70%,5.7
"Lafayette County, Missouri",5.70%,5.7
"Lafayette County, Wisconsin",4.50%,4.5
"Lafayette Parish, Louisiana",7%,7
"Lafourche Parish, Louisiana",10.90%,10.9
"LaGrange County, Indiana",7.60%,7.6
"Lajas Municipio, Puerto Rico",9.50%,9.5
"Lake and Peninsula Borough, Alaska",5.40%,5.4
"Lake County, California",8.50%,8.5
"Lake County, Colorado",1.60%,1.6
"Lake County, Florida",6.80%,6.8
"Lake County, Illinois",4.40%,4.4
"Lake County, Indiana",6%,6
"Lake County, Michigan",12.90%,12.9
"Lake County, Minnesota",5.80%,5.8
"Lake County, Montana",5.10%,5.1
"Lake County, Ohio",4.70%,4.7
"Lake County, Oregon",6.50%,6.5
"Lake County, South Dakota",4.80%,4.8
"Lake County, Tennessee",17.60%,17.6
"Lake of the Woods County, Minnesota",3.60%,3.6
"Lamar County, Alabama",11%,11
"Lamar County, Georgia",7.60%,7.6
"Lamar County, Mississippi",5.50%,5.5
"Lamar County, Texas",7.20%,7.2
"Lamb County, Texas",10.40%,10.4
"Lamoille County, Vermont",4.50%,4.5
"LaMoure County, North Dakota",4.10%,4.1
"Lampasas County, Texas",5.30%,5.3
"Lancaster County, Nebraska",3.80%,3.8
"Lancaster County, Pennsylvania",6.70%,6.7
"Lancaster County, South Carolina",7.20%,7.2
"Lancaster County, Virginia",9.80%,9.8
"Lander County, Nevada",8.70%,8.7
"Lane County, Kansas",4.10%,4.1
"Lane County, Oregon",5%,5
"Langlade County, Wisconsin",7.60%,7.6
"Lanier County, Georgia",8%,8
"Lapeer County, Michigan",5.70%,5.7
"LaPorte County, Indiana",7.30%,7.3
"Laramie County, Wyoming",3.80%,3.8
"Lares Municipio, Puerto Rico",9.20%,9.2
"Larimer County, Colorado",2.50%,2.5
"Larue County, Kentucky",10.30%,10.3
"Las Animas County, Colorado",6.50%,6.5
"Las Marías Municipio, Puerto Rico",9.40%,9.4
"Las Piedras Municipio, Puerto Rico",5%,5
"LaSalle County, Illinois",6.40%,6.4
"LaSalle Parish, Louisiana",12%,12
"Lassen County, California",14%,14
"Latah County, Idaho",2.10%,2.1
"Latimer County, Oklahoma",11.50%,11.5
"Lauderdale County, Alabama",8.30%,8.3
"Lauderdale County, Mississippi",11.40%,11.4
"Lauderdale County, Tennessee",13.40%,13.4
"Laurel County, Kentucky",10.10%,10.1
"Laurens County, Georgia",10.30%,10.3
"Laurens County, South Carolina",11.40%,11.4
"Lavaca County, Texas",6.50%,6.5
"Lawrence County, Alabama",11.60%,11.6
"Lawrence County, Arkansas",11.80%,11.8
"Lawrence County, Illinois",11.20%,11.2
"Lawrence County, Indiana",7.70%,7.7
"Lawrence County, Kentucky",13.40%,13.4
"Lawrence County, Mississippi",10.40%,10.4
"Lawrence County, Missouri",9.10%,9.1
"Lawrence County, Ohio",7.40%,7.4
"Lawrence County, Pennsylvania",5.90%,5.9
"Lawrence County, South Dakota",3.10%,3.1
"Lawrence County, Tennessee",7.10%,7.1
"Le Flore County, Oklahoma",10.10%,10.1
"Le Sueur County, Minnesota",3.70%,3.7
"Lea County, New Mexico",11.40%,11.4
"Leake County, Mississippi",12.20%,12.2
"Leavenworth County, Kansas",4.30%,4.3
"Lebanon County, Pennsylvania",8.10%,8.1
"Lee County, Alabama",5.90%,5.9
"Lee County, Arkansas",12.10%,12.1
"Lee County, Florida",5.80%,5.8
"Lee County, Georgia",5.60%,5.6
"Lee County, Illinois",7.60%,7.6
"Lee County, Iowa",4.40%,4.4
"Lee County, Kentucky",13.70%,13.7
"Lee County, Mississippi",8.90%,8.9
"Lee County, North Carolina",8.60%,8.6
"Lee County, South Carolina",12.80%,12.8
"Lee County, Texas",7.20%,7.2
"Lee County, Virginia",9.90%,9.9
"Leelanau County, Michigan",2.80%,2.8
"Leflore County, Mississippi",10.20%,10.2
"Lehigh County, Pennsylvania",5.80%,5.8
"Lemhi County, Idaho",6.80%,6.8
"Lenawee County, Michigan",6.50%,6.5
"Lenoir County, North Carolina",12.60%,12.6
"Leon County, Florida",4.70%,4.7
"Leon County, Texas",9.10%,9.1
"Leslie County, Kentucky",11.20%,11.2
"Letcher County, Kentucky",11.40%,11.4
"Levy County, Florida",7.80%,7.8
"Lewis and Clark County, Montana",3.80%,3.8
"Lewis County, Idaho",7.30%,7.3
"Lewis County, Kentucky",9.60%,9.6
"Lewis County, Missouri",10.60%,10.6
"Lewis County, New York",6.20%,6.2
"Lewis County, Tennessee",8.30%,8.3
"Lewis County, Washington",7%,7
"Lewis County, West Virginia",7.90%,7.9
"Lexington city, Virginia",2.30%,2.3
"Lexington County, South Carolina",5.90%,5.9
"Liberty County, Florida",14.10%,14.1
"Liberty County, Georgia",5.60%,5.6
"Liberty County, Montana",8.70%,8.7
"Liberty County, Texas",12%,12
"Licking County, Ohio",5.20%,5.2
"Limestone County, Alabama",8.40%,8.4
"Limestone County, Texas",8.90%,8.9
"Lincoln County, Arkansas",10.90%,10.9
"Lincoln County, Colorado",9.60%,9.6
"Lincoln County, Georgia",10%,10
"Lincoln County, Idaho",8.10%,8.1
"Lincoln County, Kansas",2.80%,2.8
"Lincoln County, Kentucky",11.30%,11.3
"Lincoln County, Maine",3.80%,3.8
"Lincoln County, Minnesota",4%,4
"Lincoln County, Mississippi",9.10%,9.1
"Lincoln County, Missouri",7%,7
"Lincoln County, Montana",5.80%,5.8
"Lincoln County, Nebraska",4.10%,4.1
"Lincoln County, Nevada",8.80%,8.8
"Lincoln County, New Mexico",6.50%,6.5
"Lincoln County, North Carolina",6.90%,6.9
"Lincoln County, Oklahoma",8.50%,8.5
"Lincoln County, Oregon",5.10%,5.1
"Lincoln County, South Dakota",2.70%,2.7
"Lincoln County, Tennessee",8.70%,8.7
"Lincoln County, Washington",5.80%,5.8
"Lincoln County, West Virginia",11.10%,11.1
"Lincoln County, Wisconsin",5.10%,5.1
"Lincoln County, Wyoming",4.70%,4.7
"Lincoln Parish, Louisiana",8.10%,8.1
"Linn County, Iowa",3.60%,3.6
"Linn County, Kansas",4.80%,4.8
"Linn County, Missouri",6.80%,6.8
"Linn County, Oregon",6.60%,6.6
"Lipscomb County, Texas",6.40%,6.4
"Little River County, Arkansas",7.30%,7.3
"Live Oak County, Texas",14.40%,14.4
"Livingston County, Illinois",6.60%,6.6
"Livingston County, Kentucky",9.20%,9.2
"Livingston County, Michigan",3%,3
"Livingston County, Missouri",8.80%,8.8
"Livingston County, New York",5.20%,5.2
"Livingston Parish, Louisiana",7.50%,7.5
"Llano County, Texas",6.10%,6.1
"Logan County, Arkansas",8.60%,8.6
"Logan County, Colorado",6.70%,6.7
"Logan County, Illinois",6.60%,6.6
"Logan County, Kansas",2.70%,2.7
"Logan County, Kentucky",7.30%,7.3
"Logan County, Nebraska",0.70%,0.7
"Logan County, North Dakota",2.70%,2.7
"Logan County, Ohio",5.80%,5.8
"Logan County, Oklahoma",6%,6
"Logan County, West Virginia",14%,14
"Loíza Municipio, Puerto Rico",10.20%,10.2
"Long County, Georgia",13.60%,13.6
"Lonoke County, Arkansas",7%,7
"Lorain County, Ohio",6.70%,6.7
"Los Alamos County, New Mexico",1.10%,1.1
"Los Angeles County, California",8%,8
"Loudon County, Tennessee",7.70%,7.7
"Loudoun County, Virginia",2.90%,2.9
"Louisa County, Iowa",9.10%,9.1
"Louisa County, Virginia",7.30%,7.3
"Loup County, Nebraska",1.10%,1.1
"Love County, Oklahoma",12%,12
"Loving County, Texas",3.20%,3.2
"Lower Connecticut River Valley Planning Region, Connecticut",2.90%,2.9
"Lowndes County, Alabama",11.90%,11.9
"Lowndes County, Georgia",7.10%,7.1
"Lowndes County, Mississippi",8.10%,8.1
"Lubbock County, Texas",6.80%,6.8
"Lucas County, Iowa",4.10%,4.1
"Lucas County, Ohio",6.70%,6.7
"Luce County, Michigan",6.40%,6.4
"Lumpkin County, Georgia",10.10%,10.1
"Luna County, New Mexico",15.10%,15.1
"Lunenburg County, Virginia",13.40%,13.4
"Luquillo Municipio, Puerto Rico",7.70%,7.7
"Luzerne County, Pennsylvania",6%,6
"Lycoming County, Pennsylvania",7%,7
"Lyman County, South Dakota",7.40%,7.4
"Lynchburg city, Virginia",6.50%,6.5
"Lynn County, Texas",10.50%,10.5
"Lyon County, Iowa",2.30%,2.3
"Lyon County, Kansas",5.50%,5.5
"Lyon County, Kentucky",6.60%,6.6
"Lyon County, Minnesota",3.90%,3.9
"Lyon County, Nevada",8.30%,8.3
"Mackinac County, Michigan",5.30%,5.3
"Macomb County, Michigan",6%,6
"Macon County, Alabama",13.50%,13.5
"Macon County, Georgia",18.30%,18.3
"Macon County, Illinois",5.70%,5.7
"Macon County, Missouri",6.60%,6.6
"Macon County, North Carolina",6.40%,6.4
"Macon County, Tennessee",13.80%,13.8
"Macoupin County, Illinois",6.90%,6.9
"Madera County, California",11.40%,11.4
"Madison County, Alabama",5.50%,5.5
"Madison County, Arkansas",10.40%,10.4
"Madison County, Florida",14.20%,14.2
"Madison County, Georgia",9.90%,9.9
"Madison County, Idaho",2.20%,2.2
"Madison County, Illinois",4.90%,4.9
"Madison County, Indiana",7.40%,7.4
"Madison County, Iowa",2%,2
"Madison County, Kentucky",5.70%,5.7
"Madison County, Mississippi",5.20%,5.2
"Madison County, Missouri",9.50%,9.5
"Madison County, Montana",2.90%,2.9
"Madison County, Nebraska",3%,3
"Madison County, New York",5%,5
"Madison County, North Carolina",7.50%,7.5
"Madison County, Ohio",8.90%,8.9
"Madison County, Tennessee",7.50%,7.5
"Madison County, Texas",16.20%,16.2
"Madison County, Virginia",9.40%,9.4
"Madison Parish, Louisiana",16.20%,16.2
"Magoffin County, Kentucky",14.70%,14.7
"Mahaska County, Iowa",4.40%,4.4
"Mahnomen County, Minnesota",9.50%,9.5
"Mahoning County, Ohio",6.10%,6.1
"Major County, Oklahoma",4.50%,4.5
"Malheur County, Oregon",10.40%,10.4
"Manassas city, Virginia",6.20%,6.2
"Manassas Park city, Virginia",7.40%,7.4
"Manatee County, Florida",5.80%,5.8
"Manatí Municipio, Puerto Rico",8.40%,8.4
"Manistee County, Michigan",7.30%,7.3
"Manitowoc County, Wisconsin",4.90%,4.9
"Marathon County, Wisconsin",4.20%,4.2
"Marengo County, Alabama",7.80%,7.8
"Maricao Municipio, Puerto Rico",9.50%,9.5
"Maricopa County, Arizona",5.90%,5.9
"Maries County, Missouri",7.10%,7.1
"Marin County, California",2.50%,2.5
"Marinette County, Wisconsin",5.20%,5.2
"Marion County, Alabama",13.20%,13.2
"Marion County, Arkansas",7.90%,7.9
"Marion County, Florida",7.30%,7.3
"Marion County, Georgia",16.70%,16.7
"Marion County, Illinois",7.30%,7.3
"Marion County, Indiana",8.10%,8.1
"Marion County, Iowa",4%,4
"Marion County, Kansas",4.80%,4.8
"Marion County, Kentucky",9.60%,9.6
"Marion County, Mississippi",10%,10
"Marion County, Missouri",7.50%,7.5
"Marion County, Ohio",7.80%,7.8
"Marion County, Oregon",7.10%,7.1
"Marion County, South Carolina",10.90%,10.9
"Marion County, Tennessee",12.30%,12.3
"Marion County, Texas",9.60%,9.6
"Marion County, West Virginia",6%,6
"Mariposa County, California",6%,6
"Marlboro County, South Carolina",14.50%,14.5
"Marquette County, Michigan",3.70%,3.7
"Marquette County, Wisconsin",6.60%,6.6
"Marshall County, Alabama",9.10%,9.1
"Marshall County, Illinois",6%,6
"Marshall County, Indiana",8.60%,8.6
"Marshall County, Iowa",5.70%,5.7
"Marshall County, Kansas",4.70%,4.7
"Marshall County, Kentucky",5.30%,5.3
"Marshall County, Minnesota",5.20%,5.2
"Marshall County, Mississippi",11.20%,11.2
"Marshall County, Oklahoma",10.90%,10.9
"Marshall County, South Dakota",3.40%,3.4
"Marshall County, Tennessee",7.30%,7.3
"Marshall County, West Virginia",6.70%,6.7
"Martin County, Florida",4.60%,4.6
"Martin County, Indiana",8.20%,8.2
"Martin County, Kentucky",13.30%,13.3
"Martin County, Minnesota",4%,4
"Martin County, North Carolina",12.20%,12.2
"Martin County, Texas",5.90%,5.9
"Martinsville city, Virginia",8%,8
"Mason County, Illinois",5.60%,5.6
"Mason County, Kentucky",7.70%,7.7
"Mason County, Michigan",4.70%,4.7
"Mason County, Texas",8.50%,8.5
"Mason County, Washington",6.80%,6.8
"Mason County, West Virginia",8.80%,8.8
"Massac County, Illinois",7.40%,7.4
"Matagorda County, Texas",8.60%,8.6
"Matanuska-Susitna Borough, Alaska",4%,4
"Mathews County, Virginia",5.30%,5.3
"Maui County, Hawaii",4.10%,4.1
"Maunabo Municipio, Puerto Rico",7.20%,7.2
"Maury County, Tennessee",4.90%,4.9
"Maverick County, Texas",15.60%,15.6
"Mayagüez Municipio, Puerto Rico",9.20%,9.2
"Mayes County, Oklahoma",7.60%,7.6
"McClain County, Oklahoma",8.50%,8.5
"McCone County, Montana",2.20%,2.2
"McCook County, South Dakota",2.70%,2.7
"McCormick County, South Carolina",9.70%,9.7
"McCracken County, Kentucky",5.20%,5.2
"McCreary County, Kentucky",12%,12
"McCulloch County, Texas",10.30%,10.3
"McCurtain County, Oklahoma",9.80%,9.8
"McDonald County, Missouri",11.10%,11.1
"McDonough County, Illinois",3.80%,3.8
"McDowell County, North Carolina",9.80%,9.8
"McDowell County, West Virginia",14.40%,14.4
"McDuffie County, Georgia",11.40%,11.4
"McHenry County, Illinois",3.60%,3.6
"McHenry County, North Dakota",5.50%,5.5
"McIntosh County, Georgia",14.40%,14.4
"McIntosh County, North Dakota",4%,4
"McIntosh County, Oklahoma",9.50%,9.5
"McKean County, Pennsylvania",4.60%,4.6
"McKenzie County, North Dakota",5.70%,5.7
"McKinley County, New Mexico",12.20%,12.2
"McLean County, Illinois",2.80%,2.8
"McLean County, Kentucky",4.60%,4.6
"McLean County, North Dakota",3.70%,3.7
"McLennan County, Texas",7.90%,7.9
"McLeod County, Minnesota",4.80%,4.8
"McMinn County, Tennessee",8.50%,8.5
"McMullen County, Texas",6.50%,6.5
"McNairy County, Tennessee",9.30%,9.3
"McPherson County, Kansas",3%,3
"McPherson County, Nebraska",4.70%,4.7
"McPherson County, South Dakota",6.40%,6.4
"Meade County, Kansas",7.20%,7.2
"Meade County, Kentucky",7.20%,7.2
"Meade County, South Dakota",3.20%,3.2
"Meagher County, Montana",2.50%,2.5
"Mecklenburg County, North Carolina",4.40%,4.4
"Mecklenburg County, Virginia",8.20%,8.2
"Mecosta County, Michigan",5.70%,5.7
"Medina County, Ohio",3.50%,3.5
"Medina County, Texas",8.30%,8.3
"Meeker County, Minnesota",4.40%,4.4
"Meigs County, Ohio",10.10%,10.1
"Meigs County, Tennessee",11.50%,11.5
"Mellette County, South Dakota",13%,13
"Menard County, Illinois",4%,4
"Menard County, Texas",13.20%,13.2
"Mendocino County, California",7%,7
"Menifee County, Kentucky",9%,9
"Menominee County, Michigan",5%,5
"Menominee County, Wisconsin",3%,3
"Merced County, California",11.80%,11.8
"Mercer County, Illinois",5.50%,5.5
"Mercer County, Kentucky",5.40%,5.4
"Mercer County, Missouri",6.80%,6.8
"Mercer County, New Jersey",5.70%,5.7
"Mercer County, North Dakota",6%,6
"Mercer County, Ohio",5.80%,5.8
"Mercer County, Pennsylvania",6.30%,6.3
"Mercer County, West Virginia",9.10%,9.1
"Meriwether County, Georgia",12.80%,12.8
"Merrick County, Nebraska",4.90%,4.9
"Merrimack County, New Hampshire",4.50%,4.5
"Mesa County, Colorado",5.80%,5.8
"Metcalfe County, Kentucky",7.80%,7.8
"Miami County, Indiana",8.70%,8.7
"Miami County, Kansas",2.90%,2.9
"Miami County, Ohio",5.70%,5.7
"Miami-Dade County, Florida",8.90%,8.9
"Middlesex County, Massachusetts",3.20%,3.2
"Middlesex County, New Jersey",5.20%,5.2
"Middlesex County, Virginia",7.40%,7.4
"Midland County, Michigan",3.70%,3.7
"Midland County, Texas",8.10%,8.1
"Mifflin County, Pennsylvania",10.60%,10.6
"Milam County, Texas",7.30%,7.3
"Millard County, Utah",6.20%,6.2
"Mille Lacs County, Minnesota",7.40%,7.4
"Miller County, Arkansas",9%,9
"Miller County, Georgia",11.20%,11.2
"Miller County, Missouri",8.70%,8.7
"Mills County, Iowa",3.70%,3.7
