Geographic Area,Nursing facilities/Skilled-nursing facilities ,Total,Nurs Hom
"Haines Borough, Alaska",8,"2,080",0.38
"Hale County, Alabama",141,"14,785",0.95
"Hale County, Texas",130,"32,522",0.4
"Halifax County, North Carolina",233,"48,622",0.48
"Halifax County, Virginia",370,"34,022",1.09
"Hall County, Georgia",483,"203,136",0.24
"Hall County, Nebraska",526,"62,895",0.84
"Hall County, Texas",36,"2,825",1.27
"Hamblen County, Tennessee",252,"64,499",0.39
"Hamilton County, Florida",60,"14,004",0.43
"Hamilton County, Illinois",56,"7,993",0.7
"Hamilton County, Indiana","2,024","347,467",0.58
"Hamilton County, Iowa",205,"15,039",1.36
"Hamilton County, Kansas",0,"2,518",0
"Hamilton County, Nebraska",106,"9,429",1.12
"Hamilton County, New York",0,"5,107",0
"Hamilton County, Ohio","7,833","830,639",0.94
"Hamilton County, Tennessee","2,722","366,207",0.74
"Hamilton County, Texas",164,"8,222",1.99
"Hamlin County, South Dakota",95,"6,164",1.54
"Hampden County, Massachusetts","3,561","465,825",0.76
"Hampshire County, Massachusetts",752,"162,308",0.46
"Hampshire County, West Virginia",84,"23,093",0.36
"Hampton city, Virginia",446,"137,148",0.33
"Hampton County, South Carolina",90,"18,561",0.48
"Hancock County, Georgia",114,"8,735",1.31
"Hancock County, Illinois",154,"17,620",0.87
"Hancock County, Indiana",511,"79,840",0.64
"Hancock County, Iowa",183,"10,795",1.7
"Hancock County, Kentucky",85,"9,095",0.93
"Hancock County, Maine",309,"55,478",0.56
"Hancock County, Mississippi",198,"46,053",0.43
"Hancock County, Ohio",653,"74,920",0.87
"Hancock County, Tennessee",42,"6,662",0.63
"Hancock County, West Virginia",249,"29,095",0.86
"Hand County, South Dakota",39,"3,145",1.24
"Hanover County, Virginia",546,"109,979",0.5
"Hansford County, Texas",54,"5,285",1.02
"Hanson County, South Dakota",0,"3,461",0
"Haralson County, Georgia",119,"29,919",0.4
"Hardee County, Florida",72,"25,327",0.28
"Hardeman County, Tennessee",130,"25,462",0.51
"Hardeman County, Texas",0,"3,549",0
"Hardin County, Illinois",0,"3,649",0
"Hardin County, Iowa",275,"16,878",1.63
"Hardin County, Kentucky",496,"110,702",0.45
"Hardin County, Ohio",169,"30,696",0.55
"Hardin County, Tennessee",396,"26,831",1.48
"Hardin County, Texas",361,"56,231",0.64
"Harding County, New Mexico",0,657,0
"Harding County, South Dakota",0,"1,311",0
"Hardy County, West Virginia",47,"14,299",0.33
"Harford County, Maryland",852,"260,924",0.33
"Harlan County, Kentucky",214,"26,831",0.8
"Harlan County, Nebraska",38,"3,073",1.24
"Harmon County, Oklahoma",38,"2,488",1.53
"Harnett County, North Carolina",912,"133,568",0.68
"Harney County, Oregon",66,"7,495",0.88
"Harper County, Kansas",37,"5,485",0.67
"Harper County, Oklahoma",25,"3,272",0.76
"Harris County, Georgia",102,"34,668",0.29
"Harris County, Texas","11,229","4,731,145",0.24
"Harrison County, Indiana",290,"39,654",0.73
"Harrison County, Iowa",254,"14,582",1.74
"Harrison County, Kentucky",256,"18,692",1.37
"Harrison County, Mississippi","1,236","208,621",0.59
"Harrison County, Missouri",76,"8,157",0.93
"Harrison County, Ohio",210,"14,483",1.45
"Harrison County, Texas",245,"68,839",0.36
"Harrison County, West Virginia",539,"65,921",0.82
"Harrisonburg city, Virginia",512,"51,814",0.99
"Hart County, Georgia",207,"25,828",0.8
"Hart County, Kentucky",95,"19,288",0.49
"Hartford County, Connecticut","6,657","899,498",0.74
"Hartley County, Texas",51,"5,382",0.95
"Harvey County, Kansas",558,"34,024",1.64
"Haskell County, Kansas",42,"3,780",1.11
"Haskell County, Oklahoma",62,"11,561",0.54
"Haskell County, Texas",33,"5,416",0.61
"Hatillo Municipio, Puerto Rico",206,"38,486",0.54
"Hawaii County, Hawaii",607,"200,629",0.3
"Hawkins County, Tennessee",270,"56,721",0.48
"Hayes County, Nebraska",0,856,0
"Hays County, Texas",490,"241,067",0.2
"Haywood County, North Carolina",486,"62,089",0.78
"Haywood County, Tennessee",113,"17,864",0.63
"Heard County, Georgia",64,"11,412",0.56
"Hemphill County, Texas",29,"3,382",0.86
"Hempstead County, Arkansas",113,"20,065",0.56
"Henderson County, Illinois",48,"6,387",0.75
"Henderson County, Kentucky",245,"44,793",0.55
"Henderson County, North Carolina",780,"116,281",0.67
"Henderson County, Tennessee",228,"27,842",0.82
"Henderson County, Texas",421,"82,150",0.51
"Hendricks County, Indiana","1,140","174,788",0.65
"Hendry County, Florida",238,"39,619",0.6
"Hennepin County, Minnesota","8,365","1,281,565",0.65
"Henrico County, Virginia","2,266","334,389",0.68
"Henry County, Alabama",108,"17,146",0.63
"Henry County, Georgia",216,"240,712",0.09
"Henry County, Illinois",384,"49,284",0.78
"Henry County, Indiana",382,"48,914",0.78
"Henry County, Iowa",254,"20,482",1.24
"Henry County, Kentucky",87,"15,678",0.55
"Henry County, Missouri",193,"21,946",0.88
"Henry County, Ohio",263,"27,662",0.95
"Henry County, Tennessee",213,"32,199",0.66
"Henry County, Virginia",288,"50,948",0.57
"Herkimer County, New York",538,"60,139",0.89
"Hernando County, Florida",655,"194,515",0.34
"Hertford County, North Carolina",161,"21,552",0.75
"Hettinger County, North Dakota",46,"2,489",1.85
"Hickman County, Kentucky",117,"4,521",2.59
"Hickman County, Tennessee",90,"24,925",0.36
"Hickory County, Missouri",166,"8,279",2.01
"Hidalgo County, New Mexico",0,"4,178",0
"Hidalgo County, Texas","1,965","870,781",0.23
"Highland County, Ohio",318,"43,317",0.73
"Highland County, Virginia",0,"2,232",0
"Highlands County, Florida",708,"101,235",0.7
"Hill County, Montana",122,"16,309",0.75
"Hill County, Texas",295,"35,874",0.82
"Hillsborough County, Florida","5,867","1,459,762",0.4
"Hillsborough County, New Hampshire","2,626","422,937",0.62
"Hillsdale County, Michigan",193,"45,746",0.42
"Hinds County, Mississippi","1,689","227,742",0.74
"Hinsdale County, Colorado",0,788,0
"Hitchcock County, Nebraska",32,"2,616",1.22
"Hocking County, Ohio",165,"28,050",0.59
"Hockley County, Texas",108,"21,537",0.5
"Hodgeman County, Kansas",0,"1,723",0
"Hoke County, North Carolina",221,"52,082",0.42
"Holmes County, Florida",237,"19,653",1.21
"Holmes County, Mississippi",123,"17,000",0.72
"Holmes County, Ohio",682,"44,223",1.54
"Holt County, Missouri",87,"4,223",2.06
"Holt County, Nebraska",99,"10,127",0.98
"Honolulu County, Hawaii","4,132","1,016,508",0.41
"Hood County, Texas",447,"61,598",0.73
"Hood River County, Oregon",101,"23,977",0.42
"Hooker County, Nebraska",27,711,3.8
"Hoonah-Angoon Census Area, Alaska",0,"2,365",0
"Hopewell city, Virginia",203,"23,033",0.88
"Hopkins County, Kentucky",577,"45,423",1.27
"Hopkins County, Texas",325,"36,787",0.88
"Hormigueros Municipio, Puerto Rico",206,"15,654",1.32
"Horry County, South Carolina","1,018","351,029",0.29
"Hot Spring County, Arkansas",179,"33,040",0.54
"Hot Springs County, Wyoming",71,"4,621",1.54
"Houghton County, Michigan",387,"37,361",1.04
"Houston County, Alabama",368,"107,202",0.34
"Houston County, Georgia",506,"163,633",0.31
"Houston County, Minnesota",144,"18,843",0.76
"Houston County, Tennessee",135,"8,283",1.63
"Houston County, Texas",190,"22,066",0.86
"Howard County, Arkansas",154,"12,785",1.2
"Howard County, Indiana",486,"83,658",0.58
"Howard County, Iowa",135,"9,469",1.43
"Howard County, Maryland",926,"332,317",0.28
"Howard County, Missouri",39,"10,151",0.38
"Howard County, Nebraska",107,"6,475",1.65
"Howard County, Texas",212,"34,860",0.61
"Howell County, Missouri",468,"39,750",1.18
"Hubbard County, Minnesota",95,"21,344",0.45
"Hudson County, New Jersey","1,815","724,854",0.25
"Hudspeth County, Texas",0,"3,202",0
"Huerfano County, Colorado",70,"6,820",1.03
"Hughes County, Oklahoma",154,"13,367",1.15
"Hughes County, South Dakota",112,"17,765",0.63
"Humacao Municipio, Puerto Rico",286,"50,896",0.56
"Humboldt County, California",317,"136,463",0.23
"Humboldt County, Iowa",100,"9,597",1.04
"Humboldt County, Nevada",37,"17,285",0.21
"Humphreys County, Mississippi",50,"7,785",0.64
"Humphreys County, Tennessee",83,"18,990",0.44
"Hunt County, Texas",380,"99,956",0.38
"Hunterdon County, New Jersey",788,"128,947",0.61
"Huntingdon County, Pennsylvania",352,"44,092",0.8
"Huntington County, Indiana",494,"36,662",1.35
"Huron County, Michigan",245,"31,407",0.78
"Huron County, Ohio",344,"58,565",0.59
"Hutchinson County, South Dakota",139,"7,427",1.87
"Hutchinson County, Texas",118,"20,617",0.57
"Hyde County, North Carolina",20,"4,589",0.44
"Hyde County, South Dakota",35,"1,262",2.77
"Iberia Parish, Louisiana",207,"69,929",0.3
"Iberville Parish, Louisiana",186,"30,241",0.62
"Ida County, Iowa",159,"7,005",2.27
"Idaho County, Idaho",37,"16,541",0.22
"Imperial County, California",201,"179,702",0.11
"Independence County, Arkansas",281,"37,938",0.74
"Indian River County, Florida",601,"159,788",0.38
"Indiana County, Pennsylvania",562,"83,246",0.68
"Ingham County, Michigan",846,"284,900",0.3
"Inyo County, California",106,"19,016",0.56
"Ionia County, Michigan",180,"66,804",0.27
"Iosco County, Michigan",157,"25,237",0.62
"Iowa County, Iowa",177,"16,662",1.06
"Iowa County, Wisconsin",62,"23,709",0.26
"Iredell County, North Carolina","1,091","186,693",0.58
"Irion County, Texas",0,"1,513",0
"Iron County, Michigan",201,"11,631",1.73
"Iron County, Missouri",252,"9,537",2.64
"Iron County, Utah",58,"57,289",0.1
"Iron County, Wisconsin",98,"6,137",1.6
"Iroquois County, Illinois",307,"27,077",1.13
"Irwin County, Georgia",82,"9,666",0.85
"Isabela Municipio, Puerto Rico",279,"42,943",0.65
"Isabella County, Michigan",330,"64,394",0.51
"Isanti County, Minnesota",197,"41,135",0.48
"Island County, Washington",89,"86,857",0.1
"Isle of Wight County, Virginia",176,"38,606",0.46
"Issaquena County, Mississippi",0,"1,338",0
"Itasca County, Minnesota",451,"45,014",1
"Itawamba County, Mississippi",250,"23,863",1.05
"Izard County, Arkansas",241,"13,577",1.78
"Jack County, Texas",34,"8,472",0.4
"Jackson County, Alabama",293,"52,579",0.56
"Jackson County, Arkansas",154,"16,755",0.92
"Jackson County, Colorado",0,"1,379",0
"Jackson County, Florida",587,"47,319",1.24
"Jackson County, Georgia",249,"75,907",0.33
"Jackson County, Illinois",275,"52,974",0.52
"Jackson County, Indiana",476,"46,428",1.03
"Jackson County, Iowa",141,"19,485",0.72
"Jackson County, Kansas",98,"13,232",0.74
"Jackson County, Kentucky",36,"12,955",0.28
"Jackson County, Michigan",771,"160,366",0.48
"Jackson County, Minnesota",92,"9,989",0.92
"Jackson County, Mississippi",483,"143,252",0.34
"Jackson County, Missouri","4,200","717,204",0.59
"Jackson County, North Carolina",158,"43,109",0.37
"Jackson County, Ohio",248,"32,653",0.76
"Jackson County, Oklahoma",235,"24,785",0.95
"Jackson County, Oregon",598,"223,259",0.27
"Jackson County, South Dakota",33,"2,806",1.18
"Jackson County, Tennessee",33,"11,617",0.28
"Jackson County, Texas",308,"14,988",2.05
"Jackson County, West Virginia",137,"27,791",0.49
"Jackson County, Wisconsin",106,"21,145",0.5
"Jackson Parish, Louisiana",175,"15,031",1.16
"James City County, Virginia",558,"78,254",0.71
"Jasper County, Georgia",70,"14,588",0.48
"Jasper County, Illinois",49,"9,287",0.53
"Jasper County, Indiana",108,"32,918",0.33
"Jasper County, Iowa",361,"37,813",0.95
"Jasper County, Mississippi",106,"16,367",0.65
"Jasper County, Missouri",690,"122,761",0.56
"Jasper County, South Carolina",91,"28,791",0.32
"Jasper County, Texas",215,"32,980",0.65
"Jay County, Indiana",141,"20,478",0.69
"Jayuya Municipio, Puerto Rico",21,"14,779",0.14
"Jeff Davis County, Georgia",0,"14,779",0
"Jeff Davis County, Texas",0,"1,996",0
"Jefferson County, Alabama","3,884","674,721",0.58
"Jefferson County, Arkansas",342,"67,260",0.51
"Jefferson County, Colorado","2,354","582,910",0.4
"Jefferson County, Florida",125,"14,510",0.86
"Jefferson County, Georgia",200,"15,709",1.27
"Jefferson County, Idaho",60,"30,891",0.19
"Jefferson County, Illinois",226,"37,113",0.61
"Jefferson County, Indiana",317,"33,147",0.96
"Jefferson County, Iowa",252,"15,663",1.61
"Jefferson County, Kansas",148,"18,368",0.81
"Jefferson County, Kentucky","4,786","782,969",0.61
"Jefferson County, Mississippi",55,"7,260",0.76
"Jefferson County, Missouri","1,055","226,739",0.47
"Jefferson County, Montana",76,"12,085",0.63
"Jefferson County, Nebraska",92,"7,240",1.27
"Jefferson County, New York",524,"116,721",0.45
"Jefferson County, Ohio",505,"65,249",0.77
"Jefferson County, Oklahoma",19,"5,337",0.36
"Jefferson County, Oregon",20,"24,502",0.08
"Jefferson County, Pennsylvania",395,"44,492",0.89
"Jefferson County, Tennessee",552,"54,683",1.01
"Jefferson County, Texas","1,271","256,526",0.5
"Jefferson County, Washington",87,"32,977",0.26
"Jefferson County, West Virginia",218,"57,701",0.38
"Jefferson County, Wisconsin",264,"84,900",0.31
"Jefferson Davis County, Mississippi",56,"11,321",0.49
"Jefferson Davis Parish, Louisiana",423,"32,250",1.31
"Jefferson Parish, Louisiana","1,297","440,781",0.29
"Jenkins County, Georgia",64,"8,674",0.74
"Jennings County, Indiana",105,"27,613",0.38
"Jerauld County, South Dakota",29,"1,663",1.74
"Jerome County, Idaho",63,"24,237",0.26
"Jersey County, Illinois",257,"21,512",1.19
"Jessamine County, Kentucky",302,"52,991",0.57
"Jewell County, Kansas",14,"2,932",0.48
"Jim Hogg County, Texas",58,"4,838",1.2
"Jim Wells County, Texas",250,"38,891",0.64
"Jo Daviess County, Illinois",172,"22,035",0.78
"Johnson County, Arkansas",88,"25,749",0.34
"Johnson County, Georgia",154,"9,189",1.68
"Johnson County, Illinois",48,"13,308",0.36
"Johnson County, Indiana","1,709","161,765",1.06
"Johnson County, Iowa",847,"152,854",0.55
"Johnson County, Kansas","2,944","609,863",0.48
"Johnson County, Kentucky",103,"22,680",0.45
"Johnson County, Missouri",446,"54,013",0.83
"Johnson County, Nebraska",59,"5,290",1.12
"Johnson County, Tennessee",107,"17,948",0.6
"Johnson County, Texas",656,"179,927",0.36
"Johnson County, Wyoming",53,"8,447",0.63
"Johnston County, North Carolina",543,"215,999",0.25
"Johnston County, Oklahoma",0,"10,272",0
"Jones County, Georgia",148,"28,347",0.52
"Jones County, Iowa",159,"20,646",0.77
"Jones County, Mississippi",457,"67,246",0.68
"Jones County, North Carolina",68,"9,172",0.74
"Jones County, South Dakota",0,917,0
"Jones County, Texas",102,"19,663",0.52
"Josephine County, Oregon",557,"88,090",0.63
"Juab County, Utah",49,"11,786",0.42
"Juana Díaz Municipio, Puerto Rico",194,"46,538",0.42
"Judith Basin County, Montana",0,"2,023",0
"Juncos Municipio, Puerto Rico",64,"37,012",0.17
"Juneau City and Borough, Alaska",125,"32,255",0.39
"Juneau County, Wisconsin",139,"26,718",0.52
"Juniata County, Pennsylvania",233,"23,509",0.99
"Kalamazoo County, Michigan","1,159","261,670",0.44
"Kalawao County, Hawaii",0,82,0
"Kalkaska County, Michigan",116,"17,939",0.65
"Kanabec County, Minnesota",122,"16,032",0.76
"Kanawha County, West Virginia","1,025","180,745",0.57
"Kandiyohi County, Minnesota",425,"43,732",0.97
"Kane County, Illinois","2,634","516,522",0.51
"Kane County, Utah",18,"7,667",0.23
"Kankakee County, Illinois",802,"107,502",0.75
"Karnes County, Texas",144,"14,710",0.98
"Kauai County, Hawaii",333,"73,298",0.45
"Kaufman County, Texas",503,"145,310",0.35
"Kay County, Oklahoma",294,"43,700",0.67
"Kearney County, Nebraska",65,"6,688",0.97
"Kearny County, Kansas",56,"3,983",1.41
"Keith County, Nebraska",31,"8,335",0.37
"Kemper County, Mississippi",48,"8,988",0.53
"Kenai Peninsula Borough, Alaska",107,"58,799",0.18
"Kendall County, Illinois",197,"131,869",0.15
"Kendall County, Texas",626,"44,279",1.41
"Kenedy County, Texas",0,350,0
"Kennebec County, Maine","1,080","123,642",0.87
"Kenosha County, Wisconsin",832,"169,151",0.49
"Kent County, Delaware",764,"181,851",0.42
"Kent County, Maryland",203,"19,198",1.06
"Kent County, Michigan","2,623","657,974",0.4
"Kent County, Rhode Island","1,126","170,363",0.66
"Kent County, Texas",49,753,6.51
"Kenton County, Kentucky",747,"169,064",0.44
"Keokuk County, Iowa",97,"10,033",0.97
"Kern County, California","1,426","909,235",0.16
"Kerr County, Texas",536,"52,598",1.02
"Kershaw County, South Carolina",212,"65,403",0.32
"Ketchikan Gateway Borough, Alaska",26,"13,948",0.19
"Kewaunee County, Wisconsin",88,"20,563",0.43
"Keweenaw County, Michigan",0,"2,046",0
"Keya Paha County, Nebraska",0,769,0
"Kidder County, North Dakota",0,"2,394",0
"Kimball County, Nebraska",61,"3,434",1.78
"Kimble County, Texas",0,"4,286",0
"King and Queen County, Virginia",0,"6,608",0
"King County, Texas",0,265,0
"King County, Washington","7,548","2,269,675",0.33
"King George County, Virginia",85,"26,723",0.32
"King William County, Virginia",50,"17,810",0.28
"Kingfisher County, Oklahoma",140,"15,184",0.92
"Kingman County, Kansas",93,"7,470",1.24
"Kings County, California",162,"152,486",0.11
"Kings County, New York","9,466","2,736,074",0.35
"Kingsbury County, South Dakota",91,"5,187",1.75
"Kinney County, Texas",0,"3,129",0
"Kiowa County, Colorado",33,"1,446",2.28
"Kiowa County, Kansas",54,"2,460",2.2
"Kiowa County, Oklahoma",112,"8,509",1.32
"Kit Carson County, Colorado",65,"7,087",0.92
"Kitsap County, Washington","1,288","275,611",0.47
"Kittitas County, Washington",65,"44,337",0.15
"Kittson County, Minnesota",101,"4,207",2.4
"Klamath County, Oregon",79,"69,413",0.11
"Kleberg County, Texas",166,"31,040",0.53
"Klickitat County, Washington",0,"22,735",0
"Knott County, Kentucky",91,"14,251",0.64
"Knox County, Illinois",540,"49,967",1.08
"Knox County, Indiana",307,"36,282",0.85
"Knox County, Kentucky",329,"30,193",1.09
"Knox County, Maine",217,"40,607",0.53
"Knox County, Missouri",38,"3,744",1.01
"Knox County, Nebraska",138,"8,391",1.64
"Knox County, Ohio",615,"62,721",0.98
"Knox County, Tennessee","1,937","478,971",0.4
"Knox County, Texas",92,"3,353",2.74
"Kodiak Island Borough, Alaska",18,"13,101",0.14
"Koochiching County, Minnesota",99,"12,062",0.82
"Kootenai County, Idaho",805,"171,362",0.47
"Kosciusko County, Indiana",501,"80,240",0.62
"Kossuth County, Iowa",259,"14,828",1.75
"Kusilvak Census Area, Alaska",0,"8,368",0
"La Crosse County, Wisconsin",628,"120,784",0.52
"La Paz County, Arizona",0,"16,557",0
"La Plata County, Colorado",192,"55,638",0.35
"LaSalle County, Texas",47,"6,664",0.71
"Labette County, Kansas",224,"20,184",1.11
"Lac qui Parle County, Minnesota",108,"6,719",1.61
"Lackawanna County, Pennsylvania","2,157","215,896",1
"Laclede County, Missouri",245,"36,039",0.68
"Lafayette County, Arkansas",68,"6,308",1.08
"Lafayette County, Florida",119,"8,226",1.45
"Lafayette County, Mississippi",316,"55,813",0.57
"Lafayette County, Missouri",293,"32,984",0.89
"Lafayette County, Wisconsin",43,"16,611",0.26
"Lafayette Parish, Louisiana","1,010","241,753",0.42
"Lafourche Parish, Louisiana",426,"97,557",0.44
"LaGrange County, Indiana",130,"40,446",0.32
"Lajas Municipio, Puerto Rico",83,"23,334",0.36
"Lake and Peninsula Borough, Alaska",0,"1,476",0
"Lake County, California",210,"68,163",0.31
"Lake County, Colorado",0,"7,436",0
"Lake County, Florida","2,440","383,956",0.64
"Lake County, Illinois","4,025","714,342",0.56
"Lake County, Indiana","2,265","498,700",0.45
"Lake County, Michigan",74,"12,096",0.61
"Lake County, Minnesota",138,"10,905",1.27
"Lake County, Montana",118,"31,134",0.38
"Lake County, Ohio","1,502","232,603",0.65
"Lake County, Oregon",31,"8,160",0.38
"Lake County, South Dakota",70,"11,059",0.63
"Lake County, Tennessee",127,"7,005",1.81
"Lake of the Woods County, Minnesota",24,"3,763",0.64
"Lamar County, Alabama",97,"13,972",0.69
"Lamar County, Georgia",113,"18,500",0.61
"Lamar County, Mississippi",202,"64,222",0.31
"Lamar County, Texas",396,"50,088",0.79
"Lamb County, Texas",135,"13,045",1.03
"Lamoille County, Vermont",56,"25,945",0.22
"LaMoure County, North Dakota",55,"4,093",1.34
"Lampasas County, Texas",113,"21,627",0.52
"Lancaster County, Nebraska","1,300","322,608",0.4
"Lancaster County, Pennsylvania","6,687","552,984",1.21
"Lancaster County, South Carolina",427,"96,016",0.44
"Lancaster County, Virginia",215,"10,919",1.97
"Lander County, Nevada",19,"5,734",0.33
"Lane County, Kansas",17,"1,574",1.08
"Lane County, Oregon","1,178","382,971",0.31
"Langlade County, Wisconsin",140,"19,491",0.72
"Lanier County, Georgia",64,"9,877",0.65
"Lapeer County, Michigan",377,"88,619",0.43
"LaPorte County, Indiana",671,"112,417",0.6
"Laramie County, Wyoming",358,"100,512",0.36
"Lares Municipio, Puerto Rico",255,"28,105",0.91
"Larimer County, Colorado","1,295","359,066",0.36
"Larue County, Kentucky",0,"14,867",0
"Las Animas County, Colorado",96,"14,555",0.66
"Las Marías Municipio, Puerto Rico",0,"8,874",0
"Las Piedras Municipio, Puerto Rico",101,"35,180",0.29
"LaSalle County, Illinois",835,"109,658",0.76
"LaSalle Parish, Louisiana",145,"14,791",0.98
"Lassen County, California",48,"32,730",0.15
"Latah County, Idaho",128,"39,517",0.32
"Latimer County, Oklahoma",125,"9,444",1.32
"Lauderdale County, Alabama",643,"93,564",0.69
"Lauderdale County, Mississippi",699,"72,984",0.96
"Lauderdale County, Tennessee",110,"25,143",0.44
"Laurel County, Kentucky",312,"62,613",0.5
"Laurens County, Georgia",599,"49,570",1.21
"Laurens County, South Carolina",462,"67,539",0.68
"Lavaca County, Texas",354,"20,337",1.74
"Lawrence County, Alabama",116,"33,073",0.35
"Lawrence County, Arkansas",189,"16,216",1.17
"Lawrence County, Illinois",143,"15,280",0.94
"Lawrence County, Indiana",398,"45,011",0.88
"Lawrence County, Kentucky",81,"16,293",0.5
"Lawrence County, Mississippi",57,"12,016",0.47
"Lawrence County, Missouri",413,"38,001",1.09
"Lawrence County, Ohio",330,"58,240",0.57
"Lawrence County, Pennsylvania",784,"86,070",0.91
"Lawrence County, South Dakota",120,"25,768",0.47
"Lawrence County, Tennessee",315,"44,159",0.71
"Le Flore County, Oklahoma",336,"48,129",0.7
"Le Sueur County, Minnesota",206,"28,674",0.72
"Lea County, New Mexico",115,"74,455",0.15
"Leake County, Mississippi",87,"21,275",0.41
"Leavenworth County, Kansas",302,"81,881",0.37
"Lebanon County, Pennsylvania","1,510","143,257",1.05
"Lee County, Alabama",345,"174,241",0.2
"Lee County, Arkansas",57,"8,600",0.66
"Lee County, Florida","4,679","760,822",0.61
"Lee County, Georgia",55,"33,163",0.17
"Lee County, Illinois",341,"34,145",1
"Lee County, Iowa",472,"33,555",1.41
"Lee County, Kentucky",99,"7,395",1.34
"Lee County, Mississippi",673,"83,343",0.81
"Lee County, North Carolina",438,"63,285",0.69
"Lee County, South Carolina",167,"16,531",1.01
"Lee County, Texas",102,"17,478",0.58
"Lee County, Virginia",114,"22,173",0.51
"Leelanau County, Michigan",87,"22,301",0.39
"Leflore County, Mississippi",295,"28,339",1.04
"Lehigh County, Pennsylvania","2,671","374,557",0.71
"Lemhi County, Idaho",28,"7,974",0.35
"Lenawee County, Michigan",645,"99,423",0.65
"Lenoir County, North Carolina",747,"55,122",1.36
"Leon County, Florida","1,352","292,198",0.46
"Leon County, Texas",0,"15,719",0
"Leslie County, Kentucky",83,"10,513",0.79
"Letcher County, Kentucky",124,"21,548",0.58
"Levy County, Florida",94,"42,915",0.22
"Lewis and Clark County, Montana",282,"70,973",0.4
"Lewis County, Idaho",0,"3,533",0
"Lewis County, Kentucky",92,"13,080",0.7
"Lewis County, Missouri",149,"10,032",1.49
"Lewis County, New York",141,"26,582",0.53
"Lewis County, Tennessee",97,"12,582",0.77
"Lewis County, Washington",232,"82,149",0.28
"Lewis County, West Virginia",66,"17,033",0.39
"Lexington city, Virginia",62,"7,320",0.85
"Lexington County, South Carolina","1,460","293,991",0.5
"Liberty County, Florida",0,"7,974",0
"Liberty County, Georgia",108,"65,256",0.17
"Liberty County, Montana",21,"1,959",1.07
"Liberty County, Texas",305,"91,628",0.33
"Licking County, Ohio",774,"178,519",0.43
"Limestone County, Alabama",381,"103,570",0.37
"Limestone County, Texas",359,"22,146",1.62
"Lincoln County, Arkansas",99,"12,941",0.77
"Lincoln County, Colorado",60,"5,675",1.06
"Lincoln County, Georgia",0,"7,690",0
"Lincoln County, Idaho",42,"5,127",0.82
"Lincoln County, Kansas",38,"2,939",1.29
"Lincoln County, Kentucky",83,"24,275",0.34
"Lincoln County, Maine",179,"35,237",0.51
"Lincoln County, Minnesota",84,"5,640",1.49
"Lincoln County, Mississippi",211,"34,907",0.6
"Lincoln County, Missouri",343,"59,574",0.58
"Lincoln County, Montana",133,"19,677",0.68
"Lincoln County, Nebraska",298,"34,676",0.86
"Lincoln County, Nevada",21,"4,499",0.47
"Lincoln County, New Mexico",0,"20,269",0
"Lincoln County, North Carolina",424,"86,810",0.49
"Lincoln County, Oklahoma",147,"33,458",0.44
"Lincoln County, Oregon",146,"50,395",0.29
"Lincoln County, South Dakota",233,"65,161",0.36
"Lincoln County, Tennessee",166,"35,319",0.47
"Lincoln County, Washington",48,"10,876",0.44
"Lincoln County, West Virginia",54,"20,463",0.26
"Lincoln County, Wisconsin",332,"28,415",1.17
"Lincoln County, Wyoming",42,"19,581",0.21
"Lincoln Parish, Louisiana",311,"48,396",0.64
"Linn County, Iowa","1,712","230,299",0.74
"Linn County, Kansas",13,"9,591",0.14
"Linn County, Missouri",146,"11,874",1.23
"Linn County, Oregon",581,"128,610",0.45
"Lipscomb County, Texas",32,"3,059",1.05
"Litchfield County, Connecticut","1,047","185,186",0.57
"Little River County, Arkansas",153,"12,026",1.27
"Live Oak County, Texas",144,"11,335",1.27
"Livingston County, Illinois",365,"35,815",1.02
"Livingston County, Kentucky",41,"8,888",0.46
"Livingston County, Michigan",645,"193,866",0.33
"Livingston County, Missouri",281,"14,557",1.93
"Livingston County, New York",329,"61,834",0.53
"Livingston Parish, Louisiana",362,"142,282",0.25
"Llano County, Texas",146,"21,243",0.69
"Logan County, Arkansas",167,"21,131",0.79
"Logan County, Colorado",114,"21,528",0.53
"Logan County, Illinois",347,"27,987",1.24
"Logan County, Kansas",21,"2,762",0.76
"Logan County, Kentucky",153,"27,432",0.56
"Logan County, Nebraska",0,716,0
"Logan County, North Dakota",56,"1,876",2.99
"Logan County, Ohio",289,"46,150",0.63
"Logan County, Oklahoma",176,"49,555",0.36
"Logan County, West Virginia",210,"32,567",0.64
"Loíza Municipio, Puerto Rico",0,"23,693",0
"Long County, Georgia",106,"16,168",0.66
"Lonoke County, Arkansas",474,"74,015",0.64
"Lorain County, Ohio","2,047","312,964",0.65
"Los Alamos County, New Mexico",49,"19,419",0.25
"Los Angeles County, California","39,117","10,014,009",0.39
"Loudon County, Tennessee",268,"54,886",0.49
"Loudoun County, Virginia",648,"420,959",0.15
"Louisa County, Iowa",118,"10,837",1.09
"Louisa County, Virginia",89,"37,596",0.24
"Loup County, Nebraska",0,607,0
"Love County, Oklahoma",48,"10,146",0.47
"Loving County, Texas",0,64,0
"Lowndes County, Alabama",63,"10,311",0.61
"Lowndes County, Georgia",306,"118,251",0.26
"Lowndes County, Mississippi",604,"58,879",1.03
"Lubbock County, Texas","1,279","310,639",0.41
"Lucas County, Iowa",35,"8,634",0.41
"Lucas County, Ohio","3,018","431,279",0.7
"Luce County, Michigan",37,"5,339",0.69
