Geographic Area,Service occupations,Service job
"Holmes County, Ohio",11.10%,11.1
"Holt County, Missouri",14.10%,14.1
"Holt County, Nebraska",13.90%,13.9
"Honolulu County, Hawaii",20.50%,20.5
"Hood County, Texas",13%,13
"Hood River County, Oregon",17.90%,17.9
"Hooker County, Nebraska",24.10%,24.1
"Hoonah-Angoon Census Area, Alaska",15.20%,15.2
"Hopewell city, Virginia",19.90%,19.9
"Hopkins County, Kentucky",15.30%,15.3
"Hopkins County, Texas",13.20%,13.2
"Hormigueros Municipio, Puerto Rico",15.10%,15.1
"Horry County, South Carolina",23.10%,23.1
"Hot Spring County, Arkansas",19.50%,19.5
"Hot Springs County, Wyoming",22.20%,22.2
"Houghton County, Michigan",19.90%,19.9
"Houston County, Alabama",18.10%,18.1
"Houston County, Georgia",15.30%,15.3
"Houston County, Minnesota",14.20%,14.2
"Houston County, Tennessee",12.30%,12.3
"Houston County, Texas",23.20%,23.2
"Howard County, Arkansas",17.50%,17.5
"Howard County, Indiana",19.30%,19.3
"Howard County, Iowa",11.20%,11.2
"Howard County, Maryland",11.10%,11.1
"Howard County, Missouri",18.30%,18.3
"Howard County, Nebraska",11.70%,11.7
"Howard County, Texas",19.80%,19.8
"Howell County, Missouri",15%,15
"Hubbard County, Minnesota",16.60%,16.6
"Hudson County, New Jersey",15.20%,15.2
"Hudspeth County, Texas",24.80%,24.8
"Huerfano County, Colorado",21.60%,21.6
"Hughes County, Oklahoma",16.50%,16.5
"Hughes County, South Dakota",16.60%,16.6
"Humacao Municipio, Puerto Rico",22.60%,22.6
"Humboldt County, California",21.40%,21.4
"Humboldt County, Iowa",13.50%,13.5
"Humboldt County, Nevada",17.50%,17.5
"Humphreys County, Mississippi",23.60%,23.6
"Humphreys County, Tennessee",16.40%,16.4
"Hunt County, Texas",18.80%,18.8
"Hunterdon County, New Jersey",11.20%,11.2
"Huntingdon County, Pennsylvania",19.50%,19.5
"Huntington County, Indiana",15.60%,15.6
"Huron County, Michigan",17.10%,17.1
"Huron County, Ohio",14.20%,14.2
"Hutchinson County, South Dakota",14.90%,14.9
"Hutchinson County, Texas",15%,15
"Hyde County, North Carolina",14.60%,14.6
"Hyde County, South Dakota",9.70%,9.7
"Iberia Parish, Louisiana",19.60%,19.6
"Iberville Parish, Louisiana",16.90%,16.9
"Ida County, Iowa",15.80%,15.8
"Idaho County, Idaho",21.90%,21.9
"Imperial County, California",27%,27
"Independence County, Arkansas",17.50%,17.5
"Indian River County, Florida",19.40%,19.4
"Indiana County, Pennsylvania",19.40%,19.4
"Ingham County, Michigan",17.90%,17.9
"Inyo County, California",21.50%,21.5
"Ionia County, Michigan",15.20%,15.2
"Iosco County, Michigan",19.10%,19.1
"Iowa County, Iowa",16.50%,16.5
"Iowa County, Wisconsin",13.40%,13.4
"Iredell County, North Carolina",13.60%,13.6
"Irion County, Texas",17.50%,17.5
"Iron County, Michigan",19.50%,19.5
"Iron County, Missouri",22.20%,22.2
"Iron County, Utah",19.90%,19.9
"Iron County, Wisconsin",18.20%,18.2
"Iroquois County, Illinois",16.10%,16.1
"Irwin County, Georgia",16.10%,16.1
"Isabela Municipio, Puerto Rico",22.90%,22.9
"Isabella County, Michigan",24.40%,24.4
"Isanti County, Minnesota",14.20%,14.2
"Island County, Washington",16.70%,16.7
"Isle of Wight County, Virginia",16.60%,16.6
"Issaquena County, Mississippi",17.10%,17.1
"Itasca County, Minnesota",18.90%,18.9
"Itawamba County, Mississippi",15.80%,15.8
"Izard County, Arkansas",13.40%,13.4
"Jack County, Texas",18.80%,18.8
"Jackson County, Alabama",13.60%,13.6
"Jackson County, Arkansas",20.80%,20.8
"Jackson County, Colorado",31.70%,31.7
"Jackson County, Florida",22.40%,22.4
"Jackson County, Georgia",14.90%,14.9
"Jackson County, Illinois",20.30%,20.3
"Jackson County, Indiana",13%,13
"Jackson County, Iowa",14.50%,14.5
"Jackson County, Kansas",17.40%,17.4
"Jackson County, Kentucky",18.40%,18.4
"Jackson County, Michigan",18.10%,18.1
"Jackson County, Minnesota",17%,17
"Jackson County, Mississippi",17.70%,17.7
"Jackson County, Missouri",16.40%,16.4
"Jackson County, North Carolina",28%,28
"Jackson County, Ohio",14.70%,14.7
"Jackson County, Oklahoma",18.90%,18.9
"Jackson County, Oregon",18.90%,18.9
"Jackson County, South Dakota",18.60%,18.6
"Jackson County, Tennessee",17.50%,17.5
"Jackson County, Texas",15.50%,15.5
"Jackson County, West Virginia",12.40%,12.4
"Jackson County, Wisconsin",19.70%,19.7
"Jackson Parish, Louisiana",19.60%,19.6
"James City County, Virginia",15.60%,15.6
"Jasper County, Georgia",15.40%,15.4
"Jasper County, Illinois",14.10%,14.1
"Jasper County, Indiana",15%,15
"Jasper County, Iowa",15.60%,15.6
"Jasper County, Mississippi",17.50%,17.5
"Jasper County, Missouri",17%,17
"Jasper County, South Carolina",20.70%,20.7
"Jasper County, Texas",21.70%,21.7
"Jay County, Indiana",15.50%,15.5
"Jayuya Municipio, Puerto Rico",19.30%,19.3
"Jeff Davis County, Georgia",15.30%,15.3
"Jeff Davis County, Texas",19.50%,19.5
"Jefferson County, Alabama",16%,16
"Jefferson County, Arkansas",21.50%,21.5
"Jefferson County, Colorado",13.70%,13.7
"Jefferson County, Florida",17.20%,17.2
"Jefferson County, Georgia",12.10%,12.1
"Jefferson County, Idaho",15.20%,15.2
"Jefferson County, Illinois",19.30%,19.3
"Jefferson County, Indiana",16.40%,16.4
"Jefferson County, Iowa",16.80%,16.8
"Jefferson County, Kansas",14.10%,14.1
"Jefferson County, Kentucky",14.40%,14.4
"Jefferson County, Mississippi",33.60%,33.6
"Jefferson County, Missouri",15%,15
"Jefferson County, Montana",14.10%,14.1
"Jefferson County, Nebraska",15.90%,15.9
"Jefferson County, New York",21.10%,21.1
"Jefferson County, Ohio",18.60%,18.6
"Jefferson County, Oklahoma",19.80%,19.8
"Jefferson County, Oregon",18.70%,18.7
"Jefferson County, Pennsylvania",18.20%,18.2
"Jefferson County, Tennessee",17.40%,17.4
"Jefferson County, Texas",20.50%,20.5
"Jefferson County, Washington",18.50%,18.5
"Jefferson County, West Virginia",17%,17
"Jefferson County, Wisconsin",17.20%,17.2
"Jefferson Davis County, Mississippi",14.30%,14.3
"Jefferson Davis Parish, Louisiana",22.90%,22.9
"Jefferson Parish, Louisiana",18.90%,18.9
"Jenkins County, Georgia",8.10%,8.1
"Jennings County, Indiana",17.10%,17.1
"Jerauld County, South Dakota",11.90%,11.9
"Jerome County, Idaho",15.30%,15.3
"Jersey County, Illinois",16.70%,16.7
"Jessamine County, Kentucky",15.70%,15.7
"Jewell County, Kansas",15%,15
"Jim Hogg County, Texas",17.10%,17.1
"Jim Wells County, Texas",19%,19
"Jo Daviess County, Illinois",16.90%,16.9
"Johnson County, Arkansas",14.80%,14.8
"Johnson County, Georgia",13.60%,13.6
"Johnson County, Illinois",25%,25
"Johnson County, Indiana",13.20%,13.2
"Johnson County, Iowa",16.30%,16.3
"Johnson County, Kansas",11.90%,11.9
"Johnson County, Kentucky",19.80%,19.8
"Johnson County, Missouri",19.50%,19.5
"Johnson County, Nebraska",16%,16
"Johnson County, Tennessee",24.80%,24.8
"Johnson County, Texas",14.40%,14.4
"Johnson County, Wyoming",17.50%,17.5
"Johnston County, North Carolina",15.40%,15.4
"Johnston County, Oklahoma",16.90%,16.9
"Jones County, Georgia",12%,12
"Jones County, Iowa",12.70%,12.7
"Jones County, Mississippi",15.80%,15.8
"Jones County, North Carolina",18.10%,18.1
"Jones County, South Dakota",16%,16
"Jones County, Texas",22.60%,22.6
"Josephine County, Oregon",23.80%,23.8
"Juab County, Utah",14.70%,14.7
"Juana Díaz Municipio, Puerto Rico",21.70%,21.7
"Judith Basin County, Montana",16.60%,16.6
"Juncos Municipio, Puerto Rico",25.50%,25.5
"Juneau City and Borough, Alaska",16.20%,16.2
"Juneau County, Wisconsin",20%,20
"Juniata County, Pennsylvania",12.40%,12.4
"Kalamazoo County, Michigan",18.20%,18.2
"Kalawao County, Hawaii",19.40%,19.4
"Kalkaska County, Michigan",19.20%,19.2
"Kanabec County, Minnesota",19.60%,19.6
"Kanawha County, West Virginia",18.10%,18.1
"Kandiyohi County, Minnesota",15.90%,15.9
"Kane County, Illinois",16.20%,16.2
"Kane County, Utah",24.40%,24.4
"Kankakee County, Illinois",19.10%,19.1
"Karnes County, Texas",26.20%,26.2
"Kauai County, Hawaii",29.70%,29.7
"Kaufman County, Texas",16.20%,16.2
"Kay County, Oklahoma",18.40%,18.4
"Kearney County, Nebraska",16.20%,16.2
"Kearny County, Kansas",13.10%,13.1
"Keith County, Nebraska",14.70%,14.7
"Kemper County, Mississippi",19.40%,19.4
"Kenai Peninsula Borough, Alaska",18.70%,18.7
"Kendall County, Illinois",14.20%,14.2
"Kendall County, Texas",13.20%,13.2
"Kenedy County, Texas",8.70%,8.7
"Kennebec County, Maine",15.50%,15.5
"Kenosha County, Wisconsin",16.40%,16.4
"Kent County, Delaware",18.10%,18.1
"Kent County, Maryland",17.50%,17.5
"Kent County, Michigan",14.90%,14.9
"Kent County, Rhode Island",15.90%,15.9
"Kent County, Texas",12.40%,12.4
"Kenton County, Kentucky",14%,14
"Keokuk County, Iowa",12.90%,12.9
"Kern County, California",18.60%,18.6
"Kerr County, Texas",20.30%,20.3
"Kershaw County, South Carolina",17.10%,17.1
"Ketchikan Gateway Borough, Alaska",20.90%,20.9
"Kewaunee County, Wisconsin",15%,15
"Keweenaw County, Michigan",16.80%,16.8
"Keya Paha County, Nebraska",6.70%,6.7
"Kidder County, North Dakota",13.90%,13.9
"Kimball County, Nebraska",11.90%,11.9
"Kimble County, Texas",17.70%,17.7
"King and Queen County, Virginia",19.60%,19.6
"King County, Texas",16.50%,16.5
"King County, Washington",13.40%,13.4
"King George County, Virginia",12.70%,12.7
"King William County, Virginia",16.30%,16.3
"Kingfisher County, Oklahoma",15.30%,15.3
"Kingman County, Kansas",16.60%,16.6
"Kings County, California",20.80%,20.8
"Kings County, New York",21.20%,21.2
"Kingsbury County, South Dakota",14.80%,14.8
"Kinney County, Texas",25.80%,25.8
"Kiowa County, Colorado",19.40%,19.4
"Kiowa County, Kansas",22.70%,22.7
"Kiowa County, Oklahoma",15.60%,15.6
"Kit Carson County, Colorado",17.20%,17.2
"Kitsap County, Washington",16.80%,16.8
"Kittitas County, Washington",22.70%,22.7
"Kittson County, Minnesota",16.50%,16.5
"Klamath County, Oregon",17.30%,17.3
"Kleberg County, Texas",21.40%,21.4
"Klickitat County, Washington",14.40%,14.4
"Knott County, Kentucky",23.80%,23.8
"Knox County, Illinois",18.40%,18.4
"Knox County, Indiana",20.60%,20.6
"Knox County, Kentucky",23.30%,23.3
"Knox County, Maine",16.50%,16.5
"Knox County, Missouri",27.20%,27.2
"Knox County, Nebraska",18.80%,18.8
"Knox County, Ohio",18.60%,18.6
"Knox County, Tennessee",15.90%,15.9
"Knox County, Texas",14.10%,14.1
"Kodiak Island Borough, Alaska",17.50%,17.5
"Koochiching County, Minnesota",15.90%,15.9
"Kootenai County, Idaho",17.40%,17.4
"Kosciusko County, Indiana",12.70%,12.7
"Kossuth County, Iowa",14.10%,14.1
"Kusilvak Census Area, Alaska",23.90%,23.9
"La Crosse County, Wisconsin",16.90%,16.9
"La Paz County, Arizona",21%,21
"La Plata County, Colorado",16.60%,16.6
"LaSalle County, Texas",31.30%,31.3
"Labette County, Kansas",15.70%,15.7
"Lac qui Parle County, Minnesota",13.20%,13.2
"Lackawanna County, Pennsylvania",18.60%,18.6
"Laclede County, Missouri",14.30%,14.3
"Lafayette County, Arkansas",15.60%,15.6
"Lafayette County, Florida",31.90%,31.9
"Lafayette County, Mississippi",17.10%,17.1
"Lafayette County, Missouri",15.40%,15.4
"Lafayette County, Wisconsin",12.40%,12.4
"Lafayette Parish, Louisiana",16.50%,16.5
"Lafourche Parish, Louisiana",17%,17
"LaGrange County, Indiana",12.30%,12.3
"Lajas Municipio, Puerto Rico",19.20%,19.2
"Lake and Peninsula Borough, Alaska",20.10%,20.1
"Lake County, California",24.90%,24.9
"Lake County, Colorado",10.30%,10.3
"Lake County, Florida",20%,20
"Lake County, Illinois",14.10%,14.1
"Lake County, Indiana",17.40%,17.4
"Lake County, Michigan",25.20%,25.2
"Lake County, Minnesota",21%,21
"Lake County, Montana",21.70%,21.7
"Lake County, Ohio",15%,15
"Lake County, Oregon",20.70%,20.7
"Lake County, South Dakota",15.70%,15.7
"Lake County, Tennessee",33.80%,33.8
"Lake of the Woods County, Minnesota",18.70%,18.7
"Lamar County, Alabama",13%,13
"Lamar County, Georgia",18.80%,18.8
"Lamar County, Mississippi",14%,14
"Lamar County, Texas",17.60%,17.6
"Lamb County, Texas",15.20%,15.2
"Lamoille County, Vermont",18.20%,18.2
"LaMoure County, North Dakota",15.80%,15.8
"Lampasas County, Texas",20%,20
"Lancaster County, Nebraska",16.60%,16.6
"Lancaster County, Pennsylvania",15%,15
"Lancaster County, South Carolina",13%,13
"Lancaster County, Virginia",18.60%,18.6
"Lander County, Nevada",11.90%,11.9
"Lane County, Kansas",17.40%,17.4
"Lane County, Oregon",19%,19
"Langlade County, Wisconsin",17.10%,17.1
"Lanier County, Georgia",24.80%,24.8
"Lapeer County, Michigan",14.30%,14.3
"LaPorte County, Indiana",18.80%,18.8
"Laramie County, Wyoming",16.20%,16.2
"Lares Municipio, Puerto Rico",20.30%,20.3
"Larimer County, Colorado",15.50%,15.5
"Larue County, Kentucky",13.80%,13.8
"Las Animas County, Colorado",25.80%,25.8
"Las Marías Municipio, Puerto Rico",24.40%,24.4
"Las Piedras Municipio, Puerto Rico",17.80%,17.8
"LaSalle County, Illinois",17.70%,17.7
"LaSalle Parish, Louisiana",16.90%,16.9
"Lassen County, California",25.10%,25.1
"Latah County, Idaho",16.80%,16.8
"Latimer County, Oklahoma",17.10%,17.1
"Lauderdale County, Alabama",17.10%,17.1
"Lauderdale County, Mississippi",19.10%,19.1
"Lauderdale County, Tennessee",13.60%,13.6
"Laurel County, Kentucky",15.30%,15.3
"Laurens County, Georgia",18.30%,18.3
"Laurens County, South Carolina",19.90%,19.9
"Lavaca County, Texas",13.70%,13.7
"Lawrence County, Alabama",14.60%,14.6
"Lawrence County, Arkansas",16.10%,16.1
"Lawrence County, Illinois",18.90%,18.9
"Lawrence County, Indiana",16.40%,16.4
"Lawrence County, Kentucky",13.20%,13.2
"Lawrence County, Mississippi",16.20%,16.2
"Lawrence County, Missouri",17%,17
"Lawrence County, Ohio",21%,21
"Lawrence County, Pennsylvania",18.90%,18.9
"Lawrence County, South Dakota",23%,23
"Lawrence County, Tennessee",16.20%,16.2
"Le Flore County, Oklahoma",19%,19
"Le Sueur County, Minnesota",15.70%,15.7
"Lea County, New Mexico",13.50%,13.5
"Leake County, Mississippi",20.60%,20.6
"Leavenworth County, Kansas",15.90%,15.9
"Lebanon County, Pennsylvania",16.60%,16.6
"Lee County, Alabama",16.70%,16.7
"Lee County, Arkansas",14.50%,14.5
"Lee County, Florida",19.70%,19.7
"Lee County, Georgia",13.80%,13.8
"Lee County, Illinois",19.10%,19.1
"Lee County, Iowa",18.20%,18.2
"Lee County, Kentucky",18.40%,18.4
"Lee County, Mississippi",12.40%,12.4
"Lee County, North Carolina",16.50%,16.5
"Lee County, South Carolina",17.70%,17.7
"Lee County, Texas",15.70%,15.7
"Lee County, Virginia",21%,21
"Leelanau County, Michigan",17.20%,17.2
"Leflore County, Mississippi",21.70%,21.7
"Lehigh County, Pennsylvania",16%,16
"Lemhi County, Idaho",17.60%,17.6
"Lenawee County, Michigan",19.70%,19.7
"Lenoir County, North Carolina",19.30%,19.3
"Leon County, Florida",16.80%,16.8
"Leon County, Texas",21.20%,21.2
"Leslie County, Kentucky",19.60%,19.6
"Letcher County, Kentucky",19%,19
"Levy County, Florida",22.10%,22.1
"Lewis and Clark County, Montana",16%,16
"Lewis County, Idaho",16.50%,16.5
"Lewis County, Kentucky",17%,17
"Lewis County, Missouri",18.40%,18.4
"Lewis County, New York",17.90%,17.9
"Lewis County, Tennessee",14.70%,14.7
"Lewis County, Washington",17.30%,17.3
"Lewis County, West Virginia",17.30%,17.3
"Lexington city, Virginia",18.90%,18.9
"Lexington County, South Carolina",14.50%,14.5
"Liberty County, Florida",24%,24
"Liberty County, Georgia",20%,20
"Liberty County, Montana",11.80%,11.8
"Liberty County, Texas",15.40%,15.4
"Licking County, Ohio",16.40%,16.4
"Limestone County, Alabama",13%,13
"Limestone County, Texas",21%,21
"Lincoln County, Arkansas",14.60%,14.6
"Lincoln County, Colorado",19.20%,19.2
"Lincoln County, Georgia",19.90%,19.9
"Lincoln County, Idaho",17.40%,17.4
"Lincoln County, Kansas",17.60%,17.6
"Lincoln County, Kentucky",16.80%,16.8
"Lincoln County, Maine",15.30%,15.3
"Lincoln County, Minnesota",15.40%,15.4
"Lincoln County, Mississippi",14.80%,14.8
"Lincoln County, Missouri",14.20%,14.2
"Lincoln County, Montana",22.90%,22.9
"Lincoln County, Nebraska",17.20%,17.2
"Lincoln County, Nevada",16.60%,16.6
"Lincoln County, New Mexico",24.70%,24.7
"Lincoln County, North Carolina",13.50%,13.5
"Lincoln County, Oklahoma",15.10%,15.1
"Lincoln County, Oregon",25.30%,25.3
"Lincoln County, South Dakota",14.20%,14.2
"Lincoln County, Tennessee",13%,13
"Lincoln County, Washington",15.20%,15.2
"Lincoln County, West Virginia",22.30%,22.3
"Lincoln County, Wisconsin",15.20%,15.2
"Lincoln County, Wyoming",15.40%,15.4
"Lincoln Parish, Louisiana",21.40%,21.4
"Linn County, Iowa",14.60%,14.6
"Linn County, Kansas",16.60%,16.6
"Linn County, Missouri",15.90%,15.9
"Linn County, Oregon",17.20%,17.2
"Lipscomb County, Texas",16%,16
"Little River County, Arkansas",14.70%,14.7
"Live Oak County, Texas",13.40%,13.4
"Livingston County, Illinois",19%,19
"Livingston County, Kentucky",16.30%,16.3
"Livingston County, Michigan",13.90%,13.9
"Livingston County, Missouri",15.80%,15.8
"Livingston County, New York",17.90%,17.9
"Livingston Parish, Louisiana",14.70%,14.7
"Llano County, Texas",15.30%,15.3
"Logan County, Arkansas",16.70%,16.7
"Logan County, Colorado",22.20%,22.2
"Logan County, Illinois",18.80%,18.8
"Logan County, Kansas",16.90%,16.9
"Logan County, Kentucky",13.30%,13.3
"Logan County, Nebraska",9.90%,9.9
"Logan County, North Dakota",12.60%,12.6
"Logan County, Ohio",16%,16
"Logan County, Oklahoma",17.80%,17.8
"Logan County, West Virginia",21.70%,21.7
"Loíza Municipio, Puerto Rico",34.70%,34.7
"Long County, Georgia",22.40%,22.4
"Lonoke County, Arkansas",13.30%,13.3
"Lorain County, Ohio",16.70%,16.7
"Los Alamos County, New Mexico",9%,9
"Los Angeles County, California",18.20%,18.2
"Loudon County, Tennessee",15.10%,15.1
"Loudoun County, Virginia",11.90%,11.9
"Louisa County, Iowa",15.90%,15.9
"Louisa County, Virginia",16.80%,16.8
"Loup County, Nebraska",16%,16
"Love County, Oklahoma",22.30%,22.3
"Loving County, Texas",0%,0
"Lower Connecticut River Valley Planning Region, Connecticut",14.90%,14.9
"Lowndes County, Alabama",13%,13
"Lowndes County, Georgia",17.60%,17.6
"Lowndes County, Mississippi",15.70%,15.7
"Lubbock County, Texas",17.40%,17.4
"Lucas County, Iowa",14.20%,14.2
"Lucas County, Ohio",17.70%,17.7
"Luce County, Michigan",22.50%,22.5
"Lumpkin County, Georgia",18.70%,18.7
"Luna County, New Mexico",21.50%,21.5
"Lunenburg County, Virginia",17%,17
"Luquillo Municipio, Puerto Rico",28.30%,28.3
"Luzerne County, Pennsylvania",17.20%,17.2
"Lycoming County, Pennsylvania",17.90%,17.9
"Lyman County, South Dakota",18.10%,18.1
"Lynchburg city, Virginia",20.60%,20.6
"Lynn County, Texas",18.10%,18.1
"Lyon County, Iowa",13.60%,13.6
"Lyon County, Kansas",19.40%,19.4
"Lyon County, Kentucky",22.60%,22.6
"Lyon County, Minnesota",17.10%,17.1
"Lyon County, Nevada",19.60%,19.6
"Mackinac County, Michigan",23.30%,23.3
"Macomb County, Michigan",16.30%,16.3
"Macon County, Alabama",25%,25
"Macon County, Georgia",23.50%,23.5
"Macon County, Illinois",16.70%,16.7
"Macon County, Missouri",13.80%,13.8
"Macon County, North Carolina",22.50%,22.5
"Macon County, Tennessee",17.20%,17.2
"Macoupin County, Illinois",18.10%,18.1
"Madera County, California",17.90%,17.9
"Madison County, Alabama",13.60%,13.6
"Madison County, Arkansas",17%,17
"Madison County, Florida",20.10%,20.1
"Madison County, Georgia",17.40%,17.4
"Madison County, Idaho",26.90%,26.9
"Madison County, Illinois",17.20%,17.2
"Madison County, Indiana",19.30%,19.3
"Madison County, Iowa",11.70%,11.7
"Madison County, Kentucky",19%,19
"Madison County, Mississippi",13%,13
"Madison County, Missouri",21.70%,21.7
"Madison County, Montana",17.30%,17.3
"Madison County, Nebraska",15.90%,15.9
"Madison County, New York",18.70%,18.7
"Madison County, North Carolina",19.20%,19.2
"Madison County, Ohio",15.40%,15.4
"Madison County, Tennessee",18.20%,18.2
"Madison County, Texas",16.30%,16.3
"Madison County, Virginia",21%,21
"Madison Parish, Louisiana",28.60%,28.6
"Magoffin County, Kentucky",23.40%,23.4
"Mahaska County, Iowa",15.30%,15.3
"Mahnomen County, Minnesota",23.80%,23.8
"Mahoning County, Ohio",20.20%,20.2
"Major County, Oklahoma",12.70%,12.7
"Malheur County, Oregon",17.80%,17.8
"Manassas city, Virginia",17%,17
"Manassas Park city, Virginia",20.10%,20.1
"Manatee County, Florida",19%,19
"Manatí Municipio, Puerto Rico",21.90%,21.9
"Manistee County, Michigan",22.30%,22.3
"Manitowoc County, Wisconsin",15.10%,15.1
"Marathon County, Wisconsin",14.60%,14.6
"Marengo County, Alabama",18.70%,18.7
"Maricao Municipio, Puerto Rico",17.20%,17.2
"Maricopa County, Arizona",16.20%,16.2
"Maries County, Missouri",15.50%,15.5
"Marin County, California",13.30%,13.3
"Marinette County, Wisconsin",14.30%,14.3
"Marion County, Alabama",14.70%,14.7
"Marion County, Arkansas",13.90%,13.9
"Marion County, Florida",21%,21
"Marion County, Georgia",13.60%,13.6
"Marion County, Illinois",18.90%,18.9
"Marion County, Indiana",15.30%,15.3
"Marion County, Iowa",14.70%,14.7
"Marion County, Kansas",15%,15
"Marion County, Kentucky",11.90%,11.9
"Marion County, Mississippi",14.20%,14.2
"Marion County, Missouri",16.80%,16.8
"Marion County, Ohio",22%,22
"Marion County, Oregon",18.90%,18.9
"Marion County, South Carolina",16.70%,16.7
"Marion County, Tennessee",18.60%,18.6
"Marion County, Texas",18.70%,18.7
"Marion County, West Virginia",16.10%,16.1
"Mariposa County, California",27.10%,27.1
"Marlboro County, South Carolina",17.60%,17.6
"Marquette County, Michigan",22.90%,22.9
"Marquette County, Wisconsin",18.80%,18.8
"Marshall County, Alabama",16.10%,16.1
"Marshall County, Illinois",18.30%,18.3
"Marshall County, Indiana",11.70%,11.7
"Marshall County, Iowa",15.90%,15.9
"Marshall County, Kansas",12.30%,12.3
"Marshall County, Kentucky",13.40%,13.4
"Marshall County, Minnesota",12%,12
"Marshall County, Mississippi",14.40%,14.4
"Marshall County, Oklahoma",20.50%,20.5
"Marshall County, South Dakota",14.90%,14.9
"Marshall County, Tennessee",15.30%,15.3
"Marshall County, West Virginia",19.30%,19.3
"Martin County, Florida",19.60%,19.6
"Martin County, Indiana",11.90%,11.9
"Martin County, Kentucky",17.90%,17.9
"Martin County, Minnesota",16.80%,16.8
"Martin County, North Carolina",24.60%,24.6
"Martin County, Texas",9.70%,9.7
"Martinsville city, Virginia",17.30%,17.3
"Mason County, Illinois",19.70%,19.7
"Mason County, Kentucky",17.70%,17.7
"Mason County, Michigan",16.30%,16.3
"Mason County, Texas",12.30%,12.3
"Mason County, Washington",17.70%,17.7
"Mason County, West Virginia",18%,18
"Massac County, Illinois",20%,20
"Matagorda County, Texas",17.10%,17.1
"Matanuska-Susitna Borough, Alaska",17.50%,17.5
"Mathews County, Virginia",11.20%,11.2
"Maui County, Hawaii",26.60%,26.6
"Maunabo Municipio, Puerto Rico",28.60%,28.6
"Maury County, Tennessee",14.30%,14.3
"Maverick County, Texas",28.70%,28.7
"Mayagüez Municipio, Puerto Rico",25.30%,25.3
"Mayes County, Oklahoma",18.10%,18.1
"McClain County, Oklahoma",14.90%,14.9
"McCone County, Montana",8.40%,8.4
"McCook County, South Dakota",13.80%,13.8
"McCormick County, South Carolina",20.40%,20.4
"McCracken County, Kentucky",19.30%,19.3
"McCreary County, Kentucky",20.80%,20.8
"McCulloch County, Texas",22.70%,22.7
"McCurtain County, Oklahoma",19.70%,19.7
"McDonald County, Missouri",17.80%,17.8
"McDonough County, Illinois",20%,20
"McDowell County, North Carolina",15.60%,15.6
"McDowell County, West Virginia",22.80%,22.8
"McDuffie County, Georgia",15.70%,15.7
"McHenry County, Illinois",14%,14
"McHenry County, North Dakota",14.60%,14.6
"McIntosh County, Georgia",22.50%,22.5
"McIntosh County, North Dakota",16.40%,16.4
"McIntosh County, Oklahoma",18.60%,18.6
"McKean County, Pennsylvania",19.10%,19.1
"McKenzie County, North Dakota",13.80%,13.8
"McKinley County, New Mexico",25.40%,25.4
"McLean County, Illinois",16.20%,16.2
"McLean County, Kentucky",11.30%,11.3
"McLean County, North Dakota",14.90%,14.9
"McLennan County, Texas",16.60%,16.6
"McLeod County, Minnesota",14.20%,14.2
"McMinn County, Tennessee",14.70%,14.7
"McMullen County, Texas",28.30%,28.3
"McNairy County, Tennessee",14.20%,14.2
"McPherson County, Kansas",17.10%,17.1
"McPherson County, Nebraska",26.60%,26.6
"McPherson County, South Dakota",13.80%,13.8
"Meade County, Kansas",15.40%,15.4
"Meade County, Kentucky",14.90%,14.9
"Meade County, South Dakota",21.50%,21.5
"Meagher County, Montana",14.70%,14.7
"Mecklenburg County, North Carolina",13.50%,13.5
"Mecklenburg County, Virginia",19.10%,19.1
"Mecosta County, Michigan",18.90%,18.9
"Medina County, Ohio",14.70%,14.7
"Medina County, Texas",15.50%,15.5
"Meeker County, Minnesota",14.30%,14.3
"Meigs County, Ohio",21.70%,21.7
"Meigs County, Tennessee",14.70%,14.7
"Mellette County, South Dakota",28.30%,28.3
"Menard County, Illinois",14.90%,14.9
"Menard County, Texas",16.30%,16.3
"Mendocino County, California",22.30%,22.3
"Menifee County, Kentucky",9%,9
"Menominee County, Michigan",17.60%,17.6
"Menominee County, Wisconsin",27.30%,27.3
"Merced County, California",17.30%,17.3
"Mercer County, Illinois",16.30%,16.3
"Mercer County, Kentucky",14.60%,14.6
"Mercer County, Missouri",10.60%,10.6
"Mercer County, New Jersey",16.30%,16.3
"Mercer County, North Dakota",18.30%,18.3
"Mercer County, Ohio",12.60%,12.6
"Mercer County, Pennsylvania",20.30%,20.3
"Mercer County, West Virginia",18.80%,18.8
"Meriwether County, Georgia",18.30%,18.3
"Merrick County, Nebraska",13.50%,13.5
"Merrimack County, New Hampshire",16.20%,16.2
"Mesa County, Colorado",17.50%,17.5
"Metcalfe County, Kentucky",17.40%,17.4
"Miami County, Indiana",16.30%,16.3
"Miami County, Kansas",18.10%,18.1
"Miami County, Ohio",14.70%,14.7
"Miami-Dade County, Florida",19.20%,19.2
"Middlesex County, Massachusetts",12.30%,12.3
"Middlesex County, New Jersey",11.90%,11.9
"Middlesex County, Virginia",17.40%,17.4
"Midland County, Michigan",17.10%,17.1
"Midland County, Texas",12.60%,12.6
"Mifflin County, Pennsylvania",18.50%,18.5
"Milam County, Texas",14.70%,14.7
"Millard County, Utah",18.30%,18.3
"Mille Lacs County, Minnesota",20.80%,20.8
"Miller County, Arkansas",15%,15
"Miller County, Georgia",15.20%,15.2
"Miller County, Missouri",18.60%,18.6
