Geographic Area,"Production, transportation, and material moving occupations",Production job
"Hoke County, North Carolina",16.30%,16.3
"Holmes County, Florida",10.30%,10.3
"Holmes County, Mississippi",28%,28
"Holmes County, Ohio",31%,31
"Holt County, Missouri",19%,19
"Holt County, Nebraska",15%,15
"Honolulu County, Hawaii",9.20%,9.2
"Hood County, Texas",18.10%,18.1
"Hood River County, Oregon",10.80%,10.8
"Hooker County, Nebraska",8.60%,8.6
"Hoonah-Angoon Census Area, Alaska",14.30%,14.3
"Hopewell city, Virginia",24.40%,24.4
"Hopkins County, Kentucky",21.70%,21.7
"Hopkins County, Texas",20.60%,20.6
"Hormigueros Municipio, Puerto Rico",11.40%,11.4
"Horry County, South Carolina",9.60%,9.6
"Hot Spring County, Arkansas",16.70%,16.7
"Hot Springs County, Wyoming",13.30%,13.3
"Houghton County, Michigan",10.60%,10.6
"Houston County, Alabama",15.90%,15.9
"Houston County, Georgia",14.70%,14.7
"Houston County, Minnesota",19.30%,19.3
"Houston County, Tennessee",24.50%,24.5
"Houston County, Texas",16%,16
"Howard County, Arkansas",23.60%,23.6
"Howard County, Indiana",24.90%,24.9
"Howard County, Iowa",24.60%,24.6
"Howard County, Maryland",5.40%,5.4
"Howard County, Missouri",16.60%,16.6
"Howard County, Nebraska",16.60%,16.6
"Howard County, Texas",16.30%,16.3
"Howell County, Missouri",18.60%,18.6
"Hubbard County, Minnesota",17.10%,17.1
"Hudson County, New Jersey",12.30%,12.3
"Hudspeth County, Texas",12.70%,12.7
"Huerfano County, Colorado",9.30%,9.3
"Hughes County, Oklahoma",17.10%,17.1
"Hughes County, South Dakota",7.60%,7.6
"Humacao Municipio, Puerto Rico",14%,14
"Humboldt County, California",11.60%,11.6
"Humboldt County, Iowa",22.20%,22.2
"Humboldt County, Nevada",12.80%,12.8
"Humphreys County, Mississippi",19.90%,19.9
"Humphreys County, Tennessee",21.60%,21.6
"Hunt County, Texas",15.70%,15.7
"Hunterdon County, New Jersey",5.20%,5.2
"Huntingdon County, Pennsylvania",18.40%,18.4
"Huntington County, Indiana",25.40%,25.4
"Huron County, Michigan",21%,21
"Huron County, Ohio",26.30%,26.3
"Hutchinson County, South Dakota",12.70%,12.7
"Hutchinson County, Texas",22.70%,22.7
"Hyde County, North Carolina",25.50%,25.5
"Hyde County, South Dakota",14.40%,14.4
"Iberia Parish, Louisiana",15.50%,15.5
"Iberville Parish, Louisiana",16.30%,16.3
"Ida County, Iowa",17.40%,17.4
"Idaho County, Idaho",13.20%,13.2
"Imperial County, California",13%,13
"Independence County, Arkansas",20.90%,20.9
"Indian River County, Florida",9.70%,9.7
"Indiana County, Pennsylvania",15.80%,15.8
"Ingham County, Michigan",13.20%,13.2
"Inyo County, California",6%,6
"Ionia County, Michigan",23.40%,23.4
"Iosco County, Michigan",17.80%,17.8
"Iowa County, Iowa",17.80%,17.8
"Iowa County, Wisconsin",16%,16
"Iredell County, North Carolina",17.20%,17.2
"Irion County, Texas",19.30%,19.3
"Iron County, Michigan",21.90%,21.9
"Iron County, Missouri",15.60%,15.6
"Iron County, Utah",14.10%,14.1
"Iron County, Wisconsin",17.20%,17.2
"Iroquois County, Illinois",20.30%,20.3
"Irwin County, Georgia",26%,26
"Isabela Municipio, Puerto Rico",13.40%,13.4
"Isabella County, Michigan",15.10%,15.1
"Isanti County, Minnesota",17.90%,17.9
"Island County, Washington",11.80%,11.8
"Isle of Wight County, Virginia",13.80%,13.8
"Issaquena County, Mississippi",10.50%,10.5
"Itasca County, Minnesota",14.80%,14.8
"Itawamba County, Mississippi",24.70%,24.7
"Izard County, Arkansas",20.50%,20.5
"Jack County, Texas",17.30%,17.3
"Jackson County, Alabama",24.20%,24.2
"Jackson County, Arkansas",23.30%,23.3
"Jackson County, Colorado",3.20%,3.2
"Jackson County, Florida",10.80%,10.8
"Jackson County, Georgia",14.50%,14.5
"Jackson County, Illinois",11.40%,11.4
"Jackson County, Indiana",29.20%,29.2
"Jackson County, Iowa",20.30%,20.3
"Jackson County, Kansas",16.70%,16.7
"Jackson County, Kentucky",28.10%,28.1
"Jackson County, Michigan",17.80%,17.8
"Jackson County, Minnesota",20.50%,20.5
"Jackson County, Mississippi",13.20%,13.2
"Jackson County, Missouri",14.10%,14.1
"Jackson County, North Carolina",8.70%,8.7
"Jackson County, Ohio",21.80%,21.8
"Jackson County, Oklahoma",14.50%,14.5
"Jackson County, Oregon",12.60%,12.6
"Jackson County, South Dakota",10.30%,10.3
"Jackson County, Tennessee",23.70%,23.7
"Jackson County, Texas",20.60%,20.6
"Jackson County, West Virginia",18.50%,18.5
"Jackson County, Wisconsin",21.50%,21.5
"Jackson Parish, Louisiana",18.70%,18.7
"James City County, Virginia",8.10%,8.1
"Jasper County, Georgia",18.90%,18.9
"Jasper County, Illinois",21%,21
"Jasper County, Indiana",18.60%,18.6
"Jasper County, Iowa",19.40%,19.4
"Jasper County, Mississippi",27.50%,27.5
"Jasper County, Missouri",20.10%,20.1
"Jasper County, South Carolina",12.10%,12.1
"Jasper County, Texas",14.70%,14.7
"Jay County, Indiana",30.70%,30.7
"Jayuya Municipio, Puerto Rico",24%,24
"Jeff Davis County, Georgia",22.70%,22.7
"Jeff Davis County, Texas",5.50%,5.5
"Jefferson County, Alabama",13.80%,13.8
"Jefferson County, Arkansas",21.70%,21.7
"Jefferson County, Colorado",8%,8
"Jefferson County, Florida",9.90%,9.9
"Jefferson County, Georgia",28.50%,28.5
"Jefferson County, Idaho",14.50%,14.5
"Jefferson County, Illinois",22.70%,22.7
"Jefferson County, Indiana",24.90%,24.9
"Jefferson County, Iowa",17.10%,17.1
"Jefferson County, Kansas",12%,12
"Jefferson County, Kentucky",18.50%,18.5
"Jefferson County, Mississippi",13%,13
"Jefferson County, Missouri",14.50%,14.5
"Jefferson County, Montana",9.70%,9.7
"Jefferson County, Nebraska",20.10%,20.1
"Jefferson County, New York",12.50%,12.5
"Jefferson County, Ohio",16.70%,16.7
"Jefferson County, Oklahoma",19.40%,19.4
"Jefferson County, Oregon",17.50%,17.5
"Jefferson County, Pennsylvania",23.60%,23.6
"Jefferson County, Tennessee",18.70%,18.7
"Jefferson County, Texas",14.90%,14.9
"Jefferson County, Washington",12.20%,12.2
"Jefferson County, West Virginia",12%,12
"Jefferson County, Wisconsin",19.90%,19.9
"Jefferson Davis County, Mississippi",27.70%,27.7
"Jefferson Davis Parish, Louisiana",12.50%,12.5
"Jefferson Parish, Louisiana",11%,11
"Jenkins County, Georgia",24.20%,24.2
"Jennings County, Indiana",22.80%,22.8
"Jerauld County, South Dakota",19%,19
"Jerome County, Idaho",18.30%,18.3
"Jersey County, Illinois",18.10%,18.1
"Jessamine County, Kentucky",13.10%,13.1
"Jewell County, Kansas",15.60%,15.6
"Jim Hogg County, Texas",23.60%,23.6
"Jim Wells County, Texas",13.50%,13.5
"Jo Daviess County, Illinois",15.50%,15.5
"Johnson County, Arkansas",32%,32
"Johnson County, Georgia",24%,24
"Johnson County, Illinois",11.70%,11.7
"Johnson County, Indiana",13.70%,13.7
"Johnson County, Iowa",10.30%,10.3
"Johnson County, Kansas",8.20%,8.2
"Johnson County, Kentucky",18.10%,18.1
"Johnson County, Missouri",17.90%,17.9
"Johnson County, Nebraska",18.80%,18.8
"Johnson County, Tennessee",18%,18
"Johnson County, Texas",25.70%,25.7
"Johnson County, Wyoming",9.40%,9.4
"Johnston County, North Carolina",13.90%,13.9
"Johnston County, Oklahoma",23.30%,23.3
"Jones County, Georgia",12.70%,12.7
"Jones County, Iowa",20.30%,20.3
"Jones County, Mississippi",20.50%,20.5
"Jones County, North Carolina",20.70%,20.7
"Jones County, South Dakota",10%,10
"Jones County, Texas",14.80%,14.8
"Josephine County, Oregon",14.30%,14.3
"Juab County, Utah",17.90%,17.9
"Juana Díaz Municipio, Puerto Rico",14%,14
"Judith Basin County, Montana",5.80%,5.8
"Juncos Municipio, Puerto Rico",15.60%,15.6
"Juneau City and Borough, Alaska",9.60%,9.6
"Juneau County, Wisconsin",22.80%,22.8
"Juniata County, Pennsylvania",25%,25
"Kalamazoo County, Michigan",14%,14
"Kalawao County, Hawaii",30.60%,30.6
"Kalkaska County, Michigan",17.60%,17.6
"Kanabec County, Minnesota",17.30%,17.3
"Kanawha County, West Virginia",11.90%,11.9
"Kandiyohi County, Minnesota",18%,18
"Kane County, Illinois",16.60%,16.6
"Kane County, Utah",8.20%,8.2
"Kankakee County, Illinois",20.70%,20.7
"Karnes County, Texas",9%,9
"Kauai County, Hawaii",9%,9
"Kaufman County, Texas",14.20%,14.2
"Kay County, Oklahoma",19.20%,19.2
"Kearney County, Nebraska",14.20%,14.2
"Kearny County, Kansas",15.10%,15.1
"Keith County, Nebraska",12.80%,12.8
"Kemper County, Mississippi",29.20%,29.2
"Kenai Peninsula Borough, Alaska",12.40%,12.4
"Kendall County, Illinois",14.20%,14.2
"Kendall County, Texas",5.80%,5.8
"Kenedy County, Texas",30.40%,30.4
"Kennebec County, Maine",11.40%,11.4
"Kenosha County, Wisconsin",18.60%,18.6
"Kent County, Delaware",15.20%,15.2
"Kent County, Maryland",11.70%,11.7
"Kent County, Michigan",17%,17
"Kent County, Rhode Island",10.60%,10.6
"Kent County, Texas",7.30%,7.3
"Kenton County, Kentucky",15%,15
"Keokuk County, Iowa",21.80%,21.8
"Kern County, California",14.70%,14.7
"Kerr County, Texas",10.40%,10.4
"Kershaw County, South Carolina",18.30%,18.3
"Ketchikan Gateway Borough, Alaska",12.40%,12.4
"Kewaunee County, Wisconsin",20.90%,20.9
"Keweenaw County, Michigan",8.30%,8.3
"Keya Paha County, Nebraska",6.50%,6.5
"Kidder County, North Dakota",13.40%,13.4
"Kimball County, Nebraska",28.30%,28.3
"Kimble County, Texas",7.70%,7.7
"King and Queen County, Virginia",11.40%,11.4
"King County, Texas",3.50%,3.5
"King County, Washington",8.70%,8.7
"King George County, Virginia",11.10%,11.1
"King William County, Virginia",11.20%,11.2
"Kingfisher County, Oklahoma",13.10%,13.1
"Kingman County, Kansas",18.80%,18.8
"Kings County, California",16.20%,16.2
"Kings County, New York",8.40%,8.4
"Kingsbury County, South Dakota",16.70%,16.7
"Kinney County, Texas",21.80%,21.8
"Kiowa County, Colorado",4%,4
"Kiowa County, Kansas",10.80%,10.8
"Kiowa County, Oklahoma",8.30%,8.3
"Kit Carson County, Colorado",8.90%,8.9
"Kitsap County, Washington",10.90%,10.9
"Kittitas County, Washington",10%,10
"Kittson County, Minnesota",16.20%,16.2
"Klamath County, Oregon",15.50%,15.5
"Kleberg County, Texas",13.90%,13.9
"Klickitat County, Washington",11.50%,11.5
"Knott County, Kentucky",13.20%,13.2
"Knox County, Illinois",17.90%,17.9
"Knox County, Indiana",19.30%,19.3
"Knox County, Kentucky",14.80%,14.8
"Knox County, Maine",12.60%,12.6
"Knox County, Missouri",11.90%,11.9
"Knox County, Nebraska",14.90%,14.9
"Knox County, Ohio",18.20%,18.2
"Knox County, Tennessee",10.70%,10.7
"Knox County, Texas",16.70%,16.7
"Kodiak Island Borough, Alaska",21.90%,21.9
"Koochiching County, Minnesota",17.80%,17.8
"Kootenai County, Idaho",12%,12
"Kosciusko County, Indiana",30.60%,30.6
"Kossuth County, Iowa",22.60%,22.6
"Kusilvak Census Area, Alaska",18.30%,18.3
"La Crosse County, Wisconsin",15.80%,15.8
"La Paz County, Arizona",13.20%,13.2
"La Plata County, Colorado",8.50%,8.5
"LaSalle County, Texas",9.30%,9.3
"Labette County, Kansas",19.60%,19.6
"Lac qui Parle County, Minnesota",15.30%,15.3
"Lackawanna County, Pennsylvania",15.90%,15.9
"Laclede County, Missouri",27%,27
"Lafayette County, Arkansas",20.50%,20.5
"Lafayette County, Florida",10.70%,10.7
"Lafayette County, Mississippi",11.70%,11.7
"Lafayette County, Missouri",17.30%,17.3
"Lafayette County, Wisconsin",19.10%,19.1
"Lafayette Parish, Louisiana",10.20%,10.2
"Lafourche Parish, Louisiana",16.80%,16.8
"LaGrange County, Indiana",38.80%,38.8
"Lajas Municipio, Puerto Rico",20.30%,20.3
"Lake and Peninsula Borough, Alaska",10.90%,10.9
"Lake County, California",11.10%,11.1
"Lake County, Colorado",11%,11
"Lake County, Florida",9.50%,9.5
"Lake County, Illinois",12.60%,12.6
"Lake County, Indiana",18.60%,18.6
"Lake County, Michigan",19.10%,19.1
"Lake County, Minnesota",16.10%,16.1
"Lake County, Montana",10.50%,10.5
"Lake County, Ohio",16.80%,16.8
"Lake County, Oregon",14.70%,14.7
"Lake County, South Dakota",13.20%,13.2
"Lake County, Tennessee",19.80%,19.8
"Lake of the Woods County, Minnesota",26.40%,26.4
"Lamar County, Alabama",29.60%,29.6
"Lamar County, Georgia",13.20%,13.2
"Lamar County, Mississippi",13.70%,13.7
"Lamar County, Texas",18%,18
"Lamb County, Texas",18.90%,18.9
"Lamoille County, Vermont",9.40%,9.4
"LaMoure County, North Dakota",9.70%,9.7
"Lampasas County, Texas",13.10%,13.1
"Lancaster County, Nebraska",12%,12
"Lancaster County, Pennsylvania",17.80%,17.8
"Lancaster County, South Carolina",17.40%,17.4
"Lancaster County, Virginia",15.30%,15.3
"Lander County, Nevada",17%,17
"Lane County, Kansas",9.90%,9.9
"Lane County, Oregon",12.60%,12.6
"Langlade County, Wisconsin",23.40%,23.4
"Lanier County, Georgia",15.60%,15.6
"Lapeer County, Michigan",19.80%,19.8
"LaPorte County, Indiana",21.50%,21.5
"Laramie County, Wyoming",11.40%,11.4
"Lares Municipio, Puerto Rico",15.10%,15.1
"Larimer County, Colorado",9%,9
"Larue County, Kentucky",25.40%,25.4
"Las Animas County, Colorado",12.40%,12.4
"Las Marías Municipio, Puerto Rico",10.80%,10.8
"Las Piedras Municipio, Puerto Rico",14.50%,14.5
"LaSalle County, Illinois",22.20%,22.2
"LaSalle Parish, Louisiana",10.20%,10.2
"Lassen County, California",15.30%,15.3
"Latah County, Idaho",10.50%,10.5
"Latimer County, Oklahoma",13.60%,13.6
"Lauderdale County, Alabama",17.90%,17.9
"Lauderdale County, Mississippi",15.10%,15.1
"Lauderdale County, Tennessee",33.60%,33.6
"Laurel County, Kentucky",22.40%,22.4
"Laurens County, Georgia",17.90%,17.9
"Laurens County, South Carolina",22.40%,22.4
"Lavaca County, Texas",19%,19
"Lawrence County, Alabama",25%,25
"Lawrence County, Arkansas",23.50%,23.5
"Lawrence County, Illinois",23.60%,23.6
"Lawrence County, Indiana",23.70%,23.7
"Lawrence County, Kentucky",21.30%,21.3
"Lawrence County, Mississippi",18.60%,18.6
"Lawrence County, Missouri",23.40%,23.4
"Lawrence County, Ohio",17.10%,17.1
"Lawrence County, Pennsylvania",16.30%,16.3
"Lawrence County, South Dakota",9.80%,9.8
"Lawrence County, Tennessee",22%,22
"Le Flore County, Oklahoma",20.40%,20.4
"Le Sueur County, Minnesota",18.70%,18.7
"Lea County, New Mexico",19%,19
"Leake County, Mississippi",21.10%,21.1
"Leavenworth County, Kansas",13.50%,13.5
"Lebanon County, Pennsylvania",18.30%,18.3
"Lee County, Alabama",12.80%,12.8
"Lee County, Arkansas",16.70%,16.7
"Lee County, Florida",10%,10
"Lee County, Georgia",8.50%,8.5
"Lee County, Illinois",21%,21
"Lee County, Iowa",19.70%,19.7
"Lee County, Kentucky",24.40%,24.4
"Lee County, Mississippi",21.70%,21.7
"Lee County, North Carolina",22.30%,22.3
"Lee County, South Carolina",26.30%,26.3
"Lee County, Texas",16%,16
"Lee County, Virginia",16.20%,16.2
"Leelanau County, Michigan",9.50%,9.5
"Leflore County, Mississippi",20.50%,20.5
"Lehigh County, Pennsylvania",19.20%,19.2
"Lemhi County, Idaho",17.60%,17.6
"Lenawee County, Michigan",21.40%,21.4
"Lenoir County, North Carolina",22.70%,22.7
"Leon County, Florida",7.20%,7.2
"Leon County, Texas",13.30%,13.3
"Leslie County, Kentucky",18.20%,18.2
"Letcher County, Kentucky",13.50%,13.5
"Levy County, Florida",14%,14
"Lewis and Clark County, Montana",8.60%,8.6
"Lewis County, Idaho",15.30%,15.3
"Lewis County, Kentucky",21.70%,21.7
"Lewis County, Missouri",21.80%,21.8
"Lewis County, New York",12.90%,12.9
"Lewis County, Tennessee",25.10%,25.1
"Lewis County, Washington",16.80%,16.8
"Lewis County, West Virginia",11.10%,11.1
"Lexington city, Virginia",5.20%,5.2
"Lexington County, South Carolina",12.80%,12.8
"Liberty County, Florida",12.60%,12.6
"Liberty County, Georgia",17.60%,17.6
"Liberty County, Montana",9.40%,9.4
"Liberty County, Texas",19.40%,19.4
"Licking County, Ohio",15.50%,15.5
"Limestone County, Alabama",17.30%,17.3
"Limestone County, Texas",19.70%,19.7
"Lincoln County, Arkansas",19.70%,19.7
"Lincoln County, Colorado",7.50%,7.5
"Lincoln County, Georgia",16.80%,16.8
"Lincoln County, Idaho",16.10%,16.1
"Lincoln County, Kansas",15.80%,15.8
"Lincoln County, Kentucky",24.10%,24.1
"Lincoln County, Maine",12.20%,12.2
"Lincoln County, Minnesota",13.70%,13.7
"Lincoln County, Mississippi",19.50%,19.5
"Lincoln County, Missouri",21%,21
"Lincoln County, Montana",11.70%,11.7
"Lincoln County, Nebraska",17.10%,17.1
"Lincoln County, Nevada",9.30%,9.3
"Lincoln County, New Mexico",7.40%,7.4
"Lincoln County, North Carolina",17.50%,17.5
"Lincoln County, Oklahoma",15.40%,15.4
"Lincoln County, Oregon",10.30%,10.3
"Lincoln County, South Dakota",11.20%,11.2
"Lincoln County, Tennessee",18.80%,18.8
"Lincoln County, Washington",11.90%,11.9
"Lincoln County, West Virginia",15.60%,15.6
"Lincoln County, Wisconsin",25.70%,25.7
"Lincoln County, Wyoming",10.60%,10.6
"Lincoln Parish, Louisiana",11.20%,11.2
"Linn County, Iowa",15.50%,15.5
"Linn County, Kansas",14.90%,14.9
"Linn County, Missouri",21.20%,21.2
"Linn County, Oregon",17.30%,17.3
"Lipscomb County, Texas",17.90%,17.9
"Little River County, Arkansas",22.90%,22.9
"Live Oak County, Texas",12.90%,12.9
"Livingston County, Illinois",23%,23
"Livingston County, Kentucky",23.40%,23.4
"Livingston County, Michigan",11.20%,11.2
"Livingston County, Missouri",18%,18
"Livingston County, New York",12.90%,12.9
"Livingston Parish, Louisiana",12.40%,12.4
"Llano County, Texas",13.20%,13.2
"Logan County, Arkansas",25.10%,25.1
"Logan County, Colorado",17.60%,17.6
"Logan County, Illinois",17.40%,17.4
"Logan County, Kansas",12.40%,12.4
"Logan County, Kentucky",22.20%,22.2
"Logan County, Nebraska",14.20%,14.2
"Logan County, North Dakota",8.80%,8.8
"Logan County, Ohio",27.20%,27.2
"Logan County, Oklahoma",12.60%,12.6
"Logan County, West Virginia",12.90%,12.9
"Loíza Municipio, Puerto Rico",12.10%,12.1
"Long County, Georgia",23.70%,23.7
"Lonoke County, Arkansas",13.60%,13.6
"Lorain County, Ohio",16.20%,16.2
"Los Alamos County, New Mexico",4.70%,4.7
"Los Angeles County, California",13.10%,13.1
"Loudon County, Tennessee",19.10%,19.1
"Loudoun County, Virginia",5.50%,5.5
"Louisa County, Iowa",25%,25
"Louisa County, Virginia",12.40%,12.4
"Loup County, Nebraska",10%,10
"Love County, Oklahoma",20.70%,20.7
"Loving County, Texas",33.30%,33.3
"Lower Connecticut River Valley Planning Region, Connecticut",8.90%,8.9
"Lowndes County, Alabama",31.90%,31.9
"Lowndes County, Georgia",16.10%,16.1
"Lowndes County, Mississippi",20.60%,20.6
"Lubbock County, Texas",11.40%,11.4
"Lucas County, Iowa",25%,25
"Lucas County, Ohio",19.60%,19.6
"Luce County, Michigan",6.60%,6.6
"Lumpkin County, Georgia",15.90%,15.9
"Luna County, New Mexico",18.60%,18.6
"Lunenburg County, Virginia",21.20%,21.2
"Luquillo Municipio, Puerto Rico",13.60%,13.6
"Luzerne County, Pennsylvania",20%,20
"Lycoming County, Pennsylvania",16.90%,16.9
"Lyman County, South Dakota",7.50%,7.5
"Lynchburg city, Virginia",13.10%,13.1
"Lynn County, Texas",8.80%,8.8
"Lyon County, Iowa",17.70%,17.7
"Lyon County, Kansas",23.50%,23.5
"Lyon County, Kentucky",24.70%,24.7
"Lyon County, Minnesota",15.70%,15.7
"Lyon County, Nevada",20.10%,20.1
"Mackinac County, Michigan",10.80%,10.8
"Macomb County, Michigan",17.20%,17.2
"Macon County, Alabama",20.60%,20.6
"Macon County, Georgia",23.40%,23.4
"Macon County, Illinois",18.20%,18.2
"Macon County, Missouri",20.20%,20.2
"Macon County, North Carolina",11.70%,11.7
"Macon County, Tennessee",26.70%,26.7
"Macoupin County, Illinois",16.50%,16.5
"Madera County, California",14.50%,14.5
"Madison County, Alabama",11.30%,11.3
"Madison County, Arkansas",19.60%,19.6
"Madison County, Florida",21.70%,21.7
"Madison County, Georgia",17.20%,17.2
"Madison County, Idaho",9%,9
"Madison County, Illinois",14.30%,14.3
"Madison County, Indiana",18.90%,18.9
"Madison County, Iowa",12.20%,12.2
"Madison County, Kentucky",16.40%,16.4
"Madison County, Mississippi",12.40%,12.4
"Madison County, Missouri",18.40%,18.4
"Madison County, Montana",11.80%,11.8
"Madison County, Nebraska",21.50%,21.5
"Madison County, New York",13.30%,13.3
"Madison County, North Carolina",11.90%,11.9
"Madison County, Ohio",20.80%,20.8
"Madison County, Tennessee",18.80%,18.8
"Madison County, Texas",16.30%,16.3
"Madison County, Virginia",13.10%,13.1
"Madison Parish, Louisiana",11.60%,11.6
"Magoffin County, Kentucky",18.60%,18.6
"Mahaska County, Iowa",21.70%,21.7
"Mahnomen County, Minnesota",9.60%,9.6
"Mahoning County, Ohio",16.10%,16.1
"Major County, Oklahoma",18.20%,18.2
"Malheur County, Oregon",20.40%,20.4
"Manassas city, Virginia",11.10%,11.1
"Manassas Park city, Virginia",8.70%,8.7
"Manatee County, Florida",10.60%,10.6
"Manatí Municipio, Puerto Rico",12.90%,12.9
"Manistee County, Michigan",14.20%,14.2
"Manitowoc County, Wisconsin",23.90%,23.9
"Marathon County, Wisconsin",19.60%,19.6
"Marengo County, Alabama",20.40%,20.4
"Maricao Municipio, Puerto Rico",34.90%,34.9
"Maricopa County, Arizona",10.90%,10.9
"Maries County, Missouri",22.10%,22.1
"Marin County, California",4.60%,4.6
"Marinette County, Wisconsin",27.40%,27.4
"Marion County, Alabama",25.40%,25.4
"Marion County, Arkansas",27.30%,27.3
"Marion County, Florida",12.70%,12.7
"Marion County, Georgia",22.60%,22.6
"Marion County, Illinois",25.40%,25.4
"Marion County, Indiana",17.60%,17.6
"Marion County, Iowa",19.60%,19.6
"Marion County, Kansas",17%,17
"Marion County, Kentucky",31%,31
"Marion County, Mississippi",19.50%,19.5
"Marion County, Missouri",17.10%,17.1
"Marion County, Ohio",26.60%,26.6
"Marion County, Oregon",14.20%,14.2
"Marion County, South Carolina",26.60%,26.6
"Marion County, Tennessee",24.30%,24.3
"Marion County, Texas",19.10%,19.1
"Marion County, West Virginia",11.50%,11.5
"Mariposa County, California",8.60%,8.6
"Marlboro County, South Carolina",30.30%,30.3
"Marquette County, Michigan",11.20%,11.2
"Marquette County, Wisconsin",22.40%,22.4
"Marshall County, Alabama",20.90%,20.9
"Marshall County, Illinois",22%,22
"Marshall County, Indiana",30.60%,30.6
"Marshall County, Iowa",25.10%,25.1
"Marshall County, Kansas",22.30%,22.3
"Marshall County, Kentucky",18.30%,18.3
"Marshall County, Minnesota",18.40%,18.4
"Marshall County, Mississippi",27.90%,27.9
"Marshall County, Oklahoma",27.20%,27.2
"Marshall County, South Dakota",14.30%,14.3
"Marshall County, Tennessee",19.20%,19.2
"Marshall County, West Virginia",17.80%,17.8
"Martin County, Florida",7.50%,7.5
"Martin County, Indiana",25%,25
"Martin County, Kentucky",13.70%,13.7
"Martin County, Minnesota",17.90%,17.9
"Martin County, North Carolina",17.40%,17.4
"Martin County, Texas",24.60%,24.6
"Martinsville city, Virginia",22.60%,22.6
"Mason County, Illinois",17.40%,17.4
"Mason County, Kentucky",20.60%,20.6
"Mason County, Michigan",18.70%,18.7
"Mason County, Texas",5.80%,5.8
"Mason County, Washington",12%,12
"Mason County, West Virginia",21.20%,21.2
"Massac County, Illinois",17.10%,17.1
"Matagorda County, Texas",18.70%,18.7
"Matanuska-Susitna Borough, Alaska",10.80%,10.8
"Mathews County, Virginia",7.70%,7.7
"Maui County, Hawaii",9.50%,9.5
"Maunabo Municipio, Puerto Rico",14.60%,14.6
"Maury County, Tennessee",17.30%,17.3
"Maverick County, Texas",16.30%,16.3
"Mayagüez Municipio, Puerto Rico",12%,12
"Mayes County, Oklahoma",19.50%,19.5
"McClain County, Oklahoma",11.50%,11.5
"McCone County, Montana",12.30%,12.3
"McCook County, South Dakota",10.60%,10.6
"McCormick County, South Carolina",17.30%,17.3
"McCracken County, Kentucky",12.60%,12.6
"McCreary County, Kentucky",19.10%,19.1
"McCulloch County, Texas",16.30%,16.3
"McCurtain County, Oklahoma",23.40%,23.4
"McDonald County, Missouri",27.80%,27.8
"McDonough County, Illinois",17.20%,17.2
"McDowell County, North Carolina",28%,28
"McDowell County, West Virginia",13.90%,13.9
"McDuffie County, Georgia",17%,17
"McHenry County, Illinois",13.70%,13.7
"McHenry County, North Dakota",12.60%,12.6
"McIntosh County, Georgia",14.20%,14.2
"McIntosh County, North Dakota",10.70%,10.7
"McIntosh County, Oklahoma",18.90%,18.9
"McKean County, Pennsylvania",20.20%,20.2
"McKenzie County, North Dakota",13.80%,13.8
"McKinley County, New Mexico",12.60%,12.6
"McLean County, Illinois",9.80%,9.8
"McLean County, Kentucky",20.80%,20.8
"McLean County, North Dakota",12.80%,12.8
"McLennan County, Texas",16.50%,16.5
"McLeod County, Minnesota",23.80%,23.8
"McMinn County, Tennessee",25.20%,25.2
"McMullen County, Texas",11.30%,11.3
"McNairy County, Tennessee",25.60%,25.6
"McPherson County, Kansas",18.40%,18.4
"McPherson County, Nebraska",13.90%,13.9
"McPherson County, South Dakota",8.90%,8.9
"Meade County, Kansas",10.10%,10.1
"Meade County, Kentucky",20.60%,20.6
"Meade County, South Dakota",9.90%,9.9
"Meagher County, Montana",10.30%,10.3
"Mecklenburg County, North Carolina",11.20%,11.2
"Mecklenburg County, Virginia",18.70%,18.7
"Mecosta County, Michigan",20.20%,20.2
"Medina County, Ohio",12.30%,12.3
"Medina County, Texas",12.90%,12.9
"Meeker County, Minnesota",20.80%,20.8
"Meigs County, Ohio",20.60%,20.6
"Meigs County, Tennessee",24.30%,24.3
"Mellette County, South Dakota",0.20%,0.2
"Menard County, Illinois",11%,11
"Menard County, Texas",19.60%,19.6
"Mendocino County, California",11.40%,11.4
"Menifee County, Kentucky",18.50%,18.5
"Menominee County, Michigan",26.20%,26.2
"Menominee County, Wisconsin",12.90%,12.9
"Merced County, California",20%,20
"Mercer County, Illinois",17.10%,17.1
"Mercer County, Kentucky",24%,24
"Mercer County, Missouri",20%,20
"Mercer County, New Jersey",11.50%,11.5
"Mercer County, North Dakota",12.70%,12.7
"Mercer County, Ohio",28.60%,28.6
"Mercer County, Pennsylvania",16.70%,16.7
"Mercer County, West Virginia",16.70%,16.7
"Meriwether County, Georgia",26.10%,26.1
"Merrick County, Nebraska",16%,16
"Merrimack County, New Hampshire",11.60%,11.6
"Mesa County, Colorado",12.60%,12.6
"Metcalfe County, Kentucky",24.80%,24.8
"Miami County, Indiana",27%,27
"Miami County, Kansas",11.80%,11.8
"Miami County, Ohio",21.60%,21.6
"Miami-Dade County, Florida",11.70%,11.7
"Middlesex County, Massachusetts",6.50%,6.5
"Middlesex County, New Jersey",13.50%,13.5
"Middlesex County, Virginia",10.50%,10.5
"Midland County, Michigan",12.90%,12.9
"Midland County, Texas",12.70%,12.7
"Mifflin County, Pennsylvania",24.70%,24.7
"Milam County, Texas",12.10%,12.1
"Millard County, Utah",20.10%,20.1
