Geographic Area,"Educational instruction, and library occupations",Total,Educ job
"Gurabo Municipio, Puerto Rico",556,"16,686",3.3
"Guthrie County, Iowa",187,"5,323",3.5
"Gwinnett County, Georgia","26,813","483,028",5.6
"Haakon County, South Dakota",28,811,3.5
"Habersham County, Georgia","1,339","21,126",6.3
"Haines Borough, Alaska",72,806,8.9
"Hale County, Alabama",424,"5,433",7.8
"Hale County, Texas",889,"13,924",6.4
"Halifax County, North Carolina","1,306","18,296",7.1
"Halifax County, Virginia",868,"13,861",6.3
"Hall County, Georgia","5,228","98,562",5.3
"Hall County, Nebraska","1,824","31,229",5.8
"Hall County, Texas",84,"1,166",7.2
"Hamblen County, Tennessee","1,731","27,038",6.4
"Hamilton County, Florida",104,"3,681",2.8
"Hamilton County, Illinois",209,"3,376",6.2
"Hamilton County, Indiana","11,169","186,373",6
"Hamilton County, Iowa",483,"7,256",6.7
"Hamilton County, Kansas",70,"1,175",6
"Hamilton County, Nebraska",370,"4,721",7.8
"Hamilton County, New York",161,"2,227",7.2
"Hamilton County, Ohio","24,903","416,219",6
"Hamilton County, Tennessee","10,130","182,855",5.5
"Hamilton County, Texas",366,"3,413",10.7
"Hamlin County, South Dakota",198,"2,988",6.6
"Hampden County, Massachusetts","14,236","213,060",6.7
"Hampshire County, Massachusetts","10,378","77,806",13.3
"Hampshire County, West Virginia",471,"8,739",5.4
"Hampton city, Virginia","3,332","62,438",5.3
"Hampton County, South Carolina",413,"7,271",5.7
"Hancock County, Georgia",98,"2,530",3.9
"Hancock County, Illinois",420,"8,194",5.1
"Hancock County, Indiana","2,762","42,098",6.6
"Hancock County, Iowa",299,"5,576",5.4
"Hancock County, Kentucky",250,"3,973",6.3
"Hancock County, Maine","2,118","28,006",7.6
"Hancock County, Mississippi",805,"20,734",3.9
"Hancock County, Ohio","2,023","37,600",5.4
"Hancock County, Tennessee",194,"2,183",8.9
"Hancock County, West Virginia",885,"12,537",7.1
"Hand County, South Dakota",164,"1,623",10.1
"Hanover County, Virginia","3,788","57,612",6.6
"Hansford County, Texas",186,"2,430",7.7
"Hanson County, South Dakota",144,"1,840",7.8
"Haralson County, Georgia",882,"14,044",6.3
"Hardee County, Florida",408,"8,992",4.5
"Hardeman County, Tennessee",227,"9,045",2.5
"Hardeman County, Texas",89,"1,810",4.9
"Hardin County, Illinois",45,"1,230",3.7
"Hardin County, Iowa",384,"8,378",4.6
"Hardin County, Kentucky","2,528","47,348",5.3
"Hardin County, Ohio",884,"13,911",6.4
"Hardin County, Tennessee",538,"10,609",5.1
"Hardin County, Texas","1,236","24,004",5.1
"Harding County, New Mexico",36,283,12.7
"Harding County, South Dakota",19,702,2.7
"Hardy County, West Virginia",371,"6,406",5.8
"Harford County, Maryland","7,817","136,000",5.7
"Harlan County, Kentucky",543,"7,463",7.3
"Harlan County, Nebraska",107,"1,487",7.2
"Harmon County, Oklahoma",50,"1,095",4.6
"Harnett County, North Carolina","3,663","54,157",6.8
"Harney County, Oregon",78,"3,145",2.5
"Harper County, Kansas",131,"2,166",6
"Harper County, Oklahoma",70,"1,417",4.9
"Harris County, Georgia","1,341","15,747",8.5
"Harris County, Texas","135,904","2,285,175",5.9
"Harrison County, Indiana","1,144","18,495",6.2
"Harrison County, Iowa",534,"7,378",7.2
"Harrison County, Kentucky",500,"8,446",5.9
"Harrison County, Mississippi","6,346","87,340",7.3
"Harrison County, Missouri",238,"3,374",7.1
"Harrison County, Ohio",315,"5,681",5.5
"Harrison County, Texas","2,545","30,925",8.2
"Harrison County, West Virginia","2,151","28,754",7.5
"Harrisonburg city, Virginia","1,986","24,694",8
"Hart County, Georgia",603,"11,046",5.5
"Hart County, Kentucky",226,"7,892",2.9
"Hartley County, Texas",261,"1,769",14.8
"Harvey County, Kansas","1,004","16,775",6
"Haskell County, Kansas",80,"1,811",4.4
"Haskell County, Oklahoma",275,"4,498",6.1
"Haskell County, Texas",221,"2,270",9.7
"Hatillo Municipio, Puerto Rico","1,269","13,347",9.5
"Hawaii County, Hawaii","6,722","89,643",7.5
"Hawkins County, Tennessee","1,348","21,929",6.1
"Hayes County, Nebraska",28,428,6.5
"Hays County, Texas","10,020","125,414",8
"Haywood County, North Carolina","2,066","28,010",7.4
"Haywood County, Tennessee",348,"7,268",4.8
"Heard County, Georgia",334,"4,705",7.1
"Hemphill County, Texas",114,"1,561",7.3
"Hempstead County, Arkansas",526,"7,737",6.8
"Henderson County, Illinois",123,"2,942",4.2
"Henderson County, Kentucky",824,"19,627",4.2
"Henderson County, North Carolina","2,919","54,554",5.4
"Henderson County, Tennessee",895,"11,599",7.7
"Henderson County, Texas","2,203","33,667",6.5
"Hendricks County, Indiana","6,861","93,711",7.3
"Hendry County, Florida","1,037","18,209",5.7
"Hennepin County, Minnesota","45,729","703,017",6.5
"Henrico County, Virginia","10,632","176,922",6
"Henry County, Alabama",477,"7,321",6.5
"Henry County, Georgia","7,153","118,323",6
"Henry County, Illinois","1,682","23,366",7.2
"Henry County, Indiana","1,257","20,604",6.1
"Henry County, Iowa",441,"9,748",4.5
"Henry County, Kentucky",241,"6,939",3.5
"Henry County, Missouri",511,"9,181",5.6
"Henry County, Ohio",627,"13,582",4.6
"Henry County, Tennessee",619,"12,788",4.8
"Henry County, Virginia","1,360","20,188",6.7
"Herkimer County, New York","1,932","28,198",6.9
"Hernando County, Florida","3,880","78,778",4.9
"Hertford County, North Carolina",547,"8,643",6.3
"Hettinger County, North Dakota",66,"1,143",5.8
"Hickman County, Kentucky",171,"1,829",9.3
"Hickman County, Tennessee",561,"10,515",5.3
"Hickory County, Missouri",106,"2,550",4.2
"Hidalgo County, New Mexico",179,"1,594",11.2
"Hidalgo County, Texas","27,014","340,953",7.9
"Highland County, Ohio","1,206","19,045",6.3
"Highland County, Virginia",59,809,7.3
"Highlands County, Florida","1,659","35,324",4.7
"Hill County, Montana",415,"7,426",5.6
"Hill County, Texas",962,"15,842",6.1
"Hillsborough County, Florida","36,814","730,402",5
"Hillsborough County, New Hampshire","14,469","236,496",6.1
"Hillsdale County, Michigan","1,382","20,175",6.9
"Hinds County, Mississippi","6,754","99,007",6.8
"Hinsdale County, Colorado",18,415,4.3
"Hitchcock County, Nebraska",86,"1,186",7.3
"Hocking County, Ohio",485,"12,698",3.8
"Hockley County, Texas",746,"9,689",7.7
"Hodgeman County, Kansas",102,856,11.9
"Hoke County, North Carolina","1,381","19,188",7.2
"Holmes County, Florida",316,"7,521",4.2
"Holmes County, Mississippi",246,"5,369",4.6
"Holmes County, Ohio",707,"20,649",3.4
"Holt County, Missouri",158,"1,901",8.3
"Holt County, Nebraska",338,"5,230",6.5
"Honolulu County, Hawaii","32,657","468,113",7
"Hood County, Texas","1,790","26,540",6.7
"Hood River County, Oregon",484,"12,855",3.8
"Hooker County, Nebraska",32,336,9.5
"Hoonah-Angoon Census Area, Alaska",101,"1,175",8.6
"Hopewell city, Virginia",345,"9,568",3.6
"Hopkins County, Kentucky","1,174","18,087",6.5
"Hopkins County, Texas","1,134","17,069",6.6
"Hormigueros Municipio, Puerto Rico",441,"5,002",8.8
"Horry County, South Carolina","8,092","154,728",5.2
"Hot Spring County, Arkansas",771,"12,819",6
"Hot Springs County, Wyoming",125,"2,093",6
"Houghton County, Michigan","2,015","16,793",12
"Houston County, Alabama","2,619","45,708",5.7
"Houston County, Georgia","4,841","75,113",6.4
"Houston County, Minnesota",422,"10,033",4.2
"Houston County, Tennessee",132,"3,288",4
"Houston County, Texas",540,"7,816",6.9
"Howard County, Arkansas",420,"5,337",7.9
"Howard County, Indiana","1,805","37,157",4.9
"Howard County, Iowa",192,"4,722",4.1
"Howard County, Maryland","13,602","174,305",7.8
"Howard County, Missouri",421,"4,319",9.7
"Howard County, Nebraska",134,"3,199",4.2
"Howard County, Texas",876,"14,271",6.1
"Howell County, Missouri","1,484","15,947",9.3
"Hubbard County, Minnesota",530,"9,594",5.5
"Hudson County, New Jersey","20,983","382,543",5.5
"Hudspeth County, Texas",51,966,5.3
"Huerfano County, Colorado",217,"2,503",8.7
"Hughes County, Oklahoma",296,"4,282",6.9
"Hughes County, South Dakota",585,"9,199",6.4
"Humacao Municipio, Puerto Rico","1,009","15,509",6.5
"Humboldt County, California","3,870","60,483",6.4
"Humboldt County, Iowa",276,"4,717",5.9
"Humboldt County, Nevada",459,"8,326",5.5
"Humphreys County, Mississippi",141,"2,574",5.5
"Humphreys County, Tennessee",472,"7,793",6.1
"Hunt County, Texas","2,700","46,074",5.9
"Hunterdon County, New Jersey","5,894","67,632",8.7
"Huntingdon County, Pennsylvania","1,392","18,332",7.6
"Huntington County, Indiana",816,"18,139",4.5
"Huron County, Michigan",502,"13,625",3.7
"Huron County, Ohio","1,486","27,395",5.4
"Hutchinson County, South Dakota",181,"3,706",4.9
"Hutchinson County, Texas",806,"9,257",8.7
"Hyde County, North Carolina",44,"1,410",3.1
"Hyde County, South Dakota",69,729,9.5
"Iberia Parish, Louisiana","1,556","29,316",5.3
"Iberville Parish, Louisiana",601,"12,223",4.9
"Ida County, Iowa",222,"3,515",6.3
"Idaho County, Idaho",313,"6,589",4.8
"Imperial County, California","3,522","60,537",5.8
"Independence County, Arkansas",819,"16,037",5.1
"Indian River County, Florida","2,763","63,137",4.4
"Indiana County, Pennsylvania","2,328","36,508",6.4
"Ingham County, Michigan","13,060","141,130",9.3
"Inyo County, California",429,"8,281",5.2
"Ionia County, Michigan","1,222","30,465",4
"Iosco County, Michigan",423,"9,343",4.5
"Iowa County, Iowa",606,"8,483",7.1
"Iowa County, Wisconsin",544,"12,949",4.2
"Iredell County, North Carolina","5,114","93,283",5.5
"Irion County, Texas",35,703,5
"Iron County, Michigan",186,"4,506",4.1
"Iron County, Missouri",195,"3,919",5
"Iron County, Utah","2,089","27,249",7.7
"Iron County, Wisconsin",200,"2,690",7.4
"Iroquois County, Illinois",605,"12,348",4.9
"Irwin County, Georgia",323,"3,917",8.2
"Isabela Municipio, Puerto Rico",860,"12,372",7
"Isabella County, Michigan","2,418","31,640",7.6
"Isanti County, Minnesota","1,119","21,088",5.3
"Island County, Washington","2,563","32,542",7.9
"Isle of Wight County, Virginia",986,"18,620",5.3
"Issaquena County, Mississippi",28,181,15.5
"Itasca County, Minnesota","1,098","19,200",5.7
"Itawamba County, Mississippi",577,"10,859",5.3
"Izard County, Arkansas",402,"4,193",9.6
"Jack County, Texas",172,"3,091",5.6
"Jackson County, Alabama","1,215","20,405",6
"Jackson County, Arkansas",312,"5,906",5.3
"Jackson County, Colorado",27,660,4.1
"Jackson County, Florida",734,"16,126",4.6
"Jackson County, Georgia","2,182","36,907",5.9
"Jackson County, Illinois","3,103","23,523",13.2
"Jackson County, Indiana","1,090","22,326",4.9
"Jackson County, Iowa",435,"9,372",4.6
"Jackson County, Kansas",409,"6,418",6.4
"Jackson County, Kentucky",174,"4,321",4
"Jackson County, Michigan","3,732","69,264",5.4
"Jackson County, Minnesota",247,"5,266",4.7
"Jackson County, Mississippi","3,859","61,673",6.3
"Jackson County, Missouri","18,960","361,456",5.2
"Jackson County, North Carolina","1,730","19,135",9
"Jackson County, Ohio",734,"13,736",5.3
"Jackson County, Oklahoma",771,"10,775",7.2
"Jackson County, Oregon","5,177","99,195",5.2
"Jackson County, South Dakota",152,826,18.4
"Jackson County, Tennessee",317,"4,796",6.6
"Jackson County, Texas",257,"5,932",4.3
"Jackson County, West Virginia",624,"10,164",6.1
"Jackson County, Wisconsin",411,"9,298",4.4
"Jackson Parish, Louisiana",188,"4,931",3.8
"James City County, Virginia","3,229","34,760",9.3
"Jasper County, Georgia",449,"6,491",6.9
"Jasper County, Illinois",240,"4,631",5.2
"Jasper County, Indiana",771,"15,391",5
"Jasper County, Iowa","1,067","18,256",5.8
"Jasper County, Mississippi",357,"6,390",5.6
"Jasper County, Missouri","3,572","57,972",6.2
"Jasper County, South Carolina",667,"12,154",5.5
"Jasper County, Texas",916,"12,373",7.4
"Jay County, Indiana",392,"9,149",4.3
"Jayuya Municipio, Puerto Rico",253,"3,560",7.1
"Jeff Davis County, Georgia",380,"5,783",6.6
"Jeff Davis County, Texas",95,748,12.7
"Jefferson County, Alabama","18,889","311,193",6.1
"Jefferson County, Arkansas","1,653","25,490",6.5
"Jefferson County, Colorado","17,181","322,035",5.3
"Jefferson County, Florida",267,"5,951",4.5
"Jefferson County, Georgia",317,"6,243",5.1
"Jefferson County, Idaho","1,174","14,400",8.2
"Jefferson County, Illinois",799,"16,356",4.9
"Jefferson County, Indiana",786,"15,116",5.2
"Jefferson County, Iowa",574,"7,598",7.6
"Jefferson County, Kansas",692,"9,217",7.5
"Jefferson County, Kentucky","21,655","391,362",5.5
"Jefferson County, Mississippi",89,"2,159",4.1
"Jefferson County, Missouri","5,648","115,322",4.9
"Jefferson County, Montana",401,"5,622",7.1
"Jefferson County, Nebraska",205,"3,483",5.9
"Jefferson County, New York","3,325","44,033",7.6
"Jefferson County, Ohio","1,470","28,021",5.2
"Jefferson County, Oklahoma",134,"2,091",6.4
"Jefferson County, Oregon",610,"10,141",6
"Jefferson County, Pennsylvania",802,"19,921",4
"Jefferson County, Tennessee","1,351","25,277",5.3
"Jefferson County, Texas","6,692","104,440",6.4
"Jefferson County, Washington",508,"11,586",4.4
"Jefferson County, West Virginia","1,773","28,390",6.2
"Jefferson County, Wisconsin","3,082","47,125",6.5
"Jefferson Davis County, Mississippi",168,"4,484",3.7
"Jefferson Davis Parish, Louisiana",951,"13,165",7.2
"Jefferson Parish, Louisiana","12,500","208,078",6
"Jenkins County, Georgia",266,"2,940",9
"Jennings County, Indiana",494,"13,110",3.8
"Jerauld County, South Dakota",59,968,6.1
"Jerome County, Idaho",669,"11,453",5.8
"Jersey County, Illinois",621,"10,307",6
"Jessamine County, Kentucky","1,572","24,987",6.3
"Jewell County, Kansas",135,"1,309",10.3
"Jim Hogg County, Texas",153,"2,090",7.3
"Jim Wells County, Texas","1,131","15,022",7.5
"Jo Daviess County, Illinois",595,"10,837",5.5
"Johnson County, Arkansas",668,"9,953",6.7
"Johnson County, Georgia",204,"3,228",6.3
"Johnson County, Illinois",224,"4,367",5.1
"Johnson County, Indiana","5,488","81,617",6.7
"Johnson County, Iowa","9,477","84,763",11.2
"Johnson County, Kansas","20,725","335,476",6.2
"Johnson County, Kentucky",589,"7,662",7.7
"Johnson County, Missouri","1,549","23,951",6.5
"Johnson County, Nebraska",127,"2,161",5.9
"Johnson County, Tennessee",212,"6,444",3.3
"Johnson County, Texas","6,121","86,516",7.1
"Johnson County, Wyoming",222,"4,001",5.5
"Johnston County, North Carolina","6,016","108,178",5.6
"Johnston County, Oklahoma",335,"3,815",8.8
"Jones County, Georgia",631,"12,693",5
"Jones County, Iowa",459,"10,001",4.6
"Jones County, Mississippi","2,008","28,015",7.2
"Jones County, North Carolina",133,"3,858",3.4
"Jones County, South Dakota",19,488,3.9
"Jones County, Texas",383,"6,361",6
"Josephine County, Oregon","1,814","33,481",5.4
"Juab County, Utah",424,"5,487",7.7
"Juana Díaz Municipio, Puerto Rico",978,"14,012",7
"Judith Basin County, Montana",43,996,4.3
"Juncos Municipio, Puerto Rico",611,"12,920",4.7
"Juneau City and Borough, Alaska","1,104","16,345",6.8
"Juneau County, Wisconsin",574,"12,186",4.7
"Juniata County, Pennsylvania",547,"10,918",5
"Kalamazoo County, Michigan","7,916","131,529",6
"Kalawao County, Hawaii",0,36,0
"Kalkaska County, Michigan",342,"7,599",4.5
"Kanabec County, Minnesota",387,"7,661",5.1
"Kanawha County, West Virginia","3,868","76,835",5
"Kandiyohi County, Minnesota","1,547","22,221",7
"Kane County, Illinois","15,107","268,783",5.6
"Kane County, Utah",267,"3,471",7.7
"Kankakee County, Illinois","2,893","50,059",5.8
"Karnes County, Texas",349,"4,904",7.1
"Kauai County, Hawaii","2,199","35,683",6.2
"Kaufman County, Texas","5,029","73,153",6.9
"Kay County, Oklahoma","1,168","18,854",6.2
"Kearney County, Nebraska",284,"3,477",8.2
"Kearny County, Kansas",98,"1,697",5.8
"Keith County, Nebraska",237,"4,060",5.8
"Kemper County, Mississippi",250,"3,287",7.6
"Kenai Peninsula Borough, Alaska","1,687","25,227",6.7
"Kendall County, Illinois","5,341","69,490",7.7
"Kendall County, Texas","1,189","21,382",5.6
"Kenedy County, Texas",0,46,0
"Kennebec County, Maine","5,335","60,329",8.8
"Kenosha County, Wisconsin","5,033","86,382",5.8
"Kent County, Delaware","5,521","81,794",6.7
"Kent County, Maryland",849,"9,279",9.1
"Kent County, Michigan","18,400","342,287",5.4
"Kent County, Rhode Island","5,406","90,214",6
"Kent County, Texas",35,193,18.1
"Kenton County, Kentucky","5,263","88,706",5.9
"Keokuk County, Iowa",241,"4,631",5.2
"Kern County, California","22,146","358,961",6.2
"Kerr County, Texas","1,274","23,673",5.4
"Kershaw County, South Carolina","1,487","28,928",5.1
"Ketchikan Gateway Borough, Alaska",506,"6,966",7.3
"Kewaunee County, Wisconsin",605,"10,835",5.6
"Keweenaw County, Michigan",57,796,7.2
"Keya Paha County, Nebraska",33,449,7.3
"Kidder County, North Dakota",73,"1,032",7.1
"Kimball County, Nebraska",88,"1,649",5.3
"Kimble County, Texas",174,"2,101",8.3
"King and Queen County, Virginia",95,"3,303",2.9
"King County, Texas",18,85,21.2
"King County, Washington","67,952","1,238,729",5.5
"King George County, Virginia",949,"13,629",7
"King William County, Virginia",447,"9,255",4.8
"Kingfisher County, Oklahoma",397,"7,004",5.7
"Kingman County, Kansas",275,"3,540",7.8
"Kings County, California","2,863","52,915",5.4
"Kings County, New York","94,273","1,260,636",7.5
"Kingsbury County, South Dakota",133,"2,534",5.2
"Kinney County, Texas",77,"1,314",5.9
"Kiowa County, Colorado",60,649,9.2
"Kiowa County, Kansas",166,"1,247",13.3
"Kiowa County, Oklahoma",252,"3,371",7.5
"Kit Carson County, Colorado",214,"3,564",6
"Kitsap County, Washington","6,251","119,752",5.2
"Kittitas County, Washington","1,598","22,089",7.2
"Kittson County, Minnesota",153,"2,060",7.4
"Klamath County, Oregon","1,726","26,533",6.5
"Kleberg County, Texas",846,"12,990",6.5
"Klickitat County, Washington",702,"9,547",7.4
"Knott County, Kentucky",282,"4,219",6.7
"Knox County, Illinois","1,841","20,717",8.9
"Knox County, Indiana","1,105","17,912",6.2
"Knox County, Kentucky",616,"9,221",6.7
"Knox County, Maine","1,337","19,427",6.9
"Knox County, Missouri",103,"1,639",6.3
"Knox County, Nebraska",231,"4,034",5.7
"Knox County, Ohio","1,740","28,935",6
"Knox County, Tennessee","15,490","242,346",6.4
"Knox County, Texas",71,"1,443",4.9
"Kodiak Island Borough, Alaska",526,"6,139",8.6
"Koochiching County, Minnesota",251,"5,661",4.4
"Kootenai County, Idaho","3,365","81,476",4.1
"Kosciusko County, Indiana","2,208","40,748",5.4
"Kossuth County, Iowa",344,"7,052",4.9
"Kusilvak Census Area, Alaska",253,"2,448",10.3
"La Crosse County, Wisconsin","4,390","63,682",6.9
"La Paz County, Arizona",270,"5,467",4.9
"La Plata County, Colorado","2,231","29,235",7.6
"LaSalle County, Texas",9,"2,212",0.4
"Labette County, Kansas",684,"9,176",7.5
"Lac qui Parle County, Minnesota",175,"3,205",5.5
"Lackawanna County, Pennsylvania","6,031","102,307",5.9
"Laclede County, Missouri","1,421","15,519",9.2
"Lafayette County, Arkansas",134,"2,334",5.7
"Lafayette County, Florida",160,"2,905",5.5
"Lafayette County, Mississippi","3,133","25,497",12.3
"Lafayette County, Missouri",769,"15,678",4.9
"Lafayette County, Wisconsin",375,"8,391",4.5
"Lafayette Parish, Louisiana","8,797","117,677",7.5
"Lafourche Parish, Louisiana","2,385","41,845",5.7
"LaGrange County, Indiana",703,"17,870",3.9
"Lajas Municipio, Puerto Rico",496,"6,736",7.4
"Lake and Peninsula Borough, Alaska",51,487,10.5
"Lake County, California","1,399","25,408",5.5
"Lake County, Colorado",372,"4,606",8.1
"Lake County, Florida","8,014","163,230",4.9
"Lake County, Illinois","22,426","357,516",6.3
"Lake County, Indiana","11,510","226,992",5.1
"Lake County, Michigan",191,"4,044",4.7
"Lake County, Minnesota",149,"4,926",3
"Lake County, Montana","1,006","13,316",7.6
"Lake County, Ohio","6,145","120,537",5.1
"Lake County, Oregon",155,"3,086",5
"Lake County, South Dakota",348,"6,010",5.8
"Lake County, Tennessee",55,"1,712",3.2
"Lake of the Woods County, Minnesota",67,"1,942",3.5
"Lamar County, Alabama",424,"5,381",7.9
"Lamar County, Georgia",543,"8,047",6.7
"Lamar County, Mississippi","2,853","30,060",9.5
"Lamar County, Texas","1,311","22,879",5.7
"Lamb County, Texas",406,"5,556",7.3
"Lamoille County, Vermont",838,"13,922",6
"LaMoure County, North Dakota",112,"2,049",5.5
"Lampasas County, Texas",560,"8,800",6.4
"Lancaster County, Nebraska","14,119","175,401",8
"Lancaster County, Pennsylvania","15,513","279,799",5.5
"Lancaster County, South Carolina","3,123","43,504",7.2
"Lancaster County, Virginia",176,"3,986",4.4
"Lander County, Nevada",182,"2,335",7.8
"Lane County, Kansas",78,800,9.8
"Lane County, Oregon","12,981","181,673",7.1
"Langlade County, Wisconsin",314,"8,948",3.5
"Lanier County, Georgia",386,"3,521",11
"Lapeer County, Michigan","1,924","40,963",4.7
"LaPorte County, Indiana","2,447","49,897",4.9
"Laramie County, Wyoming","3,295","48,854",6.7
"Lares Municipio, Puerto Rico",459,"8,335",5.5
"Larimer County, Colorado","13,738","191,817",7.2
"Larue County, Kentucky",358,"6,473",5.5
"Las Animas County, Colorado",225,"5,834",3.9
"Las Marías Municipio, Puerto Rico",109,"2,266",4.8
"Las Piedras Municipio, Puerto Rico",921,"10,794",8.5
"LaSalle County, Illinois","3,058","53,025",5.8
"LaSalle Parish, Louisiana",237,"6,407",3.7
"Lassen County, California",462,"9,034",5.1
"Latah County, Idaho","1,898","19,344",9.8
"Latimer County, Oklahoma",204,"3,558",5.7
"Lauderdale County, Alabama","2,748","43,474",6.3
"Lauderdale County, Mississippi","2,218","29,057",7.6
"Lauderdale County, Tennessee",483,"9,295",5.2
"Laurel County, Kentucky","1,256","25,949",4.8
"Laurens County, Georgia","1,233","19,467",6.3
"Laurens County, South Carolina","1,386","29,264",4.7
"Lavaca County, Texas",576,"9,376",6.1
"Lawrence County, Alabama","1,032","13,836",7.5
"Lawrence County, Arkansas",530,"6,492",8.2
"Lawrence County, Illinois",211,"6,021",3.5
"Lawrence County, Indiana",981,"21,419",4.6
"Lawrence County, Kentucky",459,"4,586",10
"Lawrence County, Mississippi",275,"4,066",6.8
"Lawrence County, Missouri",717,"16,708",4.3
"Lawrence County, Ohio","1,447","23,771",6.1
"Lawrence County, Pennsylvania","1,945","38,886",5
"Lawrence County, South Dakota",777,"14,306",5.4
"Lawrence County, Tennessee","1,340","18,492",7.2
"Le Flore County, Oklahoma","1,272","18,665",6.8
"Le Sueur County, Minnesota",861,"15,425",5.6
"Lea County, New Mexico","1,795","30,803",5.8
"Leake County, Mississippi",368,"8,056",4.6
"Leavenworth County, Kansas","2,237","34,624",6.5
"Lebanon County, Pennsylvania","3,322","68,515",4.8
"Lee County, Alabama","8,990","81,409",11
"Lee County, Arkansas",71,"2,532",2.8
"Lee County, Florida","16,415","332,507",4.9
"Lee County, Georgia","1,301","15,880",8.2
"Lee County, Illinois",830,"15,303",5.4
"Lee County, Iowa",774,"15,022",5.2
"Lee County, Kentucky",151,"2,286",6.6
"Lee County, Mississippi","2,540","38,514",6.6
"Lee County, North Carolina","1,597","28,570",5.6
"Lee County, South Carolina",223,"5,624",4
"Lee County, Texas",439,"8,058",5.4
"Lee County, Virginia",591,"7,196",8.2
"Leelanau County, Michigan",525,"9,720",5.4
"Leflore County, Mississippi",665,"10,310",6.5
"Lehigh County, Pennsylvania","10,262","183,365",5.6
"Lemhi County, Idaho",137,"3,427",4
"Lenawee County, Michigan","2,275","44,046",5.2
"Lenoir County, North Carolina","1,306","22,701",5.8
"Leon County, Florida","14,032","150,497",9.3
"Leon County, Texas",195,"6,234",3.1
"Leslie County, Kentucky",176,"3,344",5.3
"Letcher County, Kentucky",498,"6,989",7.1
"Levy County, Florida",589,"17,222",3.4
"Lewis and Clark County, Montana","2,171","36,116",6
"Lewis County, Idaho",87,"1,330",6.5
"Lewis County, Kentucky",213,"4,136",5.1
"Lewis County, Missouri",198,"4,348",4.6
"Lewis County, New York",799,"11,871",6.7
"Lewis County, Tennessee",241,"5,243",4.6
"Lewis County, Washington","2,061","34,489",6
"Lewis County, West Virginia",216,"6,608",3.3
"Lexington city, Virginia",457,"2,808",16.3
"Lexington County, South Carolina","9,833","144,281",6.8
"Liberty County, Florida",184,"2,545",7.2
"Liberty County, Georgia","1,904","23,685",8
"Liberty County, Montana",28,812,3.4
"Liberty County, Texas","1,458","33,708",4.3
"Licking County, Ohio","4,542","86,878",5.2
"Limestone County, Alabama","3,068","48,090",6.4
"Limestone County, Texas",305,"8,153",3.7
"Lincoln County, Arkansas",168,"3,591",4.7
"Lincoln County, Colorado",151,"2,169",7
"Lincoln County, Georgia",229,"3,203",7.1
"Lincoln County, Idaho",169,"2,544",6.6
"Lincoln County, Kansas",83,"1,435",5.8
"Lincoln County, Kentucky",831,"9,865",8.4
"Lincoln County, Maine","1,333","16,776",7.9
"Lincoln County, Minnesota",154,"2,810",5.5
"Lincoln County, Mississippi","1,193","13,738",8.7
"Lincoln County, Missouri","1,256","28,728",4.4
"Lincoln County, Montana",272,"7,499",3.6
"Lincoln County, Nebraska","1,178","16,860",7
"Lincoln County, Nevada",108,"1,651",6.5
"Lincoln County, New Mexico",495,"8,406",5.9
"Lincoln County, North Carolina","2,172","42,710",5.1
"Lincoln County, Oklahoma",867,"14,402",6
"Lincoln County, Oregon",933,"20,107",4.6
"Lincoln County, South Dakota","1,795","37,131",4.8
"Lincoln County, Tennessee",894,"16,035",5.6
"Lincoln County, Washington",391,"4,565",8.6
"Lincoln County, West Virginia",290,"6,626",4.4
"Lincoln County, Wisconsin",782,"13,493",5.8
"Lincoln County, Wyoming",608,"9,869",6.2
"Lincoln Parish, Louisiana","1,690","21,178",8
"Linn County, Iowa","6,050","121,318",5
"Linn County, Kansas",312,"4,268",7.3
"Linn County, Missouri",326,"5,513",5.9
"Linn County, Oregon","3,190","57,828",5.5
"Lipscomb County, Texas",89,"1,372",6.5
"Little River County, Arkansas",397,"5,046",7.9
"Live Oak County, Texas",225,"4,067",5.5
"Livingston County, Illinois",748,"16,707",4.5
"Livingston County, Kentucky",194,"3,837",5.1
"Livingston County, Michigan","4,490","98,534",4.6
"Livingston County, Missouri",670,"6,148",10.9
"Livingston County, New York","2,438","28,923",8.4
"Livingston Parish, Louisiana","3,674","65,213",5.6
"Llano County, Texas",371,"8,211",4.5
"Logan County, Arkansas",653,"9,267",7
"Logan County, Colorado",703,"10,431",6.7
"Logan County, Illinois",639,"12,255",5.2
"Logan County, Kansas",89,"1,435",6.2
"Logan County, Kentucky",538,"11,675",4.6
"Logan County, Nebraska",34,444,7.7
"Logan County, North Dakota",49,857,5.7
"Logan County, Ohio",993,"21,746",4.6
"Logan County, Oklahoma","1,427","22,621",6.3
"Logan County, West Virginia",441,"9,520",4.6
"Loíza Municipio, Puerto Rico",487,"7,408",6.6
"Long County, Georgia",183,"6,873",2.7
"Lonoke County, Arkansas","2,083","33,414",6.2
"Lorain County, Ohio","8,136","146,503",5.6
"Los Alamos County, New Mexico",591,"10,278",5.8
"Los Angeles County, California","257,688","4,869,620",5.3
"Loudon County, Tennessee","1,059","24,434",4.3
"Loudoun County, Virginia","14,541","228,835",6.4
"Louisa County, Iowa",296,"5,380",5.5
"Louisa County, Virginia",885,"17,930",4.9
"Loup County, Nebraska",16,331,4.8
"Love County, Oklahoma",191,"4,383",4.4
"Loving County, Texas",0,39,0
