Geographic Area,Healthcare practitioners and technical occupations,Total,Health job
"Gurabo Municipio, Puerto Rico","1,414","16,686",8.5
"Guthrie County, Iowa",432,"5,323",8.1
"Gwinnett County, Georgia","26,384","483,028",5.5
"Haakon County, South Dakota",32,811,3.9
"Habersham County, Georgia","1,131","21,126",5.4
"Haines Borough, Alaska",25,806,3.1
"Hale County, Alabama",515,"5,433",9.5
"Hale County, Texas",564,"13,924",4.1
"Halifax County, North Carolina",956,"18,296",5.2
"Halifax County, Virginia","1,041","13,861",7.5
"Hall County, Georgia","4,467","98,562",4.5
"Hall County, Nebraska","1,523","31,229",4.9
"Hall County, Texas",58,"1,166",5
"Hamblen County, Tennessee","1,256","27,038",4.6
"Hamilton County, Florida",157,"3,681",4.3
"Hamilton County, Illinois",237,"3,376",7
"Hamilton County, Indiana","17,188","186,373",9.2
"Hamilton County, Iowa",394,"7,256",5.4
"Hamilton County, Kansas",10,"1,175",0.9
"Hamilton County, Nebraska",357,"4,721",7.6
"Hamilton County, New York",58,"2,227",2.6
"Hamilton County, Ohio","32,538","416,219",7.8
"Hamilton County, Tennessee","14,257","182,855",7.8
"Hamilton County, Texas",134,"3,413",3.9
"Hamlin County, South Dakota",153,"2,988",5.1
"Hampden County, Massachusetts","14,235","213,060",6.7
"Hampshire County, Massachusetts","5,894","77,806",7.6
"Hampshire County, West Virginia",431,"8,739",4.9
"Hampton city, Virginia","3,092","62,438",5
"Hampton County, South Carolina",360,"7,271",5
"Hancock County, Georgia",157,"2,530",6.2
"Hancock County, Illinois",511,"8,194",6.2
"Hancock County, Indiana","3,063","42,098",7.3
"Hancock County, Iowa",317,"5,576",5.7
"Hancock County, Kentucky",127,"3,973",3.2
"Hancock County, Maine","1,409","28,006",5
"Hancock County, Mississippi","1,973","20,734",9.5
"Hancock County, Ohio","2,091","37,600",5.6
"Hancock County, Tennessee",148,"2,183",6.8
"Hancock County, West Virginia","1,126","12,537",9
"Hand County, South Dakota",78,"1,623",4.8
"Hanover County, Virginia","4,342","57,612",7.5
"Hansford County, Texas",75,"2,430",3.1
"Hanson County, South Dakota",90,"1,840",4.9
"Haralson County, Georgia",603,"14,044",4.3
"Hardee County, Florida",362,"8,992",4
"Hardeman County, Tennessee",783,"9,045",8.7
"Hardeman County, Texas",201,"1,810",11.1
"Hardin County, Illinois",195,"1,230",15.9
"Hardin County, Iowa",542,"8,378",6.5
"Hardin County, Kentucky","2,736","47,348",5.8
"Hardin County, Ohio",581,"13,911",4.2
"Hardin County, Tennessee",778,"10,609",7.3
"Hardin County, Texas","1,798","24,004",7.5
"Harding County, New Mexico",11,283,3.9
"Harding County, South Dakota",22,702,3.1
"Hardy County, West Virginia",167,"6,406",2.6
"Harford County, Maryland","10,219","136,000",7.5
"Harlan County, Kentucky",761,"7,463",10.2
"Harlan County, Nebraska",84,"1,487",5.6
"Harmon County, Oklahoma",55,"1,095",5
"Harnett County, North Carolina","2,893","54,157",5.3
"Harney County, Oregon",208,"3,145",6.6
"Harper County, Kansas",169,"2,166",7.8
"Harper County, Oklahoma",114,"1,417",8
"Harris County, Georgia","1,236","15,747",7.8
"Harris County, Texas","115,261","2,285,175",5
"Harrison County, Indiana","1,444","18,495",7.8
"Harrison County, Iowa",572,"7,378",7.8
"Harrison County, Kentucky",396,"8,446",4.7
"Harrison County, Mississippi","7,174","87,340",8.2
"Harrison County, Missouri",269,"3,374",8
"Harrison County, Ohio",286,"5,681",5
"Harrison County, Texas","1,739","30,925",5.6
"Harrison County, West Virginia","2,479","28,754",8.6
"Harrisonburg city, Virginia","1,227","24,694",5
"Hart County, Georgia",663,"11,046",6
"Hart County, Kentucky",428,"7,892",5.4
"Hartley County, Texas",63,"1,769",3.6
"Harvey County, Kansas","1,447","16,775",8.6
"Haskell County, Kansas",66,"1,811",3.6
"Haskell County, Oklahoma",266,"4,498",5.9
"Haskell County, Texas",70,"2,270",3.1
"Hatillo Municipio, Puerto Rico","1,060","13,347",7.9
"Hawaii County, Hawaii","4,516","89,643",5
"Hawkins County, Tennessee","1,326","21,929",6
"Hayes County, Nebraska",3,428,0.7
"Hays County, Texas","5,253","125,414",4.2
"Haywood County, North Carolina","1,868","28,010",6.7
"Haywood County, Tennessee",489,"7,268",6.7
"Heard County, Georgia",177,"4,705",3.8
"Hemphill County, Texas",39,"1,561",2.5
"Hempstead County, Arkansas",515,"7,737",6.7
"Henderson County, Illinois",177,"2,942",6
"Henderson County, Kentucky","1,063","19,627",5.4
"Henderson County, North Carolina","3,757","54,554",6.9
"Henderson County, Tennessee",760,"11,599",6.6
"Henderson County, Texas","1,460","33,667",4.3
"Hendricks County, Indiana","7,060","93,711",7.5
"Hendry County, Florida",416,"18,209",2.3
"Hennepin County, Minnesota","42,828","703,017",6.1
"Henrico County, Virginia","11,066","176,922",6.3
"Henry County, Alabama",541,"7,321",7.4
"Henry County, Georgia","7,348","118,323",6.2
"Henry County, Illinois","1,545","23,366",6.6
"Henry County, Indiana","1,214","20,604",5.9
"Henry County, Iowa",533,"9,748",5.5
"Henry County, Kentucky",329,"6,939",4.7
"Henry County, Missouri",630,"9,181",6.9
"Henry County, Ohio",773,"13,582",5.7
"Henry County, Tennessee",670,"12,788",5.2
"Henry County, Virginia","1,226","20,188",6.1
"Herkimer County, New York","2,006","28,198",7.1
"Hernando County, Florida","5,976","78,778",7.6
"Hertford County, North Carolina",551,"8,643",6.4
"Hettinger County, North Dakota",24,"1,143",2.1
"Hickman County, Kentucky",64,"1,829",3.5
"Hickman County, Tennessee",582,"10,515",5.5
"Hickory County, Missouri",64,"2,550",2.5
"Hidalgo County, New Mexico",41,"1,594",2.6
"Hidalgo County, Texas","17,392","340,953",5.1
"Highland County, Ohio","1,240","19,045",6.5
"Highland County, Virginia",41,809,5.1
"Highlands County, Florida","3,320","35,324",9.4
"Hill County, Montana",485,"7,426",6.5
"Hill County, Texas",565,"15,842",3.6
"Hillsborough County, Florida","46,997","730,402",6.4
"Hillsborough County, New Hampshire","14,335","236,496",6.1
"Hillsdale County, Michigan","1,088","20,175",5.4
"Hinds County, Mississippi","8,046","99,007",8.1
"Hinsdale County, Colorado",4,415,1
"Hitchcock County, Nebraska",29,"1,186",2.4
"Hocking County, Ohio",972,"12,698",7.7
"Hockley County, Texas",576,"9,689",5.9
"Hodgeman County, Kansas",45,856,5.3
"Hoke County, North Carolina","1,446","19,188",7.5
"Holmes County, Florida",536,"7,521",7.1
"Holmes County, Mississippi",330,"5,369",6.1
"Holmes County, Ohio",408,"20,649",2
"Holt County, Missouri",124,"1,901",6.5
"Holt County, Nebraska",256,"5,230",4.9
"Honolulu County, Hawaii","28,632","468,113",6.1
"Hood County, Texas","1,759","26,540",6.6
"Hood River County, Oregon","1,137","12,855",8.8
"Hooker County, Nebraska",4,336,1.2
"Hoonah-Angoon Census Area, Alaska",17,"1,175",1.4
"Hopewell city, Virginia",365,"9,568",3.8
"Hopkins County, Kentucky","1,674","18,087",9.3
"Hopkins County, Texas",917,"17,069",5.4
"Hormigueros Municipio, Puerto Rico",428,"5,002",8.6
"Horry County, South Carolina","8,924","154,728",5.8
"Hot Spring County, Arkansas","1,024","12,819",8
"Hot Springs County, Wyoming",199,"2,093",9.5
"Houghton County, Michigan",859,"16,793",5.1
"Houston County, Alabama","3,941","45,708",8.6
"Houston County, Georgia","4,372","75,113",5.8
"Houston County, Minnesota",818,"10,033",8.2
"Houston County, Tennessee",204,"3,288",6.2
"Houston County, Texas",585,"7,816",7.5
"Howard County, Arkansas",250,"5,337",4.7
"Howard County, Indiana","2,533","37,157",6.8
"Howard County, Iowa",254,"4,722",5.4
"Howard County, Maryland","13,942","174,305",8
"Howard County, Missouri",276,"4,319",6.4
"Howard County, Nebraska",194,"3,199",6.1
"Howard County, Texas",833,"14,271",5.8
"Howell County, Missouri","1,295","15,947",8.1
"Hubbard County, Minnesota",616,"9,594",6.4
"Hudson County, New Jersey","16,493","382,543",4.3
"Hudspeth County, Texas",41,966,4.2
"Huerfano County, Colorado",104,"2,503",4.2
"Hughes County, Oklahoma",192,"4,282",4.5
"Hughes County, South Dakota",627,"9,199",6.8
"Humacao Municipio, Puerto Rico",984,"15,509",6.3
"Humboldt County, California","3,078","60,483",5.1
"Humboldt County, Iowa",190,"4,717",4
"Humboldt County, Nevada",414,"8,326",5
"Humphreys County, Mississippi",141,"2,574",5.5
"Humphreys County, Tennessee",405,"7,793",5.2
"Hunt County, Texas","2,213","46,074",4.8
"Hunterdon County, New Jersey","3,991","67,632",5.9
"Huntingdon County, Pennsylvania","1,217","18,332",6.6
"Huntington County, Indiana","1,033","18,139",5.7
"Huron County, Michigan",767,"13,625",5.6
"Huron County, Ohio","1,779","27,395",6.5
"Hutchinson County, South Dakota",294,"3,706",7.9
"Hutchinson County, Texas",247,"9,257",2.7
"Hyde County, North Carolina",14,"1,410",1
"Hyde County, South Dakota",52,729,7.1
"Iberia Parish, Louisiana","1,266","29,316",4.3
"Iberville Parish, Louisiana",794,"12,223",6.5
"Ida County, Iowa",128,"3,515",3.6
"Idaho County, Idaho",379,"6,589",5.8
"Imperial County, California","2,553","60,537",4.2
"Independence County, Arkansas",983,"16,037",6.1
"Indian River County, Florida","5,006","63,137",7.9
"Indiana County, Pennsylvania","2,516","36,508",6.9
"Ingham County, Michigan","7,148","141,130",5.1
"Inyo County, California",535,"8,281",6.5
"Ionia County, Michigan","1,511","30,465",5
"Iosco County, Michigan",506,"9,343",5.4
"Iowa County, Iowa",502,"8,483",5.9
"Iowa County, Wisconsin",751,"12,949",5.8
"Iredell County, North Carolina","5,223","93,283",5.6
"Irion County, Texas",24,703,3.4
"Iron County, Michigan",259,"4,506",5.7
"Iron County, Missouri",233,"3,919",5.9
"Iron County, Utah",939,"27,249",3.4
"Iron County, Wisconsin",178,"2,690",6.6
"Iroquois County, Illinois",784,"12,348",6.3
"Irwin County, Georgia",173,"3,917",4.4
"Isabela Municipio, Puerto Rico",792,"12,372",6.4
"Isabella County, Michigan","1,673","31,640",5.3
"Isanti County, Minnesota","1,202","21,088",5.7
"Island County, Washington","1,909","32,542",5.9
"Isle of Wight County, Virginia","1,300","18,620",7
"Issaquena County, Mississippi",0,181,0
"Itasca County, Minnesota","1,555","19,200",8.1
"Itawamba County, Mississippi",818,"10,859",7.5
"Izard County, Arkansas",409,"4,193",9.8
"Jack County, Texas",193,"3,091",6.2
"Jackson County, Alabama","1,216","20,405",6
"Jackson County, Arkansas",307,"5,906",5.2
"Jackson County, Colorado",13,660,2
"Jackson County, Florida","1,257","16,126",7.8
"Jackson County, Georgia","1,786","36,907",4.8
"Jackson County, Illinois","1,629","23,523",6.9
"Jackson County, Indiana",825,"22,326",3.7
"Jackson County, Iowa",610,"9,372",6.5
"Jackson County, Kansas",340,"6,418",5.3
"Jackson County, Kentucky",219,"4,321",5.1
"Jackson County, Michigan","4,203","69,264",6.1
"Jackson County, Minnesota",356,"5,266",6.8
"Jackson County, Mississippi","4,865","61,673",7.9
"Jackson County, Missouri","23,473","361,456",6.5
"Jackson County, North Carolina","1,036","19,135",5.4
"Jackson County, Ohio",895,"13,736",6.5
"Jackson County, Oklahoma",843,"10,775",7.8
"Jackson County, Oregon","7,495","99,195",7.6
"Jackson County, South Dakota",9,826,1.1
"Jackson County, Tennessee",176,"4,796",3.7
"Jackson County, Texas",338,"5,932",5.7
"Jackson County, West Virginia","1,333","10,164",13.1
"Jackson County, Wisconsin",469,"9,298",5
"Jackson Parish, Louisiana",436,"4,931",8.8
"James City County, Virginia","2,787","34,760",8
"Jasper County, Georgia",159,"6,491",2.4
"Jasper County, Illinois",162,"4,631",3.5
"Jasper County, Indiana",991,"15,391",6.4
"Jasper County, Iowa","1,061","18,256",5.8
"Jasper County, Mississippi",379,"6,390",5.9
"Jasper County, Missouri","3,327","57,972",5.7
"Jasper County, South Carolina",490,"12,154",4
"Jasper County, Texas",725,"12,373",5.9
"Jay County, Indiana",503,"9,149",5.5
"Jayuya Municipio, Puerto Rico",93,"3,560",2.6
"Jeff Davis County, Georgia",495,"5,783",8.6
"Jeff Davis County, Texas",101,748,13.5
"Jefferson County, Alabama","27,320","311,193",8.8
"Jefferson County, Arkansas","2,073","25,490",8.1
"Jefferson County, Colorado","19,018","322,035",5.9
"Jefferson County, Florida",407,"5,951",6.8
"Jefferson County, Georgia",240,"6,243",3.8
"Jefferson County, Idaho",740,"14,400",5.1
"Jefferson County, Illinois","1,103","16,356",6.7
"Jefferson County, Indiana",934,"15,116",6.2
"Jefferson County, Iowa",391,"7,598",5.1
"Jefferson County, Kansas",594,"9,217",6.4
"Jefferson County, Kentucky","29,275","391,362",7.5
"Jefferson County, Mississippi",217,"2,159",10.1
"Jefferson County, Missouri","7,621","115,322",6.6
"Jefferson County, Montana",503,"5,622",8.9
"Jefferson County, Nebraska",166,"3,483",4.8
"Jefferson County, New York","2,913","44,033",6.6
"Jefferson County, Ohio","2,188","28,021",7.8
"Jefferson County, Oklahoma",84,"2,091",4
"Jefferson County, Oregon",530,"10,141",5.2
"Jefferson County, Pennsylvania","1,479","19,921",7.4
"Jefferson County, Tennessee","2,390","25,277",9.5
"Jefferson County, Texas","5,615","104,440",5.4
"Jefferson County, Washington",701,"11,586",6.1
"Jefferson County, West Virginia","1,757","28,390",6.2
"Jefferson County, Wisconsin","2,465","47,125",5.2
"Jefferson Davis County, Mississippi",360,"4,484",8
"Jefferson Davis Parish, Louisiana",687,"13,165",5.2
"Jefferson Parish, Louisiana","16,163","208,078",7.8
"Jenkins County, Georgia",52,"2,940",1.8
"Jennings County, Indiana",807,"13,110",6.2
"Jerauld County, South Dakota",69,968,7.1
"Jerome County, Idaho",426,"11,453",3.7
"Jersey County, Illinois",983,"10,307",9.5
"Jessamine County, Kentucky","2,163","24,987",8.7
"Jewell County, Kansas",101,"1,309",7.7
"Jim Hogg County, Texas",37,"2,090",1.8
"Jim Wells County, Texas",851,"15,022",5.7
"Jo Daviess County, Illinois",789,"10,837",7.3
"Johnson County, Arkansas",268,"9,953",2.7
"Johnson County, Georgia",150,"3,228",4.6
"Johnson County, Illinois",536,"4,367",12.3
"Johnson County, Indiana","6,010","81,617",7.4
"Johnson County, Iowa","9,684","84,763",11.4
"Johnson County, Kansas","26,874","335,476",8
"Johnson County, Kentucky",619,"7,662",8.1
"Johnson County, Missouri","1,296","23,951",5.4
"Johnson County, Nebraska",163,"2,161",7.5
"Johnson County, Tennessee",282,"6,444",4.4
"Johnson County, Texas","4,170","86,516",4.8
"Johnson County, Wyoming",258,"4,001",6.4
"Johnston County, North Carolina","7,012","108,178",6.5
"Johnston County, Oklahoma",198,"3,815",5.2
"Jones County, Georgia",955,"12,693",7.5
"Jones County, Iowa",646,"10,001",6.5
"Jones County, Mississippi","1,833","28,015",6.5
"Jones County, North Carolina",181,"3,858",4.7
"Jones County, South Dakota",34,488,7
"Jones County, Texas",342,"6,361",5.4
"Josephine County, Oregon","1,972","33,481",5.9
"Juab County, Utah",263,"5,487",4.8
"Juana Díaz Municipio, Puerto Rico",737,"14,012",5.3
"Judith Basin County, Montana",105,996,10.5
"Juncos Municipio, Puerto Rico",739,"12,920",5.7
"Juneau City and Borough, Alaska",995,"16,345",6.1
"Juneau County, Wisconsin",683,"12,186",5.6
"Juniata County, Pennsylvania",456,"10,918",4.2
"Kalamazoo County, Michigan","10,054","131,529",7.6
"Kalawao County, Hawaii",2,36,5.6
"Kalkaska County, Michigan",379,"7,599",5
"Kanabec County, Minnesota",420,"7,661",5.5
"Kanawha County, West Virginia","7,435","76,835",9.7
"Kandiyohi County, Minnesota","1,544","22,221",6.9
"Kane County, Illinois","12,695","268,783",4.7
"Kane County, Utah",89,"3,471",2.6
"Kankakee County, Illinois","3,417","50,059",6.8
"Karnes County, Texas",154,"4,904",3.1
"Kauai County, Hawaii","1,387","35,683",3.9
"Kaufman County, Texas","3,876","73,153",5.3
"Kay County, Oklahoma",995,"18,854",5.3
"Kearney County, Nebraska",230,"3,477",6.6
"Kearny County, Kansas",58,"1,697",3.4
"Keith County, Nebraska",171,"4,060",4.2
"Kemper County, Mississippi",175,"3,287",5.3
"Kenai Peninsula Borough, Alaska","1,884","25,227",7.5
"Kendall County, Illinois","5,052","69,490",7.3
"Kendall County, Texas","1,754","21,382",8.2
"Kenedy County, Texas",0,46,0
"Kennebec County, Maine","3,977","60,329",6.6
"Kenosha County, Wisconsin","4,666","86,382",5.4
"Kent County, Delaware","5,843","81,794",7.1
"Kent County, Maryland",557,"9,279",6
"Kent County, Michigan","24,489","342,287",7.2
"Kent County, Rhode Island","6,825","90,214",7.6
"Kent County, Texas",11,193,5.7
"Kenton County, Kentucky","6,028","88,706",6.8
"Keokuk County, Iowa",246,"4,631",5.3
"Kern County, California","15,220","358,961",4.2
"Kerr County, Texas","1,735","23,673",7.3
"Kershaw County, South Carolina","1,827","28,928",6.3
"Ketchikan Gateway Borough, Alaska",459,"6,966",6.6
"Kewaunee County, Wisconsin",539,"10,835",5
"Keweenaw County, Michigan",87,796,10.9
"Keya Paha County, Nebraska",13,449,2.9
"Kidder County, North Dakota",21,"1,032",2
"Kimball County, Nebraska",34,"1,649",2.1
"Kimble County, Texas",99,"2,101",4.7
"King and Queen County, Virginia",119,"3,303",3.6
"King County, Texas",0,85,0
"King County, Washington","67,148","1,238,729",5.4
"King George County, Virginia",618,"13,629",4.5
"King William County, Virginia",691,"9,255",7.5
"Kingfisher County, Oklahoma",444,"7,004",6.3
"Kingman County, Kansas",237,"3,540",6.7
"Kings County, California","2,552","52,915",4.8
"Kings County, New York","63,283","1,260,636",5
"Kingsbury County, South Dakota",147,"2,534",5.8
"Kinney County, Texas",62,"1,314",4.7
"Kiowa County, Colorado",38,649,5.9
"Kiowa County, Kansas",39,"1,247",3.1
"Kiowa County, Oklahoma",163,"3,371",4.8
"Kit Carson County, Colorado",209,"3,564",5.9
"Kitsap County, Washington","7,173","119,752",6
"Kittitas County, Washington",897,"22,089",4.1
"Kittson County, Minnesota",109,"2,060",5.3
"Klamath County, Oregon","1,727","26,533",6.5
"Kleberg County, Texas",624,"12,990",4.8
"Klickitat County, Washington",486,"9,547",5.1
"Knott County, Kentucky",320,"4,219",7.6
"Knox County, Illinois","1,820","20,717",8.8
"Knox County, Indiana","1,417","17,912",7.9
"Knox County, Kentucky",676,"9,221",7.3
"Knox County, Maine","1,349","19,427",6.9
"Knox County, Missouri",53,"1,639",3.2
"Knox County, Nebraska",238,"4,034",5.9
"Knox County, Ohio","2,123","28,935",7.3
"Knox County, Tennessee","18,579","242,346",7.7
"Knox County, Texas",83,"1,443",5.8
"Kodiak Island Borough, Alaska",188,"6,139",3.1
"Koochiching County, Minnesota",275,"5,661",4.9
"Kootenai County, Idaho","5,357","81,476",6.6
"Kosciusko County, Indiana","1,352","40,748",3.3
"Kossuth County, Iowa",272,"7,052",3.9
"Kusilvak Census Area, Alaska",39,"2,448",1.6
"La Crosse County, Wisconsin","5,014","63,682",7.9
"La Paz County, Arizona",148,"5,467",2.7
"La Plata County, Colorado","2,106","29,235",7.2
"LaSalle County, Texas",84,"2,212",3.8
"Labette County, Kansas","1,076","9,176",11.7
"Lac qui Parle County, Minnesota",278,"3,205",8.7
"Lackawanna County, Pennsylvania","8,228","102,307",8
"Laclede County, Missouri",925,"15,519",6
"Lafayette County, Arkansas",206,"2,334",8.8
"Lafayette County, Florida",82,"2,905",2.8
"Lafayette County, Mississippi","2,104","25,497",8.3
"Lafayette County, Missouri","1,123","15,678",7.2
"Lafayette County, Wisconsin",359,"8,391",4.3
"Lafayette Parish, Louisiana","9,350","117,677",7.9
"Lafourche Parish, Louisiana","2,906","41,845",6.9
"LaGrange County, Indiana",509,"17,870",2.8
"Lajas Municipio, Puerto Rico",430,"6,736",6.4
"Lake and Peninsula Borough, Alaska",4,487,0.8
"Lake County, California","1,109","25,408",4.4
"Lake County, Colorado",295,"4,606",6.4
"Lake County, Florida","11,556","163,230",7.1
"Lake County, Illinois","20,546","357,516",5.7
"Lake County, Indiana","14,492","226,992",6.4
"Lake County, Michigan",84,"4,044",2.1
"Lake County, Minnesota",372,"4,926",7.6
"Lake County, Montana",703,"13,316",5.3
"Lake County, Ohio","8,174","120,537",6.8
"Lake County, Oregon",119,"3,086",3.9
"Lake County, South Dakota",369,"6,010",6.1
"Lake County, Tennessee",138,"1,712",8.1
"Lake of the Woods County, Minnesota",85,"1,942",4.4
"Lamar County, Alabama",333,"5,381",6.2
"Lamar County, Georgia",471,"8,047",5.9
"Lamar County, Mississippi","3,132","30,060",10.4
"Lamar County, Texas","1,389","22,879",6.1
"Lamb County, Texas",383,"5,556",6.9
"Lamoille County, Vermont",901,"13,922",6.5
"LaMoure County, North Dakota",128,"2,049",6.2
"Lampasas County, Texas",456,"8,800",5.2
"Lancaster County, Nebraska","10,760","175,401",6.1
"Lancaster County, Pennsylvania","18,953","279,799",6.8
"Lancaster County, South Carolina","2,420","43,504",5.6
"Lancaster County, Virginia",278,"3,986",7
"Lander County, Nevada",34,"2,335",1.5
"Lane County, Kansas",22,800,2.8
"Lane County, Oregon","11,134","181,673",6.1
"Langlade County, Wisconsin",412,"8,948",4.6
"Lanier County, Georgia",132,"3,521",3.7
"Lapeer County, Michigan","2,364","40,963",5.8
"LaPorte County, Indiana","2,679","49,897",5.4
"Laramie County, Wyoming","3,602","48,854",7.4
"Lares Municipio, Puerto Rico",626,"8,335",7.5
"Larimer County, Colorado","11,865","191,817",6.2
"Larue County, Kentucky",333,"6,473",5.1
"Las Animas County, Colorado",317,"5,834",5.4
"Las Marías Municipio, Puerto Rico",251,"2,266",11.1
"Las Piedras Municipio, Puerto Rico",896,"10,794",8.3
"LaSalle County, Illinois","3,302","53,025",6.2
"LaSalle Parish, Louisiana",808,"6,407",12.6
"Lassen County, California",410,"9,034",4.5
"Latah County, Idaho","1,169","19,344",6
"Latimer County, Oklahoma",309,"3,558",8.7
"Lauderdale County, Alabama","2,520","43,474",5.8
"Lauderdale County, Mississippi","3,352","29,057",11.5
"Lauderdale County, Tennessee",537,"9,295",5.8
"Laurel County, Kentucky","1,764","25,949",6.8
"Laurens County, Georgia","1,252","19,467",6.4
"Laurens County, South Carolina","1,481","29,264",5.1
"Lavaca County, Texas",890,"9,376",9.5
"Lawrence County, Alabama","1,035","13,836",7.5
"Lawrence County, Arkansas",306,"6,492",4.7
"Lawrence County, Illinois",364,"6,021",6
"Lawrence County, Indiana","1,017","21,419",4.7
"Lawrence County, Kentucky",375,"4,586",8.2
"Lawrence County, Mississippi",284,"4,066",7
"Lawrence County, Missouri",648,"16,708",3.9
"Lawrence County, Ohio","2,181","23,771",9.2
"Lawrence County, Pennsylvania","2,236","38,886",5.8
"Lawrence County, South Dakota",929,"14,306",6.5
"Lawrence County, Tennessee","1,338","18,492",7.2
"Le Flore County, Oklahoma",954,"18,665",5.1
"Le Sueur County, Minnesota",893,"15,425",5.8
"Lea County, New Mexico",743,"30,803",2.4
"Leake County, Mississippi",394,"8,056",4.9
"Leavenworth County, Kansas","2,849","34,624",8.2
"Lebanon County, Pennsylvania","4,533","68,515",6.6
"Lee County, Alabama","6,131","81,409",7.5
"Lee County, Arkansas",88,"2,532",3.5
"Lee County, Florida","22,104","332,507",6.6
"Lee County, Georgia","1,711","15,880",10.8
"Lee County, Illinois","1,052","15,303",6.9
"Lee County, Iowa",925,"15,022",6.2
"Lee County, Kentucky",143,"2,286",6.3
"Lee County, Mississippi","3,870","38,514",10
"Lee County, North Carolina","1,662","28,570",5.8
"Lee County, South Carolina",352,"5,624",6.3
"Lee County, Texas",413,"8,058",5.1
"Lee County, Virginia",387,"7,196",5.4
"Leelanau County, Michigan",996,"9,720",10.2
"Leflore County, Mississippi",578,"10,310",5.6
"Lehigh County, Pennsylvania","13,517","183,365",7.4
"Lemhi County, Idaho",159,"3,427",4.6
"Lenawee County, Michigan","2,597","44,046",5.9
"Lenoir County, North Carolina","1,725","22,701",7.6
"Leon County, Florida","9,211","150,497",6.1
"Leon County, Texas",218,"6,234",3.5
"Leslie County, Kentucky",291,"3,344",8.7
"Letcher County, Kentucky",871,"6,989",12.5
"Levy County, Florida","1,159","17,222",6.7
"Lewis and Clark County, Montana","2,614","36,116",7.2
"Lewis County, Idaho",62,"1,330",4.7
"Lewis County, Kentucky",383,"4,136",9.3
"Lewis County, Missouri",298,"4,348",6.9
"Lewis County, New York",987,"11,871",8.3
"Lewis County, Tennessee",314,"5,243",6
"Lewis County, Washington","1,892","34,489",5.5
"Lewis County, West Virginia",625,"6,608",9.5
"Lexington city, Virginia",279,"2,808",9.9
"Lexington County, South Carolina","10,465","144,281",7.3
"Liberty County, Florida",148,"2,545",5.8
"Liberty County, Georgia","1,357","23,685",5.7
"Liberty County, Montana",58,812,7.1
"Liberty County, Texas",631,"33,708",1.9
"Licking County, Ohio","5,823","86,878",6.7
"Limestone County, Alabama","2,950","48,090",6.1
"Limestone County, Texas",396,"8,153",4.9
"Lincoln County, Arkansas",282,"3,591",7.9
"Lincoln County, Colorado",93,"2,169",4.3
"Lincoln County, Georgia",215,"3,203",6.7
"Lincoln County, Idaho",40,"2,544",1.6
"Lincoln County, Kansas",48,"1,435",3.3
"Lincoln County, Kentucky",839,"9,865",8.5
"Lincoln County, Maine",952,"16,776",5.7
"Lincoln County, Minnesota",171,"2,810",6.1
"Lincoln County, Mississippi",922,"13,738",6.7
"Lincoln County, Missouri","1,881","28,728",6.5
"Lincoln County, Montana",309,"7,499",4.1
"Lincoln County, Nebraska",945,"16,860",5.6
"Lincoln County, Nevada",36,"1,651",2.2
"Lincoln County, New Mexico",637,"8,406",7.6
"Lincoln County, North Carolina","2,771","42,710",6.5
"Lincoln County, Oklahoma",712,"14,402",4.9
"Lincoln County, Oregon",940,"20,107",4.7
"Lincoln County, South Dakota","4,857","37,131",13.1
"Lincoln County, Tennessee","1,288","16,035",8
"Lincoln County, Washington",201,"4,565",4.4
"Lincoln County, West Virginia",253,"6,626",3.8
"Lincoln County, Wisconsin",793,"13,493",5.9
"Lincoln County, Wyoming",622,"9,869",6.3
"Lincoln Parish, Louisiana","1,299","21,178",6.1
"Linn County, Iowa","7,199","121,318",5.9
"Linn County, Kansas",145,"4,268",3.4
"Linn County, Missouri",426,"5,513",7.7
"Linn County, Oregon","3,159","57,828",5.5
"Lipscomb County, Texas",151,"1,372",11
"Little River County, Arkansas",426,"5,046",8.4
"Live Oak County, Texas",205,"4,067",5
"Livingston County, Illinois","1,334","16,707",8
"Livingston County, Kentucky",198,"3,837",5.2
"Livingston County, Michigan","7,171","98,534",7.3
"Livingston County, Missouri",450,"6,148",7.3
"Livingston County, New York","1,904","28,923",6.6
"Livingston Parish, Louisiana","3,344","65,213",5.1
"Llano County, Texas",414,"8,211",5
"Logan County, Arkansas",583,"9,267",6.3
"Logan County, Colorado",689,"10,431",6.6
"Logan County, Illinois",754,"12,255",6.2
"Logan County, Kansas",63,"1,435",4.4
"Logan County, Kentucky",663,"11,675",5.7
"Logan County, Nebraska",26,444,5.9
"Logan County, North Dakota",42,857,4.9
"Logan County, Ohio","1,027","21,746",4.7
"Logan County, Oklahoma","1,484","22,621",6.6
"Logan County, West Virginia",853,"9,520",9
"Loíza Municipio, Puerto Rico",546,"7,408",7.4
"Long County, Georgia",300,"6,873",4.4
"Lonoke County, Arkansas","3,176","33,414",9.5
"Lorain County, Ohio","11,200","146,503",7.6
"Los Alamos County, New Mexico",586,"10,278",5.7
"Los Angeles County, California","247,565","4,869,620",5.1
"Loudon County, Tennessee","1,304","24,434",5.3
"Loudoun County, Virginia","8,732","228,835",3.8
"Louisa County, Iowa",317,"5,380",5.9
"Louisa County, Virginia","1,313","17,930",7.3
"Loup County, Nebraska",9,331,2.7
"Love County, Oklahoma",245,"4,383",5.6
"Loving County, Texas",0,39,0
