Geographic Area,Percent—Total population—AGE—Under 5 years—Estimate,Under 5 yrs
"Hockley County, Texas",7%,7
"Hodgeman County, Kansas",4.90%,4.9
"Hoke County, North Carolina",8.10%,8.1
"Holmes County, Florida",5%,5
"Holmes County, Mississippi",6.50%,6.5
"Holmes County, Ohio",8.10%,8.1
"Holt County, Missouri",4.90%,4.9
"Holt County, Nebraska",6.50%,6.5
"Honolulu County, Hawaii",6%,6
"Hood County, Texas",5.10%,5.1
"Hood River County, Oregon",5.70%,5.7
"Hooker County, Nebraska",7.30%,7.3
"Hoonah-Angoon Census Area, Alaska",3.20%,3.2
"Hopewell city, Virginia",7.20%,7.2
"Hopkins County, Kentucky",5.90%,5.9
"Hopkins County, Texas",6.10%,6.1
"Hormigueros Municipio, Puerto Rico",2.60%,2.6
"Horry County, South Carolina",4.30%,4.3
"Hot Spring County, Arkansas",4.60%,4.6
"Hot Springs County, Wyoming",5.80%,5.8
"Houghton County, Michigan",4.80%,4.8
"Houston County, Alabama",6.10%,6.1
"Houston County, Georgia",6.20%,6.2
"Houston County, Minnesota",5.30%,5.3
"Houston County, Tennessee",4.60%,4.6
"Houston County, Texas",4.90%,4.9
"Howard County, Arkansas",6.70%,6.7
"Howard County, Indiana",5.80%,5.8
"Howard County, Iowa",7%,7
"Howard County, Maryland",5.60%,5.6
"Howard County, Missouri",5.70%,5.7
"Howard County, Nebraska",6.40%,6.4
"Howard County, Texas",5.90%,5.9
"Howell County, Missouri",6.10%,6.1
"Hubbard County, Minnesota",5.10%,5.1
"Hudson County, New Jersey",6.60%,6.6
"Hudspeth County, Texas",3.80%,3.8
"Huerfano County, Colorado",4.70%,4.7
"Hughes County, Oklahoma",5.30%,5.3
"Hughes County, South Dakota",6%,6
"Humacao Municipio, Puerto Rico",3.40%,3.4
"Humboldt County, California",4.80%,4.8
"Humboldt County, Iowa",5.80%,5.8
"Humboldt County, Nevada",6.80%,6.8
"Humphreys County, Mississippi",5.30%,5.3
"Humphreys County, Tennessee",5%,5
"Hunt County, Texas",6.20%,6.2
"Hunterdon County, New Jersey",4.20%,4.2
"Huntingdon County, Pennsylvania",4.40%,4.4
"Huntington County, Indiana",5.60%,5.6
"Huron County, Michigan",4.70%,4.7
"Huron County, Ohio",5.90%,5.9
"Hutchinson County, South Dakota",8.40%,8.4
"Hutchinson County, Texas",5.90%,5.9
"Hyde County, North Carolina",3.70%,3.7
"Hyde County, South Dakota",6.50%,6.5
"Iberia Parish, Louisiana",6.80%,6.8
"Iberville Parish, Louisiana",5.30%,5.3
"Ida County, Iowa",5.50%,5.5
"Idaho County, Idaho",5%,5
"Imperial County, California",7.50%,7.5
"Independence County, Arkansas",6.30%,6.3
"Indian River County, Florida",3.90%,3.9
"Indiana County, Pennsylvania",4.50%,4.5
"Ingham County, Michigan",5.40%,5.4
"Inyo County, California",4.90%,4.9
"Ionia County, Michigan",5.30%,5.3
"Iosco County, Michigan",4.60%,4.6
"Iowa County, Iowa",5.60%,5.6
"Iowa County, Wisconsin",5.40%,5.4
"Iredell County, North Carolina",5.30%,5.3
"Irion County, Texas",2.90%,2.9
"Iron County, Michigan",4%,4
"Iron County, Missouri",5.30%,5.3
"Iron County, Utah",6.90%,6.9
"Iron County, Wisconsin",3.30%,3.3
"Iroquois County, Illinois",5.40%,5.4
"Irwin County, Georgia",4.60%,4.6
"Isabela Municipio, Puerto Rico",3.20%,3.2
"Isabella County, Michigan",4.50%,4.5
"Isanti County, Minnesota",5.70%,5.7
"Island County, Washington",5.20%,5.2
"Isle of Wight County, Virginia",4.90%,4.9
"Issaquena County, Mississippi",1.80%,1.8
"Itasca County, Minnesota",4.90%,4.9
"Itawamba County, Mississippi",5.20%,5.2
"Izard County, Arkansas",4%,4
"Jack County, Texas",5.10%,5.1
"Jackson County, Alabama",5%,5
"Jackson County, Arkansas",5.10%,5.1
"Jackson County, Colorado",3.30%,3.3
"Jackson County, Florida",5.10%,5.1
"Jackson County, Georgia",6.20%,6.2
"Jackson County, Illinois",5.30%,5.3
"Jackson County, Indiana",6.50%,6.5
"Jackson County, Iowa",5.60%,5.6
"Jackson County, Kansas",6.30%,6.3
"Jackson County, Kentucky",6.10%,6.1
"Jackson County, Michigan",5.40%,5.4
"Jackson County, Minnesota",6%,6
"Jackson County, Mississippi",5.60%,5.6
"Jackson County, Missouri",6.30%,6.3
"Jackson County, North Carolina",3.80%,3.8
"Jackson County, Ohio",6.40%,6.4
"Jackson County, Oklahoma",7.10%,7.1
"Jackson County, Oregon",5.10%,5.1
"Jackson County, South Dakota",9.80%,9.8
"Jackson County, Tennessee",4.50%,4.5
"Jackson County, Texas",6.60%,6.6
"Jackson County, West Virginia",5.30%,5.3
"Jackson County, Wisconsin",5.70%,5.7
"Jackson Parish, Louisiana",5.30%,5.3
"James City County, Virginia",4.90%,4.9
"Jasper County, Georgia",5.30%,5.3
"Jasper County, Illinois",6%,6
"Jasper County, Indiana",5.50%,5.5
"Jasper County, Iowa",5.40%,5.4
"Jasper County, Mississippi",5.80%,5.8
"Jasper County, Missouri",6.50%,6.5
"Jasper County, South Carolina",5.50%,5.5
"Jasper County, Texas",5.90%,5.9
"Jay County, Indiana",7.20%,7.2
"Jayuya Municipio, Puerto Rico",4.20%,4.2
"Jeff Davis County, Georgia",5.60%,5.6
"Jeff Davis County, Texas",6.70%,6.7
"Jefferson County, Alabama",6.20%,6.2
"Jefferson County, Arkansas",5.90%,5.9
"Jefferson County, Colorado",4.80%,4.8
"Jefferson County, Florida",4.10%,4.1
"Jefferson County, Georgia",5.90%,5.9
"Jefferson County, Idaho",7.80%,7.8
"Jefferson County, Illinois",5.80%,5.8
"Jefferson County, Indiana",5.30%,5.3
"Jefferson County, Iowa",4.60%,4.6
"Jefferson County, Kansas",5.20%,5.2
"Jefferson County, Kentucky",6.10%,6.1
"Jefferson County, Mississippi",5.50%,5.5
"Jefferson County, Missouri",5.70%,5.7
"Jefferson County, Montana",4.40%,4.4
"Jefferson County, Nebraska",5.60%,5.6
"Jefferson County, New York",7.50%,7.5
"Jefferson County, Ohio",5%,5
"Jefferson County, Oklahoma",5.80%,5.8
"Jefferson County, Oregon",6.20%,6.2
"Jefferson County, Pennsylvania",5.50%,5.5
"Jefferson County, Tennessee",4.60%,4.6
"Jefferson County, Texas",6.70%,6.7
"Jefferson County, Washington",2.60%,2.6
"Jefferson County, West Virginia",5.10%,5.1
"Jefferson County, Wisconsin",4.80%,4.8
"Jefferson Davis County, Mississippi",5.30%,5.3
"Jefferson Davis Parish, Louisiana",6.50%,6.5
"Jefferson Parish, Louisiana",6.30%,6.3
"Jenkins County, Georgia",3.10%,3.1
"Jennings County, Indiana",5.90%,5.9
"Jerauld County, South Dakota",4.60%,4.6
"Jerome County, Idaho",7.60%,7.6
"Jersey County, Illinois",4.70%,4.7
"Jessamine County, Kentucky",5.90%,5.9
"Jewell County, Kansas",5.40%,5.4
"Jim Hogg County, Texas",15.50%,15.5
"Jim Wells County, Texas",6.80%,6.8
"Jo Daviess County, Illinois",4.20%,4.2
"Johnson County, Arkansas",6.60%,6.6
"Johnson County, Georgia",4.90%,4.9
"Johnson County, Illinois",4.20%,4.2
"Johnson County, Indiana",5.90%,5.9
"Johnson County, Iowa",5.40%,5.4
"Johnson County, Kansas",6%,6
"Johnson County, Kentucky",5.30%,5.3
"Johnson County, Missouri",6.20%,6.2
"Johnson County, Nebraska",4.50%,4.5
"Johnson County, Tennessee",4%,4
"Johnson County, Texas",6.30%,6.3
"Johnson County, Wyoming",4.40%,4.4
"Johnston County, North Carolina",6%,6
"Johnston County, Oklahoma",5.90%,5.9
"Jones County, Georgia",5.10%,5.1
"Jones County, Iowa",5.30%,5.3
"Jones County, Mississippi",6.50%,6.5
"Jones County, North Carolina",4.50%,4.5
"Jones County, South Dakota",11.90%,11.9
"Jones County, Texas",3.90%,3.9
"Josephine County, Oregon",4.70%,4.7
"Juab County, Utah",7.60%,7.6
"Juana Díaz Municipio, Puerto Rico",3.80%,3.8
"Judith Basin County, Montana",3.50%,3.5
"Juncos Municipio, Puerto Rico",3.80%,3.8
"Juneau City and Borough, Alaska",5.20%,5.2
"Juneau County, Wisconsin",4.80%,4.8
"Juniata County, Pennsylvania",5.80%,5.8
"Kalamazoo County, Michigan",5.70%,5.7
"Kalawao County, Hawaii",0%,0
"Kalkaska County, Michigan",5%,5
"Kanabec County, Minnesota",5.20%,5.2
"Kanawha County, West Virginia",5%,5
"Kandiyohi County, Minnesota",6.60%,6.6
"Kane County, Illinois",5.90%,5.9
"Kane County, Utah",5.40%,5.4
"Kankakee County, Illinois",5.80%,5.8
"Karnes County, Texas",5.20%,5.2
"Kauai County, Hawaii",5.60%,5.6
"Kaufman County, Texas",7.10%,7.1
"Kay County, Oklahoma",6.40%,6.4
"Kearney County, Nebraska",6.40%,6.4
"Kearny County, Kansas",7.20%,7.2
"Keith County, Nebraska",4.80%,4.8
"Kemper County, Mississippi",5.60%,5.6
"Kenai Peninsula Borough, Alaska",5.70%,5.7
"Kendall County, Illinois",6.20%,6.2
"Kendall County, Texas",4.50%,4.5
"Kenedy County, Texas",24.10%,24.1
"Kennebec County, Maine",4.70%,4.7
"Kenosha County, Wisconsin",5.40%,5.4
"Kent County, Delaware",6%,6
"Kent County, Maryland",3.70%,3.7
"Kent County, Michigan",6.30%,6.3
"Kent County, Rhode Island",4.70%,4.7
"Kent County, Texas",3.10%,3.1
"Kenton County, Kentucky",6.40%,6.4
"Keokuk County, Iowa",5.60%,5.6
"Kern County, California",7.30%,7.3
"Kerr County, Texas",4.90%,4.9
"Kershaw County, South Carolina",5.40%,5.4
"Ketchikan Gateway Borough, Alaska",5.40%,5.4
"Kewaunee County, Wisconsin",5.10%,5.1
"Keweenaw County, Michigan",2.10%,2.1
"Keya Paha County, Nebraska",2.50%,2.5
"Kidder County, North Dakota",7.90%,7.9
"Kimball County, Nebraska",3.60%,3.6
"Kimble County, Texas",5.50%,5.5
"King and Queen County, Virginia",4.50%,4.5
"King County, Texas",6.50%,6.5
"King County, Washington",5.40%,5.4
"King George County, Virginia",5.80%,5.8
"King William County, Virginia",6%,6
"Kingfisher County, Oklahoma",6.40%,6.4
"Kingman County, Kansas",5.90%,5.9
"Kings County, California",7.30%,7.3
"Kings County, New York",6.80%,6.8
"Kingsbury County, South Dakota",6.60%,6.6
"Kinney County, Texas",4.30%,4.3
"Kiowa County, Colorado",9.10%,9.1
"Kiowa County, Kansas",5.70%,5.7
"Kiowa County, Oklahoma",6.70%,6.7
"Kit Carson County, Colorado",6.60%,6.6
"Kitsap County, Washington",5.40%,5.4
"Kittitas County, Washington",4.30%,4.3
"Kittson County, Minnesota",5.20%,5.2
"Klamath County, Oregon",5.70%,5.7
"Kleberg County, Texas",7%,7
"Klickitat County, Washington",4.60%,4.6
"Knott County, Kentucky",5%,5
"Knox County, Illinois",5.60%,5.6
"Knox County, Indiana",5.20%,5.2
"Knox County, Kentucky",6.40%,6.4
"Knox County, Maine",3.80%,3.8
"Knox County, Missouri",7.30%,7.3
"Knox County, Nebraska",6.30%,6.3
"Knox County, Ohio",6%,6
"Knox County, Tennessee",5.50%,5.5
"Knox County, Texas",4.70%,4.7
"Kodiak Island Borough, Alaska",6.30%,6.3
"Koochiching County, Minnesota",3.90%,3.9
"Kootenai County, Idaho",5.60%,5.6
"Kosciusko County, Indiana",6.10%,6.1
"Kossuth County, Iowa",5.40%,5.4
"Kusilvak Census Area, Alaska",13%,13
"La Crosse County, Wisconsin",4.80%,4.8
"La Paz County, Arizona",4.40%,4.4
"La Plata County, Colorado",4.40%,4.4
"LaSalle County, Texas",3%,3
"Labette County, Kansas",6.40%,6.4
"Lac qui Parle County, Minnesota",5%,5
"Lackawanna County, Pennsylvania",5.10%,5.1
"Laclede County, Missouri",6.70%,6.7
"Lafayette County, Arkansas",3.70%,3.7
"Lafayette County, Florida",4%,4
"Lafayette County, Mississippi",4.90%,4.9
"Lafayette County, Missouri",5.60%,5.6
"Lafayette County, Wisconsin",6.40%,6.4
"Lafayette Parish, Louisiana",6.50%,6.5
"Lafourche Parish, Louisiana",5.90%,5.9
"LaGrange County, Indiana",8.90%,8.9
"Lajas Municipio, Puerto Rico",3.20%,3.2
"Lake and Peninsula Borough, Alaska",8.20%,8.2
"Lake County, California",5.60%,5.6
"Lake County, Colorado",4.20%,4.2
"Lake County, Florida",4.70%,4.7
"Lake County, Illinois",5.40%,5.4
"Lake County, Indiana",5.80%,5.8
"Lake County, Michigan",3.80%,3.8
"Lake County, Minnesota",4.70%,4.7
"Lake County, Montana",5.30%,5.3
"Lake County, Ohio",4.70%,4.7
"Lake County, Oregon",5%,5
"Lake County, South Dakota",5.10%,5.1
"Lake County, Tennessee",3.60%,3.6
"Lake of the Woods County, Minnesota",5.50%,5.5
"Lamar County, Alabama",6.80%,6.8
"Lamar County, Georgia",4.70%,4.7
"Lamar County, Mississippi",6.10%,6.1
"Lamar County, Texas",6.40%,6.4
"Lamb County, Texas",6.90%,6.9
"Lamoille County, Vermont",4.70%,4.7
"LaMoure County, North Dakota",6.40%,6.4
"Lampasas County, Texas",4.90%,4.9
"Lancaster County, Nebraska",5.90%,5.9
"Lancaster County, Pennsylvania",6.30%,6.3
"Lancaster County, South Carolina",5.60%,5.6
"Lancaster County, Virginia",3.20%,3.2
"Lander County, Nevada",3.50%,3.5
"Lane County, Kansas",4.10%,4.1
"Lane County, Oregon",4.40%,4.4
"Langlade County, Wisconsin",5.40%,5.4
"Lanier County, Georgia",6.40%,6.4
"Lapeer County, Michigan",4.70%,4.7
"LaPorte County, Indiana",5.60%,5.6
"Laramie County, Wyoming",5.90%,5.9
"Lares Municipio, Puerto Rico",3.50%,3.5
"Larimer County, Colorado",4.60%,4.6
"Larue County, Kentucky",5.20%,5.2
"Las Animas County, Colorado",4.60%,4.6
"Las Marías Municipio, Puerto Rico",3.60%,3.6
"Las Piedras Municipio, Puerto Rico",3.40%,3.4
"LaSalle County, Illinois",5.30%,5.3
"LaSalle Parish, Louisiana",5.50%,5.5
"Lassen County, California",4.70%,4.7
"Latah County, Idaho",4.90%,4.9
"Latimer County, Oklahoma",6%,6
"Lauderdale County, Alabama",5%,5
"Lauderdale County, Mississippi",6%,6
"Lauderdale County, Tennessee",5.70%,5.7
"Laurel County, Kentucky",6%,6
"Laurens County, Georgia",6%,6
"Laurens County, South Carolina",5.60%,5.6
"Lavaca County, Texas",5.80%,5.8
"Lawrence County, Alabama",5.30%,5.3
"Lawrence County, Arkansas",5.90%,5.9
"Lawrence County, Illinois",4.80%,4.8
"Lawrence County, Indiana",5.40%,5.4
"Lawrence County, Kentucky",6.90%,6.9
"Lawrence County, Mississippi",6.20%,6.2
"Lawrence County, Missouri",6.60%,6.6
"Lawrence County, Ohio",5.30%,5.3
"Lawrence County, Pennsylvania",5.10%,5.1
"Lawrence County, South Dakota",3.80%,3.8
"Lawrence County, Tennessee",6.30%,6.3
"Le Flore County, Oklahoma",6.10%,6.1
"Le Sueur County, Minnesota",5.90%,5.9
"Lea County, New Mexico",8%,8
"Leake County, Mississippi",6.20%,6.2
"Leavenworth County, Kansas",6.20%,6.2
"Lebanon County, Pennsylvania",5.70%,5.7
"Lee County, Alabama",5.50%,5.5
"Lee County, Arkansas",5.60%,5.6
"Lee County, Florida",4.40%,4.4
"Lee County, Georgia",6.20%,6.2
"Lee County, Illinois",5%,5
"Lee County, Iowa",5.90%,5.9
"Lee County, Kentucky",5.10%,5.1
"Lee County, Mississippi",6.50%,6.5
"Lee County, North Carolina",6.20%,6.2
"Lee County, South Carolina",4.90%,4.9
"Lee County, Texas",6.30%,6.3
"Lee County, Virginia",4.60%,4.6
"Leelanau County, Michigan",3.50%,3.5
"Leflore County, Mississippi",7.90%,7.9
"Lehigh County, Pennsylvania",5.90%,5.9
"Lemhi County, Idaho",4.30%,4.3
"Lenawee County, Michigan",5.10%,5.1
"Lenoir County, North Carolina",5.60%,5.6
"Leon County, Florida",5%,5
"Leon County, Texas",5.20%,5.2
"Leslie County, Kentucky",5.20%,5.2
"Letcher County, Kentucky",5.40%,5.4
"Levy County, Florida",5%,5
"Lewis and Clark County, Montana",5.50%,5.5
"Lewis County, Idaho",5.20%,5.2
"Lewis County, Kentucky",5.70%,5.7
"Lewis County, Missouri",5.30%,5.3
"Lewis County, New York",6%,6
"Lewis County, Tennessee",5.30%,5.3
"Lewis County, Washington",5.70%,5.7
"Lewis County, West Virginia",5.30%,5.3
"Lexington city, Virginia",2.80%,2.8
"Lexington County, South Carolina",5.60%,5.6
"Liberty County, Florida",2.90%,2.9
"Liberty County, Georgia",9.90%,9.9
"Liberty County, Montana",7.60%,7.6
"Liberty County, Texas",7.30%,7.3
"Licking County, Ohio",5.80%,5.8
"Limestone County, Alabama",5.50%,5.5
"Limestone County, Texas",5.80%,5.8
"Lincoln County, Arkansas",4.20%,4.2
"Lincoln County, Colorado",4.50%,4.5
"Lincoln County, Georgia",4.10%,4.1
"Lincoln County, Idaho",6%,6
"Lincoln County, Kansas",4.90%,4.9
"Lincoln County, Kentucky",6.80%,6.8
"Lincoln County, Maine",4.20%,4.2
"Lincoln County, Minnesota",6%,6
"Lincoln County, Mississippi",5.80%,5.8
"Lincoln County, Missouri",6.70%,6.7
"Lincoln County, Montana",4.30%,4.3
"Lincoln County, Nebraska",5.70%,5.7
"Lincoln County, Nevada",4.20%,4.2
"Lincoln County, New Mexico",4.10%,4.1
"Lincoln County, North Carolina",5%,5
"Lincoln County, Oklahoma",5.60%,5.6
"Lincoln County, Oregon",3.80%,3.8
"Lincoln County, South Dakota",6.60%,6.6
"Lincoln County, Tennessee",5.80%,5.8
"Lincoln County, Washington",5.30%,5.3
"Lincoln County, West Virginia",5.40%,5.4
"Lincoln County, Wisconsin",4.60%,4.6
"Lincoln County, Wyoming",6.20%,6.2
"Lincoln Parish, Louisiana",5.30%,5.3
"Linn County, Iowa",6%,6
"Linn County, Kansas",5.20%,5.2
"Linn County, Missouri",6%,6
"Linn County, Oregon",5.70%,5.7
"Lipscomb County, Texas",7.10%,7.1
"Little River County, Arkansas",5.60%,5.6
"Live Oak County, Texas",5.60%,5.6
"Livingston County, Illinois",5.60%,5.6
"Livingston County, Kentucky",5.10%,5.1
"Livingston County, Michigan",4.90%,4.9
"Livingston County, Missouri",5.40%,5.4
"Livingston County, New York",4.20%,4.2
"Livingston Parish, Louisiana",6.40%,6.4
"Llano County, Texas",3.50%,3.5
"Logan County, Arkansas",5.90%,5.9
"Logan County, Colorado",5.50%,5.5
"Logan County, Illinois",5%,5
"Logan County, Kansas",7.50%,7.5
"Logan County, Kentucky",6.50%,6.5
"Logan County, Nebraska",3.70%,3.7
"Logan County, North Dakota",6.30%,6.3
"Logan County, Ohio",5.70%,5.7
"Logan County, Oklahoma",5.40%,5.4
"Logan County, West Virginia",5%,5
"Loíza Municipio, Puerto Rico",3.30%,3.3
"Long County, Georgia",5.90%,5.9
"Lonoke County, Arkansas",6.10%,6.1
"Lorain County, Ohio",5.40%,5.4
"Los Alamos County, New Mexico",4.80%,4.8
"Los Angeles County, California",5.40%,5.4
"Loudon County, Tennessee",4.60%,4.6
"Loudoun County, Virginia",6.50%,6.5
"Louisa County, Iowa",5.80%,5.8
"Louisa County, Virginia",5.30%,5.3
"Loup County, Nebraska",6.40%,6.4
"Love County, Oklahoma",6.20%,6.2
"Loving County, Texas",24%,24
"Lower Connecticut River Valley Planning Region, Connecticut",4.10%,4.1
"Lowndes County, Alabama",5.80%,5.8
"Lowndes County, Georgia",6.70%,6.7
"Lowndes County, Mississippi",6.50%,6.5
"Lubbock County, Texas",6.30%,6.3
"Lucas County, Iowa",6%,6
"Lucas County, Ohio",6.10%,6.1
"Luce County, Michigan",4.90%,4.9
"Lumpkin County, Georgia",4.10%,4.1
"Luna County, New Mexico",7.90%,7.9
"Lunenburg County, Virginia",4.80%,4.8
"Luquillo Municipio, Puerto Rico",3.30%,3.3
"Luzerne County, Pennsylvania",5.20%,5.2
"Lycoming County, Pennsylvania",5.30%,5.3
"Lyman County, South Dakota",8.30%,8.3
"Lynchburg city, Virginia",5.90%,5.9
"Lynn County, Texas",6.50%,6.5
"Lyon County, Iowa",7.10%,7.1
"Lyon County, Kansas",5.80%,5.8
"Lyon County, Kentucky",3.30%,3.3
"Lyon County, Minnesota",7%,7
"Lyon County, Nevada",5.20%,5.2
"Mackinac County, Michigan",3.90%,3.9
"Macomb County, Michigan",5.30%,5.3
"Macon County, Alabama",4.70%,4.7
"Macon County, Georgia",5%,5
"Macon County, Illinois",6.10%,6.1
"Macon County, Missouri",5.50%,5.5
"Macon County, North Carolina",4.40%,4.4
"Macon County, Tennessee",6.20%,6.2
"Macoupin County, Illinois",5%,5
"Madera County, California",6.90%,6.9
"Madison County, Alabama",5.70%,5.7
"Madison County, Arkansas",6.30%,6.3
"Madison County, Florida",4.70%,4.7
"Madison County, Georgia",6.20%,6.2
"Madison County, Idaho",6.90%,6.9
"Madison County, Illinois",5.40%,5.4
"Madison County, Indiana",5.40%,5.4
"Madison County, Iowa",5.30%,5.3
"Madison County, Kentucky",5.40%,5.4
"Madison County, Mississippi",6.10%,6.1
"Madison County, Missouri",5.10%,5.1
"Madison County, Montana",3.60%,3.6
"Madison County, Nebraska",7.10%,7.1
"Madison County, New York",4.70%,4.7
"Madison County, North Carolina",4.40%,4.4
"Madison County, Ohio",4.80%,4.8
"Madison County, Tennessee",6%,6
"Madison County, Texas",5.90%,5.9
"Madison County, Virginia",5.30%,5.3
"Madison Parish, Louisiana",7.30%,7.3
"Magoffin County, Kentucky",6%,6
"Mahaska County, Iowa",6.30%,6.3
"Mahnomen County, Minnesota",8.20%,8.2
"Mahoning County, Ohio",5.30%,5.3
"Major County, Oklahoma",5.90%,5.9
"Malheur County, Oregon",6.40%,6.4
"Manassas city, Virginia",7.70%,7.7
"Manassas Park city, Virginia",6.90%,6.9
"Manatee County, Florida",4.40%,4.4
"Manatí Municipio, Puerto Rico",3.70%,3.7
"Manistee County, Michigan",3.90%,3.9
"Manitowoc County, Wisconsin",5%,5
"Marathon County, Wisconsin",5.70%,5.7
"Marengo County, Alabama",6.40%,6.4
"Maricao Municipio, Puerto Rico",3.80%,3.8
"Maricopa County, Arizona",5.90%,5.9
"Maries County, Missouri",4.60%,4.6
"Marin County, California",4.40%,4.4
"Marinette County, Wisconsin",4.60%,4.6
"Marion County, Alabama",4.90%,4.9
"Marion County, Arkansas",4.30%,4.3
"Marion County, Florida",4.70%,4.7
"Marion County, Georgia",4.60%,4.6
"Marion County, Illinois",6.30%,6.3
"Marion County, Indiana",7%,7
"Marion County, Iowa",5.50%,5.5
"Marion County, Kansas",4.80%,4.8
"Marion County, Kentucky",5.90%,5.9
"Marion County, Mississippi",5.90%,5.9
"Marion County, Missouri",6.10%,6.1
"Marion County, Ohio",5.60%,5.6
"Marion County, Oregon",6.20%,6.2
"Marion County, South Carolina",5.30%,5.3
"Marion County, Tennessee",5.40%,5.4
"Marion County, Texas",3.50%,3.5
"Marion County, West Virginia",5.30%,5.3
"Mariposa County, California",3.50%,3.5
"Marlboro County, South Carolina",5.10%,5.1
"Marquette County, Michigan",4.50%,4.5
"Marquette County, Wisconsin",4.50%,4.5
"Marshall County, Alabama",7%,7
"Marshall County, Illinois",5.40%,5.4
"Marshall County, Indiana",6.20%,6.2
"Marshall County, Iowa",6.10%,6.1
"Marshall County, Kansas",6.50%,6.5
"Marshall County, Kentucky",4.90%,4.9
"Marshall County, Minnesota",5.80%,5.8
"Marshall County, Mississippi",6%,6
"Marshall County, Oklahoma",6.30%,6.3
"Marshall County, South Dakota",6.80%,6.8
"Marshall County, Tennessee",5.60%,5.6
"Marshall County, West Virginia",4.60%,4.6
"Martin County, Florida",4%,4
"Martin County, Indiana",5.90%,5.9
"Martin County, Kentucky",4.70%,4.7
"Martin County, Minnesota",5.60%,5.6
"Martin County, North Carolina",5.10%,5.1
"Martin County, Texas",6.40%,6.4
"Martinsville city, Virginia",7%,7
"Mason County, Illinois",4.90%,4.9
"Mason County, Kentucky",5.90%,5.9
"Mason County, Michigan",4.80%,4.8
"Mason County, Texas",8.60%,8.6
"Mason County, Washington",5%,5
"Mason County, West Virginia",5.30%,5.3
"Massac County, Illinois",5.20%,5.2
"Matagorda County, Texas",7.40%,7.4
"Matanuska-Susitna Borough, Alaska",6.50%,6.5
"Mathews County, Virginia",3.10%,3.1
"Maui County, Hawaii",5.50%,5.5
"Maunabo Municipio, Puerto Rico",3.10%,3.1
"Maury County, Tennessee",6.30%,6.3
"Maverick County, Texas",8.80%,8.8
"Mayagüez Municipio, Puerto Rico",3.20%,3.2
"Mayes County, Oklahoma",5.70%,5.7
"McClain County, Oklahoma",5.40%,5.4
"McCone County, Montana",5%,5
"McCook County, South Dakota",8.10%,8.1
"McCormick County, South Carolina",2.50%,2.5
"McCracken County, Kentucky",5.80%,5.8
"McCreary County, Kentucky",5.40%,5.4
"McCulloch County, Texas",5.40%,5.4
"McCurtain County, Oklahoma",7%,7
"McDonald County, Missouri",6.60%,6.6
"McDonough County, Illinois",4.50%,4.5
"McDowell County, North Carolina",4.60%,4.6
"McDowell County, West Virginia",4.70%,4.7
"McDuffie County, Georgia",6.30%,6.3
"McHenry County, Illinois",5.30%,5.3
"McHenry County, North Dakota",5.50%,5.5
"McIntosh County, Georgia",2.60%,2.6
"McIntosh County, North Dakota",4.70%,4.7
"McIntosh County, Oklahoma",5.10%,5.1
"McKean County, Pennsylvania",4.70%,4.7
"McKenzie County, North Dakota",10.60%,10.6
"McKinley County, New Mexico",6.30%,6.3
"McLean County, Illinois",5.50%,5.5
"McLean County, Kentucky",5.40%,5.4
"McLean County, North Dakota",5.30%,5.3
"McLennan County, Texas",6.50%,6.5
"McLeod County, Minnesota",5.40%,5.4
"McMinn County, Tennessee",5.60%,5.6
"McMullen County, Texas",7.50%,7.5
"McNairy County, Tennessee",5.40%,5.4
"McPherson County, Kansas",5%,5
"McPherson County, Nebraska",3.70%,3.7
"McPherson County, South Dakota",5.80%,5.8
"Meade County, Kansas",7.30%,7.3
"Meade County, Kentucky",5.20%,5.2
"Meade County, South Dakota",4.90%,4.9
"Meagher County, Montana",3%,3
"Mecklenburg County, North Carolina",6.40%,6.4
"Mecklenburg County, Virginia",4.90%,4.9
"Mecosta County, Michigan",5.20%,5.2
"Medina County, Ohio",5%,5
"Medina County, Texas",5.60%,5.6
"Meeker County, Minnesota",5.80%,5.8
"Meigs County, Ohio",4.90%,4.9
"Meigs County, Tennessee",4.90%,4.9
"Mellette County, South Dakota",6.40%,6.4
"Menard County, Illinois",5%,5
"Menard County, Texas",3.90%,3.9
"Mendocino County, California",5.40%,5.4
"Menifee County, Kentucky",7.70%,7.7
"Menominee County, Michigan",4.30%,4.3
"Menominee County, Wisconsin",8.30%,8.3
"Merced County, California",7.30%,7.3
"Mercer County, Illinois",4.90%,4.9
"Mercer County, Kentucky",5.60%,5.6
"Mercer County, Missouri",7.30%,7.3
"Mercer County, New Jersey",5.50%,5.5
"Mercer County, North Dakota",5.70%,5.7
"Mercer County, Ohio",7.50%,7.5
"Mercer County, Pennsylvania",4.80%,4.8
"Mercer County, West Virginia",5.30%,5.3
"Meriwether County, Georgia",5.70%,5.7
"Merrick County, Nebraska",5.70%,5.7
"Merrimack County, New Hampshire",4.50%,4.5
"Mesa County, Colorado",5.30%,5.3
"Metcalfe County, Kentucky",5.70%,5.7
"Miami County, Indiana",5.20%,5.2
"Miami County, Kansas",5.40%,5.4
"Miami County, Ohio",5.70%,5.7
"Miami-Dade County, Florida",5.50%,5.5
"Middlesex County, Massachusetts",5.10%,5.1
"Middlesex County, New Jersey",5.50%,5.5
"Middlesex County, Virginia",3.50%,3.5
"Midland County, Michigan",5.30%,5.3
"Midland County, Texas",8.40%,8.4
